"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","provincial_capital"
"17","Kunduz","کندز","کندز","1705","05","ALI ABAD","ALI ABAD","علی آباد","NO"
"17","Kunduz","کندز","کندز","1706","06","KHAN ABAD","KHAN ABAD","خان آباد","NO"
"17","Kunduz","کندز","کندز","1707","07","DASHT-I-ARCHI","DASHT-I-ARCHI","دشت ارچی","NO"
"18","Samangan","سمنگان","سمنگان","1801","01","PROVINCIAL CENTER (AIBAK)","PROVINCIAL CENTER (AIBAK)","مرکزسمنگان - ایبک","YES"
"18","Samangan","سمنگان","سمنگان","1802","02","HAZRAT-E-SULTAN","HAZRAT-E-SULTAN","حضرت سلطان","NO"
"18","Samangan","سمنگان","سمنگان","1803","03","FEROZ NAKHCHEER","FEROZ NAKHCHEER","فیروزنخچیر","NO"
"18","Samangan","سمنگان","سمنگان","1804","04","DARAH-E-SUF HULYA","DARAH-E-SUF HULYA","دره صوف بالا","NO"
"18","Samangan","سمنگان","سمنگان","1805","05","DARAH-I-SUF PAYEN","DARAH-I-SUF PAYEN","دره صوف پائین","NO"
"18","Samangan","سمنگان","سمنگان","1806","06","RAI-DO-AB","RAI-DO-AB","روی دوآب","NO"
"18","Samangan","سمنگان","سمنگان","1807","07","KHOURAM SAR BAGH","KHOURAM SAR BAGH","خرم و سارباغ","NO"
"19","Balkh","بلخ","بلخ","1901","01","PROVINCIAL CENTER (MAZAR SHARIF)","PROVINCIAL CENTER (MAZAR SHARIF)","مزار شريف","YES"
"19","Balkh","بلخ","بلخ","1902","02","DEHDADI","DEHDADI","دهدادی","NO"
"19","Balkh","بلخ","بلخ","1903","03","NAHR-E-SHAHI","NAHR-E-SHAHI","نهر شاهی","NO"
"19","Balkh","بلخ","بلخ","1904","04","MARMOL","MARMOL","مارمل","NO"
"19","Balkh","بلخ","بلخ","1905","05","KHOLM","KHOLM","خلم","NO"
"19","Balkh","بلخ","بلخ","1906","06","KALDAR","KALDAR","کلدار","NO"
"19","Balkh","بلخ","بلخ","1907","07","SHORTAPA","SHORTAPA","شورتیپه","NO"
"19","Balkh","بلخ","بلخ","1908","08","DAWLATABAD","DAWLATABAD","دولت آباد","NO"
"19","Balkh","بلخ","بلخ","1909","09","BALKH","BALKH","بلخ","NO"
"19","Balkh","بلخ","بلخ","1910","10","CHARBOLAK","CHARBOLAK","چار بولک","NO"
"19","Balkh","بلخ","بلخ","1911","11","CHAMTAL","CHAMTAL","چمتال","NO"
