"province_code","province_name_eng","province_name_dari","province_name_pashto","district_code","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","provincial_capital"
"03","Parwan","پروان","پروان","0310","10","SORKH PARSA","SORKH PARSA","سرخ پارساء","NO"
"04","Wardak","وردک","وردک","0401","01","PROVINCIAL CENTER (MAIDAN-SHAHR)","PROVINCIAL CENTER (MAIDAN-SHAHR)","مرکز وردک - میدان شهر","YES"
"04","Wardak","وردک","وردک","0402","02","JALRAIZ","JALRAIZ","جلریز","NO"
"04","Wardak","وردک","وردک","0403","03","HESA-AWAL-BEHSUD","HESA-AWAL-BEHSUD","حصه اول بهسود","NO"
"04","Wardak","وردک","وردک","0404","04","MARKAZ-I-BEHSOD","MARKAZ-I-BEHSOD","مرکز بهسود","NO"
"04","Wardak","وردک","وردک","0405","05","DAIMIRDAD","DAIMIRDAD","دایمیرداد","NO"
"04","Wardak","وردک","وردک","0406","06","JAGHATO","JAGHATO","جغتو","NO"
"04","Wardak","وردک","وردک","0407","07","CHAK","CHAK","چک وردک","NO"
"04","Wardak","وردک","وردک","0408","08","SAYED ABAD","SAYED ABAD","سیدآباد","NO"
"04","Wardak","وردک","وردک","0409","09","NERKH","NERKH","نرخ","NO"
"05","Logar","لوگر","لوگر","0501","01","PROVINCIAL CENTER (PULLE-ALAM)","PROVINCIAL CENTER (PULLE-ALAM)","مرکزلوگر- پل علم","YES"
"05","Logar","لوگر","لوگر","0502","02","BARAKIBARAK","BARAKIBARAK","برکی برک","NO"
"05","Logar","لوگر","لوگر","0503","03","CHARKH","CHARKH","چرخ","NO"
"05","Logar","لوگر","لوگر","0504","04","KHUSHI","KHUSHI","خوشی","NO"
"05","Logar","لوگر","لوگر","0505","05","MOHAMMAD AGHA","MOHAMMAD AGHA","محمدآغه","NO"
"05","Logar","لوگر","لوگر","0506","06","KHARWAR","KHARWAR","خروار","NO"
"05","Logar","لوگر","لوگر","0507","07","AZRAW","AZRAW","ازره","NO"
"06","Ghazni","غزنی","غزنی","0601","01","PROVINCIAL CENTER (GHAZNI)","PROVINCIAL CENTER (GHAZNI)","مرکزغزنی - غزنی","YES"
"06","Ghazni","غزنی","غزنی","0602","02","DAH YAK","DAH YAK","ده یک","NO"
"06","Ghazni","غزنی","غزنی","0603","03","ZANA KHAN","ZANA KHAN","زنخان","NO"
"06","Ghazni","غزنی","غزنی","0604","04","KHOWJA OMERY","KHOWJA OMERY","خواجه عمری","NO"
"06","Ghazni","غزنی","غزنی","0606","06","SHAHIDM-WALI-KHOGYANI","SHAHIDM-WALI-KHOGYANI","ولی محمد شهید خوگیانی","NO"
"06","Ghazni","غزنی","غزنی","0607","07","JAGHATOO","JAGHATOO","جغتو","NO"
"06","Ghazni","غزنی","غزنی","0608","08","WAGHAZ","WAGHAZ","واغظ","NO"
"06","Ghazni","غزنی","غزنی","0610","10","GIRO","GIRO","گیرو","NO"
"06","Ghazni","غزنی","غزنی","0611","11","ANDER","ANDER","اندر","NO"
"06","Ghazni","غزنی","غزنی","0612","12","NAWUR","NAWUR","ناور","NO"
"06","Ghazni","غزنی","غزنی","0613","13","AJRESTAN","AJRESTAN","اجرستان","NO"
"06","Ghazni","غزنی","غزنی","0614","14","MALESTAN","MALESTAN","مالستان","NO"
"06","Ghazni","غزنی","غزنی","0615","15","JAGHORI","JAGHORI","جاغوری","NO"
"06","Ghazni","غزنی","غزنی","0616","16","MUQUR (GHAZNI)","MUQUR (GHAZNI)","مقر","NO"
"06","Ghazni","غزنی","غزنی","0617","17","AB BAND","AB BAND","آب بند","NO"
"06","Ghazni","غزنی","غزنی","0618","18","GELLAN","GELLAN","گیلان","NO"
"07","Paktika","پکتیکا","پکتيکا","0701","01","PROVINCIAL CENTER (SHARAN)","PROVINCIAL CENTER (SHARAN)","مرکز پکتیکا - شرن","YES"
"07","Paktika","پکتیکا","پکتيکا","0702","02","MATA KHAN","MATA KHAN","متاخان","NO"
"07","Paktika","پکتیکا","پکتيکا","0703","03","YOSEF KHEIL","YOSEF KHEIL","یوسف خیل","NO"
"07","Paktika","پکتیکا","پکتيکا","0704","04","YAHYA KHEIL","YAHYA KHEIL","یحیی خیل","NO"
"07","Paktika","پکتیکا","پکتيکا","0705","05","OMANAH","OMANAH","اومنه","NO"
"07","Paktika","پکتیکا","پکتيکا","0706","06","SAR RAWZA","SAR RAWZA","سرروضه","NO"
"07","Paktika","پکتیکا","پکتيکا","0707","07","ZARGHOON SHAHER","ZARGHOON SHAHER","زرغون شهر","NO"
"07","Paktika","پکتیکا","پکتيکا","0708","08","JANI KHEIL (PAKTIKA)","JANI KHEIL (PAKTIKA)","جانی خیل","NO"
"07","Paktika","پکتیکا","پکتيکا","0709","09","GOMAL","GOMAL","گومل","NO"
"07","Paktika","پکتیکا","پکتيکا","0710","10","SURUBI (PAKTIKA)","SURUBI (PAKTIKA)","سروبی","NO"
"07","Paktika","پکتیکا","پکتيکا","0711","11","URGOON","URGOON","ارگون","NO"
"07","Paktika","پکتیکا","پکتيکا","0712","12","ZIROK","ZIROK","زیروک","NO"
"07","Paktika","پکتیکا","پکتيکا","0714","14","DELA","DELA","دیله وخوشامند","NO"
"07","Paktika","پکتیکا","پکتيکا","0715","15","WAZAKHWA","WAZAKHWA","وازه خواه","NO"
"07","Paktika","پکتیکا","پکتيکا","0716","16","TURWU","TURWU","تروو","NO"
"07","Paktika","پکتیکا","پکتيکا","0717","17","WARMAMAI","WARMAMAI","ورممی","NO"
"07","Paktika","پکتیکا","پکتيکا","0718","18","BARMAL","BARMAL","برمل","NO"
"07","Paktika","پکتیکا","پکتيکا","0719","19","GAYAN","GAYAN","گیان","NO"
"08","Paktia","پکتیا","پکتيا","0801","01","PROVINCIAL CENTER (GARDEIZ)","PROVINCIAL CENTER (GARDEIZ)","مرکز پکتیا - گردیز","YES"
"08","Paktia","پکتیا","پکتيا","0802","02","SAID KARAM","SAID KARAM","سید کرم","NO"
"08","Paktia","پکتیا","پکتيا","0803","03","ZURMAT","ZURMAT","زرمت","NO"
"08","Paktia","پکتیا","پکتيا","0804","04","SHAWAK","SHAWAK","شواک","NO"
"08","Paktia","پکتیا","پکتيا","0805","05","WAZA ZADRAN","WAZA ZADRAN","وزه حًدران","NO"
"08","Paktia","پکتیا","پکتيا","0806","06","LAJA AHMAD KHEIL","LAJA AHMAD KHEIL","لجه احمد خیل","NO"
"08","Paktia","پکتیا","پکتيا","0807","07","JANI KHEIL (PAKTIA)","JANI KHEIL (PAKTIA)","جانی خیل","NO"
"08","Paktia","پکتیا","پکتيا","0808","08","DAND PATAN","DAND PATAN","دند پتان","NO"
"08","Paktia","پکتیا","پکتيا","0809","09","SAMKANAI","SAMKANAI","حمکنی","NO"
"08","Paktia","پکتیا","پکتيا","0810","10","JAJI","JAJI","جاجی","NO"
"08","Paktia","پکتیا","پکتيا","0811","11","AHMAD ABAD","AHMAD ABAD","احمدآباء","NO"
"09","Khost","خوست","خوست","0901","01","PROVINCIAL CENTER (KHOST)","PROVINCIAL CENTER (KHOST)","مرکزخوست - خوست","YES"
"09","Khost","خوست","خوست","0902","02","TERZAYI","TERZAYI","علیشیر","NO"
"09","Khost","خوست","خوست","0903","03","BAK","BAK","باک","NO"
"09","Khost","خوست","خوست","0904","04","JAJI MAIDAN","JAJI MAIDAN","جاجی میدان","NO"
"09","Khost","خوست","خوست","0905","05","SABARI","SABARI","صبری (یعقوبی)","NO"
"09","Khost","خوست","خوست","0906","06","MUSA KHEIL","MUSA KHEIL","موسی خیل","NO"
"09","Khost","خوست","خوست","0907","07","QALANDER","QALANDER","قلندر","NO"
"09","Khost","خوست","خوست","0908","08","NADERSHAH KOTT","NADERSHAH KOTT","نادرشاه کوت","NO"
"09","Khost","خوست","خوست","0909","09","MANDOZAYI","MANDOZAYI","مندوزی (اسمعیل خیل)","NO"
"09","Khost","خوست","خوست","0910","10","SHEMAL","SHEMAL","شمل","NO"
