province_code,district_code,district_number,matched_to_2012_AGCHO_district_code,matched_to_2018_422_AGCHO_district_code,district_name_eng,district_name_dari,district_or_subdivision_name_eng,provincial_capital
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (1),NAHIA 1,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (2),NAHIA 2,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (3),NAHIA 3,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (4),NAHIA 4,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (5),NAHIA 5,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (6),NAHIA 6,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (7),NAHIA 7,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (8),NAHIA 8,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (9),NAHIA 9,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (10),NAHIA 10,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (11),NAHIA 11,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (12),NAHIA 12,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (13),NAHIA 13,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (14),NAHIA 14,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (15),NAHIA 15,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (16),NAHIA 16,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (17),NAHIA 17,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ناحیه (18),NAHIA 18,YES
1,101,1,101,,PROVINCIAL CENTER (KABUL) ,کابل ,PROVINCIAL CENTER (KABUL) ,YES
1,102,2,102,,DAHSABZ,ده سبز,DAHSABZ,NO
1,103,3,110,,MIRBACHKOT,میر بچه کوت,MIRBACHKOT,NO
1,104,4,109,,KALAKAN,کلکان,KALAKAN,NO
1,105,5,108,,QARABAGH,قره باغ,QARABAGH,NO
1,106,6,115,,FARZA,فرزه,FARZA,NO
1,107,7,114,,ESTALEF,استالف,ESTALEF,NO
1,108,8,111,,GULDARA,گلدره,GULDARA,NO
1,109,9,103,,SHAKER DARAH,شکردره,SHAKER DARAH,NO
1,110,10,104,,PAGHMAN,پغمان,PAGHMAN,NO
1,111,11,105,,CHAR ASIAB,چهارآسیاب,CHAR ASIAB,NO
1,112,12,106,,MUSAHI,موسئی,MUSAHI,NO
1,113,13,112,,KHAK-I-JABAR,خاک جبار,KHAK-I-JABAR,NO
1,114,14,107,,BAGRAMI,بگرامی,BAGRAMI,NO
1,115,15,113,,SURUBI (KABUL),سروبی,SURUBI (KABUL),NO
2,201,1,201,,PROVINCIAL CENTER (MAHMOOD RAQI),مرکز کاپیسا - محمود راقی,PROVINCIAL CENTER (MAHMOOD RAQI),YES
2,202,2,204,,HESA DUWUM KOHISTAN,حصه دوم کوهستان,HESA DUWUM KOHISTAN,NO
2,203,3,207,,KOHISTAN HESA AWAL,حصه اول کوهستان,KOHISTAN HESA AWAL,NO
2,204,4,202,,NAJRAB,نجراب,NAJRAB,NO
2,205,5,203,,KOH BAND,کوه بند,KOH BAND,NO
2,206,6,205,,TAGAB,تگاب,TAGAB,NO
3,301,1,301,,PROVINCIAL CENTER (CHARIKAR),مرکزپروان- چاریکار,PROVINCIAL CENTER (CHARIKAR),YES
3,302,2,305,,SAYID KHAIL,سید خیل,SAYID KHAIL,NO
3,303,3,302,,JABUL SARAJ,جبل السراج,JABUL SARAJ,NO
3,304,4,306,,SALANK,سالنگ,SALANK,NO
3,305,5,303,,SHENWARI,شینواری,SHENWARI,NO
3,306,6,307,,SEYAGERD GHORBAND,سیاه گرد (غوربند),SEYAGERD GHORBAND,NO
3,307,7,304,,BAGRAM,بگرام,BAGRAM,NO
3,308,8,308,,KOHE SAFI,کوه صافی,KOHE SAFI,NO
3,309,9,309,,SHAIKH ALI,شیخ علی,SHAIKH ALI,NO
3,310,10,310,,SORKH PARSA,سرخ پارساء,SORKH PARSA,NO
4,401,1,401,,PROVINCIAL CENTER (MAIDAN-SHAHR),مرکز وردک - میدان شهر,PROVINCIAL CENTER (MAIDAN-SHAHR),YES
4,402,2,402,,JALRAIZ,جلریز,JALRAIZ,NO
4,403,3,404,,HESA-AWAL-BEHSUD,حصه اول بهسود,HESA-AWAL-BEHSUD,NO
4,404,4,408,,MARKAZ-I-BEHSOD,مرکز بهسود,MARKAZ-I-BEHSOD,NO
4,405,5,405,,DAIMIRDAD,دایمیرداد,DAIMIRDAD,NO
4,406,6,409,,JAGHATO,جغتو,JAGHATO,NO
4,407,7,406,,CHAK,چک وردک,CHAK,NO
4,408,8,407,,SAYED ABAD,سیدآباد,SAYED ABAD,NO
4,409,9,403,,NERKH,نرخ,NERKH,NO
5,501,1,501,,PROVINCIAL CENTER (PULLE-ALAM),مرکزلوگر- پل علم,PROVINCIAL CENTER (PULLE-ALAM),YES
5,502,2,504,,BARAKIBARAK,برکی برک,BARAKIBARAK,NO
5,503,3,505,,CHARKH,چرخ,CHARKH,NO
5,504,4,502,,KHUSHI,خوشی,KHUSHI,NO
5,505,5,503,,MOHAMMAD AGHA,محمدآغه,MOHAMMAD AGHA,NO
5,506,6,506,,KHARWAR,خروار,KHARWAR,NO
5,507,7,507,,AZRAW,ازره,AZRAW,NO
6,601,1,1101,,PROVINCIAL CENTER (GHAZNI),مرکزغزنی - غزنی,PROVINCIAL CENTER (GHAZNI),YES
6,602,2,1106,,DAH YAK,ده یک,DAH YAK,NO
6,603,3,1107,,ZANA KHAN,زنخان,ZANA KHAN,NO
6,604,4,1102,,KHOWJA OMERY,خواجه عمری,KHOWJA OMERY,NO
6,606,6,1103,,SHAHIDM-WALI-KHOGYANI,ولی محمد شهید خوگیانی,SHAHIDM-WALI-KHOGYANI,NO
6,607,7,1109 AND 1108,,JAGHATOO,جغتو,JAGHATOO,NO
6,608,8,1104,,WAGHAZ,واغظ,WAGHAZ,NO
6,610,10,1111,,GIRO,گیرو,GIRO,NO
6,611,11,1105,,ANDER,اندر,ANDER,NO
