"province_code","province_code_2018","province_name_eng","province_name_dari","province_name_pashto","district_code","provincial_capital","district_number","district_name_eng","district_or_subdivision_name_eng","district_name_dari","pc_code","pc_location","pc_location_dari","ps_count","ps_male","ps_fem","ps_kuchi","est_voters","access_notes"
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101020","deh afghanan,rangha masque","ده افغانان, مسجد رنگه",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101021","joy shir ,ansaary high school","جوي شير, ليسه انصاري",7,5,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101022","joy shir ,parsa primary school","جوي شير, مکتب ابتدايه پارسا",5,3,2,0,4300,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101023","joy shir deh afghanan,qari abdullah school","جوي شير ده افغانان, مکتب قاري عبدالله",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101024","karti parwan cinema baharistan,mir ahmad masque","کارته پروان سينما بهارستان, مسجد حاجي مير احمد",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101025","karti ariana,karti ariana sacandry school","کارته آريانا, مکتب متوسطه کارته آريانا",7,4,3,0,6700,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101026","karti parwan,maaz bini jabal masque","کارته پروان, مسجد معاذ ابن جبل",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101027","karti parwan,omar farooq masque","کارته پروان, مسجد عمر فاروق",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101028","istiqlal high school,istiqlal high school","ليسه استقلال, ليسه استقلال",7,4,3,0,6500,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101029","shahdoshamshira,shahdoshamshira high school","شاه دوشمشيره, ليسه شاه دو شمشيره",5,3,2,0,4000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101030","tol abcakan,nayebsalar masque","تول آپچکان, مسجد نايب سالار",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 2","کابل ناحیه (2)","0101031","marad khani,directrite of department afaire","مراد خاني, ريا ست اداره امور",2,1,1,0,1200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101032","end bus stop university,sofi islam school","ايستگاه آخر پوهنتون, مکتب صوفي اسلام",6,4,2,0,4300,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101033","deh bori,mahmod hotaky high school","ده بوري, ليسه محمود هوتکي",7,4,3,0,7200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101034","karti char,sayed jamaludin afghan sacandry school","کارته چهار, مکتب متوسطه سيد جمال الدين",7,4,3,0,5200,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101035","jamal mina,no13jamal mina sacandry school","جمال مينه, مکتب متوسطه نمبر١٣ جمال مينه",8,5,3,0,6000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101036","No. 19 School of Jamal Mina ","مکتب نمبر 19 جمال مینه",7,4,3,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101037"," Masjid Hanzala Masjid, Dehmazang at the back side of Tolay Sawar.","مسجد حنظله، دهمزنگ عقب تولی سوار",5,3,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101038","saray ghazni,sayed jamaludin teacher training ","سراي غزني, مکتب تربيه معلم سيد جمال الدين",5,3,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101039","deh mazang,amir dostmuhammad khan school","دهمزنگ, مکتب امير دوست محمد خان",5,3,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101040","now abaddehmazang,amirhmza sacandry school","نو آباد دهمزنگ, مکتب متوسطه امير حمزه",5,3,2,0,5000,""
"01","01","Kabul","کابل","کابل","0101","YES","01","PROVINCIAL CENTER (KABUL) ","NAHIA 3","کابل ناحیه (3)","0101041","guzargah,guzargah sacandry school","گذرگاه, مکتب متوسطه گذرگاه",3,2,1,0,2000,""
