"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101235","235","0101235-05","F","YES"
"General","01","0101","01","0101236","236","0101236-01","M","YES"
"General","01","0101","01","0101236","236","0101236-02","M","YES"
"General","01","0101","01","0101236","236","0101236-03","M","YES"
"General","01","0101","01","0101236","236","0101236-04","M","YES"
"General","01","0101","01","0101236","236","0101236-05","F","YES"
"General","01","0101","01","0101236","236","0101236-06","F","YES"
"General","01","0101","01","0101236","236","0101236-07","F","YES"
"General","01","0101","01","0101237","237","0101237-01","M","YES"
"General","01","0101","01","0101237","237","0101237-02","M","YES"
"General","01","0101","01","0101237","237","0101237-03","M","YES"
"General","01","0101","01","0101237","237","0101237-04","M","YES"
"General","01","0101","01","0101237","237","0101237-05","F","YES"
"General","01","0101","01","0101237","237","0101237-06","F","YES"
"General","01","0101","01","0101237","237","0101237-07","F","YES"
"General","01","0101","01","0101238","238","0101238-01","M","YES"
"General","01","0101","01","0101238","238","0101238-02","M","YES"
"General","01","0101","01","0101238","238","0101238-03","M","YES"
"General","01","0101","01","0101238","238","0101238-04","M","YES"
"General","01","0101","01","0101238","238","0101238-05","F","YES"
"General","01","0101","01","0101238","238","0101238-06","F","YES"
"General","01","0101","01","0101239","239","0101239-01","M","YES"
"General","01","0101","01","0101239","239","0101239-02","M","YES"
"General","01","0101","01","0101239","239","0101239-03","M","YES"
"General","01","0101","01","0101239","239","0101239-04","M","YES"
"General","01","0101","01","0101239","239","0101239-05","F","YES"
"General","01","0101","01","0101239","239","0101239-06","F","YES"
"General","01","0101","01","0101239","239","0101239-07","F","YES"
"General","01","0101","01","0101240","240","0101240-01","M","YES"
"General","01","0101","01","0101240","240","0101240-02","M","YES"
"General","01","0101","01","0101240","240","0101240-03","M","YES"
"General","01","0101","01","0101240","240","0101240-04","M","YES"
"General","01","0101","01","0101240","240","0101240-05","F","YES"
"General","01","0101","01","0101240","240","0101240-06","F","YES"
"General","01","0101","01","0101240","240","0101240-07","F","YES"
"General","01","0101","01","0101241","241","0101241-01","M","YES"
"General","01","0101","01","0101241","241","0101241-02","M","YES"
"General","01","0101","01","0101241","241","0101241-03","M","YES"
"General","01","0101","01","0101241","241","0101241-04","M","YES"
"General","01","0101","01","0101241","241","0101241-05","M","YES"
"General","01","0101","01","0101241","241","0101241-06","M","YES"
"General","01","0101","01","0101241","241","0101241-07","F","YES"
"General","01","0101","01","0101241","241","0101241-08","F","YES"
"General","01","0101","01","0101241","241","0101241-09","F","YES"
"General","01","0101","01","0101242","242","0101242-01","M","YES"
"General","01","0101","01","0101242","242","0101242-02","M","YES"
"General","01","0101","01","0101242","242","0101242-03","M","YES"
"General","01","0101","01","0101242","242","0101242-04","M","YES"
"General","01","0101","01","0101242","242","0101242-05","F","YES"
"General","01","0101","01","0101242","242","0101242-06","F","YES"
"General","01","0101","01","0101242","242","0101242-07","F","YES"
"General","01","0101","01","0101243","243","0101243-01","M","YES"
"General","01","0101","01","0101243","243","0101243-02","M","YES"
"General","01","0101","01","0101243","243","0101243-03","M","YES"
"General","01","0101","01","0101243","243","0101243-04","F","YES"
"General","01","0101","01","0101243","243","0101243-05","F","YES"
"General","01","0101","01","0101244","244","0101244-01","M","YES"
"General","01","0101","01","0101244","244","0101244-02","M","YES"
"General","01","0101","01","0101244","244","0101244-03","M","YES"
"General","01","0101","01","0101244","244","0101244-04","M","YES"
"General","01","0101","01","0101244","244","0101244-05","F","YES"
"General","01","0101","01","0101244","244","0101244-06","F","YES"
"General","01","0101","01","0101244","244","0101244-07","F","YES"
"General","01","0101","01","0101245","245","0101245-01","M","YES"
"General","01","0101","01","0101245","245","0101245-02","M","YES"
"General","01","0101","01","0101245","245","0101245-03","M","YES"
"General","01","0101","01","0101245","245","0101245-04","M","YES"
"General","01","0101","01","0101245","245","0101245-05","F","YES"
"General","01","0101","01","0101245","245","0101245-06","F","YES"
"General","01","0101","01","0101246","246","0101246-01","M","YES"
"General","01","0101","01","0101246","246","0101246-02","M","YES"
"General","01","0101","01","0101246","246","0101246-03","M","YES"
"General","01","0101","01","0101246","246","0101246-04","M","YES"
"General","01","0101","01","0101246","246","0101246-06","F","YES"
"General","01","0101","01","0101247","247","0101247-01","M","YES"
"General","01","0101","01","0101247","247","0101247-02","M","YES"
"General","01","0101","01","0101247","247","0101247-03","M","YES"
"General","01","0101","01","0101247","247","0101247-04","M","YES"
"General","01","0101","01","0101247","247","0101247-05","F","YES"
"General","01","0101","01","0101247","247","0101247-06","F","YES"
"General","01","0101","01","0101248","248","0101248-01","M","YES"
"General","01","0101","01","0101248","248","0101248-02","M","YES"
"General","01","0101","01","0101248","248","0101248-03","F","YES"
"General","01","0101","01","0101249","249","0101249-01","M","YES"
"General","01","0101","01","0101249","249","0101249-02","M","YES"
"General","01","0101","01","0101249","249","0101249-03","M","YES"
"General","01","0101","01","0101249","249","0101249-04","M","YES"
"General","01","0101","01","0101249","249","0101249-05","F","YES"
"General","01","0101","01","0101249","249","0101249-06","F","YES"
"General","01","0101","01","0101250","250","0101250-01","M","YES"
"General","01","0101","01","0101250","250","0101250-02","M","YES"
"General","01","0101","01","0101250","250","0101250-03","M","YES"
"General","01","0101","01","0101250","250","0101250-04","M","YES"
"General","01","0101","01","0101250","250","0101250-05","F","YES"
"General","01","0101","01","0101250","250","0101250-06","F","YES"
"General","01","0101","01","0101251","251","0101251-01","M","YES"
"General","01","0101","01","0101251","251","0101251-02","M","YES"
"General","01","0101","01","0101251","251","0101251-03","M","YES"
"General","01","0101","01","0101251","251","0101251-04","F","YES"
"General","01","0101","01","0101251","251","0101251-05","F","YES"
"General","01","0101","01","0101252","252","0101252-01","M","YES"
"General","01","0101","01","0101252","252","0101252-02","M","YES"
"General","01","0101","01","0101252","252","0101252-03","M","YES"
"General","01","0101","01","0101252","252","0101252-04","F","YES"
"General","01","0101","01","0101252","252","0101252-05","F","YES"
"General","01","0101","01","0101253","253","0101253-01","M","YES"
"General","01","0101","01","0101253","253","0101253-02","M","YES"
"General","01","0101","01","0101253","253","0101253-03","F","YES"
"General","01","0101","01","0101254","254","0101254-01","M","YES"
"General","01","0101","01","0101254","254","0101254-02","M","YES"
"General","01","0101","01","0101254","254","0101254-03","M","YES"
"General","01","0101","01","0101254","254","0101254-04","F","YES"
"General","01","0101","01","0101254","254","0101254-05","F","YES"
"General","01","0101","01","0101255","255","0101255-01","M","YES"
"General","01","0101","01","0101255","255","0101255-02","M","YES"
"General","01","0101","01","0101255","255","0101255-03","F","YES"
"General","01","0101","01","0101255","255","0101255-04","F","YES"
"General","01","0101","01","0101256","256","0101256-02","M","YES"
"General","01","0101","01","0101257","257","0101257-02","F","YES"
"General","01","0101","01","0101257","257","0101257-03","F","YES"
"General","01","0101","01","0101258","258","0101258-01","M","YES"
"General","01","0101","01","0101258","258","0101258-02","M","YES"
"General","01","0101","01","0101258","258","0101258-03","M","YES"
"General","01","0101","01","0101258","258","0101258-04","M","YES"
"General","01","0101","01","0101258","258","0101258-05","M","YES"
"General","01","0101","01","0101258","258","0101258-06","M","YES"
"General","01","0101","01","0101258","258","0101258-07","M","YES"
"General","01","0101","01","0101258","258","0101258-08","F","YES"
"General","01","0101","01","0101258","258","0101258-09","F","YES"
"General","01","0101","01","0101258","258","0101258-10","F","YES"
"General","01","0101","01","0101258","258","0101258-11","F","YES"
"General","01","0101","01","0101259","259","0101259-01","M","YES"
"General","01","0101","01","0101259","259","0101259-02","M","YES"
"General","01","0101","01","0101259","259","0101259-03","M","YES"
"General","01","0101","01","0101259","259","0101259-04","F","YES"
"General","01","0101","01","0101259","259","0101259-05","F","YES"
"General","01","0101","01","0101260","260","0101260-01","M","YES"
"General","01","0101","01","0101260","260","0101260-02","F","YES"
"General","01","0101","01","0101261","261","0101261-01","M","YES"
"General","01","0101","01","0101261","261","0101261-03","M","YES"
"General","01","0101","01","0101261","261","0101261-04","F","YES"
"General","01","0101","01","0101261","261","0101261-05","F","YES"
"General","01","0101","01","0101262","262","0101262-01","M","YES"
"General","01","0101","01","0101262","262","0101262-02","F","YES"
"General","01","0101","01","0101263","263","0101263-01","M","YES"
"General","01","0101","01","0101263","263","0101263-03","M","YES"
"General","01","0101","01","0101263","263","0101263-04","M","YES"
"General","01","0101","01","0101263","263","0101263-05","M","YES"
"General","01","0101","01","0101263","263","0101263-06","F","YES"
"General","01","0101","01","0101263","263","0101263-07","F","YES"
"General","01","0101","01","0101264","264","0101264-01","M","YES"
"General","01","0101","01","0101264","264","0101264-02","M","YES"
"General","01","0101","01","0101264","264","0101264-03","M","YES"
"General","01","0101","01","0101264","264","0101264-04","F","YES"
"General","01","0101","01","0101264","264","0101264-05","F","YES"
"General","01","0101","01","0101265","265","0101265-01","M","YES"
"General","01","0101","01","0101265","265","0101265-02","F","YES"
"General","01","0101","01","0101266","266","0101266-01","M","YES"
"General","01","0101","01","0101266","266","0101266-02","M","YES"
"General","01","0101","01","0101266","266","0101266-03","M","YES"
"General","01","0101","01","0101266","266","0101266-04","F","YES"
"General","01","0101","01","0101266","266","0101266-05","F","YES"
"General","01","0101","01","0101267","267","0101267-01","M","YES"
"General","01","0101","01","0101267","267","0101267-02","M","YES"
"General","01","0101","01","0101267","267","0101267-03","M","YES"
"General","01","0101","01","0101267","267","0101267-04","M","YES"
"General","01","0101","01","0101267","267","0101267-05","F","YES"
"General","01","0101","01","0101267","267","0101267-06","F","YES"
"General","01","0101","01","0101268","268","0101268-01","M","YES"
"General","01","0101","01","0101268","268","0101268-02","M","YES"
"General","01","0101","01","0101268","268","0101268-03","M","YES"
"General","01","0101","01","0101268","268","0101268-04","F","YES"
"General","01","0101","01","0101268","268","0101268-05","F","YES"
"General","01","0101","01","0101269","269","0101269-01","M","YES"
"General","01","0101","01","0101269","269","0101269-02","M","YES"
"General","01","0101","01","0101269","269","0101269-03","M","YES"
"General","01","0101","01","0101269","269","0101269-04","F","YES"
"General","01","0101","01","0101269","269","0101269-05","F","YES"
"General","01","0101","01","0101270","270","0101270-01","M","YES"
"General","01","0101","01","0101270","270","0101270-02","M","YES"
"General","01","0101","01","0101270","270","0101270-03","M","YES"
"General","01","0101","01","0101270","270","0101270-04","F","YES"
"General","01","0101","01","0101270","270","0101270-05","F","YES"
"General","01","0101","01","0101271","271","0101271-01","M","YES"
"General","01","0101","01","0101271","271","0101271-02","M","YES"
"General","01","0101","01","0101271","271","0101271-03","M","YES"
"General","01","0101","01","0101271","271","0101271-04","F","YES"
"General","01","0101","01","0101271","271","0101271-05","F","YES"
"General","01","0101","01","0101272","272","0101272-01","M","YES"
"General","01","0101","01","0101272","272","0101272-02","F","YES"
"General","01","0101","01","0101273","273","0101273-01","M","YES"
"General","01","0101","01","0101273","273","0101273-02","M","YES"
"General","01","0101","01","0101273","273","0101273-03","M","YES"
"General","01","0101","01","0101273","273","0101273-04","M","YES"
"General","01","0101","01","0101273","273","0101273-05","M","YES"
"General","01","0101","01","0101273","273","0101273-06","M","YES"
"General","01","0101","01","0101273","273","0101273-07","F","YES"
"General","01","0101","01","0101273","273","0101273-08","F","YES"
"General","01","0101","01","0101273","273","0101273-09","F","YES"
"General","01","0101","01","0101274","274","0101274-01","M","YES"
"General","01","0101","01","0101274","274","0101274-02","F","YES"
"General","01","0101","01","0101275","275","0101275-01","M","YES"
"General","01","0101","01","0101275","275","0101275-02","M","YES"
"General","01","0101","01","0101275","275","0101275-03","F","YES"
"General","01","0101","01","0101275","275","0101275-04","F","YES"
"General","01","0101","01","0101276","276","0101276-01","M","YES"
"General","01","0101","01","0101276","276","0101276-02","F","YES"
"General","01","0101","01","0101277","277","0101277-01","M","YES"
"General","01","0101","01","0101277","277","0101277-02","M","YES"
"General","01","0101","01","0101277","277","0101277-03","F","YES"
"General","01","0101","01","0101278","278","0101278-01","M","YES"
"General","01","0101","01","0101278","278","0101278-02","M","YES"
"General","01","0101","01","0101278","278","0101278-03","M","YES"
"General","01","0101","01","0101278","278","0101278-04","M","YES"
"General","01","0101","01","0101278","278","0101278-05","F","YES"
"General","01","0101","01","0101278","278","0101278-06","F","YES"
"General","01","0101","01","0101279","279","0101279-01","M","YES"
"General","01","0101","01","0101279","279","0101279-02","M","YES"
"General","01","0101","01","0101279","279","0101279-03","M","YES"
"General","01","0101","01","0101279","279","0101279-04","M","YES"
"General","01","0101","01","0101279","279","0101279-05","F","YES"
"General","01","0101","01","0101279","279","0101279-06","F","YES"
"General","01","0101","01","0101280","280","0101280-01","M","YES"
"General","01","0101","01","0101280","280","0101280-02","M","YES"
"General","01","0101","01","0101280","280","0101280-03","F","YES"
"General","01","0101","01","0101280","280","0101280-04","F","YES"
"General","01","0101","01","0101281","281","0101281-01","M","YES"
"General","01","0101","01","0101281","281","0101281-02","M","YES"
"General","01","0101","01","0101281","281","0101281-03","M","YES"
"General","01","0101","01","0101281","281","0101281-04","F","YES"
"General","01","0101","01","0101281","281","0101281-05","F","YES"
"General","01","0101","01","0101282","282","0101282-01","M","YES"
"General","01","0101","01","0101282","282","0101282-02","M","YES"
"General","01","0101","01","0101282","282","0101282-03","M","YES"
"General","01","0101","01","0101282","282","0101282-04","F","YES"
"General","01","0101","01","0101282","282","0101282-05","F","YES"
"General","01","0101","01","0101283","283","0101283-01","M","YES"
"General","01","0101","01","0101283","283","0101283-02","M","YES"
"General","01","0101","01","0101283","283","0101283-03","M","YES"
"General","01","0101","01","0101283","283","0101283-04","F","YES"
"General","01","0101","01","0101283","283","0101283-05","F","YES"
"General","01","0101","01","0101284","284","0101284-01","M","YES"
"General","01","0101","01","0101284","284","0101284-02","M","YES"
"General","01","0101","01","0101284","284","0101284-03","F","YES"
"General","01","0101","01","0101284","284","0101284-04","F","YES"
"General","01","0101","01","0101285","285","0101285-01","M","YES"
"General","01","0101","01","0101285","285","0101285-02","F","YES"
"General","01","0101","01","0101286","286","0101286-01","M","YES"
"General","01","0101","01","0101286","286","0101286-02","M","YES"
"General","01","0101","01","0101286","286","0101286-03","F","YES"
"General","01","0101","01","0101286","286","0101286-04","F","YES"
"General","01","0101","01","0101287","287","0101287-01","M","YES"
"General","01","0101","01","0101287","287","0101287-02","F","YES"
"General","01","0101","01","0101288","288","0101288-01","M","YES"
"General","01","0101","01","0101288","288","0101288-02","M","YES"
"General","01","0101","01","0101288","288","0101288-03","M","YES"
"General","01","0101","01","0101288","288","0101288-04","F","YES"
"General","01","0101","01","0101288","288","0101288-05","F","YES"
"General","01","0101","01","0101289","289","0101289-01","M","YES"
"General","01","0101","01","0101289","289","0101289-02","M","YES"
"General","01","0101","01","0101289","289","0101289-03","M","YES"
"General","01","0101","01","0101289","289","0101289-04","M","YES"
"General","01","0101","01","0101289","289","0101289-05","M","YES"
"General","01","0101","01","0101289","289","0101289-06","F","YES"
"General","01","0101","01","0101289","289","0101289-07","F","YES"
"General","01","0101","01","0101290","290","0101290-01","M","YES"
"General","01","0101","01","0101290","290","0101290-02","M","YES"
"General","01","0101","01","0101290","290","0101290-03","M","YES"
"General","01","0101","01","0101290","290","0101290-04","F","YES"
"General","01","0101","01","0101290","290","0101290-05","F","YES"
"General","01","0101","01","0101291","291","0101291-01","M","YES"
"General","01","0101","01","0101291","291","0101291-02","M","YES"
"General","01","0101","01","0101291","291","0101291-03","M","YES"
"General","01","0101","01","0101291","291","0101291-04","M","YES"
"General","01","0101","01","0101291","291","0101291-05","F","YES"
"General","01","0101","01","0101291","291","0101291-06","F","YES"
"General","01","0101","01","0101292","292","0101292-01","M","YES"
"General","01","0101","01","0101292","292","0101292-02","M","YES"
"General","01","0101","01","0101292","292","0101292-03","M","YES"
"General","01","0101","01","0101292","292","0101292-04","F","YES"
"General","01","0101","01","0101292","292","0101292-05","F","YES"
"General","01","0101","01","0101293","293","0101293-01","M","YES"
"General","01","0101","01","0101293","293","0101293-02","M","YES"
"General","01","0101","01","0101293","293","0101293-03","M","YES"
"General","01","0101","01","0101293","293","0101293-04","M","YES"
"General","01","0101","01","0101293","293","0101293-05","M","YES"
"General","01","0101","01","0101293","293","0101293-06","M","YES"
"General","01","0101","01","0101293","293","0101293-07","F","YES"
"General","01","0101","01","0101293","293","0101293-08","F","YES"
"General","01","0101","01","0101294","294","0101294-01","M","YES"
"General","01","0101","01","0101294","294","0101294-02","M","YES"
"General","01","0101","01","0101294","294","0101294-03","M","YES"
"General","01","0101","01","0101294","294","0101294-04","M","YES"
"General","01","0101","01","0101294","294","0101294-05","M","YES"
"General","01","0101","01","0101294","294","0101294-06","M","YES"
"General","01","0101","01","0101294","294","0101294-07","F","YES"
"General","01","0101","01","0101294","294","0101294-08","F","YES"
"General","01","0101","01","0101295","295","0101295-01","M","YES"
"General","01","0101","01","0101295","295","0101295-02","M","YES"
"General","01","0101","01","0101295","295","0101295-03","M","YES"
"General","01","0101","01","0101295","295","0101295-04","M","YES"
"General","01","0101","01","0101295","295","0101295-05","F","YES"
"General","01","0101","01","0101295","295","0101295-06","F","YES"
"General","01","0101","01","0101296","296","0101296-01","M","YES"
"General","01","0101","01","0101296","296","0101296-02","M","YES"
"General","01","0101","01","0101296","296","0101296-03","M","YES"
"General","01","0101","01","0101296","296","0101296-04","M","YES"
"General","01","0101","01","0101296","296","0101296-05","F","YES"
"General","01","0101","01","0101296","296","0101296-06","F","YES"
"General","01","0101","01","0101297","297","0101297-01","M","YES"
"General","01","0101","01","0101297","297","0101297-02","M","YES"
"General","01","0101","01","0101297","297","0101297-03","M","YES"
"General","01","0101","01","0101297","297","0101297-04","M","YES"
"General","01","0101","01","0101297","297","0101297-05","F","YES"
"General","01","0101","01","0101297","297","0101297-06","F","YES"
"General","01","0101","01","0101298","298","0101298-01","M","YES"
"General","01","0101","01","0101298","298","0101298-02","M","YES"
"General","01","0101","01","0101298","298","0101298-03","M","YES"
"General","01","0101","01","0101298","298","0101298-04","M","YES"
"General","01","0101","01","0101298","298","0101298-05","M","YES"
"General","01","0101","01","0101298","298","0101298-06","F","YES"
"General","01","0101","01","0101298","298","0101298-07","F","YES"
"General","01","0101","01","0101299","299","0101299-01","M","YES"
"General","01","0101","01","0101299","299","0101299-02","M","YES"
"General","01","0101","01","0101299","299","0101299-03","F","YES"
"General","01","0101","01","0101299","299","0101299-04","F","YES"
"General","01","0101","01","0101300","300","0101300-01","M","YES"
"General","01","0101","01","0101300","300","0101300-02","M","YES"
"General","01","0101","01","0101300","300","0101300-03","F","YES"
"General","01","0101","01","0101300","300","0101300-04","F","YES"
"General","01","0101","01","0101301","301","0101301-01","M","YES"
"General","01","0101","01","0101301","301","0101301-02","M","YES"
"General","01","0101","01","0101301","301","0101301-03","M","YES"
"General","01","0101","01","0101301","301","0101301-04","F","YES"
"General","01","0101","01","0101301","301","0101301-05","F","YES"
"General","01","0101","01","0101302","302","0101302-01","M","YES"
"General","01","0101","01","0101302","302","0101302-02","M","YES"
"General","01","0101","01","0101302","302","0101302-03","M","YES"
"General","01","0101","01","0101302","302","0101302-04","F","YES"
"General","01","0101","01","0101302","302","0101302-05","F","YES"
"General","01","0101","01","0101303","303","0101303-01","M","YES"
"General","01","0101","01","0101303","303","0101303-02","M","YES"
"General","01","0101","01","0101303","303","0101303-03","M","YES"
"General","01","0101","01","0101303","303","0101303-04","M","YES"
"General","01","0101","01","0101303","303","0101303-05","M","YES"
"General","01","0101","01","0101303","303","0101303-06","M","YES"
"General","01","0101","01","0101303","303","0101303-07","F","YES"
"General","01","0101","01","0101303","303","0101303-08","F","YES"
"General","01","0101","01","0101304","304","0101304-01","M","YES"
"General","01","0101","01","0101304","304","0101304-02","M","YES"
"General","01","0101","01","0101304","304","0101304-03","M","YES"
"General","01","0101","01","0101304","304","0101304-04","F","YES"
"General","01","0101","01","0101304","304","0101304-05","F","YES"
"General","01","0101","01","0101305","305","0101305-01","M","YES"
"General","01","0101","01","0101305","305","0101305-02","M","YES"
"General","01","0101","01","0101305","305","0101305-04","F","YES"
"General","01","0101","01","0101306","306","0101306-01","M","YES"
"General","01","0101","01","0101306","306","0101306-02","M","YES"
"General","01","0101","01","0101306","306","0101306-03","M","YES"
"General","01","0101","01","0101306","306","0101306-04","M","YES"
"General","01","0101","01","0101306","306","0101306-05","F","YES"
"General","01","0101","01","0101306","306","0101306-06","F","YES"
"General","01","0101","01","0101307","307","0101307-01","M","YES"
"General","01","0101","01","0101307","307","0101307-02","M","YES"
"General","01","0101","01","0101307","307","0101307-03","F","YES"
"General","01","0101","01","0101307","307","0101307-04","F","YES"
"General","01","0101","01","0101308","308","0101308-01","M","YES"
"General","01","0101","01","0101308","308","0101308-02","M","YES"
"General","01","0101","01","0101308","308","0101308-03","F","YES"
"General","01","0101","01","0101308","308","0101308-04","F","YES"
"General","01","0101","01","0101309","309","0101309-01","M","YES"
"General","01","0101","01","0101309","309","0101309-02","M","YES"
"General","01","0101","01","0101309","309","0101309-03","F","YES"
"General","01","0101","01","0101309","309","0101309-04","F","YES"
"General","01","0101","01","0101310","310","0101310-01","M","YES"
"General","01","0101","01","0101310","310","0101310-02","M","YES"
"General","01","0101","01","0101310","310","0101310-03","F","YES"
"General","01","0101","01","0101310","310","0101310-04","F","YES"
"General","01","0101","01","0101311","311","0101311-01","M","YES"
"General","01","0101","01","0101311","311","0101311-02","M","YES"
"General","01","0101","01","0101311","311","0101311-03","F","YES"
"General","01","0101","01","0101311","311","0101311-04","F","YES"
"General","01","0101","01","0101312","312","0101312-01","M","YES"
"General","01","0101","01","0101312","312","0101312-02","M","YES"
"General","01","0101","01","0101312","312","0101312-03","M","YES"
"General","01","0101","01","0101312","312","0101312-04","M","YES"
"General","01","0101","01","0101312","312","0101312-05","M","YES"
"General","01","0101","01","0101312","312","0101312-06","F","YES"
"General","01","0101","01","0101312","312","0101312-07","F","YES"
"General","01","0101","01","0101313","313","0101313-01","M","YES"
"General","01","0101","01","0101313","313","0101313-02","M","YES"
"General","01","0101","01","0101313","313","0101313-03","M","YES"
"General","01","0101","01","0101313","313","0101313-04","F","YES"
"General","01","0101","01","0101313","313","0101313-05","F","YES"
"General","01","0101","01","0101314","314","0101314-01","M","YES"
"General","01","0101","01","0101314","314","0101314-02","M","YES"
"General","01","0101","01","0101314","314","0101314-03","M","YES"
"General","01","0101","01","0101314","314","0101314-04","M","YES"
"General","01","0101","01","0101314","314","0101314-05","M","YES"
"General","01","0101","01","0101314","314","0101314-07","F","YES"
"General","01","0101","01","0101314","314","0101314-08","F","YES"
"General","01","0101","01","0101315","315","0101315-01","M","YES"
"General","01","0101","01","0101315","315","0101315-02","M","YES"
"General","01","0101","01","0101315","315","0101315-03","F","YES"
"General","01","0101","01","0101316","316","0101316-01","M","YES"
"General","01","0101","01","0101316","316","0101316-02","M","YES"
"General","01","0101","01","0101316","316","0101316-03","M","YES"
"General","01","0101","01","0101316","316","0101316-04","F","YES"
"General","01","0101","01","0101316","316","0101316-05","F","YES"
"General","01","0101","01","0101317","317","0101317-01","M","YES"
"General","01","0101","01","0101317","317","0101317-02","M","YES"
"General","01","0101","01","0101317","317","0101317-03","M","YES"
"General","01","0101","01","0101317","317","0101317-04","M","YES"
"General","01","0101","01","0101317","317","0101317-05","F","YES"
"General","01","0101","01","0101317","317","0101317-06","F","YES"
"General","01","0101","01","0101317","317","0101317-07","F","YES"
"General","01","0101","01","0101318","318","0101318-01","M","YES"
"General","01","0101","01","0101318","318","0101318-02","M","YES"
"General","01","0101","01","0101318","318","0101318-03","M","YES"
"General","01","0101","01","0101318","318","0101318-04","M","YES"
"General","01","0101","01","0101318","318","0101318-05","F","YES"
"General","01","0101","01","0101318","318","0101318-06","F","YES"
"General","01","0101","01","0101318","318","0101318-07","F","YES"
"General","01","0101","01","0101319","319","0101319-01","M","YES"
"General","01","0101","01","0101319","319","0101319-02","M","YES"
"General","01","0101","01","0101319","319","0101319-03","M","YES"
"General","01","0101","01","0101319","319","0101319-04","M","YES"
"General","01","0101","01","0101319","319","0101319-05","M","YES"
"General","01","0101","01","0101319","319","0101319-06","F","YES"
"General","01","0101","01","0101319","319","0101319-07","F","YES"
"General","01","0101","01","0101320","320","0101320-01","M","YES"
"General","01","0101","01","0101320","320","0101320-02","M","YES"
"General","01","0101","01","0101320","320","0101320-03","F","YES"
"General","01","0101","01","0101321","321","0101321-01","M","YES"
"General","01","0101","01","0101321","321","0101321-02","M","YES"
"General","01","0101","01","0101321","321","0101321-03","M","YES"
"General","01","0101","01","0101321","321","0101321-04","F","YES"
"General","01","0101","01","0101321","321","0101321-05","F","YES"
"General","01","0101","01","0101322","322","0101322-01","M","YES"
"General","01","0101","01","0101322","322","0101322-02","F","YES"
"General","01","0101","01","0101323","323","0101323-01","M","YES"
"General","01","0101","01","0101323","323","0101323-02","M","YES"
"General","01","0101","01","0101323","323","0101323-03","F","YES"
"General","01","0101","01","0101323","323","0101323-04","F","YES"
"General","01","0101","01","0101324","324","0101324-01","M","YES"
"General","01","0101","01","0101324","324","0101324-02","M","YES"
"General","01","0101","01","0101324","324","0101324-03","F","YES"
"General","01","0101","01","0101325","325","0101325-01","M","YES"
"General","01","0101","01","0101325","325","0101325-02","M","YES"
"General","01","0101","01","0101325","325","0101325-03","M","YES"
"General","01","0101","01","0101325","325","0101325-04","F","YES"
"General","01","0101","01","0101326","326","0101326-01","M","YES"
"General","01","0101","01","0101326","326","0101326-02","M","YES"
"General","01","0101","01","0101326","326","0101326-03","M","YES"
"General","01","0101","01","0101326","326","0101326-04","M","YES"
"General","01","0101","01","0101326","326","0101326-05","F","YES"
"General","01","0101","01","0101326","326","0101326-06","F","YES"
"General","01","0101","01","0101327","327","0101327-01","M","YES"
"General","01","0101","01","0101327","327","0101327-02","M","YES"
"General","01","0101","01","0101327","327","0101327-03","M","YES"
"General","01","0101","01","0101327","327","0101327-04","M","YES"
"General","01","0101","01","0101327","327","0101327-05","M","YES"
"General","01","0101","01","0101327","327","0101327-06","F","YES"
"General","01","0101","01","0101327","327","0101327-07","F","YES"
"General","01","0101","01","0101328","328","0101328-01","M","YES"
"General","01","0101","01","0101328","328","0101328-02","M","YES"
"General","01","0101","01","0101328","328","0101328-04","M","YES"
"General","01","0101","01","0101328","328","0101328-06","F","YES"
"General","01","0101","01","0101328","328","0101328-07","F","YES"
"General","01","0101","01","0101329","329","0101329-01","M","YES"
"General","01","0101","01","0101329","329","0101329-02","M","YES"
"General","01","0101","01","0101329","329","0101329-03","M","YES"
"General","01","0101","01","0101329","329","0101329-04","M","YES"
"General","01","0101","01","0101329","329","0101329-05","F","YES"
"General","01","0101","01","0101329","329","0101329-06","F","YES"
"General","01","0101","01","0101330","330","0101330-01","M","YES"
"General","01","0101","01","0101330","330","0101330-02","M","YES"
"General","01","0101","01","0101330","330","0101330-03","M","YES"
"General","01","0101","01","0101330","330","0101330-04","M","YES"
"General","01","0101","01","0101330","330","0101330-05","F","YES"
"General","01","0101","01","0101330","330","0101330-06","F","YES"
"General","01","0101","01","0101331","331","0101331-01","M","YES"
"General","01","0101","01","0101331","331","0101331-02","M","YES"
"General","01","0101","01","0101331","331","0101331-03","F","YES"
"General","01","0101","01","0101331","331","0101331-04","F","YES"
"General","01","0101","01","0101332","332","0101332-01","M","YES"
"General","01","0101","01","0101332","332","0101332-02","M","YES"
"General","01","0101","01","0101332","332","0101332-03","F","YES"
"General","01","0101","01","0101488","488","0101488-01","M","YES"
"General","01","0101","01","0101488","488","0101488-02","F","YES"
"General","01","0101","01","0101489","489","0101489-01","M","YES"
"General","01","0101","01","0101489","489","0101489-02","M","YES"
"General","01","0101","01","0101489","489","0101489-04","M","YES"
"General","01","0101","01","0101489","489","0101489-05","F","YES"
"General","01","0101","01","0101489","489","0101489-06","F","YES"
"General","01","0101","01","0101490","490","0101490-01","M","YES"
"General","01","0101","01","0101490","490","0101490-02","M","YES"
"General","01","0101","01","0101490","490","0101490-03","M","YES"
