"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101026","026","0101026-01","M","YES"
"General","01","0101","01","0101026","026","0101026-02","F","YES"
"General","01","0101","01","0101028","028","0101028-01","M","YES"
"General","01","0101","01","0101028","028","0101028-02","M","YES"
"General","01","0101","01","0101028","028","0101028-03","M","YES"
"General","01","0101","01","0101028","028","0101028-04","M","YES"
"General","01","0101","01","0101028","028","0101028-05","F","YES"
"General","01","0101","01","0101028","028","0101028-06","F","YES"
"General","01","0101","01","0101028","028","0101028-07","F","YES"
"General","01","0101","01","0101029","029","0101029-01","M","YES"
"General","01","0101","01","0101029","029","0101029-02","M","YES"
"General","01","0101","01","0101029","029","0101029-03","M","YES"
"General","01","0101","01","0101029","029","0101029-04","F","YES"
"General","01","0101","01","0101029","029","0101029-05","F","YES"
"General","01","0101","01","0101030","030","0101030-01","M","YES"
"General","01","0101","01","0101030","030","0101030-02","F","YES"
"General","01","0101","01","0101031","031","0101031-01","M","YES"
"General","01","0101","01","0101031","031","0101031-02","F","YES"
"General","01","0101","01","0101032","032","0101032-01","M","YES"
"General","01","0101","01","0101032","032","0101032-02","M","YES"
"General","01","0101","01","0101032","032","0101032-03","M","YES"
"General","01","0101","01","0101032","032","0101032-04","M","YES"
"General","01","0101","01","0101032","032","0101032-05","F","YES"
"General","01","0101","01","0101032","032","0101032-06","F","YES"
"General","01","0101","01","0101033","033","0101033-01","M","YES"
"General","01","0101","01","0101033","033","0101033-02","M","YES"
"General","01","0101","01","0101033","033","0101033-03","M","YES"
"General","01","0101","01","0101033","033","0101033-04","M","YES"
"General","01","0101","01","0101033","033","0101033-05","F","YES"
"General","01","0101","01","0101033","033","0101033-06","F","YES"
"General","01","0101","01","0101033","033","0101033-07","F","YES"
"General","01","0101","01","0101034","034","0101034-01","M","YES"
"General","01","0101","01","0101034","034","0101034-02","M","YES"
"General","01","0101","01","0101034","034","0101034-03","M","YES"
"General","01","0101","01","0101034","034","0101034-04","M","YES"
"General","01","0101","01","0101034","034","0101034-05","F","YES"
"General","01","0101","01","0101034","034","0101034-06","F","YES"
"General","01","0101","01","0101034","034","0101034-07","F","YES"
"General","01","0101","01","0101035","035","0101035-01","M","YES"
"General","01","0101","01","0101035","035","0101035-02","M","YES"
"General","01","0101","01","0101035","035","0101035-03","M","YES"
"General","01","0101","01","0101035","035","0101035-04","M","YES"
"General","01","0101","01","0101035","035","0101035-05","M","YES"
"General","01","0101","01","0101035","035","0101035-06","F","YES"
"General","01","0101","01","0101035","035","0101035-07","F","YES"
"General","01","0101","01","0101035","035","0101035-08","F","YES"
"General","01","0101","01","0101036","036","0101036-01","M","YES"
"General","01","0101","01","0101036","036","0101036-02","M","YES"
"General","01","0101","01","0101036","036","0101036-03","M","YES"
"General","01","0101","01","0101036","036","0101036-04","M","YES"
"General","01","0101","01","0101036","036","0101036-05","F","YES"
"General","01","0101","01","0101036","036","0101036-06","F","YES"
"General","01","0101","01","0101036","036","0101036-07","F","YES"
"General","01","0101","01","0101037","037","0101037-01","M","YES"
"General","01","0101","01","0101037","037","0101037-02","M","YES"
"General","01","0101","01","0101037","037","0101037-03","M","YES"
"General","01","0101","01","0101037","037","0101037-04","F","YES"
"General","01","0101","01","0101037","037","0101037-05","F","YES"
"General","01","0101","01","0101038","038","0101038-01","M","YES"
"General","01","0101","01","0101038","038","0101038-02","M","YES"
"General","01","0101","01","0101038","038","0101038-03","M","YES"
"General","01","0101","01","0101038","038","0101038-04","F","YES"
"General","01","0101","01","0101038","038","0101038-05","F","YES"
"General","01","0101","01","0101039","039","0101039-01","M","YES"
"General","01","0101","01","0101039","039","0101039-02","M","YES"
"General","01","0101","01","0101039","039","0101039-03","M","YES"
"General","01","0101","01","0101039","039","0101039-04","F","YES"
"General","01","0101","01","0101039","039","0101039-05","F","YES"
"General","01","0101","01","0101040","040","0101040-01","M","YES"
"General","01","0101","01","0101040","040","0101040-02","M","YES"
"General","01","0101","01","0101040","040","0101040-03","M","YES"
"General","01","0101","01","0101040","040","0101040-04","F","YES"
"General","01","0101","01","0101040","040","0101040-05","F","YES"
"General","01","0101","01","0101041","041","0101041-01","M","YES"
"General","01","0101","01","0101041","041","0101041-02","M","YES"
"General","01","0101","01","0101041","041","0101041-03","F","YES"
"General","01","0101","01","0101042","042","0101042-01","M","YES"
"General","01","0101","01","0101042","042","0101042-02","F","YES"
"General","01","0101","01","0101043","043","0101043-01","M","YES"
"General","01","0101","01","0101043","043","0101043-02","M","YES"
"General","01","0101","01","0101043","043","0101043-03","F","YES"
"General","01","0101","01","0101044","044","0101044-01","M","YES"
"General","01","0101","01","0101044","044","0101044-02","M","YES"
"General","01","0101","01","0101044","044","0101044-03","M","YES"
"General","01","0101","01","0101044","044","0101044-04","F","YES"
"General","01","0101","01","0101044","044","0101044-05","F","YES"
"General","01","0101","01","0101045","045","0101045-01","M","YES"
"General","01","0101","01","0101045","045","0101045-02","M","YES"
"General","01","0101","01","0101045","045","0101045-03","M","YES"
"General","01","0101","01","0101045","045","0101045-04","F","YES"
"General","01","0101","01","0101045","045","0101045-05","F","YES"
"General","01","0101","01","0101046","046","0101046-01","M","YES"
"General","01","0101","01","0101046","046","0101046-02","M","YES"
"General","01","0101","01","0101046","046","0101046-03","F","YES"
"General","01","0101","01","0101046","046","0101046-04","F","YES"
"General","01","0101","01","0101047","047","0101047-01","M","YES"
"General","01","0101","01","0101047","047","0101047-02","M","YES"
"General","01","0101","01","0101047","047","0101047-03","M","YES"
"General","01","0101","01","0101047","047","0101047-04","F","YES"
"General","01","0101","01","0101047","047","0101047-05","F","YES"
"General","01","0101","01","0101048","048","0101048-01","M","YES"
"General","01","0101","01","0101048","048","0101048-02","M","YES"
"General","01","0101","01","0101048","048","0101048-03","M","YES"
"General","01","0101","01","0101048","048","0101048-04","F","YES"
"General","01","0101","01","0101048","048","0101048-05","F","YES"
"General","01","0101","01","0101049","049","0101049-01","M","YES"
"General","01","0101","01","0101049","049","0101049-02","M","YES"
"General","01","0101","01","0101049","049","0101049-03","M","YES"
"General","01","0101","01","0101049","049","0101049-04","M","YES"
"General","01","0101","01","0101049","049","0101049-05","F","YES"
