"province_code","district_code","pc_code","ps_code","ps_number","ps_station_type"
"01","0101","0101035","0101035-06","06","F"
"01","0101","0101035","0101035-07","07","F"
"01","0101","0101035","0101035-08","08","F"
"01","0101","0101036","0101036-01","01","M"
"01","0101","0101036","0101036-02","02","M"
"01","0101","0101036","0101036-03","03","M"
"01","0101","0101036","0101036-04","04","M"
"01","0101","0101036","0101036-05","05","F"
"01","0101","0101036","0101036-06","06","F"
"01","0101","0101036","0101036-07","07","F"
"01","0101","0101037","0101037-01","01","M"
"01","0101","0101037","0101037-02","02","M"
"01","0101","0101037","0101037-03","03","M"
"01","0101","0101037","0101037-04","04","F"
"01","0101","0101037","0101037-05","05","F"
"01","0101","0101038","0101038-01","01","M"
"01","0101","0101038","0101038-02","02","M"
"01","0101","0101038","0101038-03","03","M"
"01","0101","0101038","0101038-04","04","F"
"01","0101","0101038","0101038-05","05","F"
"01","0101","0101039","0101039-01","01","M"
"01","0101","0101039","0101039-02","02","M"
"01","0101","0101039","0101039-03","03","M"
"01","0101","0101039","0101039-04","04","F"
"01","0101","0101039","0101039-05","05","F"
"01","0101","0101040","0101040-01","01","M"
"01","0101","0101040","0101040-02","02","M"
"01","0101","0101040","0101040-03","03","M"
"01","0101","0101040","0101040-04","04","F"
"01","0101","0101040","0101040-05","05","F"
"01","0101","0101041","0101041-01","01","M"
"01","0101","0101041","0101041-02","02","M"
"01","0101","0101041","0101041-03","03","F"
"01","0101","0101042","0101042-01","01","M"
"01","0101","0101042","0101042-02","02","F"
"01","0101","0101043","0101043-01","01","M"
"01","0101","0101043","0101043-02","02","M"
"01","0101","0101043","0101043-03","03","F"
"01","0101","0101044","0101044-01","01","M"
"01","0101","0101044","0101044-02","02","M"
"01","0101","0101044","0101044-03","03","M"
"01","0101","0101044","0101044-04","04","F"
"01","0101","0101044","0101044-05","05","F"
"01","0101","0101045","0101045-01","01","M"
"01","0101","0101045","0101045-02","02","M"
"01","0101","0101045","0101045-03","03","M"
"01","0101","0101045","0101045-04","04","F"
"01","0101","0101045","0101045-05","05","F"
"01","0101","0101046","0101046-01","01","M"
"01","0101","0101046","0101046-02","02","M"
"01","0101","0101046","0101046-03","03","F"
"01","0101","0101046","0101046-04","04","F"
"01","0101","0101047","0101047-01","01","M"
"01","0101","0101047","0101047-02","02","M"
"01","0101","0101047","0101047-03","03","M"
"01","0101","0101047","0101047-04","04","F"
"01","0101","0101047","0101047-05","05","F"
"01","0101","0101048","0101048-01","01","M"
"01","0101","0101048","0101048-02","02","M"
"01","0101","0101048","0101048-03","03","M"
"01","0101","0101048","0101048-04","04","F"
"01","0101","0101048","0101048-05","05","F"
"01","0101","0101049","0101049-01","01","M"
"01","0101","0101049","0101049-02","02","M"
"01","0101","0101049","0101049-03","03","M"
"01","0101","0101049","0101049-04","04","M"
"01","0101","0101049","0101049-05","05","F"
"01","0101","0101050","0101050-01","01","M"
"01","0101","0101050","0101050-02","02","M"
"01","0101","0101050","0101050-03","03","M"
"01","0101","0101050","0101050-04","04","M"
"01","0101","0101050","0101050-05","05","F"
"01","0101","0101050","0101050-06","06","F"
"01","0101","0101050","0101050-07","07","F"
"01","0101","0101050","0101050-08","08","K"
"01","0101","0101051","0101051-01","01","M"
"01","0101","0101051","0101051-02","02","M"
"01","0101","0101051","0101051-03","03","M"
"01","0101","0101051","0101051-04","04","F"
"01","0101","0101051","0101051-05","05","F"
"01","0101","0101052","0101052-01","01","M"
"01","0101","0101052","0101052-02","02","M"
"01","0101","0101052","0101052-03","03","F"
"01","0101","0101053","0101053-01","01","M"
"01","0101","0101053","0101053-02","02","M"
"01","0101","0101053","0101053-03","03","M"
"01","0101","0101053","0101053-04","04","M"
"01","0101","0101053","0101053-05","05","M"
"01","0101","0101053","0101053-06","06","M"
"01","0101","0101053","0101053-07","07","F"
"01","0101","0101053","0101053-08","08","F"
"01","0101","0101054","0101054-01","01","M"
"01","0101","0101054","0101054-02","02","M"
"01","0101","0101054","0101054-03","03","M"
"01","0101","0101054","0101054-04","04","M"
"01","0101","0101054","0101054-05","05","F"
"01","0101","0101054","0101054-06","06","F"
"01","0101","0101055","0101055-01","01","M"
"01","0101","0101055","0101055-02","02","M"
"01","0101","0101055","0101055-03","03","M"
"01","0101","0101055","0101055-04","04","M"
"01","0101","0101055","0101055-05","05","F"
"01","0101","0101055","0101055-06","06","F"
"01","0101","0101056","0101056-01","01","M"
"01","0101","0101056","0101056-02","02","M"
"01","0101","0101056","0101056-03","03","M"
"01","0101","0101056","0101056-04","04","M"
"01","0101","0101056","0101056-05","05","F"
"01","0101","0101056","0101056-06","06","F"
"01","0101","0101057","0101057-01","01","M"
"01","0101","0101057","0101057-02","02","M"
"01","0101","0101057","0101057-03","03","M"
"01","0101","0101057","0101057-04","04","M"
"01","0101","0101057","0101057-05","05","M"
"01","0101","0101057","0101057-06","06","F"
"01","0101","0101057","0101057-07","07","F"
"01","0101","0101058","0101058-01","01","M"
"01","0101","0101058","0101058-02","02","M"
"01","0101","0101058","0101058-03","03","M"
"01","0101","0101058","0101058-04","04","M"
"01","0101","0101058","0101058-05","05","M"
"01","0101","0101058","0101058-06","06","F"
"01","0101","0101058","0101058-07","07","F"
"01","0101","0101059","0101059-01","01","M"
"01","0101","0101059","0101059-02","02","M"
"01","0101","0101059","0101059-03","03","M"
"01","0101","0101059","0101059-04","04","M"
"01","0101","0101059","0101059-05","05","F"
"01","0101","0101059","0101059-06","06","F"
"01","0101","0101060","0101060-01","01","M"
"01","0101","0101060","0101060-02","02","M"
"01","0101","0101060","0101060-03","03","M"
"01","0101","0101060","0101060-04","04","M"
"01","0101","0101060","0101060-05","05","F"
"01","0101","0101060","0101060-06","06","F"
"01","0101","0101060","0101060-07","07","K"
"01","0101","0101060","0101060-08","08","K"
"01","0101","0101061","0101061-01","01","M"
"01","0101","0101061","0101061-02","02","M"
"01","0101","0101061","0101061-03","03","M"
"01","0101","0101061","0101061-04","04","F"
"01","0101","0101062","0101062-01","01","M"
"01","0101","0101062","0101062-02","02","M"
"01","0101","0101062","0101062-03","03","M"
"01","0101","0101062","0101062-04","04","M"
"01","0101","0101062","0101062-05","05","M"
"01","0101","0101062","0101062-06","06","M"
"01","0101","0101062","0101062-07","07","F"
"01","0101","0101062","0101062-08","08","F"
"01","0101","0101062","0101062-09","09","F"
"01","0101","0101063","0101063-01","01","M"
"01","0101","0101063","0101063-03","03","M"
"01","0101","0101063","0101063-04","04","M"
"01","0101","0101063","0101063-05","05","F"
"01","0101","0101064","0101064-01","01","M"
"01","0101","0101064","0101064-02","02","M"
"01","0101","0101064","0101064-03","03","M"
"01","0101","0101064","0101064-04","04","M"
"01","0101","0101064","0101064-05","05","F"
"01","0101","0101064","0101064-06","06","F"
"01","0101","0101064","0101064-07","07","F"
"01","0101","0101065","0101065-02","02","M"
"01","0101","0101065","0101065-03","03","M"
"01","0101","0101065","0101065-04","04","F"
"01","0101","0101065","0101065-05","05","F"
"01","0101","0101066","0101066-01","01","M"
"01","0101","0101066","0101066-02","02","M"
"01","0101","0101066","0101066-03","03","M"
"01","0101","0101066","0101066-04","04","F"
"01","0101","0101066","0101066-05","05","F"
"01","0101","0101067","0101067-01","01","M"
"01","0101","0101067","0101067-02","02","M"
"01","0101","0101067","0101067-03","03","F"
"01","0101","0101067","0101067-04","04","F"
"01","0101","0101068","0101068-01","01","M"
"01","0101","0101068","0101068-03","03","M"
"01","0101","0101068","0101068-05","05","F"
"01","0101","0101069","0101069-01","01","M"
"01","0101","0101069","0101069-02","02","M"
