PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
2602018,1,M,13,14,9,345,KANG,Nimroz,26,FALSE,M,1,8047835,8047835
2603021,1,M,3,14,1,346,CHAR BURJAK,Nimroz,26,FALSE,M,1,10681061,10681061
2603022,2,M,9,5,0,346,CHAR BURJAK,Nimroz,26,FALSE,M,1,4320501,4320501
2601008,3,F,9,4,14,344,PROVINCIAL CENTER (ZARANJ),Nimroz,26,FALSE,M,1,4320501,4320501
2601010,2,F,8,5,19,344,PROVINCIAL CENTER (ZARANJ),Nimroz,26,FALSE,M,1,6190024,6190024
2606047,1,M,7,3,0,390,DELARAM,Nimroz,26,FALSE,M,1,5680060,5680060
2605046,3,F,8,1,0,348,KHASHROAD,Nimroz,26,FALSE,M,1,6190024,6190024
2605046,3,F,2,1,0,348,KHASHROAD,Nimroz,26,FALSE,M,1,5798504,5798504
2604031,2,M,3,12,1,347,ASL-I-CHAKHANSOOR,Nimroz,26,FALSE,M,1,10681061,10681061
2604029,1,M,2,6,12,347,ASL-I-CHAKHANSOOR,Nimroz,26,FALSE,M,1,5798504,5798504
2604034,3,F,5,3,16,347,ASL-I-CHAKHANSOOR,Nimroz,26,FALSE,M,1,6178406,6178406
2603028,1,M,7,2,1,346,CHAR BURJAK,Nimroz,26,FALSE,M,1,5680060,5680060
2602015,1,M,12,4,6,345,KANG,Nimroz,26,FALSE,F,1,4516002,4516002
2602015,2,F,12,1,4,345,KANG,Nimroz,26,FALSE,F,1,4516002,4516002
2601009,4,F,8,9,12,344,PROVINCIAL CENTER (ZARANJ),Nimroz,26,FALSE,M,1,6190024,6190024
2604031,1,M,11,13,1,347,ASL-I-CHAKHANSOOR,Nimroz,26,FALSE,F,1,5798503,5798503
2604036,3,F,11,11,4,347,ASL-I-CHAKHANSOOR,Nimroz,26,FALSE,F,1,5798503,5798503
2603028,2,M,5,0,3,346,CHAR BURJAK,Nimroz,26,FALSE,M,1,6178406,6178406
2604029,3,F,7,10,10,347,ASL-I-CHAKHANSOOR,Nimroz,26,FALSE,M,1,5680060,5680060
2603028,3,F,13,50,4,346,CHAR BURJAK,Nimroz,26,FALSE,M,1,8047835,8047835
2603025,3,F,12,24,3,346,CHAR BURJAK,Nimroz,26,FALSE,F,1,4516002,4516002
2602016,2,M,12,2,11,345,KANG,Nimroz,26,FALSE,F,1,4516002,4516002
2602017,1,M,12,2,3,345,KANG,Nimroz,26,FALSE,F,1,4516002,4516002
2601007,1,M,6,4,9,344,PROVINCIAL CENTER (ZARANJ),Nimroz,26,FALSE,F,1,9664508,9664508
2601010,1,M,9,5,10,344,PROVINCIAL CENTER (ZARANJ),Nimroz,26,FALSE,M,1,4320501,4320501
