"electorate","province_code","province_name_eng","province_name_dari","province_name_pashto","candidate_code","candidate_id","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","final_winner","results_date","results_status","votes"
"General","02","Kapisa","کاپيسا","کاپيسا","2-1186-115","1186-115",1,"Mohammad Faazel Safi","محمدفاضل صافی","محمدفاضل صافی","NO","2019-01-24","Results Status : Certified",702
"General","02","Kapisa","کاپيسا","کاپيسا","2-1397-22","1397-22",2,"Abdul Zaher Hakimzadah","عبدالظاهر حکیم زاده","عبدالظاهر حکیم زاده","NO","2019-01-24","Results Status : Certified",2325
"General","02","Kapisa","کاپيسا","کاپيسا","2-1225-4","1225-4",3,"Mohammad Rafi Safi","محمد رفیع صافی ","محمد رفیع صافی ","NO","2019-01-24","Results Status : Certified",613
"General","02","Kapisa","کاپيسا","کاپيسا","2-1545-48","1545-48",4,"Shukrullah Mohammadi","شکرالله محمدی","شکرالله محمدی","NO","2019-01-24","Results Status : Certified",1591
"General","02","Kapisa","کاپيسا","کاپيسا","2-1541-25","1541-25",5,"Saara Sirat","ساره سیرت","ساره سیرت","NO","2019-01-24","Results Status : Certified",1085
"General","02","Kapisa","کاپيسا","کاپيسا","2-1174-110","1174-110",6,"Tahera Mirzadah","طاهره میرزاده ","طاهره میرزاده ","NO","2019-01-24","Results Status : Certified",326
"General","02","Kapisa","کاپيسا","کاپيسا","2-1505-119","1505-119",7,"Razia Saadat Habibi","راضیه سعادت حبیبی","راضیه سعادت حبیبی","NO","2019-01-24","Results Status : Certified",191
"General","02","Kapisa","کاپيسا","کاپيسا","2-1297-4","1297-4",8,"Qari Omid Safi","قاری امید صافی","قاری امید صافی","NO","2019-01-24","Results Status : Certified",483
"General","02","Kapisa","کاپيسا","کاپيسا","2-1305-123","1305-123",9,"Alhaj Mohammad Masoom Khan Hashemi","الحاج محمدمعصوم خان هاشمی","الحاج محمدمعصوم خان هاشمی","NO","2019-01-24","Results Status : Certified",711
"General","02","Kapisa","کاپيسا","کاپيسا","2-1390-73","1390-73",10,"Qazi Abdul Razaaq Nejrabi","قاضی عبدالرزاق نجرابی","قاضی عبدالرزاق نجرابی","NO","2019-01-24","Results Status : Certified",651
"General","02","Kapisa","کاپيسا","کاپيسا","2-1266-54","1266-54",11,"Haji Aqa Jaan Sayedi","حاجی آقاجان سیدی","حاجی آقاجان سیدی","NO","2019-01-24","Results Status : Certified",14
"General","02","Kapisa","کاپيسا","کاپيسا","2-1553-92","1553-92",12,"Rohullah Safi","روح الله صافی ","روح الله صافی ","NO","2019-01-24","Results Status : Certified",269
"General","02","Kapisa","کاپيسا","کاپيسا","2-1149-59","1149-59",13,"Gull Ahmad Safi","گل احمد صافی ","گل احمد صافی ","NO","2019-01-24","Results Status : Certified",283
"General","02","Kapisa","کاپيسا","کاپيسا","2-1318-109","1318-109",14,"Qazi Ahmadi Ahmadi","قاضی احمدی  احمدی","قاضی احمدی  احمدی","NO","2019-01-24","Results Status : Certified",769
"General","02","Kapisa","کاپيسا","کاپيسا","2-201-1142-13","201-1142-13",15,"Gen. Mohammad Iqbal Safi"," جنرال محمد اقبال صافی"," جنرال محمد اقبال صافی","YES","2019-01-24","Results Status : Certified",5355
"General","02","Kapisa","کاپيسا","کاپيسا","2-1461-40","1461-40",16,"Rahima Shams Kohistani","رحیمه شمس کوهستانی","رحیمه شمس کوهستانی","NO","2019-01-24","Results Status : Certified",558
"General","02","Kapisa","کاپيسا","کاپيسا","2-1161-81","1161-81",17,"Mohammad Nader Khalid","محمدنادر خالد","محمدنادر خالد","NO","2019-01-24","Results Status : Certified",900
"General","02","Kapisa","کاپيسا","کاپيسا","2-1009-68","1009-68",18,"Abdul Wakil Jalili","عبدالوکیل جلیلی","عبدالوکیل جلیلی","NO","2019-01-24","Results Status : Certified",679
"General","02","Kapisa","کاپيسا","کاپيسا","2-1141-10","1141-10",19,"Nazar Mohammad Mohammadi","نظرمحمد محمدی","نظرمحمد محمدی","NO","2019-01-24","Results Status : Certified",663
"General","02","Kapisa","کاپيسا","کاپيسا","2-1081-112","1081-112",20,"Nooria Kohistani","نوریه کوهستانی","نوریه کوهستانی","NO","2019-01-24","Results Status : Certified",186
"General","02","Kapisa","کاپيسا","کاپيسا","2-1685-42","1685-42",21,"Eng. Mir Haidar Afzali","انجینر میر حیدر افضلی ","انجینر میر حیدر افضلی ","YES","2019-01-24","Results Status : Certified",5370
"General","02","Kapisa","کاپيسا","کاپيسا","2-1210-85","1210-85",22,"Talib Jaan Safi","طالب جان صافی ","طالب جان صافی ","NO","2019-01-24","Results Status : Certified",401
"General","02","Kapisa","کاپيسا","کاپيسا","2-1269-86","1269-86",23,"Mawlana Abdul Maroof Waaseq","مولانا عبدالمعروف واثق","مولانا عبدالمعروف واثق","NO","2019-01-24","Results Status : Certified",1279
"General","02","Kapisa","کاپيسا","کاپيسا","2-1273-83","1273-83",24,"Dr. Mohammad Nayem Safi","داکتر محمد نعیم صافی","داکتر محمد نعیم صافی","NO","2019-01-24","Results Status : Certified",416
"General","02","Kapisa","کاپيسا","کاپيسا","2-1290-26","1290-26",25,"Akhondzadah Abdul Salam Jawad","آخندزاده عبدالسلام جواد","آخندزاده عبدالسلام جواد","NO","2019-01-24","Results Status : Certified",250
"General","02","Kapisa","کاپيسا","کاپيسا","2-1250-33","1250-33",26,"Shejauddin Murad","شجاع الدین مراد ","شجاع الدین مراد ","NO","2019-01-24","Results Status : Certified",1434
