"province_code","district_code","pc_code","ps_code","ps_number","ps_type","results_status","reporting_results","pre_prelim_invalidated_votes","final_votes","prelim_votes","net_prelim_final_change"
"01","0101","0101005","0101005-03","03","F","PRELIMINARY","YES",1,61,61,0
"01","0101","0101005","0101005-04","04","F","FINAL","YES",0,16,16,0
"01","0101","0101005","0101005-04","04","F","PRELIMINARY","YES",0,16,16,0
"01","0101","0101006","0101006-01","01","M","FINAL","YES",1,89,89,0
"01","0101","0101006","0101006-01","01","M","PRELIMINARY","YES",1,89,89,0
"01","0101","0101006","0101006-02","02","M","FINAL","YES",4,99,101,-2
"01","0101","0101006","0101006-02","02","M","PRELIMINARY","YES",4,99,101,-2
"01","0101","0101006","0101006-03","03","F","FINAL","YES",0,91,91,0
"01","0101","0101006","0101006-03","03","F","PRELIMINARY","YES",0,91,91,0
"01","0101","0101007","0101007-01","01","M","FINAL","YES",0,11,11,0
"01","0101","0101007","0101007-01","01","M","PRELIMINARY","YES",0,11,11,0
"01","0101","0101007","0101007-02","02","M","FINAL","YES",0,17,17,0
"01","0101","0101007","0101007-02","02","M","PRELIMINARY","YES",0,17,17,0
"01","0101","0101007","0101007-03","03","M","FINAL","NO",NA,NA,NA,NA
"01","0101","0101007","0101007-03","03","M","PRELIMINARY","NO",NA,NA,NA,NA
"01","0101","0101007","0101007-04","04","M","FINAL","YES",1,37,39,-2
"01","0101","0101007","0101007-04","04","M","PRELIMINARY","YES",1,37,39,-2
"01","0101","0101007","0101007-05","05","F","FINAL","YES",2,12,12,0
"01","0101","0101007","0101007-05","05","F","PRELIMINARY","YES",2,12,12,0
"01","0101","0101007","0101007-06","06","F","FINAL","YES",0,15,15,0
"01","0101","0101007","0101007-06","06","F","PRELIMINARY","YES",0,15,15,0
"01","0101","0101008","0101008-01","01","M","FINAL","YES",3,194,194,0
"01","0101","0101008","0101008-01","01","M","PRELIMINARY","YES",3,194,194,0
"01","0101","0101008","0101008-02","02","M","FINAL","YES",37,151,151,0
"01","0101","0101008","0101008-02","02","M","PRELIMINARY","YES",37,151,151,0
"01","0101","0101008","0101008-03","03","M","FINAL","YES",5,185,185,0
"01","0101","0101008","0101008-03","03","M","PRELIMINARY","YES",5,185,185,0
"01","0101","0101008","0101008-04","04","M","FINAL","YES",4,100,100,0
"01","0101","0101008","0101008-04","04","M","PRELIMINARY","YES",4,100,100,0
"01","0101","0101008","0101008-05","05","F","FINAL","YES",4,38,38,0
"01","0101","0101008","0101008-05","05","F","PRELIMINARY","YES",4,38,38,0
"01","0101","0101008","0101008-06","06","F","FINAL","YES",0,53,53,0
"01","0101","0101008","0101008-06","06","F","PRELIMINARY","YES",0,53,53,0
"01","0101","0101009","0101009-01","01","M","FINAL","YES",6,72,72,0
"01","0101","0101009","0101009-01","01","M","PRELIMINARY","YES",6,72,72,0
"01","0101","0101009","0101009-02","02","M","FINAL","YES",1,32,32,0
"01","0101","0101009","0101009-02","02","M","PRELIMINARY","YES",1,32,32,0
"01","0101","0101009","0101009-03","03","M","FINAL","YES",4,51,51,0
"01","0101","0101009","0101009-03","03","M","PRELIMINARY","YES",4,51,51,0
"01","0101","0101009","0101009-04","04","F","FINAL","YES",0,49,49,0
"01","0101","0101009","0101009-04","04","F","PRELIMINARY","YES",0,49,49,0
"01","0101","0101010","0101010-01","01","M","FINAL","YES",4,124,125,-1
"01","0101","0101010","0101010-01","01","M","PRELIMINARY","YES",4,124,125,-1
"01","0101","0101010","0101010-02","02","M","FINAL","YES",4,129,131,-2
"01","0101","0101010","0101010-02","02","M","PRELIMINARY","YES",4,129,131,-2
"01","0101","0101010","0101010-03","03","M","FINAL","YES",12,143,143,0
"01","0101","0101010","0101010-03","03","M","PRELIMINARY","YES",12,143,143,0
"01","0101","0101010","0101010-04","04","F","FINAL","YES",0,42,42,0
"01","0101","0101010","0101010-04","04","F","PRELIMINARY","YES",0,42,42,0
"01","0101","0101010","0101010-05","05","F","FINAL","YES",0,60,60,0
"01","0101","0101010","0101010-05","05","F","PRELIMINARY","YES",0,60,60,0
"01","0101","0101011","0101011-01","01","M","FINAL","YES",15,376,377,-1
"01","0101","0101011","0101011-01","01","M","PRELIMINARY","YES",15,376,377,-1
"01","0101","0101011","0101011-02","02","M","FINAL","YES",33,418,419,-1
"01","0101","0101011","0101011-02","02","M","PRELIMINARY","YES",33,418,419,-1
"01","0101","0101011","0101011-03","03","F","FINAL","YES",77,391,391,0
"01","0101","0101011","0101011-03","03","F","PRELIMINARY","YES",77,391,391,0
"01","0101","0101012","0101012-01","01","M","FINAL","YES",5,80,82,-2
"01","0101","0101012","0101012-01","01","M","PRELIMINARY","YES",5,80,82,-2
"01","0101","0101012","0101012-02","02","F","FINAL","YES",1,116,116,0
"01","0101","0101012","0101012-02","02","F","PRELIMINARY","YES",1,116,116,0
"01","0101","0101013","0101013-01","01","M","FINAL","YES",5,112,112,0
"01","0101","0101013","0101013-01","01","M","PRELIMINARY","YES",5,112,112,0
"01","0101","0101013","0101013-02","02","M","FINAL","YES",10,109,109,0
"01","0101","0101013","0101013-02","02","M","PRELIMINARY","YES",10,109,109,0
"01","0101","0101013","0101013-03","03","M","FINAL","YES",2,54,54,0
"01","0101","0101013","0101013-03","03","M","PRELIMINARY","YES",2,54,54,0
"01","0101","0101013","0101013-04","04","F","FINAL","YES",0,78,78,0
"01","0101","0101013","0101013-04","04","F","PRELIMINARY","YES",0,78,78,0
