"results_status","electorate","province_code","pc_count","ps_count","candidate_count","vote_count"
"FINAL","Kuchi","05",13,25,52,2854
"PRELIMINARY","Kuchi","05",13,25,52,6585
"FINAL","Kuchi","06",9,22,52,3415
"PRELIMINARY","Kuchi","06",9,22,52,3927
"FINAL","Kuchi","07",4,9,52,2219
"PRELIMINARY","Kuchi","07",4,12,52,4884
"FINAL","Kuchi","08",6,15,52,2605
"PRELIMINARY","Kuchi","08",7,15,52,5417
"FINAL","Kuchi","09",1,1,52,499
"PRELIMINARY","Kuchi","09",2,15,52,896
"FINAL","Kuchi","10",33,71,52,6713
"PRELIMINARY","Kuchi","10",32,68,52,9140
"FINAL","Kuchi","11",4,11,52,2333
"PRELIMINARY","Kuchi","11",4,11,52,3032
"FINAL","Kuchi","12",9,16,52,3095
"PRELIMINARY","Kuchi","12",9,16,52,4064
"FINAL","Kuchi","14",1,3,52,12
"PRELIMINARY","Kuchi","14",1,3,52,37
"FINAL","Kuchi","15",6,9,52,2711
"PRELIMINARY","Kuchi","15",6,9,52,3535
"FINAL","Kuchi","16",2,8,52,1070
"PRELIMINARY","Kuchi","16",2,8,52,1426
"FINAL","Kuchi","17",6,6,52,229
"PRELIMINARY","Kuchi","17",5,5,52,326
"FINAL","Kuchi","18",5,6,52,523
"PRELIMINARY","Kuchi","18",5,6,52,678
"FINAL","Kuchi","19",22,39,52,4004
"PRELIMINARY","Kuchi","19",22,39,52,4540
"FINAL","Kuchi","20",3,4,52,234
"PRELIMINARY","Kuchi","20",3,4,52,314
"FINAL","Kuchi","21",6,15,52,3767
"PRELIMINARY","Kuchi","21",6,15,52,4986
"FINAL","Kuchi","22",1,2,52,418
"PRELIMINARY","Kuchi","22",1,2,52,425
"FINAL","Kuchi","24",16,26,52,2113
"PRELIMINARY","Kuchi","24",15,25,52,4584
"FINAL","Kuchi","25",2,4,52,1162
"PRELIMINARY","Kuchi","25",2,4,52,1162
"FINAL","Kuchi","26",4,4,52,1209
"PRELIMINARY","Kuchi","26",4,4,52,1322
"FINAL","Kuchi","27",12,27,52,365
"PRELIMINARY","Kuchi","27",13,25,52,358
"FINAL","Kuchi","28",8,18,52,2363
"PRELIMINARY","Kuchi","28",7,14,52,2426
"FINAL","Kuchi","29",10,19,52,393
"PRELIMINARY","Kuchi","29",11,20,52,501
"FINAL","Kuchi","30",22,29,52,309
"PRELIMINARY","Kuchi","30",20,24,52,475
"FINAL","Kuchi","31",5,11,52,1829
"PRELIMINARY","Kuchi","31",5,11,52,2184
"FINAL","Kuchi","33",5,10,52,279
"PRELIMINARY","Kuchi","33",5,9,52,1232
