"district_code","district_name_eng","district_name_dari","district_name_pashto","district_sub_code","district_or_subdivision_name_eng","district_or_subdivision_name_dari","district_or_subdivision_name_pashto","provincial_capital"
"0110","KALAKAN","کلکان","کلکان","0110","KALAKAN","کلکان","کلکان","NO"
"0111","GULDARA","گلدره","گلدره","0111","GULDARA","گلدره","گلدره","NO"
"0112","FARZA","فرزه","فرزه","0112","FARZA","فرزه","فرزه","NO"
"0113","ISTALIF","استالف","استالف","0113","ISTALIF","استالف","استالف","NO"
"0114","QARABAGH","قره باغ","قره باغ","0114","QARABAGH","قره باغ","قره باغ","NO"
"0115","SUROBI","سروبی","سروبی","0115","SUROBI","سروبی","سروبی","NO"
"0201","MAHMODRAQI","محمود راقی","محمود راقی","0201","MAHMODRAQI","محمود راقی","محمود راقی","YES"
"0202","HISSA-E-DUWUMI KOHISTAN","حصه دوم کوهستان","حصه دوم کوهستان","0202","HISSA-E-DUWUMI KOHISTAN","حصه دوم کوهستان","حصه دوم کوهستان","NO"
"0203","KOHBAND","کوه بند","کوه بند","0203","KOHBAND","کوه بند","کوه بند","NO"
"0204","HESE  AWAL KOHESTAN","حصه اول کوهستان","حصه اول کوهستان","0204","HESE  AWAL KOHESTAN","حصه اول کوهستان","حصه اول کوهستان","NO"
"0205","NEJRAB","نجراب","نجراب","0205","NEJRAB","نجراب","نجراب","NO"
"0206","TAGAB","تگاب","تگاب","0206","TAGAB","تگاب","تگاب","NO"
"0207","ALASAY","اله سای","اله سای","0207","ALASAY","اله سای","اله سای","NO"
"0301","CHARIKAR","چاریکار","چاریکار","0301","CHARIKAR","چاریکار","چاریکار","YES"
"0302","BAGRAM","بگرام","بگرام","0302","BAGRAM","بگرام","بگرام","NO"
"0303","SHINWARI","شینواری","شینواری","0303","SHINWARI","شینواری","شینواری","NO"
"0304","SAYDKHEL","سیدخیل","سیدخیل","0304","SAYDKHEL","سیدخیل","سیدخیل","NO"
"0305","JABALUSARAJ","جبل السراج","جبل السراج","0305","JABALUSARAJ","جبل السراج","جبل السراج","NO"
"0306","SALANG","سالنگ","سالنگ","0306","SALANG","سالنگ","سالنگ","NO"
"0307","GHORBAND (SIA GERD)","سیاه گرد غوربند","سیاه گرد غوربند","0307","GHORBAND (SIA GERD)","سیاه گرد غوربند","سیاه گرد غوربند","NO"
"0308","KOHESAFI","کوه صافی","کوه صافی","0308","KOHESAFI","کوه صافی","کوه صافی","NO"
"0309","SURKH PARSA","سرخ پارسا","سرخ پارسا","0309","SURKH PARSA","سرخ پارسا","سرخ پارسا","NO"
"0310","SHIKHALI","شیخ علی","شیخ علی","0310","SHIKHALI","شیخ علی","شیخ علی","NO"
"0401","MAYDANSHAHR","میدان شهر","میدان شهر","0401","MAYDANSHAHR","میدان شهر","میدان شهر","YES"
"0402","NIRKH","نرخ","نرخ","0402","NIRKH","نرخ","نرخ","NO"
"0403","JALRIZ","جلریز","جلریز","0403","JALRIZ","جلریز","جلریز","NO"
"0404","CHAK","چک وردک","چک وردک","0404","CHAK","چک وردک","چک وردک","NO"
"0405","SAYDABAD","سید آباد","سید آباد","0405","SAYDABAD","سید آباد","سید آباد","NO"
"0406","DAYMIRDAD","دایمیرداد","دایمیرداد","0406","DAYMIRDAD","دایمیرداد","دایمیرداد","NO"
"0407","HISE AWAL BEHSOD","حصه اول بهسود","حصه اول بهسود","0407","HISE AWAL BEHSOD","حصه اول بهسود","حصه اول بهسود","NO"
"0408","JAGHATO","جغتو","جغتو","0408","JAGHATO","جغتو","جغتو","NO"
"0409","MARKAZ BIHSOD","مرکز بهسود","مرکز بهسود","0409","MARKAZ BIHSOD","مرکز بهسود","مرکز بهسود","NO"
"0501","PULE ALAM","پل علم","پل علم","0501","PULE ALAM","پل علم","پل علم","YES"
"0502","BARAKIBARAK","برکی برک","برکی برک","0502","BARAKIBARAK","برکی برک","برکی برک","NO"
"0503","CHARKH","چرخ","چرخ","0503","CHARKH","چرخ","چرخ","NO"
"0504","KHOSHI","خوشی","خوشی","0504","KHOSHI","خوشی","خوشی","NO"
"0505","MUHAMMADAGHA","محمد آغه","محمد آغه","0505","MUHAMMADAGHA","محمد آغه","محمد آغه","NO"
"0506","KHARWAR","خروار","خروار","0506","KHARWAR","خروار","خروار","NO"
"0507","AZRA","اذره","اذره","0507","AZRA","اذره","اذره","NO"
"0601","JALALABAD","جلال آباد","جلال آباد","0601-01","JALALABAD NAHIA 01","جلال آباد ناحیه 01","جلال آباد ناحیه 01","YES"
"0601","JALALABAD","جلال آباد","جلال آباد","0601-02","JALALABAD NAHIA 02","جلال آباد ناحیه 02","جلال آباد ناحیه 02","YES"
"0601","JALALABAD","جلال آباد","جلال آباد","0601-03","JALALABAD NAHIA 03","جلال آباد ناحیه 03","جلال آباد ناحیه 03","YES"
"0601","JALALABAD","جلال آباد","جلال آباد","0601-04","JALALABAD NAHIA 04","جلال آباد ناحیه 04","جلال آباد ناحیه 04","YES"
"0601","JALALABAD","جلال آباد","جلال آباد","0601-05","JALALABAD NAHIA 05","جلال آباد ناحیه 05","جلال آباد ناحیه 05","YES"
"0601","JALALABAD","جلال آباد","جلال آباد","0601-06","JALALABAD NAHIA 06","جلال آباد ناحیه 06","جلال آباد ناحیه 06","YES"
"0602","BIHSOD","بهسود","بهسود","0602","BIHSOD","بهسود","بهسود","NO"
"0603","SURKHROD","سرخرود","سرخرود","0603","SURKHROD","سرخرود","سرخرود","NO"
"0604","CHAPARHAR","چپرهار","چپرهار","0604","CHAPARHAR","چپرهار","چپرهار","NO"
"0605","KAMA","کامه","کامه","0605","KAMA","کامه","کامه","NO"
"0606","KOZ KUNAR","کوز کنړ","کوز کنړ","0606","KOZ KUNAR","کوز کنړ","کوز کنړ","NO"
"0607","RODAT","رودات","رودات","0607","RODAT","رودات","رودات","NO"
