"province_code","district_code","pc_code","ps_code"
"01","0101","0101032","0101032-02"
"01","0101","0101032","0101032-03"
"01","0101","0101033","0101033-01"
"01","0101","0101033","0101033-02"
"01","0101","0101033","0101033-03"
"01","0101","0101034","0101034-01"
"01","0101","0101034","0101034-02"
"01","0101","0101034","0101034-03"
"01","0101","0101034","0101034-04"
"01","0101","0101035","0101035-01"
"01","0101","0101035","0101035-02"
"01","0101","0101035","0101035-03"
"01","0101","0101035","0101035-04"
"01","0101","0101035","0101035-05"
"01","0101","0101035","0101035-06"
"01","0101","0101036","0101036-01"
"01","0101","0101037","0101037-01"
"01","0101","0101037","0101037-02"
"01","0101","0101037","0101037-03"
"01","0101","0101037","0101037-04"
"01","0101","0101037","0101037-05"
"01","0101","0101038","0101038-01"
"01","0101","0101038","0101038-02"
"01","0101","0101038","0101038-03"
"01","0101","0101039","0101039-01"
"01","0101","0101039","0101039-02"
"01","0101","0101039","0101039-03"
"01","0101","0101039","0101039-04"
"01","0101","0101040","0101040-01"
"01","0101","0101040","0101040-02"
"01","0101","0101040","0101040-03"
"01","0101","0101041","0101041-01"
"01","0101","0101041","0101041-02"
"01","0101","0101041","0101041-03"
"01","0101","0101041","0101041-04"
"01","0101","0101042","0101042-01"
"01","0101","0101042","0101042-02"
"01","0101","0101042","0101042-03"
"01","0101","0101042","0101042-04"
"01","0101","0101042","0101042-05"
"01","0101","0101042","0101042-06"
"01","0101","0101042","0101042-07"
"01","0101","0101042","0101042-08"
"01","0101","0101043","0101043-01"
"01","0101","0101043","0101043-02"
"01","0101","0101043","0101043-03"
"01","0101","0101043","0101043-04"
"01","0101","0101043","0101043-05"
"01","0101","0101043","0101043-06"
"01","0101","0101043","0101043-07"
"01","0101","0101043","0101043-08"
"01","0101","0101044","0101044-01"
"01","0101","0101044","0101044-02"
"01","0101","0101044","0101044-03"
"01","0101","0101044","0101044-04"
"01","0101","0101044","0101044-05"
"01","0101","0101045","0101045-01"
"01","0101","0101045","0101045-02"
"01","0101","0101045","0101045-03"
"01","0101","0101046","0101046-01"
"01","0101","0101046","0101046-02"
"01","0101","0101046","0101046-03"
"01","0101","0101046","0101046-04"
"01","0101","0101046","0101046-05"
"01","0101","0101046","0101046-06"
"01","0101","0101046","0101046-07"
"01","0101","0101046","0101046-08"
"01","0101","0101046","0101046-09"
"01","0101","0101047","0101047-01"
"01","0101","0101047","0101047-02"
"01","0101","0101047","0101047-03"
"01","0101","0101047","0101047-04"
"01","0101","0101047","0101047-05"
"01","0101","0101047","0101047-06"
"01","0101","0101047","0101047-07"
"01","0101","0101047","0101047-08"
"01","0101","0101047","0101047-09"
"01","0101","0101048","0101048-01"
"01","0101","0101048","0101048-02"
"01","0101","0101048","0101048-03"
"01","0101","0101048","0101048-04"
"01","0101","0101048","0101048-05"
"01","0101","0101049","0101049-01"
"01","0101","0101049","0101049-02"
"01","0101","0101049","0101049-03"
"01","0101","0101049","0101049-04"
"01","0101","0101049","0101049-05"
"01","0101","0101049","0101049-06"
"01","0101","0101049","0101049-07"
"01","0101","0101050","0101050-01"
"01","0101","0101050","0101050-02"
"01","0101","0101050","0101050-03"
"01","0101","0101050","0101050-04"
"01","0101","0101051","0101051-01"
"01","0101","0101051","0101051-02"
"01","0101","0101051","0101051-03"
"01","0101","0101052","0101052-01"
"01","0101","0101052","0101052-02"
"01","0101","0101052","0101052-03"
"01","0101","0101052","0101052-04"
"01","0101","0101053","0101053-01"
"01","0101","0101053","0101053-02"
"01","0101","0101053","0101053-03"
"01","0101","0101054","0101054-01"
"01","0101","0101054","0101054-02"
"01","0101","0101054","0101054-03"
"01","0101","0101054","0101054-04"
"01","0101","0101055","0101055-01"
"01","0101","0101055","0101055-02"
"01","0101","0101055","0101055-03"
"01","0101","0101056","0101056-01"
"01","0101","0101056","0101056-02"
"01","0101","0101056","0101056-03"
"01","0101","0101056","0101056-04"
"01","0101","0101057","0101057-01"
"01","0101","0101057","0101057-02"
"01","0101","0101057","0101057-03"
"01","0101","0101057","0101057-04"
"01","0101","0101057","0101057-05"
"01","0101","0101058","0101058-01"
"01","0101","0101058","0101058-02"
"01","0101","0101058","0101058-03"
"01","0101","0101058","0101058-04"
"01","0101","0101058","0101058-05"
"01","0101","0101059","0101059-01"
"01","0101","0101059","0101059-02"
"01","0101","0101059","0101059-03"
"01","0101","0101059","0101059-04"
"01","0101","0101059","0101059-05"
"01","0101","0101059","0101059-06"
"01","0101","0101059","0101059-07"
"01","0101","0101059","0101059-08"
"01","0101","0101059","0101059-09"
"01","0101","0101059","0101059-10"
"01","0101","0101059","0101059-11"
"01","0101","0101059","0101059-12"
"01","0101","0101059","0101059-13"
"01","0101","0101060","0101060-01"
"01","0101","0101060","0101060-02"
"01","0101","0101060","0101060-03"
"01","0101","0101060","0101060-04"
"01","0101","0101060","0101060-05"
"01","0101","0101060","0101060-06"
"01","0101","0101060","0101060-07"
"01","0101","0101061","0101061-01"
"01","0101","0101061","0101061-02"
"01","0101","0101061","0101061-03"
"01","0101","0101061","0101061-04"
"01","0101","0101061","0101061-05"
"01","0101","0101061","0101061-06"
"01","0101","0101061","0101061-07"
"01","0101","0101061","0101061-08"
"01","0101","0101061","0101061-09"
"01","0101","0101061","0101061-10"
"01","0101","0101061","0101061-11"
"01","0101","0101061","0101061-12"
"01","0101","0101061","0101061-13"
"01","0101","0101062","0101062-01"
"01","0101","0101062","0101062-02"
"01","0101","0101062","0101062-03"
"01","0101","0101062","0101062-04"
"01","0101","0101062","0101062-05"
"01","0101","0101062","0101062-06"
"01","0101","0101062","0101062-07"
"01","0101","0101062","0101062-08"
"01","0101","0101062","0101062-09"
"01","0101","0101062","0101062-10"
"01","0101","0101063","0101063-01"
"01","0101","0101063","0101063-02"
"01","0101","0101063","0101063-03"
"01","0101","0101063","0101063-04"
"01","0101","0101063","0101063-05"
"01","0101","0101063","0101063-06"
"01","0101","0101064","0101064-01"
"01","0101","0101064","0101064-02"
"01","0101","0101064","0101064-03"
"01","0101","0101064","0101064-04"
"01","0101","0101064","0101064-05"
"01","0101","0101064","0101064-06"
"01","0101","0101065","0101065-01"
"01","0101","0101065","0101065-02"
"01","0101","0101065","0101065-03"
"01","0101","0101065","0101065-04"
"01","0101","0101065","0101065-05"
"01","0101","0101065","0101065-06"
"01","0101","0101065","0101065-07"
"01","0101","0101066","0101066-01"
"01","0101","0101066","0101066-02"
"01","0101","0101066","0101066-03"
"01","0101","0101066","0101066-04"
"01","0101","0101067","0101067-01"
"01","0101","0101067","0101067-02"
"01","0101","0101067","0101067-03"
"01","0101","0101067","0101067-04"
"01","0101","0101068","0101068-01"
"01","0101","0101068","0101068-02"
