"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0101351","Not Reporting","KABUL","01","NAHIA 17","0101","Markaz Nahia 17 (Nahia 17 Center)","Sar e Kotal Khairkhanah","Old","no change",9000,431,187,0,62,0,0,107,75,8552,6118,2434,17,0,6135,2434,8569
"0101354","Not Reporting","KABUL","01","NAHIA 17","0101","AbuBakar Sedique Jame Mosque","Shahrak Adru Gul","New","no change",2374,108,24,0,13,0,0,39,32,2243,1755,488,23,0,1767,499,2266
"0101554","Not Reporting","KABUL","01","Nahia 10","0101","Shahrak Arya School","Shahrak Arya First Section",NA,"added",2148,114,16,3,56,0,0,22,17,2033,1450,583,1,0,1451,583,2034
"0102386","Not Reporting","KABUL","01","PAGHMAN","0102","Cheheltan High School","Cheheltan","Old","no change",3000,142,15,0,16,0,0,19,92,2826,1712,1114,31,1,1719,1139,2858
"0104412","Not Reporting","KABUL","01","BAGRAMI","0104","Butkhak Boys High School","Butkhak","Old","no change",6000,435,22,1,109,0,0,11,292,5490,3277,2213,75,0,3324,2241,5565
"0104417","Not Reporting","KABUL","01","BAGRAMI","0104","Sheena Girls High School","Sheenah village","Old","no change",1788,132,36,0,9,0,0,18,69,1649,853,796,7,0,859,797,1656
"0104419","Not Reporting","KABUL","01","BAGRAMI","0104","Qalla e Ahmad Khan Girls High School","Qalla e Ahmad Khan","Old","no change",1266,62,18,0,9,0,0,4,31,1197,721,476,7,0,722,482,1204
"0107459","Not Reporting","KABUL","01","MOSAHI","0107","Shenkai Dashtak Village Jame Mosque","Shinkai Dashtak village","Old","no change",5399,130,19,0,61,0,0,17,33,5202,2274,2928,67,0,2331,2938,5269
"0109483","Not Reporting","KABUL","01","KHAKEJABAR","0109","Wali Khan Secondary School","Zindan","Old","no change",2280,71,16,0,15,0,0,19,21,2192,1150,1042,17,0,1164,1045,2209
"0109485","Not Reporting","KABUL","01","KHAKEJABAR","0109","Mullah Omer Primary School","Mullah Omer","New","no change",3600,118,17,0,22,0,0,54,25,3171,1577,1594,311,0,1753,1729,3482
