"province_name","province_code","district_name","district_code","pc_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"KABUL","01","NAHIA 02","0101","0101021","Trade technical Institute (Institute Maslaki Teja)","Shah E Do Shamsherah","Relocated","no change",1764,63,9,0,6,0,0,33,15,1698,1463,235,3,0,1466,235,1701
"KABUL","01","NAHIA 02","0101","0101022","Zyarat Abul Fazal","Murad Khani","Old","no change",1134,57,14,0,10,0,0,22,11,1061,976,85,14,2,992,85,1077
"KABUL","01","NAHIA 02","0101","0101023","Isteqlal High School","Park e Zarnigar","Old","no change",2334,71,14,0,11,0,0,32,14,2255,1951,304,8,0,1959,304,2263
"KABUL","01","NAHIA 02","0101","0101024","Nayeb Salar Mosque","Qoul e Aab Chakan","Old","no change",3480,144,17,0,11,0,0,27,89,3332,2504,828,4,0,2507,829,3336
"KABUL","01","NAHIA 02","0101","0101025","Imam Azam Mosque","Gardanah e Sakhi","New","no change",1414,117,14,0,6,0,0,55,42,1296,754,542,1,0,754,543,1297
"KABUL","01","NAHIA 02","0101","0101026","Zabihullah Shaheed High School","Kart e Aryana","Old","no change",3798,126,24,0,23,0,0,41,38,3669,2778,891,3,0,2781,891,3672
"KABUL","01","NAHIA 02","0101","0101027","Sa'ad bin Abi Waqas Mosque","Sharq e Kart e Parwan","New","no change",1110,68,11,0,4,0,0,32,21,1042,673,369,0,0,673,369,1042
"KABUL","01","NAHIA 02","0101","0101028","Wazeer Mohammad Akbar Khan Secondary School","Kart e Parwan","Old","no change",1584,69,20,0,5,0,0,24,20,1514,1052,462,1,0,1052,463,1515
"KABUL","01","NAHIA 02","0101","0101029","Naderia High School","Kart e Parwan","Old","no change",3780,125,11,0,10,0,0,71,33,3622,3002,620,29,4,3025,630,3655
"KABUL","01","NAHIA 02","0101","0101030","Omer Farooq Mosque","Kart e Parwan","Old","no change",2825,145,23,0,18,0,0,48,56,2679,2022,657,1,0,2023,657,2680
"KABUL","01","NAHIA 02","0101","0101031","Ma'az ibne Jabal Mosque","Kart e Parwan","Old","no change",936,30,8,0,3,0,0,11,8,905,622,283,1,0,623,283,906
"KABUL","01","NAHIA 02","0101","0101032","Abdullah bin Masoud Mosque","Bagh e Bala","Old","no change",2177,183,11,0,32,0,0,80,60,1989,1620,369,5,0,1623,371,1994
"KABUL","01","NAHIA 03","0101","0101033","Sayed Jamaluddin Experimental Secondary School","Sarai Ghazni","Old","no change",1122,39,15,0,3,0,0,12,9,1083,705,378,0,0,705,378,1083
"KABUL","01","NAHIA 03","0101","0101034","Afghan Technology Institute","Kart e Chahar","Old","no change",1920,103,15,0,11,0,0,46,31,1817,1545,272,0,0,1545,272,1817
"KABUL","01","NAHIA 03","0101","0101035","Sayed Jamaluddin Secondary School","Kart e Chahar","Old","no change",3334,151,38,0,19,0,0,61,33,3182,2209,973,1,0,2210,973,3183
"KABUL","01","NAHIA 03","0101","0101036","Raabia Balkhi High School","Kart e Chahar","Old","no change",2886,96,25,0,16,0,0,40,15,2787,1694,1093,3,0,1697,1093,2790
"KABUL","01","NAHIA 03","0101","0101037","Amir Dost Mohammad Khan School","Dehmazang","Old","no change",2238,105,27,1,20,0,0,25,32,2130,1617,513,3,0,1618,515,2133
"KABUL","01","NAHIA 03","0101","0101038","Hanzalla Mosque","Dehmazang","Old","no change",1074,79,14,0,18,0,0,32,15,995,665,330,0,0,665,330,995
"KABUL","01","NAHIA 03","0101","0101039","Amir Hamza Secondary School","Nawabad Dehmazang","Old","no change",2358,126,25,0,15,0,0,53,33,2232,1669,563,0,0,1669,563,2232
"KABUL","01","NAHIA 03","0101","0101040","Mohammadia Mosque","Sarak e Awal","Old","no change",1885,97,6,0,24,0,0,45,22,1787,1255,532,1,0,1256,532,1788
"KABUL","01","NAHIA 03","0101","0101041","Jamal Mena, no. 13 Secondary School","Jamal Mena","Old","no change",2228,122,18,0,20,0,0,63,21,2106,1116,990,0,0,1116,990,2106
"KABUL","01","NAHIA 03","0101","0101042","Jamal Mena, no. 12 Preliminary School","Qesmat e Awal Kart e Sakhi","Old","no change",4344,165,29,0,27,0,0,52,57,4179,2821,1358,0,0,2821,1358,4179
"KABUL","01","NAHIA 03","0101","0101043","Legal Faculty (Pohanzai Huqooq)","Puhantoon Kabul (Kabul University)","Old","no change",3252,107,31,0,24,0,0,40,12,3141,2320,821,4,0,2324,821,3145
"KABUL","01","NAHIA 03","0101","0101044","Durkhanai High School","Kart e Mamoreen","Relocated","no change",3030,113,9,0,16,0,0,50,38,2915,1828,1087,2,0,1828,1089,2917
"KABUL","01","NAHIA 03","0101","0101045","Sang Kashan Mosque","Seelo Road","Old","no change",1164,34,1,0,7,0,0,14,12,1130,959,171,0,0,959,171,1130
"KABUL","01","NAHIA 03","0101","0101046","Sufi Islam School","Estgah e Aakhir Puhantoon","Old","no change",5562,196,49,0,29,0,0,58,60,5358,3455,1903,8,0,3459,1907,5366
"KABUL","01","NAHIA 03","0101","0101047","Mahmood Hotaki High School","Deh bori","Old","no change",5254,250,28,0,25,0,0,130,67,4987,4146,841,17,0,4163,841,5004
"KABUL","01","NAHIA 04","0101","0101048","Ghazi Mohammad Ayub School no.1","Bagh e Bala","Old","no change",2206,72,10,0,19,0,0,29,14,2005,1303,702,9,120,1393,741,2134
"KABUL","01","NAHIA 04","0101","0101049","Raabia High School","Kart e Parwan","Old","no change",3240,56,6,0,15,0,0,24,11,3170,1907,1263,13,1,1918,1266,3184
"KABUL","01","NAHIA 04","0101","0101050","Haji Ghulam Dastagir Mosque","Shahr Aara","Old","no change",2376,49,7,0,6,0,0,31,5,2325,1732,593,2,0,1734,593,2327
"KABUL","01","NAHIA 04","0101","0101051","Imam Reza e Ghareeb Mosque","Kolola Pushta","Old","no change",1374,48,21,0,5,0,0,5,17,1321,803,518,5,0,805,521,1326
"KABUL","01","NAHIA 04","0101","0101052","Mohammad Alam Faizzad High School","Shahr Aara","Old","no change",2070,45,19,0,5,0,0,14,7,2023,1447,576,2,0,1449,576,2025
