"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0101001","Reporting","KABUL","01","NAHIA 01","0101","Sar e Gardana Mosque","Sar e Gardanah","Relocated","no change",462,31,21,1,2,0,0,6,1,430,333,97,0,1,334,97,431
"0101002","Reporting","KABUL","01","NAHIA 01","0101","Derakht e Shing Mosque","Darakht e Shing","New","no change",828,28,19,0,2,0,0,6,1,799,568,231,1,0,569,231,800
"0101003","Reporting","KABUL","01","NAHIA 01","0101","Mullah Mahmood Mosque","Shor Bazar","Old","no change",2292,73,30,0,14,0,0,25,4,2104,1566,538,5,110,1636,583,2219
"0101004","Reporting","KABUL","01","NAHIA 01","0101","Daqiqi Balkhi Secondary School","Saraji, Kocha e Aahengari","Old","no change",1283,29,6,0,11,0,0,9,3,1251,930,321,3,0,933,321,1254
"0101005","Reporting","KABUL","01","NAHIA 01","0101","Aakhir e Jada Mosque","Jadah e Maiwand","Old","no change",771,35,9,0,8,0,0,9,9,731,731,0,5,0,736,0,736
"0101006","Reporting","KABUL","01","NAHIA 01","0101","Eidgah Mosque","Eidgah","Old","no change",1020,28,6,0,4,0,0,10,8,986,708,278,6,0,709,283,992
"0101007","Reporting","KABUL","01","NAHIA 01","0101","Ansuri Balkhi School","Bagh e Ali Mardan","Old","no change",1224,40,19,0,4,0,0,13,4,1176,1011,165,8,0,1019,165,1184
"0101008","Reporting","KABUL","01","NAHIA 01","0101","Aayesha Durani High School","Pul E bagh Umomi","Old","no change",1890,55,10,0,17,0,0,22,6,1829,1541,288,6,0,1547,288,1835
"0101009","Reporting","KABUL","01","NAHIA 01","0101","Mastoori Ghoori Secondary School","Babai Khudi","Old","no change",1392,38,16,0,6,0,0,13,3,1351,1174,177,2,1,1177,177,1354
"0101010","Reporting","KABUL","01","NAHIA 01","0101","Aasheqan wa Arefan High School","Kocha e Achakzai","Old","no change",600,30,12,0,2,0,0,11,5,570,499,71,0,0,499,71,570
