"pc_code","prelim_results_status","province_name","province_code","district_name","district_code","pc_name","pc_location","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"0101011","Reporting","KABUL","01","NAHIA 01","0101","Aasheqan wa Arefan Secondary School","SehDukan Chindawal","Old","no change",1788,61,31,0,7,0,0,17,6,1727,1172,555,0,0,1172,555,1727
"0101012","Reporting","KABUL","01","NAHIA 01","0101","Sar e Karez Mosque","Bala Joi Asheqan Arefan","Relocated","no change",732,29,8,0,7,0,0,11,3,703,499,204,0,0,499,204,703
"0101013","Reporting","KABUL","01","NAHIA 01","0101","Bala Qilla Mosque","Masjid e Bala Qilla Asheqan wa Arefan","Old","no change",1110,65,12,0,4,0,0,39,10,1045,818,227,0,0,818,227,1045
"0101014","Reporting","KABUL","01","NAHIA 01","0101","Mahjooba High School","Chindawal","Relocated","no change",817,38,23,0,2,0,0,11,2,773,484,289,6,0,490,289,779
"0101015","Reporting","KABUL","01","NAHIA 01","0101","Takya Khanahh Jafarya","Chindawal","Relocated","no change",3318,138,33,0,17,0,0,64,24,3178,2281,897,2,0,2283,897,3180
"0101016","Reporting","KABUL","01","NAHIA 01","0101","Imam Baqer Mosque","Hazaraha ha village","Old","no change",1710,63,28,0,7,0,0,14,14,1647,1025,622,0,0,1025,622,1647
"0101017","Reporting","KABUL","01","NAHIA 02","0101","Qari Abdullah School","Joi Sheer Deh Afghanan ","Old","no change",570,22,11,0,2,0,0,4,5,548,341,207,0,0,341,207,548
"0101018","Reporting","KABUL","01","NAHIA 02","0101","Hazrat Nabawi Jame Mosque","Joi Sheer  ","Relocated","no change",2128,47,9,0,7,0,0,18,13,2073,1494,579,4,4,1501,580,2081
"0101020","Reporting","KABUL","01","NAHIA 02","0101","Ranga Mosque","Deh Afghanan","Old","no change",1252,72,17,0,7,0,0,23,25,1179,944,235,0,1,945,235,1180
"0101021","Reporting","KABUL","01","NAHIA 02","0101","Trade technical Institute (Institute Maslaki Teja)","Shah E Do Shamsherah","Relocated","no change",1764,63,9,0,6,0,0,33,15,1698,1463,235,3,0,1466,235,1701
"0101022","Reporting","KABUL","01","NAHIA 02","0101","Zyarat Abul Fazal","Murad Khani","Old","no change",1134,57,14,0,10,0,0,22,11,1061,976,85,14,2,992,85,1077
"0101023","Reporting","KABUL","01","NAHIA 02","0101","Isteqlal High School","Park e Zarnigar","Old","no change",2334,71,14,0,11,0,0,32,14,2255,1951,304,8,0,1959,304,2263
"0101024","Reporting","KABUL","01","NAHIA 02","0101","Nayeb Salar Mosque","Qoul e Aab Chakan","Old","no change",3480,144,17,0,11,0,0,27,89,3332,2504,828,4,0,2507,829,3336
"0101025","Reporting","KABUL","01","NAHIA 02","0101","Imam Azam Mosque","Gardanah e Sakhi","New","no change",1414,117,14,0,6,0,0,55,42,1296,754,542,1,0,754,543,1297
"0101026","Reporting","KABUL","01","NAHIA 02","0101","Zabihullah Shaheed High School","Kart e Aryana","Old","no change",3798,126,24,0,23,0,0,41,38,3669,2778,891,3,0,2781,891,3672
"0101028","Reporting","KABUL","01","NAHIA 02","0101","Wazeer Mohammad Akbar Khan Secondary School","Kart e Parwan","Old","no change",1584,69,20,0,5,0,0,24,20,1514,1052,462,1,0,1052,463,1515
"0101029","Reporting","KABUL","01","NAHIA 02","0101","Naderia High School","Kart e Parwan","Old","no change",3780,125,11,0,10,0,0,71,33,3622,3002,620,29,4,3025,630,3655
"0101031","Reporting","KABUL","01","NAHIA 02","0101","Ma'az ibne Jabal Mosque","Kart e Parwan","Old","no change",936,30,8,0,3,0,0,11,8,905,622,283,1,0,623,283,906
"0101032","Reporting","KABUL","01","NAHIA 02","0101","Abdullah bin Masoud Mosque","Bagh e Bala","Old","no change",2177,183,11,0,32,0,0,80,60,1989,1620,369,5,0,1623,371,1994
"0101033","Reporting","KABUL","01","NAHIA 03","0101","Sayed Jamaluddin Experimental Secondary School","Sarai Ghazni","Old","no change",1122,39,15,0,3,0,0,12,9,1083,705,378,0,0,705,378,1083
"0101034","Reporting","KABUL","01","NAHIA 03","0101","Afghan Technology Institute","Kart e Chahar","Old","no change",1920,103,15,0,11,0,0,46,31,1817,1545,272,0,0,1545,272,1817
"0101035","Reporting","KABUL","01","NAHIA 03","0101","Sayed Jamaluddin Secondary School","Kart e Chahar","Old","no change",3334,151,38,0,19,0,0,61,33,3182,2209,973,1,0,2210,973,3183
"0101036","Reporting","KABUL","01","NAHIA 03","0101","Raabia Balkhi High School","Kart e Chahar","Old","no change",2886,96,25,0,16,0,0,40,15,2787,1694,1093,3,0,1697,1093,2790
"0101037","Reporting","KABUL","01","NAHIA 03","0101","Amir Dost Mohammad Khan School","Dehmazang","Old","no change",2238,105,27,1,20,0,0,25,32,2130,1617,513,3,0,1618,515,2133
"0101038","Reporting","KABUL","01","NAHIA 03","0101","Hanzalla Mosque","Dehmazang","Old","no change",1074,79,14,0,18,0,0,32,15,995,665,330,0,0,665,330,995
"0101039","Reporting","KABUL","01","NAHIA 03","0101","Amir Hamza Secondary School","Nawabad Dehmazang","Old","no change",2358,126,25,0,15,0,0,53,33,2232,1669,563,0,0,1669,563,2232
"0101040","Reporting","KABUL","01","NAHIA 03","0101","Mohammadia Mosque","Sarak e Awal","Old","no change",1885,97,6,0,24,0,0,45,22,1787,1255,532,1,0,1256,532,1788
"0101041","Reporting","KABUL","01","NAHIA 03","0101","Jamal Mena, no. 13 Secondary School","Jamal Mena","Old","no change",2228,122,18,0,20,0,0,63,21,2106,1116,990,0,0,1116,990,2106
"0101042","Reporting","KABUL","01","NAHIA 03","0101","Jamal Mena, no. 12 Preliminary School","Qesmat e Awal Kart e Sakhi","Old","no change",4344,165,29,0,27,0,0,52,57,4179,2821,1358,0,0,2821,1358,4179
"0101043","Reporting","KABUL","01","NAHIA 03","0101","Legal Faculty (Pohanzai Huqooq)","Puhantoon Kabul (Kabul University)","Old","no change",3252,107,31,0,24,0,0,40,12,3141,2320,821,4,0,2324,821,3145
"0101044","Reporting","KABUL","01","NAHIA 03","0101","Durkhanai High School","Kart e Mamoreen","Relocated","no change",3030,113,9,0,16,0,0,50,38,2915,1828,1087,2,0,1828,1089,2917
"0101045","Reporting","KABUL","01","NAHIA 03","0101","Sang Kashan Mosque","Seelo Road","Old","no change",1164,34,1,0,7,0,0,14,12,1130,959,171,0,0,959,171,1130
"0101046","Reporting","KABUL","01","NAHIA 03","0101","Sufi Islam School","Estgah e Aakhir Puhantoon","Old","no change",5562,196,49,0,29,0,0,58,60,5358,3455,1903,8,0,3459,1907,5366
"0101047","Reporting","KABUL","01","NAHIA 03","0101","Mahmood Hotaki High School","Deh bori","Old","no change",5254,250,28,0,25,0,0,130,67,4987,4146,841,17,0,4163,841,5004
"0101048","Reporting","KABUL","01","NAHIA 04","0101","Ghazi Mohammad Ayub School no.1","Bagh e Bala","Old","no change",2206,72,10,0,19,0,0,29,14,2005,1303,702,9,120,1393,741,2134
"0101049","Reporting","KABUL","01","NAHIA 04","0101","Raabia High School","Kart e Parwan","Old","no change",3240,56,6,0,15,0,0,24,11,3170,1907,1263,13,1,1918,1266,3184
"0101050","Reporting","KABUL","01","NAHIA 04","0101","Haji Ghulam Dastagir Mosque","Shahr Aara","Old","no change",2376,49,7,0,6,0,0,31,5,2325,1732,593,2,0,1734,593,2327
"0101051","Reporting","KABUL","01","NAHIA 04","0101","Imam Reza e Ghareeb Mosque","Kolola Pushta","Old","no change",1374,48,21,0,5,0,0,5,17,1321,803,518,5,0,805,521,1326
"0101052","Reporting","KABUL","01","NAHIA 04","0101","Mohammad Alam Faizzad High School","Shahr Aara","Old","no change",2070,45,19,0,5,0,0,14,7,2023,1447,576,2,0,1449,576,2025
"0101053","Reporting","KABUL","01","NAHIA 04","0101","Jamhoriat High School","Salang Watt","Old","no change",906,27,13,0,3,0,0,3,8,878,656,222,1,0,657,222,879
"0101054","Reporting","KABUL","01","NAHIA 04","0101","Malalai Girls High School","Char Rahi Sedarat (Sedarat Square)","Old","no change",1974,51,8,0,17,0,0,14,12,1920,1626,294,2,1,1628,295,1923
"0101055","Reporting","KABUL","01","NAHIA 04","0101","Khwaja Abdullah Ansari Mosque","Shahr e Naw Petrol pump","Old","no change",954,41,10,0,6,0,0,22,3,910,797,113,3,0,800,113,913
"0101056","Reporting","KABUL","01","NAHIA 04","0101","Khwaja Ali Mowafaq Mosque","Shahr e Naw    ","Old","no change",2436,53,13,0,13,0,0,10,17,2381,2106,275,2,0,2108,275,2383
"0101057","Reporting","KABUL","01","NAHIA 04","0101","Haji Mohammad Dad Mosque","Taimani","Old","no change",3647,103,26,0,12,0,0,41,24,3538,2463,1075,6,0,2465,1079,3544
"0101058","Reporting","KABUL","01","NAHIA 04","0101","Naser Khesraw Balkhi Secondary School","Char Rahi Taimani ","Old","no change",1794,62,13,0,11,0,0,18,20,1703,1243,460,29,0,1261,471,1732
"0101059","Reporting","KABUL","01","NAHIA 04","0101","Ismaelia Jamat Khana","Char Rahi Taimani ","Old","no change",7529,181,22,0,29,0,0,36,94,7344,4625,2719,4,0,4626,2722,7348
"0101060","Reporting","KABUL","01","NAHIA 04","0101","Ustad Misbah High School","Sark e doum Taimani","Old","no change",3683,105,13,0,15,0,0,41,36,3495,2288,1207,83,0,2334,1244,3578
"0101061","Reporting","KABUL","01","NAHIA 04","0101","Malika Suraya Girls School","Puroujah Taimani","Old","no change",7794,240,29,0,65,0,0,73,73,7516,4242,3274,38,0,4244,3310,7554
"0101062","Reporting","KABUL","01","NAHIA 04","0101","Tajwar Sultana Girls School","Char Rahi Taimani ","Old","no change",5604,245,27,0,43,0,0,125,50,5244,3248,1996,115,0,3317,2042,5359
"0101063","Reporting","KABUL","01","NAHIA 04","0101","Mohammad Sediq Farhang School","Shahrak Police","Old","no change",3336,101,14,0,28,0,0,31,28,3192,2193,999,43,0,2225,1010,3235
"0101064","Reporting","KABUL","01","NAHIA 04","0101","Deh Keepak Girls School","Nawabad Dehkeepak","Old","no change",3200,103,18,0,13,0,0,44,28,3096,2010,1086,1,0,2010,1087,3097
"0101065","Reporting","KABUL","01","NAHIA 05","0101","Fazel Baig Secondary School","Aabrasani","Old","no change",3330,169,31,0,17,0,0,88,33,3143,2412,731,18,0,2426,735,3161
"0101066","Reporting","KABUL","01","NAHIA 05","0101","Shuhadai Fazel Baig Mosque","Fazel Baig","New","no change",1794,91,33,0,5,0,0,46,7,1703,1341,362,0,0,1341,362,1703
"0101067","Reporting","KABUL","01","NAHIA 05","0101","Hazrat Usman Mosque","Fazel Baig village","Old","no change",2808,108,15,0,9,0,0,63,21,2689,2161,528,11,0,2168,532,2700
"0101068","Reporting","KABUL","01","NAHIA 05","0101","Itefaq Mosque","Qalla e Toofan","Old","no change",2226,168,35,0,19,0,0,94,20,1984,1596,388,74,0,1653,405,2058
"0101069","Reporting","KABUL","01","NAHIA 05","0101","Haji Yaqoub Jame Mosque","Niaz Baig village","Old","no change",2238,66,9,0,16,0,0,34,7,2142,1573,569,30,0,1587,585,2172
"0101070","Reporting","KABUL","01","NAHIA 05","0101","Naheed Shaheed High School","B Section- Khusahal Khan Mena","Old","no change",3846,172,44,0,30,0,0,79,19,3650,2072,1578,24,0,2085,1589,3674
"0101071","Reporting","KABUL","01","NAHIA 05","0101","Mohammad Ismael Hasanzai High School","B Section- Khusahal Khan Mena","Old","no change",3408,152,30,0,19,0,0,81,22,3250,2271,979,6,0,2277,979,3256
"0101072","Reporting","KABUL","01","NAHIA 05","0101","Mir Ghulam Mohammad Ghubar High School","Speen Kalai","Old","no change",2364,165,44,0,10,0,0,96,15,2187,1811,376,12,0,1820,379,2199
"0101073","Reporting","KABUL","01","NAHIA 05","0101","Mohammadi Darulhefaz Mosque","B Section- Khusahal Khan Mena","Old","no change",2778,181,76,0,13,0,0,67,25,2592,2075,517,5,0,2079,518,2597
"0101074","Reporting","KABUL","01","NAHIA 05","0101","Wardaki ha Mosque","Sarai Herati ha","Old","no change",3882,176,83,0,17,0,0,67,9,3688,2724,964,18,0,2734,972,3706
"0101075","Reporting","KABUL","01","NAHIA 05","0101","Imam Hussain Mosque","Dewan Begi","Old","no change",1572,96,43,0,7,0,0,34,12,1432,957,475,44,0,972,504,1476
"0101076","Reporting","KABUL","01","NAHIA 05","0101","Speen Kalai Girls High School","Section A - Khushal Khan Mena","Old","no change",3000,80,31,0,11,0,0,21,17,2914,1825,1089,6,0,1831,1089,2920
"0101077","Reporting","KABUL","01","NAHIA 05","0101","Hazrat Shamsul Mashaikh High School","Section A - Khushal Khan Mena","Old","no change",3138,122,47,0,44,0,0,17,14,2991,2174,817,25,0,2199,817,3016
"0101078","Reporting","KABUL","01","NAHIA 05","0101","Prof. Rasoul Amin High School","B Section- Khusahal Khan Mena","Old","no change",1980,110,34,0,11,0,0,38,27,1868,1284,584,2,0,1285,585,1870
"0101079","Reporting","KABUL","01","NAHIA 05","0101","Polytechnic Mosque","Polytechnic ","Old","no change",2244,134,45,0,9,0,0,72,8,2108,1803,305,1,1,1804,306,2110
"0101080","Reporting","KABUL","01","NAHIA 05","0101","Jaghori ha Mosque","Afshar Seelo","Old","no change",3330,257,48,0,15,0,0,170,24,3070,1754,1316,3,0,1757,1316,3073
"0101081","Reporting","KABUL","01","NAHIA 05","0101","Sahib Zaman Mosque","Afshar Seelo","Old","no change",3569,178,103,0,19,0,0,47,9,3390,2086,1304,1,0,2087,1304,3391
"0101082","Reporting","KABUL","01","NAHIA 05","0101","Abu Zar Ghafari High School","Char Rahi Qambar","Relocated","no change",6234,256,44,0,40,0,0,77,95,5962,3805,2157,16,0,3818,2160,5978
"0101083","Reporting","KABUL","01","NAHIA 05","0101","Ayub Saber Mosque","Nawabad Qargha","Old","no change",6846,360,127,3,63,0,0,56,111,6257,4638,1619,228,1,4846,1640,6486
"0101084","Reporting","KABUL","01","NAHIA 05","0101","Deh e Araban School","Qargha","Old","no change",2874,89,39,0,7,0,0,33,10,2778,1643,1135,7,0,1649,1136,2785
"0101085","Reporting","KABUL","01","NAHIA 05","0101","Shah e Awlya Mosque","Qargha","Old","no change",1110,54,32,0,3,0,0,15,4,1048,704,344,8,0,712,344,1056
"0101086","Reporting","KABUL","01","NAHIA 05","0101","Hazrat Bilal Mosque","Qalla e Kashif","Old","no change",2778,176,44,0,19,0,0,90,23,2548,2164,384,54,0,2216,386,2602
"0101087","Reporting","KABUL","01","NAHIA 05","0101","Hazrat Mohammad (pbuh) Mosque","Rigration","Relocated","no change",3486,179,64,0,13,0,0,68,34,3163,2151,1012,144,0,2269,1038,3307
"0101088","Reporting","KABUL","01","NAHIA 05","0101","Qalla e Kashif High School","Company Bazzar","Old","no change",8610,369,40,1,43,0,0,171,114,7398,5698,1700,843,0,6303,1938,8241
"0101089","Reporting","KABUL","01","NAHIA 05","0101","Shaheed Mosque","Qaryah e Wardaki ha (Wardaki ha village)","Old","no change",2964,100,11,0,10,0,0,64,15,2822,2246,576,42,0,2284,580,2864
"0101090","Reporting","KABUL","01","NAHIA 06","0101","Sar Aasyab Girls High School","Sar Aasyab","Old","no change",2286,86,30,0,16,0,0,19,21,2194,1194,1000,6,0,1200,1000,2200
"0101091","Reporting","KABUL","01","NAHIA 06","0101","Shah E Welayat Ma'ab Mosque","Afshar Darul Aman","Old","no change",2022,81,29,0,7,0,0,19,26,1920,1209,711,21,0,1222,719,1941
"0101092","Reporting","KABUL","01","NAHIA 06","0101","Qalla e Bakhtyar High School","Nawabad Qalla e Bakhtyar","Relocated","no change",3540,155,38,0,13,0,0,31,73,3377,2208,1169,8,0,2210,1175,3385
"0101094","Reporting","KABUL","01","NAHIA 06","0101","Finance and Accounting Institute (Mali wa Hesabi *","Darulaman","Old","no change",2076,89,25,0,17,0,0,19,28,1983,1408,575,4,0,1412,575,1987
"0101095","Reporting","KABUL","01","NAHIA 06","0101","Jafaria Mosque","Alauddin","Old","no change",2166,90,26,0,26,0,0,8,30,2076,1091,985,0,0,1091,985,2076
"0101096","Reporting","KABUL","01","NAHIA 06","0101","Mohammadia Mosque","Kart e seh(3)","Old","no change",3288,144,54,0,19,0,0,24,47,3135,2199,936,9,0,2207,937,3144
"0101097","Reporting","KABUL","01","NAHIA 06","0101","Abdul Ghani Mostaghni High School","Kart e seh(3)","Old","no change",1524,66,40,0,2,0,0,9,15,1456,1046,410,2,0,1048,410,1458
"0101099","Reporting","KABUL","01","NAHIA 06","0101","Resalat Madrassah","Qalla e Wazir","Old","no change",3516,129,37,0,24,0,0,23,45,3387,1756,1631,0,0,1756,1631,3387
"0101100","Reporting","KABUL","01","NAHIA 06","0101","Safed Mosque (White Mosque)","Qalla e Wazir","Old","no change",4662,134,15,0,14,0,0,33,72,4525,2201,2324,3,0,2203,2325,4528
"0101101","Reporting","KABUL","01","NAHIA 06","0101","Ahmadi Mosque","Dash hai Haji Hussain","Old","no change",5730,190,19,0,27,0,0,58,86,5540,3461,2079,0,0,3461,2079,5540
"0101102","Reporting","KABUL","01","NAHIA 06","0101","Wahdat Takya Khanahh","Pul e Wahdat","Old","no change",2688,96,43,0,7,0,0,12,34,2591,1516,1075,1,0,1516,1076,2592
"0101103","Reporting","KABUL","01","NAHIA 06","0101","Ummul Baneen High School","Qalla e Shahadah","Old","no change",3918,157,27,0,21,0,0,26,83,3761,2003,1758,0,0,2003,1758,3761
"0101104","Reporting","KABUL","01","NAHIA 06","0101","Jamia Al Islam Madrassah","Pul e Sukhta","Old","no change",1632,84,35,0,6,0,0,7,36,1547,717,830,1,0,717,831,1548
"0101105","Reporting","KABUL","01","NAHIA 06","0101","Wali Aser Jame Mosque","Markaz e Telegraph (Telegraph center)","Relocated","no change",2232,93,24,0,7,0,0,19,43,2139,1175,964,0,0,1175,964,2139
"0101106","Reporting","KABUL","01","NAHIA 06","0101","Mohammad Asef Mael High School","Qalla e Nazer","Old","no change",2154,95,36,0,27,0,0,12,20,2059,1314,745,0,0,1314,745,2059
"0101109","Reporting","KABUL","01","NAHIA 06","0101","Hazrat e Rasoul Mosque","Nawabad Qalla e Jabar Khan","Old","no change",1266,46,22,0,6,0,0,7,11,1219,592,627,1,0,593,627,1220
"0101110","Reporting","KABUL","01","NAHIA 06","0101","Nabi Akram Mosque","Phase-III, Shahrak Hji Nabi","Old","no change",3714,80,32,0,6,0,0,18,24,3629,2340,1289,5,0,2345,1289,3634
"0101112","Reporting","KABUL","01","NAHIA 06","0101","Sarwar e Kainat Mosque","Qalla e Mohammad Hayat","Old","no change",1890,70,26,0,24,0,0,9,11,1816,1081,735,4,0,1085,735,1820
"0101113","Reporting","KABUL","01","NAHIA 06","0101","Chahar Qalla High School","Chahar Qalla","Old","no change",4440,123,28,0,26,0,0,12,57,4317,2732,1585,0,0,2732,1585,4317
"0101114","Reporting","KABUL","01","NAHIA 06","0101","Baqer ul Uloom Madrassah","Qalla e Ainullah","Old","no change",3184,118,19,0,15,0,0,18,66,3065,2399,666,1,0,2400,666,3066
"0101115","Reporting","KABUL","01","NAHIA 06","0101","Salman e Farsi Mosque","Qalla e Abbas Quli","Old","no change",5082,172,43,0,27,0,0,35,67,4905,2191,2714,5,0,2196,2714,4910
"0101116","Reporting","KABUL","01","NAHIA 06","0101","Safiullah Afzali High School","Qalla e Muslim, Sar Aasyab","New","no change",1448,78,29,0,7,0,0,7,35,1320,926,394,50,0,952,418,1370
"0101117","Reporting","KABUL","01","NAHIA 07","0101","Lais Bin e Qais Mosque","Reeshkhor Sufla","Old","no change",444,27,17,0,1,0,0,1,8,417,290,127,0,0,290,127,417
"0101118","Reporting","KABUL","01","NAHIA 07","0101","Family Haee Reeshkhor High School","Family hai Reeshkhor","Old","no change",3882,199,27,1,26,0,0,113,32,3682,2206,1476,1,0,2206,1477,3683
"0101119","Reporting","KABUL","01","NAHIA 07","0101","Qalla e Fatoh Ahmadia Mosque","Qalla e Fatoh","Old","no change",2574,68,21,0,17,0,0,8,22,2493,1605,888,13,0,1617,889,2506
"0101120","Reporting","KABUL","01","NAHIA 07","0101","Ghazi Abdullah High School","Qalla e Asfandyar","Old","no change",2220,89,27,0,11,0,0,8,43,2130,1503,627,1,0,1504,627,2131
"0101121","Reporting","KABUL","01","NAHIA 07","0101","Ibrahim Khalil Jame Mosque","Dogh Abad Shahsdarak","Old","no change",5532,246,26,0,36,0,0,31,153,5270,3584,1686,16,0,3595,1691,5286
"0101122","Reporting","KABUL","01","NAHIA 07","0101","Chehlsutoon Girls High School","Noh Burjah Chehelsutoon","Old","no change",3234,77,35,0,8,0,0,13,21,3147,1860,1287,10,0,1866,1291,3157
"0101123","Reporting","KABUL","01","NAHIA 07","0101","Eidgah Mosque","Chehelsutoon","Old","no change",2076,46,8,0,15,0,0,11,12,1998,1465,533,32,0,1495,535,2030
"0101124","Reporting","KABUL","01","NAHIA 07","0101","Ghazi Ade Girls High School","Tannai Kot","Old","no change",3708,116,30,0,19,0,0,37,30,3592,2303,1289,0,0,2303,1289,3592
"0101125","Reporting","KABUL","01","NAHIA 07","0101","Technical Institute","Tannai Kot","Old","no change",2809,135,19,1,14,0,0,62,39,2661,2093,568,13,0,2106,568,2674
"0101126","Reporting","KABUL","01","NAHIA 07","0101","Omara Khan High School","Wasel Abad","Old","no change",2676,129,55,0,20,0,0,33,21,2546,1718,828,1,0,1719,828,2547
"0101127","Reporting","KABUL","01","NAHIA 07","0101","Hazarat E Nabawi Mosque","Wasel Abad","Old","no change",3017,104,37,0,11,0,0,29,27,2911,2018,893,2,0,2020,893,2913
"0101128","Reporting","KABUL","01","NAHIA 07","0101","Aaqa Ali Shams High Shool","Aqa Ali Shams, Chehelsutoon","Old","no change",4998,122,55,0,25,0,0,29,13,4875,2893,1982,1,0,2893,1983,4876
"0101129","Reporting","KABUL","01","NAHIA 07","0101","Sultan Razia Girls High School","Bagh e Raees","Old","no change",4032,112,21,0,22,0,0,29,40,3915,2013,1902,4,1,2017,1903,3920
"0101130","Reporting","KABUL","01","NAHIA 07","0101","Aemeni Girls High School","Jangalak","Old","no change",2280,43,12,0,10,0,0,13,8,2236,1303,933,1,0,1303,934,2237
"0101131","Reporting","KABUL","01","NAHIA 07","0101","Khushal Khan High School","Chehelsutoon Road","Old","no change",2130,110,24,0,12,0,0,19,55,2018,1718,300,2,0,1719,301,2020
"0101132","Reporting","KABUL","01","NAHIA 07","0101","Guzargah Girls Secondary School","Hesa e Doum","Old","no change",2850,133,34,0,13,0,0,52,34,2711,1722,989,6,0,1727,990,2717
"0101133","Reporting","KABUL","01","NAHIA 07","0101","Guzargah Girls High School","Guzargah","Old","no change",516,34,14,0,3,0,0,11,6,482,298,184,0,0,298,184,482
"0101134","Reporting","KABUL","01","NAHIA 07","0101","Habibia Girls High School","Darulaman road","Old","no change",4434,159,34,0,33,0,0,66,26,4263,3454,809,12,0,3465,810,4275
"0101135","Reporting","KABUL","01","NAHIA 07","0101","Ayub Khan Mosque","Ayub Khan Mena","Old","no change",1500,83,33,0,5,0,0,23,22,1395,938,457,22,0,952,465,1417
"0101136","Reporting","KABUL","01","NAHIA 07","0101","Sardar e Kabuli Girls High School","Seh(3) Rahi Allauddin","Old","no change",7488,256,21,0,87,0,0,38,110,7227,3876,3351,5,0,3881,3351,7232
"0101137","Reporting","KABUL","01","NAHIA 07","0101","Mohammadia Mosque","Jai Raees","Relocated","no change",1722,72,18,0,8,0,0,17,29,1649,969,680,1,0,969,681,1650
"0101138","Reporting","KABUL","01","NAHIA 07","0101","Ataullah Faizani Secondary School","Deh Murad Khan Road","Old","no change",1457,63,23,0,6,0,0,15,19,1393,794,599,1,0,795,599,1394
"0101139","Reporting","KABUL","01","NAHIA 07","0101","Deh Dana Girls High School","Deh Dana","Old","no change",4931,153,30,0,25,0,0,29,69,4773,2864,1909,5,0,2865,1913,4778
"0101140","Reporting","KABUL","01","NAHIA 07","0101","Mehrabuddin High School","Chehelsutoon Road, Deh Dana","Old","no change",5622,95,15,0,19,0,0,46,15,5512,3851,1661,15,0,3858,1669,5527
"0101141","Reporting","KABUL","01","NAHIA 08","0101","Abdul Rahman e Pazhwak High School","Puroujah Rahman Mena","Old","no change",5999,216,15,0,24,0,0,37,140,5682,3984,1698,101,0,4059,1724,5783
"0101142","Reporting","KABUL","01","NAHIA 08","0101","Zabihullah Esmati High School","Du sad Family","Old","no change",3210,121,22,0,18,0,0,16,65,3031,1946,1085,58,0,1994,1095,3089
"0101143","Reporting","KABUL","01","NAHIA 08","0101","Hazrat Bilal Mosque","Rahman Mena Chamandi","New","no change",1770,79,27,0,38,0,0,7,7,1521,994,527,170,0,1125,566,1691
"0101144","Reporting","KABUL","01","NAHIA 08","0101","Zakhil wa Mohmand Mosque","Kart e Naw","Old","no change",3599,128,44,0,16,0,0,33,35,3014,2026,988,457,0,2320,1151,3471
"0101145","Reporting","KABUL","01","NAHIA 08","0101","Huzoor Hazrat Nabi Mosque","Behind the CoCa Cola factory","Old","no change",3000,93,30,0,7,0,0,38,18,2896,2317,579,11,0,2328,579,2907
"0101146","Reporting","KABUL","01","NAHIA 08","0101","Hazarat Bilal Mosque","Kart e Naw","Relocated","no change",1500,100,38,0,29,0,0,4,29,1160,749,411,239,1,879,521,1400
