PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
2103048,1,M,7,1,33,123,SAYAD,Sar-i-Pul,21,FALSE,M,1,1691172,1691172
2104084,2,F,4,7,9,124,KOHISTANAT,Sar-i-Pul,21,FALSE,F,1,7727510,7727510
2104063,1,M,24,0,2,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,1635501,1635501
2104076,1,M,32,24,0,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,2,13874583,13874583
2103049,1,M,31,1,12,123,SAYAD,Sar-i-Pul,21,FALSE,M,1,1677550,1677550
2101001,8,F,1,10,6,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,1,8997310,8997310
2104066,3,F,15,345,12,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,1827159,1827159
2106104,3,F,1,2,37,126,SANGCHARAK,Sar-i-Pul,21,FALSE,F,1,8997310,8997310
2101014,3,F,4,58,7,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,1,7727510,7727510
2101017,2,M,15,9,8,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1827159,1827159
2104079,2,F,34,20,9,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,1508158,1508158
2104077,1,M,22,0,3,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,8997304,8997304
2101003,4,F,1,51,41,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,1,8997310,8997310
2101013,1,M,21,0,8,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1475566,1475566
2106121,1,M,26,119,4,126,SANGCHARAK,Sar-i-Pul,21,FALSE,M,1,7727514,7727514
2101004,2,M,23,1,19,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,2,327089,327089
2101001,6,F,5,4,13,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,7727504,7727504
2101004,4,F,5,2,28,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,7727504,7727504
2104079,2,F,19,11,9,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,7727513,7727513
2101001,4,M,22,1,17,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,8997304,8997304
2106117,2,M,29,1,32,126,SANGCHARAK,Sar-i-Pul,21,FALSE,M,1,1824393,1824393
2101010,4,F,23,0,7,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,2,327089,327089
2104063,3,F,13,1,2,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,8997308,8997308
2106109,1,M,22,1,11,126,SANGCHARAK,Sar-i-Pul,21,FALSE,M,1,8997304,8997304
2101003,4,F,34,36,41,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1508158,1508158
2104079,1,M,15,87,4,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,1827159,1827159
2103048,4,F,1,9,21,123,SAYAD,Sar-i-Pul,21,FALSE,F,1,8997310,8997310
2101029,4,F,32,7,21,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,2,13874583,13874583
2101029,1,M,6,0,4,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,1,8997302,8997302
2106114,2,M,38,0,5,126,SANGCHARAK,Sar-i-Pul,21,FALSE,M,1,8997301,8997301
2104082,2,F,23,9,47,124,KOHISTANAT,Sar-i-Pul,21,FALSE,F,2,327089,327089
2101010,2,M,38,1,4,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,8997301,8997301
2101012,1,M,35,2,10,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,1,8997315,8997315
2101001,2,M,42,1,8,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,54,1508673,1508673
2101010,3,M,10,0,11,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,F,1,7174692,7174692
2101006,4,F,13,9,15,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,8997308,8997308
2107123,4,F,13,1,16,127,GOSFANDI,Sar-i-Pul,21,FALSE,M,1,8997308,8997308
2107130,4,F,30,0,25,127,GOSFANDI,Sar-i-Pul,21,FALSE,M,1,1779155,1779155
2107128,1,M,35,2,8,127,GOSFANDI,Sar-i-Pul,21,FALSE,F,1,8997315,8997315
2107133,2,M,35,2,3,127,GOSFANDI,Sar-i-Pul,21,FALSE,F,1,8997315,8997315
2104061,2,M,5,1,10,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,7727504,7727504
2107130,3,F,24,8,10,127,GOSFANDI,Sar-i-Pul,21,FALSE,M,1,1635501,1635501
2104084,1,M,43,7,2,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,1,8997303,8997303
2101017,2,M,17,1,8,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,8997314,8997314
2101018,3,F,5,0,1,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,7727504,7727504
2101027,3,F,34,2,27,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1508158,1508158
2101014,3,F,34,5,7,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1508158,1508158
2101012,2,M,2,1,5,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,54,1468017,1468017
2101026,4,M,20,1,5,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,54,8997307,8997307
2101010,4,F,17,0,7,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,8997314,8997314
2101003,5,F,11,2,53,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,54,1899204,1899204
2106111,1,M,28,1,11,126,SANGCHARAK,Sar-i-Pul,21,FALSE,M,1,1465715,1465715
2101006,4,F,37,32,15,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1488182,1488182
2104061,2,M,11,1,10,124,KOHISTANAT,Sar-i-Pul,21,FALSE,M,54,1899204,1899204
2101007,4,F,29,1,13,121,PROVINCIAL CENTER (SAR-I-PUL),Sar-i-Pul,21,FALSE,M,1,1824393,1824393
2105097,1,M,24,44,10,125,BALKHAB,Sar-i-Pul,21,FALSE,M,1,1635501,1635501
2102039,3,F,33,22,88,122,SUZMA QULA,Sar-i-Pul,21,FALSE,F,2,327004,327004
2102047,2,F,24,3,4,122,SUZMA QULA,Sar-i-Pul,21,FALSE,M,1,1635501,1635501
2105088,2,F,5,0,54,125,BALKHAB,Sar-i-Pul,21,FALSE,M,1,7727504,7727504
2102036,1,M,34,12,18,122,SUZMA QULA,Sar-i-Pul,21,FALSE,M,1,1508158,1508158
2106116,4,F,15,1,9,126,SANGCHARAK,Sar-i-Pul,21,FALSE,M,1,1827159,1827159
2102035,4,F,45,1,20,122,SUZMA QULA,Sar-i-Pul,21,FALSE,M,1,9856057,9856057
2102035,4,F,36,1,20,122,SUZMA QULA,Sar-i-Pul,21,FALSE,F,1,1712060,1712060
2105090,1,M,13,1,13,125,BALKHAB,Sar-i-Pul,21,FALSE,M,1,8997308,8997308
2102036,1,M,39,5,18,122,SUZMA QULA,Sar-i-Pul,21,FALSE,F,1,1818061,1818061
2105095,1,M,22,1,11,125,BALKHAB,Sar-i-Pul,21,FALSE,M,1,8997304,8997304
2105096,1,M,22,0,1,125,BALKHAB,Sar-i-Pul,21,FALSE,M,1,8997304,8997304
