PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
3109198,2,F,17,1,11,136,SAGHAR,Ghor,31,FALSE,M,1,2293021,2293021
3102049,3,F,6,4,4,129,DOWLATYAR,Ghor,31,FALSE,F,1,2293015,2293015
3102049,1,M,5,4,3,129,DOWLATYAR,Ghor,31,FALSE,M,1,2293004,2293004
3101004,3,F,6,8,26,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293015,2293015
3101014,2,M,15,103,4,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2389901,2389901
3101036,2,M,9,1,0,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,5786501,5786501
3101005,1,M,10,83,12,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293005,2293005
3101045,2,M,29,10,5,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,2,6064190,6064190
3101005,3,F,26,5,12,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,13545591,13545591
3101001,2,M,20,3,20,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,3241001,3241001
3103064,1,M,1,1,26,130,CHAHAR SADA,Ghor,31,FALSE,M,1,101265267,101265267
3106131,1,M,10,7,0,133,PASSABAND,Ghor,31,FALSE,M,1,2293005,2293005
3102053,1,M,18,1,4,129,DOWLATYAR,Ghor,31,FALSE,F,1,2293016,2293016
3103064,1,M,7,1,26,130,CHAHAR SADA,Ghor,31,FALSE,M,1,2293022,2293022
3109201,1,M,30,7,4,136,SAGHAR,Ghor,31,FALSE,M,1,1870446,1870446
3101035,1,M,18,0,0,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293016,2293016
3101003,3,F,21,5,12,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293014,2293014
3101019,2,M,27,312,4,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293002,2293002
3101014,1,M,27,8,3,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293002,2293002
3105110,1,M,12,2,4,132,DULEENA,Ghor,31,FALSE,F,1,383007,383007
3109197,1,M,37,1,7,136,SAGHAR,Ghor,31,FALSE,M,1,2306074,2306074
3104086,1,M,40,0,6,131,SHAHRAK,Ghor,31,FALSE,M,1,2293023,2293023
3104072,1,M,5,1,4,131,SHAHRAK,Ghor,31,FALSE,M,1,2293004,2293004
3103064,1,M,13,1,26,130,CHAHAR SADA,Ghor,31,FALSE,F,1,2293013,2293013
3107149,1,M,16,12,1,134,LAL-O-SARJANGAL,Ghor,31,FALSE,F,1,2293019,2293019
3107138,1,M,40,26,10,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,2293023,2293023
3107150,1,M,11,26,5,134,LAL-O-SARJANGAL,Ghor,31,FALSE,F,2,2293006,2293006
3107147,1,M,19,105,4,134,LAL-O-SARJANGAL,Ghor,31,FALSE,F,1,2934400,2934400
3107161,1,M,6,2,10,134,LAL-O-SARJANGAL,Ghor,31,FALSE,F,1,2293015,2293015
3109205,1,M,14,0,0,136,SAGHAR,Ghor,31,FALSE,M,1,5786900,5786900
3109203,2,F,23,43,8,136,SAGHAR,Ghor,31,FALSE,F,2,2293020,2293020
3107148,2,M,5,0,4,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,2293004,2293004
3108192,1,M,13,7,1,135,TOLAK,Ghor,31,FALSE,F,1,2293013,2293013
3101025,2,M,32,0,10,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2403824,2403824
3101029,3,F,3,28,3,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,5780036,5780036
3110222,1,M,7,0,1,137,TEYORA,Ghor,31,FALSE,M,1,2293022,2293022
3110209,3,F,37,12,4,137,TEYORA,Ghor,31,FALSE,M,1,2306074,2306074
3108182,2,F,37,1,5,135,TOLAK,Ghor,31,FALSE,M,1,2306074,2306074
3110211,3,F,38,1,3,137,TEYORA,Ghor,31,FALSE,M,1,2391691,2391691
3110232,1,M,33,1,0,137,TEYORA,Ghor,31,FALSE,M,1,6070205,6070205
3101041,1,M,8,10,9,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,5884076,5884076
3101019,1,M,31,56,11,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293017,2293017
3108189,1,M,32,0,4,135,TOLAK,Ghor,31,FALSE,M,1,2403824,2403824
3108178,1,M,26,22,8,135,TOLAK,Ghor,31,FALSE,M,1,13545591,13545591
3109201,1,M,15,0,4,136,SAGHAR,Ghor,31,FALSE,M,1,2389901,2389901
3109205,1,M,31,0,0,136,SAGHAR,Ghor,31,FALSE,F,1,2293017,2293017
3101001,4,F,8,45,14,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,5884076,5884076
3101009,1,M,39,1,3,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,13574996,13574996
3101044,5,F,14,101,0,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,5786900,5786900
3101040,2,M,18,0,5,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293016,2293016
3101011,1,M,18,1,1,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293016,2293016
3101002,1,M,23,2,13,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,2,2293020,2293020
3101005,3,F,9,201,12,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,5786501,5786501
3109201,3,F,31,3,5,136,SAGHAR,Ghor,31,FALSE,F,1,2293017,2293017
3103067,3,F,25,17,7,130,CHAHAR SADA,Ghor,31,FALSE,M,1,2293018,2293018
3101045,2,M,14,237,5,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,5786900,5786900
3101045,4,F,10,339,8,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293005,2293005
3101005,1,M,12,11,12,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,383007,383007
3101007,1,M,35,1,8,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,2,8839042,8839042
3103070,2,M,26,2,0,130,CHAHAR SADA,Ghor,31,FALSE,M,1,13545591,13545591
3101007,3,F,33,192,7,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,6070205,6070205
3101032,2,M,1,0,0,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,101265267,101265267
3104086,1,M,12,0,6,131,SHAHRAK,Ghor,31,FALSE,F,1,383007,383007
3107166,2,F,21,1,4,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,2293014,2293014
3107170,1,M,20,116,10,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,3241001,3241001
3105102,2,F,15,17,6,132,DULEENA,Ghor,31,FALSE,M,1,2389901,2389901
3103060,1,M,2,6,4,130,CHAHAR SADA,Ghor,31,FALSE,M,1,13592386,13592386
3107174,2,F,40,19,2,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,2293023,2293023
3104095,2,F,22,1,0,131,SHAHRAK,Ghor,31,FALSE,M,1,9337871,9337871
3107170,1,M,24,0,10,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,2293001,2293001
3109198,2,F,13,0,11,136,SAGHAR,Ghor,31,FALSE,F,1,2293013,2293013
3104090,1,M,18,71,0,131,SHAHRAK,Ghor,31,FALSE,F,1,2293016,2293016
3101013,3,F,11,0,1,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,2,2293006,2293006
3101003,1,M,35,222,24,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,2,8839042,8839042
3101013,2,M,40,0,4,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293023,2293023
3101032,1,M,2,31,12,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,13592386,13592386
3101002,1,M,29,6,13,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,2,6064190,6064190
3101011,1,M,38,2,1,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2391691,2391691
3104086,2,F,8,21,12,131,SHAHRAK,Ghor,31,FALSE,M,1,5884076,5884076
3101040,2,M,26,0,5,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,13545591,13545591
3107162,1,M,25,135,12,134,LAL-O-SARJANGAL,Ghor,31,FALSE,M,1,2293018,2293018
3101025,2,M,1,0,10,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,101265267,101265267
3101040,2,M,1,1,5,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,101265267,101265267
3101027,3,F,7,6,9,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293022,2293022
3101028,1,M,13,1,10,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293013,2293013
3104096,1,M,26,6,4,131,SHAHRAK,Ghor,31,FALSE,M,1,13545591,13545591
3110219,2,M,20,0,6,137,TEYORA,Ghor,31,FALSE,M,1,3241001,3241001
3108187,3,F,11,0,6,135,TOLAK,Ghor,31,FALSE,F,2,2293006,2293006
3110222,3,F,21,0,0,137,TEYORA,Ghor,31,FALSE,M,1,2293014,2293014
3104096,2,F,33,0,12,131,SHAHRAK,Ghor,31,FALSE,M,1,6070205,6070205
3109198,1,M,5,16,2,136,SAGHAR,Ghor,31,FALSE,M,1,2293004,2293004
3101029,2,M,27,13,17,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293002,2293002
3101045,2,M,31,2,5,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,F,1,2293017,2293017
3101032,2,M,25,3,0,128,Provincial Center (CHAGHCHARAN),Ghor,31,FALSE,M,1,2293018,2293018
3109197,3,F,4,1,12,136,SAGHAR,Ghor,31,FALSE,M,1,2293010,2293010
