PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
1102012,2,M,19,11,0,54,WATAPOOR,Kunarha,11,FALSE,M,1,1141968,1141968
1104034,1,M,2,81,14,56,NARANG WA BADIL (TARANGO BADIL),Kunarha,11,FALSE,M,1,10060214,10060214
1103020,2,M,17,0,3,55,DAREH PEICH,Kunarha,11,FALSE,M,1,1323209,1323209
1101004,4,F,19,11,17,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,1141968,1141968
1103020,2,M,14,392,3,55,DAREH PEICH,Kunarha,11,FALSE,M,1,9209045,9209045
1101003,4,F,16,18,3,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,100217671,100217671
1101004,3,M,23,6,9,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,5061105,5061105
1101001,4,M,17,6,1,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,1323209,1323209
1101010,2,M,20,1,2,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,272931,272931
1108058,1,M,17,0,2,60,BAR KUNAR,Kunarha,11,FALSE,M,1,1323209,1323209
1101001,1,M,7,1,5,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,2,5061103,5061103
1101008,1,M,21,2,6,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,5061107,5061107
1108058,2,M,18,0,4,60,BAR KUNAR,Kunarha,11,FALSE,F,1,298402,298402
1101004,4,F,4,0,17,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,5061106,5061106
1113103,3,F,23,4,1,65,KHAS KUNAR,Kunarha,11,FALSE,M,1,5061105,5061105
1101002,1,M,24,4,10,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,13371615,133716151
1112095,2,M,5,10,9,64,CHAWKI,Kunarha,11,FALSE,M,1,9919250,9919250
1101007,3,M,21,1,1,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,5061107,5061107
1112093,1,M,14,28,19,64,CHAWKI,Kunarha,11,FALSE,M,1,9209045,9209045
1104032,3,F,22,50,0,56,NARANG WA BADIL (TARANGO BADIL),Kunarha,11,FALSE,M,1,1137454,1137454
1113100,2,M,4,2,2,65,KHAS KUNAR,Kunarha,11,FALSE,M,1,5061106,5061106
1103022,2,M,22,9,0,55,DAREH PEICH,Kunarha,11,FALSE,M,1,1137454,1137454
1104035,1,M,19,33,4,56,NARANG WA BADIL (TARANGO BADIL),Kunarha,11,FALSE,M,1,1141968,1141968
1104031,2,M,22,9,6,56,NARANG WA BADIL (TARANGO BADIL),Kunarha,11,FALSE,M,1,1137454,1137454
1111084,5,F,7,48,18,63,NOOR GOOL,Kunarha,11,FALSE,M,2,5061103,5061103
1113096,2,F,7,4,8,65,KHAS KUNAR,Kunarha,11,FALSE,M,2,5061103,5061103
1108058,1,M,11,0,2,60,BAR KUNAR,Kunarha,11,FALSE,M,1,5061101,5061101
1101009,1,M,11,31,6,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,5061101,5061101
1112089,1,M,23,5,5,64,CHAWKI,Kunarha,11,FALSE,M,1,5061105,5061105
1104037,2,M,24,7,5,56,NARANG WA BADIL (TARANGO BADIL),Kunarha,11,FALSE,M,1,13371615,133716151
1103020,1,M,18,4,3,55,DAREH PEICH,Kunarha,11,FALSE,F,1,298402,298402
1114108,2,M,2,3,1,66,NARAI,Kunarha,11,FALSE,M,1,10060214,10060214
1101004,5,F,11,12,5,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,1,5061101,5061101
1114107,1,M,25,3,3,66,NARAI,Kunarha,11,FALSE,M,80,5061109,5061109
1113101,2,F,14,0,0,65,KHAS KUNAR,Kunarha,11,FALSE,M,1,9209045,9209045
1101001,1,M,25,3,5,53,PROVINCIAL CENTER (ASAD ABAD),Kunarha,11,FALSE,M,80,5061109,5061109
