electorate,province_code,candidate_code,ballot_position,candidate_name_eng,incumbent,candidate_gender,prelim_winner,final_winner,candidate_name_dari,candidate_name_dari_utf,candidate_name_no_format
Kuchi,35,11205206,1,Mirwais Noor Ahmadzai,NA,Male,NA,NA,______ ___ ______ ,_______ ___ ______ ,______ ___ ______ 
Kuchi,35,920444,2,Hajji Khawani Alokozai,NA,Male,NA,NA,____ _____ ______ ,_____ _____ ______ ,____ _____ ______ 
Kuchi,35,10505083,3,Hajji Raza Khan,NA,Male,NA,NA,____ ___ ___ ,_____ ___ ___ ,____ ___ ___ 
Kuchi,35,7889776,4,Hajji Daftani,NA,Male,NA,NA,____ ______ ,_____ ______ ,____ ______ 
Kuchi,35,8949303,5,Qari Muhammad Masum,NA,Male,NA,NA,____ ____ _____ ,_____ ____ _____ ,____ ____ _____ 
Kuchi,35,9166534,6,Hajji Alam Gull Kuchi,NA,Male,NA,NA,____ ___ __ ____ ,_____ ___ __ ____ ,____ ___ __ ____ 
Kuchi,35,5260088,7,Nazifa Ahmadzai,NA,Female,NA,NA,_____ ______ ,______ ______ ,_____ ______ 
Kuchi,35,9629401,8,Jamal -u- din,NA,Male,NA,NA,____ _____ ,_____ _____ ,____ _____ 
Kuchi,35,3064413,9,Said Akbar Kochi,NA,Male,NA,NA,___ ____ ____ ,____ ____ ____ ,___ ____ ____ 
Kuchi,35,5794920,10,Muhammad Dawar Tukhi,NA,Male,NA,NA,____ ____ ____ ,_____ ____ ____ ,____ ____ ____ 
Kuchi,35,3207688,11,Wala Jan Nasir,NA,Male,NA,NA,___ ___ ____ ,____ ___ ____ ,___ ___ ____ 
Kuchi,35,6890723,12,Alauddin Hutak,NA,Male,NA,NA,_________ ____ ,__________ ____ ,_________ ____ 
Kuchi,35,8723841,13,Muhammad Yusuf Sabir,NA,Male,NA,NA,____ ____ ____ ,_____ ____ ____ ,____ ____ ____ 
Kuchi,35,3466661,14,Dawoud Shah Niazai,NA,Male,NA,NA,____ ___ _____ ,_____ ___ _____ ,____ ___ _____ 
Kuchi,35,3466901,15,Hamida Ahmadzai,NA,Female,NA,NA,_____ ______ ,______ ______ ,_____ ______ 
Kuchi,35,4818614,16,Turan Dilawar Kahn Kuchi,NA,Male,NA,NA,____ ________ ____ ,_____ ________ ____ ,____ ________ ____ 
Kuchi,35,3466625,17,Habib -u- Rahman A.K.A Habib Afghan,NA,Male,NA,NA,____ ______ _____ __ ____ _____ ,_____ ______ _____ __ ____ _____ ,____ ______ _____ __ ____ _____ 
Kuchi,35,5169823,18,Hajji Abdul Zahir Abid,NA,Male,NA,NA,____ _________ ____ ,_____ _________ ____ ,____ _________ ____ 
