PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
2801034,3,F,21,0,3,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5302437,5302437
2801065,1,M,27,13,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,3305132,3305132
2801045,3,M,23,16,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,106946608,106946608
2801018,9,F,23,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,106946608,106946608
2801005,1,M,20,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5768610,5768610
2801015,3,M,17,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5698165,5698165
2801017,1,M,2,1,5,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5699180,5699180
2801036,3,M,31,1,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,F,1,5768612,5768612
2810196,3,F,46,0,0,396,REGESTAN,Kandahar,28,FALSE,M,1,5683309,5683309
2801018,2,M,1,6,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5689360,5689360
2810196,1,M,16,0,0,396,REGESTAN,Kandahar,28,FALSE,M,1,8675337,8675337
2801007,2,F,22,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5768607,5768607
2801015,4,M,2,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5699180,5699180
2801009,5,F,7,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7079648,7079648
2801013,3,M,1,1,3,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5689360,5689360
2804107,1,M,26,0,0,365,Arghandab (Kandahar),Kandahar,28,FALSE,M,1,2379858,2379858
2801007,2,F,42,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,62,3702279,3702279
2812241,4,F,6,0,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,10488751,10488751
2812231,1,M,6,6,2,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,10488751,10488751
2812242,2,M,6,0,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,10488751,10488751
2804099,3,F,45,0,0,365,Arghandab (Kandahar),Kandahar,28,FALSE,F,1,7254499,7254499
2804107,1,M,21,0,0,365,Arghandab (Kandahar),Kandahar,28,FALSE,M,1,5302437,5302437
2813246,3,M,20,0,11,400,ARGHESTAN,Kandahar,28,FALSE,M,1,5768610,5768610
2812235,1,M,46,1,290,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5683309,5683309
2812218,3,M,12,3,1,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,10179141,10179141
2801062,1,M,29,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7060172,7060172
2801040,1,M,29,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7060172,7060172
2801012,3,M,6,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,10488751,10488751
2801049,3,M,35,1,4,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,4529244,4529244
2801054,1,M,32,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,F,1,5701990,5701990
2813246,4,F,49,3,10,400,ARGHESTAN,Kandahar,28,FALSE,M,1,6498571,6498571
2812203,3,M,20,0,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5768610,5768610
2812234,3,F,9,2,490,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,4542710,4542710
2812218,1,M,47,1,4,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5767605,5767605
2801049,2,M,32,0,2,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,F,1,5701990,5701990
2801034,3,F,32,0,3,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,F,1,5701990,5701990
2801002,1,M,3,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5768611,5768611
2812242,2,M,12,0,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,10179141,10179141
2801048,3,M,9,0,2,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,4542710,4542710
2801053,5,F,41,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,8146249,8146249
2801030,7,M,44,0,2,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7310873,7310873
2801009,5,F,44,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7310873,7310873
2812221,2,M,27,8,2,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,3305132,3305132
2813253,2,M,24,0,6,400,ARGHESTAN,Kandahar,28,FALSE,F,1,5768604,5768604
2812221,3,M,1,3,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5689360,5689360
2812221,2,M,4,0,2,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5401961,5401961
2813253,3,F,39,0,0,400,ARGHESTAN,Kandahar,28,FALSE,M,1,5684455,5684455
2801064,3,M,41,1,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,8146249,8146249
2801055,1,F,41,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,8146249,8146249
2801059,3,F,12,0,4,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,10179141,10179141
2812204,4,F,50,1,2,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5768608,5768608
2812229,2,M,39,0,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5684455,5684455
2812212,2,M,33,1,3,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,7315431,7315431
2812205,3,M,1,10,2,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5689360,5689360
2802078,3,M,15,2,0,363,DAMAN,Kandahar,28,FALSE,F,1,5768606,5768606
2802076,2,M,18,0,0,363,DAMAN,Kandahar,28,FALSE,M,1,5699184,5699184
2802076,2,M,12,0,0,363,DAMAN,Kandahar,28,FALSE,M,1,10179141,10179141
2812229,1,M,34,0,0,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5201810,5201810
2812219,3,M,22,4,14,398,ESPEEN BOLDAK,Kandahar,28,FALSE,M,1,5768607,5768607
2813248,3,F,17,0,0,400,ARGHESTAN,Kandahar,28,FALSE,M,1,5698165,5698165
2809195,2,M,16,0,6,395,PANJAI,Kandahar,28,FALSE,M,1,8675337,8675337
2809195,2,M,22,0,6,395,PANJAI,Kandahar,28,FALSE,M,1,5768607,5768607
2809187,4,M,27,0,1,395,PANJAI,Kandahar,28,FALSE,M,1,3305132,3305132
2802073,1,F,16,14,6,363,DAMAN,Kandahar,28,FALSE,M,1,8675337,8675337
2802081,3,F,48,0,0,363,DAMAN,Kandahar,28,FALSE,M,1,4556370,4556370
2809180,2,M,42,4,1,395,PANJAI,Kandahar,28,FALSE,M,62,3702279,3702279
2802087,1,M,42,7,0,363,DAMAN,Kandahar,28,FALSE,M,62,3702279,3702279
2802067,2,M,48,1,0,363,DAMAN,Kandahar,28,FALSE,M,1,4556370,4556370
2809194,3,M,22,1,0,395,PANJAI,Kandahar,28,FALSE,M,1,5768607,5768607
2802086,2,M,49,1,2,363,DAMAN,Kandahar,28,FALSE,M,1,6498571,6498571
2802076,2,M,21,0,0,363,DAMAN,Kandahar,28,FALSE,M,1,5302437,5302437
2802078,5,F,31,0,0,363,DAMAN,Kandahar,28,FALSE,F,1,5768612,5768612
2802075,2,M,32,1,8,363,DAMAN,Kandahar,28,FALSE,F,1,5701990,5701990
2802080,2,M,25,4,15,363,DAMAN,Kandahar,28,FALSE,M,1,5768613,5768613
2801035,3,M,14,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5684482,5684482
2802073,1,F,1,3,6,363,DAMAN,Kandahar,28,FALSE,M,1,5689360,5689360
2808167,2,F,19,0,4,369,ZHERAI,Kandahar,28,FALSE,M,1,7315413,7315413
2808158,1,M,6,0,2,369,ZHERAI,Kandahar,28,FALSE,M,1,10488751,10488751
2808155,2,F,29,0,0,369,ZHERAI,Kandahar,28,FALSE,M,1,7060172,7060172
2808155,2,F,35,0,0,369,ZHERAI,Kandahar,28,FALSE,M,1,4529244,4529244
2808154,2,M,28,1,0,369,ZHERAI,Kandahar,28,FALSE,M,1,7183273,7183273
2808168,1,M,31,0,0,369,ZHERAI,Kandahar,28,FALSE,F,1,5768612,5768612
2801048,3,M,4,0,2,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5401961,5401961
2801049,5,M,7,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7079648,7079648
2808155,2,F,49,0,0,369,ZHERAI,Kandahar,28,FALSE,M,1,6498571,6498571
2801036,3,M,28,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7183273,7183273
2801036,3,M,34,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5201810,5201810
2801012,3,M,28,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7183273,7183273
2801045,1,M,8,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,6946685,6946685
2801038,2,M,37,4,5,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,F,1,102252873,102252873
2801011,5,F,5,1,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7692380,7692380
2801057,3,M,5,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7692380,7692380
2801055,5,F,7,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,7079648,7079648
2801032,3,M,36,2,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,3434892,3434892
2801035,3,M,2,0,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5699180,5699180
2801045,1,M,25,1,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5768613,5768613
2801052,2,M,49,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,6498571,6498571
2801021,2,M,46,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5683309,5683309
2801034,3,F,26,0,3,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,2379858,2379858
2801036,3,M,20,1,1,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5768610,5768610
2801030,5,M,26,0,2,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,2379858,2379858
2801021,5,F,23,2,8,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,106946608,106946608
2801044,4,F,23,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,106946608,106946608
2801038,4,M,17,1,6,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,5698165,5698165
2801050,4,F,41,0,0,362,PROVINCIAL CENTER (KANDAHAR),Kandahar,28,FALSE,M,1,8146249,8146249
