PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
1302018,1,M,6,81,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
1304037,3,F,20,40,2,71,WAIGAL,Nooristan,13,FALSE,M,1,5795204,5795204
1305043,1,M,14,91,11,72,WAMA,Nooristan,13,FALSE,M,1,5795210,5795210
1301002,3,F,5,1,4,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795211,5795211
1302014,2,M,11,8,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,101050508,101050508
1305042,1,M,14,54,0,72,WAMA,Nooristan,13,FALSE,M,1,5795210,5795210
1301006,2,M,10,25,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795201,5795201
1302016,1,M,17,264,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1308066,1,M,8,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795205,5795205
1302011,2,M,7,4,3,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795206,5795206
1308066,7,F,18,100,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795207,5795207
1305043,1,M,4,0,11,72,WAMA,Nooristan,13,FALSE,F,1,6367327,6367327
1302013,1,M,17,40,90,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8364004,8364004
1308066,7,F,8,0,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795205,5795205
1308066,1,M,20,107,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795204,5795204
1308066,4,M,20,69,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795204,5795204
1308066,7,F,2,0,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,100980010,100980010
1301001,1,M,2,1,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,100980010,100980010
1301006,2,M,6,87,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795203,5795203
1305045,2,F,13,56,79,72,WAMA,Nooristan,13,FALSE,M,1,5795212,5795212
1305042,2,F,13,138,5,72,WAMA,Nooristan,13,FALSE,M,1,5795212,5795212
1302015,2,M,19,30,0,69,NOOR GRAM,Nooristan,13,FALSE,M,1,8337640,8337640
1302018,2,M,4,26,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,6367327,6367327
1305043,1,M,12,0,11,72,WAMA,Nooristan,13,FALSE,M,1,5139791,5139791
1302013,1,M,14,42,90,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795210,5795210
1302012,1,M,20,12,4,69,NOOR GRAM,Nooristan,13,FALSE,M,1,5795204,5795204
1308065,1,M,18,216,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795207,5795207
1305042,1,M,19,0,0,72,WAMA,Nooristan,13,FALSE,M,1,8337640,8337640
1308066,4,M,6,100,0,75,BARGUMTAL,Nooristan,13,FALSE,F,1,5795203,5795203
1308065,1,M,20,53,0,75,BARGUMTAL,Nooristan,13,FALSE,M,1,5795204,5795204
1302018,2,M,10,13,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795201,5795201
1302018,1,M,5,1,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795211,5795211
1301001,1,M,6,25,1,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795203,5795203
1304038,2,M,6,100,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795203,5795203
1302016,1,M,6,70,0,69,NOOR GRAM,Nooristan,13,FALSE,F,1,5795203,5795203
1304038,2,M,5,100,0,71,WAIGAL,Nooristan,13,FALSE,F,1,5795211,5795211
1301009,2,M,9,1,3,68,Provincial Center (Nooristan),Nooristan,13,FALSE,F,1,5795202,5795202
