"province_code","province_name_eng","district_code","district_name_eng","district_or_subdivision_name","provincial_capital","pc_code","pc_name_eng","pc_location","ps_count","prelim_results_status","assessment_status","pc_change_initial_final_plan","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101053","Jamhoriat High School","Salang Watt",3,"Reporting","Old","no change",906,27,13,0,3,0,0,3,8,878,656,222,1,0,657,222,879
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101054","Malalai Girls High School","Char Rahi Sedarat (Sedarat Square)",4,"Reporting","Old","no change",1974,51,8,0,17,0,0,14,12,1920,1626,294,2,1,1628,295,1923
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101055","Khwaja Abdullah Ansari Mosque","Shahr e Naw Petrol pump",3,"Reporting","Old","no change",954,41,10,0,6,0,0,22,3,910,797,113,3,0,800,113,913
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101056","Khwaja Ali Mowafaq Mosque","Shahr e Naw    ",4,"Reporting","Old","no change",2436,53,13,0,13,0,0,10,17,2381,2106,275,2,0,2108,275,2383
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101057","Haji Mohammad Dad Mosque","Taimani",5,"Reporting","Old","no change",3647,103,26,0,12,0,0,41,24,3538,2463,1075,6,0,2465,1079,3544
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101058","Naser Khesraw Balkhi Secondary School","Char Rahi Taimani ",5,"Reporting","Old","no change",1794,62,13,0,11,0,0,18,20,1703,1243,460,29,0,1261,471,1732
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101059","Ismaelia Jamat Khana","Char Rahi Taimani ",13,"Reporting","Old","no change",7529,181,22,0,29,0,0,36,94,7344,4625,2719,4,0,4626,2722,7348
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101060","Ustad Misbah High School","Sark e doum Taimani",7,"Reporting","Old","no change",3683,105,13,0,15,0,0,41,36,3495,2288,1207,83,0,2334,1244,3578
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101061","Malika Suraya Girls School","Puroujah Taimani",13,"Reporting","Old","no change",7794,240,29,0,65,0,0,73,73,7516,4242,3274,38,0,4244,3310,7554
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101062","Tajwar Sultana Girls School","Char Rahi Taimani ",10,"Reporting","Old","no change",5604,245,27,0,43,0,0,125,50,5244,3248,1996,115,0,3317,2042,5359
