"province_code","province_name_eng","candidate_code","candidate_name_eng","candidate_name_dari","candidate_name_pashto"
1,"Kabul","1-1152-35","Habibullah Zazai","حبیب الله ځاځی","حبیب الله ځاځی"
1,"Kabul","1-1479-47","Ghullam Hussain Naseri","غلام حسین ناصری","غلام حسین ناصری"
1,"Kabul","1-1352-1058","Farzana Rezaye","فرزانه رضایی","فرزانه رضایی"
1,"Kabul","1-1741-1070","sayed Shah Mahmood Malekzadah","سید شاه محمود ملک زاده ","سید شاه محمود ملک زاده "
1,"Kabul","1-1652-63","Alhaj Khan Lala Shirzai","الحاج خان لالا شیرزی ","الحاج خان لالا شیرزی "
1,"Kabul","1-1806-1167","Shokria Jalalzai","شکریه جلالزی ","شکریه جلالزی "
1,"Kabul","1-1061-18","Eng. Najibullah Salamzai","انجنیر نجیب الله سلام زی","انجنیر نجیب الله سلام زی"
1,"Kabul","1-1221-11","Mohammad Yousuf Rezaye","محمد  یوسف رضایی","محمد  یوسف رضایی"
1,"Kabul","1-1663-170","Shabir Ahmad Ibrahimi","شبیر احمد ابراهیمی","شبیر احمد ابراهیمی"
1,"Kabul","1-1405-112","Abdul Ghafar Faizi Zadran","عبدالغفار فیضی  ځدران ","عبدالغفار فیضی  ځدران "
1,"Kabul","1-1562-13","Khalida Adib","خالده ادیب ","خالده ادیب "
1,"Kabul","1-1655-1052","Sharifa Shirzad Allah Daad"," شریفه شیرزاد الله داد"," شریفه شیرزاد الله داد"
1,"Kabul","1-2005-1176","Ustad Jafari","استاد جعفری ","استاد جعفری "
1,"Kabul","1-1422-3066","Jumma Khan Mohammadi","جمعه  خان محمدی","جمعه  خان محمدی"
1,"Kabul","1-1210-102","Alhaj Ghullam Sakhi Parsaaye","الحاج غلام سخی پارسائی","الحاج غلام سخی پارسائی"
1,"Kabul","1-1477-12","Haji Ghullam Maroof Sediqi","حاجی غلام معروف صدیقی","حاجی غلام معروف صدیقی"
1,"Kabul","1-1315-24","Sayed Saifullah Sadat","سید سیف الله سادات","سید سیف الله سادات"
1,"Kabul","1-1402-42","Mohammad Edris Sediq","محمد ادریس صدیق","محمد ادریس صدیق"
1,"Kabul","1-1330-1","Royena Jalali","روبینا جلالی","روبینا جلالی"
1,"Kabul","1-1550-1074","Sayed Mahmood Zia Dashti","سید محمود ضیا دشتی","سید محمود ضیا دشتی"
1,"Kabul","1-1681-51","Gharibullah Tabesh","غریب الله تابش","غریب الله تابش"
1,"Kabul","1-1752-137","Alhaj Mohammad Mosadeq Muqset","الحاج محمد مصدق مقسط","الحاج محمد مصدق مقسط"
1,"Kabul","1-1364-1092","Arian Khaibar","آرین خیبر ","آرین خیبر "
1,"Kabul","1-1825-107","Armaghan Samkanai","ارمغان څمکنی","ارمغان څمکنی"
1,"Kabul","1-1198-97","Mawalawi Ihsanulhaq Hanafi","مولوی احسان الحق حنفی","مولوی احسان الحق حنفی"
1,"Kabul","1-1674-1093","Mohammad Shafiq Haqyar","محمد شفیق حقیار","محمد شفیق حقیار"
1,"Kabul","1-1415-1169","Mohammad Qayoum Khostwal","محمد قیوم خوستوال ","محمد قیوم خوستوال "
1,"Kabul","1-1058-169","Assadullah Batori","اسد الله باتوری","اسد الله باتوری"
1,"Kabul","1-1400-15","Shayesta Saleh","شایسته صالح","شایسته صالح"
1,"Kabul","1-1250-67","Alhaj Habibullah Ahmadzai","الحاج حبیب الله احمدزی ","الحاج حبیب الله احمدزی "
1,"Kabul","1-1046-55","Razia Arefi","راضیه عارفی ","راضیه عارفی "
1,"Kabul","1-1654-131","Sayed Mohammad Sayeedi","سید محمد سعیدی","سید محمد سعیدی"
1,"Kabul","1-1605-38","Khan Ali Radmand","خانعلی رادمند","خانعلی رادمند"
1,"Kabul","1-1537-14","Ahmad Jawid Jaihon","احمد جاوید جیحون","احمد جاوید جیحون"
1,"Kabul","1-1778-156","Ahmad Hamed Warasta","احمد حامد وارسته","احمد حامد وارسته"
1,"Kabul","1-1764-1156","Karimullah Jawad","کریم الله جواد ","کریم الله جواد "
1,"Kabul","1-1148-170","Mohammad Nayem Paiman","محمد نعیم پیمان ","محمد نعیم پیمان "
1,"Kabul","1-1482-148","Eng. Mohammad Dawood Yousufzai","انجنیر محمد داود یوسفزی","انجنیر محمد داود یوسفزی"
1,"Kabul","1-1716-150","Rahela Jafari","راحله جعفری ","راحله جعفری "
1,"Kabul","1-1407-113","Abida Homa Azizi","عابده هما عزیزی","عابده هما عزیزی"
1,"Kabul","1-1645-1024","Dr. Mohammadullah Shahidi","داکتر محمد الله شهیدی","داکتر محمد الله شهیدی"
1,"Kabul","1-1454-123","Ahmad Behzad","احمد بهزاد ","احمد بهزاد "
1,"Kabul","1-1458-117","Abdul Qadir Sadeqyar","عبد القدیر صادقیار","عبد القدیر صادقیار"
1,"Kabul","1-1388-1192","Mariam Maroof Arwin","مریم معروف آروین ","مریم معروف آروین "
1,"Kabul","1-1188-22","Alhaj Amirgull Shahin","الحاج امیرگل شاهین ","الحاج امیرگل شاهین "
1,"Kabul","1-1595-90","Haji Homayoun Bahar","حاجی همایون بهار","حاجی همایون بهار"
1,"Kabul","1-1161-126","Muzamel Shinwari","مزمل شینواری","مزمل شینواری"
1,"Kabul","1-1538-13","Frozan Dawoodzai","فروزان داوودزی","فروزان داوودزی"
1,"Kabul","1-1073-8","Alhaj Mohammad Qasim Jangalbagh","الحاج محمد قسیم جنگل باغ","الحاج محمد قسیم جنگل باغ"
1,"Kabul","1-1555-33","Abdul Rahim Ayoubi","عبدالرحیم ایوبی","عبدالرحیم ایوبی"
1,"Kabul","1-1234-1","Sayed Bahram Sadat","سید بهرام سادات","سید بهرام سادات"
1,"Kabul","1-1524-2026","Mohammad Dawood Naji","محمد داود ناجی","محمد داود ناجی"
1,"Kabul","1-1438-254","Gen. Abdul Wahed Taqat","جنرال عبدالواحد طاقت","جنرال عبدالواحد طاقت"
1,"Kabul","1-1710-163","Abdul Basir Khalili Yousufzai","عبدالبصیر خلیلی یوسفزی","عبدالبصیر خلیلی یوسفزی"
1,"Kabul","1-1310-37","Mohammad Lais Andar","محمدلیث اندړ","محمدلیث اندړ"
1,"Kabul","1-1896-158","Mohammad Shoaib Iqbal Zazai","محمد شعیب اقبال ځاځی","محمد شعیب اقبال ځاځی"
1,"Kabul","1-1050-42","Nasrullah Mesbah","نصرالله مصباح","نصرالله مصباح"
1,"Kabul","1-1270-20","Mohammad Anwar Allah Daad","محمد انور الله داد ","محمد انور الله داد "
1,"Kabul","1-1276-40","Alhaj Qudratullah Sahak","الحاج قدرت الله سهاک","الحاج قدرت الله سهاک"
1,"Kabul","1-1648-1078","Salman Ali Dostzadah","سلمان علی دوست زاده","سلمان علی دوست زاده"
1,"Kabul","1-1567-23","Mohammad Layeq Malekzadah","محمد لایق ملک زاده","محمد لایق ملک زاده"
1,"Kabul","1-1225-123","Ziaullhaq Shafiq","ضیأالحق شفیق","ضیأالحق شفیق"
1,"Kabul","1-1719-1162","Enjila Bafaiz","انجیلا با فیض ","انجیلا با فیض "
1,"Kabul","1-1336-22","Ghullam Habib Fawad","غلام حبیب فواد","غلام حبیب فواد"
1,"Kabul","1-1789-142","Dr. Moen Gull Samkanai","دوکتور معین گل څمکنی","دوکتور معین گل څمکنی"
1,"Kabul","1-1838-192","Mohammad Hassan Mamozai","محمد حسن مموزی","محمد حسن مموزی"
1,"Kabul","1-1799-160","Abdul Wahed Khan Nasratyar","عبدالواحد خان نصرتیار","عبدالواحد خان نصرتیار"
1,"Kabul","1-1566-58","Mohammad Yar Stanikzai","محمد یار ستانکزی ","محمد یار ستانکزی "
1,"Kabul","1-1480-52","Alhaj Farid Khan Zurmati","الحاج فرید خان زرمتی","الحاج فرید خان زرمتی"
1,"Kabul","1-1339-28","Deplom Eng. Ghullam Ali","دیپلوم انجنیرغلام علی","دیپلوم انجنیرغلام علی"
1,"Kabul","1-1300-41","Sayed Burhan Sayed Jamal Taheri","سید برهان سید جمال طاهری","سید برهان سید جمال طاهری"
1,"Kabul","1-1275-46","Abdul Basir Nabizadah","عبدالبصیر نبی زاده ","عبدالبصیر نبی زاده "
1,"Kabul","1-1307-26","Abdul Hamed Hamidi","عبدالحامد حمیدی","عبدالحامد حمیدی"
1,"Kabul","1-1156-37","Mohammad Salim Paigir","محمد سلیم پیگیر ","محمد سلیم پیگیر "
1,"Kabul","1-1064-7","Mohammad Sajad Hashimi","محمد سجاد هاشمی ","محمد سجاد هاشمی "
1,"Kabul","1-1037-117","Eng. Mohmood Haidari","انجنیر محمود حیدری ","انجنیر محمود حیدری "
1,"Kabul","1-1048-1159","Nabila Sayedjanzada Hamid","نبیلا سیدجان زاده حمید ","نبیلا سیدجان زاده حمید "
1,"Kabul","1-1815-140","Khesraw Khalid","خسرو خالد ","خسرو خالد "
1,"Kabul","1-1704-56","Alhaj sayed Mohammad Mohammadi","الحاج سید محمد محمدی","الحاج سید محمد محمدی"
1,"Kabul","1-1189-2027","Maari","ماری","ماری"
1,"Kabul","1-1688-1168","Gen. Mohammad Aalem Kuhmardi","جنرال محمد عالم کهمردی","جنرال محمد عالم کهمردی"
1,"Kabul","1-1381-29","Alhaj Tamiz Khan Mahmoodzai","الحاج تمیزخان محمودزی","الحاج تمیزخان محمودزی"
1,"Kabul","1-1790-1042","Haji Rohullah Mujahid","حاجی روح الله مجاهد","حاجی روح الله مجاهد"
1,"Kabul","1-1066-102","Tawfiq Wahdat","توفیق وحدت","توفیق وحدت"
1,"Kabul","35-1771-158","Gen. Abdul Rashid Sheja","جنرال عبدالرشید شجاع","جنرال عبدالرشید شجاع"
1,"Kabul","1-1183-52","Saleha Sadat","صالحه سعادت","صالحه سعادت"
1,"Kabul","1-1876-138","Fazel Menallah Momtaz","فضل من الله ممتاز","فضل من الله ممتاز"
1,"Kabul","1-1076-50","haji Sekandar Fraji","حاجی سکندر فراجی","حاجی سکندر فراجی"
1,"Kabul","1-1023-75","Najibullah Naser","نجیب الله ناصر","نجیب الله ناصر"
1,"Kabul","1-1649-45","Sayed Mohammad Hadi Hadi","سید محمد هادی هادی","سید محمد هادی هادی"
1,"Kabul","1-1457-96","Kheyali Jaan Sarwan","خیالی جان ساروان ","خیالی جان ساروان "
1,"Kabul","1-1239-59","Rahmatullah Salehi","رحمت الله صالحی","رحمت الله صالحی"
1,"Kabul","1-1526-1023","Zewaruddin Zewar","زیورالدین زیور","زیورالدین زیور"
1,"Kabul","1-1470-160","Dr. Aatefa Tayeb","داکترعاطفه طیب ","داکترعاطفه طیب "
1,"Kabul","1-1496-176","Mohammad Ashraf Pirzad","محمد اشرف پیرزاد ","محمد اشرف پیرزاد "
1,"Kabul","1-1445-26","Haji Sardar Agha Naseri","حاجی سردار آغا ناصری","حاجی سردار آغا ناصری"
1,"Kabul","1-1163-176","Abdul Mansor Rasool","عبدالمنصور رسول","عبدالمنصور رسول"
1,"Kabul","1-1017-58","Alhaj Nazifullah Gull Afghan","الحاج نظیف الله گل افغان","الحاج نظیف الله گل افغان"
1,"Kabul","1-1008-143","Farida Sahar","فریده سحر","فریده سحر"
1,"Kabul","1-1548-197","Mirza Alizadah","میرزا علی زاده","میرزا علی زاده"
1,"Kabul","1-1873-152","Abdul Qader Hotkhel","عبدالقادر هوت خیل","عبدالقادر هوت خیل"
1,"Kabul","1-1317-101","Bibi Kubra Mustafawi","بی بی کبرا مصطفوی","بی بی کبرا مصطفوی"
1,"Kabul","1-1426-218","Lft-Gen. Sayed Aman","تورنجنرال سید امان ","تورنجنرال سید امان "
1,"Kabul","1-1855-1186","Abdul Mujib Safi Babrak","عبدالمجیب صافی ببرک ","عبدالمجیب صافی ببرک "
1,"Kabul","1-1459-121","Khwaja Mahbob Sediqi","خواجه محبوب صدیقی ","خواجه محبوب صدیقی "
1,"Kabul","1-1443-91","Haji Mohammad Farhad Sediqi","حاجی محمد فرهاد صدیقی","حاجی محمد فرهاد صدیقی"
1,"Kabul","1-1205-3","Ekramuddin Wali","اکرام الدین  ولی","اکرام الدین  ولی"
1,"Kabul","1-1854-144","Eidi Mohammad Shareqi","عیدی محمد شارقی","عیدی محمد شارقی"
1,"Kabul","1-1732-171","Habiba Qaderi","حبیبه قادری","حبیبه قادری"
1,"Kabul","1-1201-31","Sayed Qutbuddin Roydar","سید قطب الدین رویدار","سید قطب الدین رویدار"
