"province_code","district_code","district_name_eng","district_or_subdivision_name","provincial_capital"
"01","0101","KABUL CITY","NAHIA 01","YES"
"01","0101","KABUL CITY","NAHIA 02","YES"
"01","0101","KABUL CITY","NAHIA 03","YES"
"01","0101","KABUL CITY","NAHIA 04","YES"
"01","0101","KABUL CITY","NAHIA 05","YES"
"01","0101","KABUL CITY","NAHIA 06","YES"
"01","0101","KABUL CITY","NAHIA 07","YES"
"01","0101","KABUL CITY","NAHIA 08","YES"
"01","0101","KABUL CITY","NAHIA 09","YES"
"01","0101","KABUL CITY","NAHIA 10","YES"
"01","0101","KABUL CITY","NAHIA 11","YES"
"01","0101","KABUL CITY","NAHIA 12","YES"
"01","0101","KABUL CITY","NAHIA 13","YES"
"01","0101","KABUL CITY","NAHIA 14","YES"
"01","0101","KABUL CITY","NAHIA 15","YES"
"01","0101","KABUL CITY","NAHIA 16","YES"
"01","0101","KABUL CITY","NAHIA 17","YES"
"01","0101","KABUL CITY","NAHIA 18","YES"
"01","0101","KABUL CITY","NAHIA 19","YES"
"01","0101","KABUL CITY","NAHIA 21","YES"
"01","0101","KABUL CITY","NAHIA 22","YES"
"01","0102","PAGHMAN","PAGHMAN","NO"
"01","0103","CHAHARASYAB","CHAHARASYAB","NO"
"01","0104","BAGRAMI","BAGRAMI","NO"
"01","0105","DEHSABZ","DEHSABZ","NO"
"01","0106","SHAKARDARA","SHAKARDARA","NO"
"01","0107","MOSAHI","MOSAHI","NO"
"01","0108","MIRBACHAKOT","MIRBACHAKOT","NO"
"01","0109","KHAKEJABAR","KHAKEJABAR","NO"
"01","0110","KALAKAN","KALAKAN","NO"
"01","0111","GULDARA","GULDARA","NO"
"01","0112","FARZA","FARZA","NO"
"01","0113","ISTALIF","ISTALIF","NO"
"01","0114","QARABAGH","QARABAGH","NO"
"01","0115","SUROBI","SUROBI","NO"
"02","0201","MAHMODRAQI","MAHMODRAQI","YES"
"02","0202","HISSA-E-DUWUMI KOHISTAN","HISSA-E-DUWUMI KOHISTAN","NO"
"02","0203","KOHBAND","KOHBAND","NO"
"02","0204","HESE  AWAL KOHESTAN","HESE  AWAL KOHESTAN","NO"
"02","0205","NEJRAB","NEJRAB","NO"
"02","0206","TAGAB","TAGAB","NO"
"02","0207","ALASAY","ALASAY","NO"
"03","0301","CHARIKAR","CHARIKAR","YES"
"03","0302","BAGRAM","BAGRAM","NO"
"03","0303","SHINWARI","SHINWARI","NO"
"03","0304","SAYDKHEL","SAYDKHEL","NO"
"03","0305","JABALUSARAJ","JABALUSARAJ","NO"
"03","0306","SALANG","SALANG","NO"
