"constituency_code","constituency_name_eng","results_status","general_seats","female_seats","pc_plan_count","pc_reporting_count","pc_reporting_pct","ps_plan_count","ps_reporting_count","ps_reporting_pct","candidate_count","total_votes","total_votes_winner","winner_votes_pct","total_votes_loser","loser_votes_pct","runup_threshold_MOV","runup_threshold_pct","mean_candidate_threshold_MOV","med_candidate_threshold_MOV","prelim_winners_to_losers","prelim_losers_to_winners","incumbent_re_run","incumbent_re_run_pct_all","incumbent_re_run_male","incumbent_re_run_pct_male","incumbent_re_run_fem","incumbent_re_run_pct_fem","incumbent_won_again","returned_winners_pct_all","incumbent_won_again_male","returned_winners_pct_male","incumbent_won_again_fem","returned_winners_pct_fem","mean_candidate_pct","mean_male_candidate_pct","mean_fem_candidate_pct","mean_incumbent_candidate_pct","mean_win_candidate_pct","mean_win_male_candidate_pct","mean_win_fem_candidate_pct","mean_win_incumbent_candidate_pct","med_candidate_pct","med_male_candidate_pct","med_fem_candidate_pct","med_incumbent_candidate_pct","med_win_candidate_pct","med_win_male_candidate_pct","med_win_fem_candidate_pct","med_win_incumbent_candidate_pct","total_votes_fem_candidate","female_candidate_votes_pct","total_votes_incumbent_candidate","incumbent_votes_pct","total_votes_capital_district","capital_district_votes_pct"
"G-01","Kabul","FINAL",24,9,514,496,0.964980544747082,2327,2102,0.903308981521272,664,449528,146232,0.325301204819277,303296,0.674698795180723,-59,TRUE,-2300,-2685.5,0,0,25,0.757575757575758,19,0.791666666666667,6,0.666666666666667,10,0.4,8,0.421052631578947,2,0.333333333333333,0.00150602409638554,0.00159430965977695,0.00101958795299366,0.00560418928298126,0.00985761226725082,0.0111772792795999,0.00633850023431985,0.0103383993878023,0.000648457938103967,0.000711857770817391,0.000359265718709402,0.00376617251873076,0.00837322702923956,0.00894382552366037,0.00483618373049065,0.00817412930896407,46750,0.103997971205353,62981,0.140104732074532,350078,0.778767952163158
"G-01","Kabul","PRELIMINARY",24,9,514,497,0.966926070038911,2327,2086,0.896433175762785,664,447173,145258,0.324836249057971,301915,0.675163750942029,-42,TRUE,-2222.54668674699,-2610,0,0,25,0.757575757575758,19,0.791666666666667,6,0.666666666666667,10,0.4,8,0.421052631578947,2,0.333333333333333,0.00150602409638554,0.00159326348596939,0.00102535216554123,0.00555990634497163,0.00984352269872639,0.0111367226256207,0.00639498956034167,0.0102287034324523,0.000639573498399948,0.000707779763089453,0.000360039626721649,0.00378377048703746,0.00833010937601331,0.00926710691387897,0.00476102090242479,0.00814897142716577,46768,0.104585920885206,62156,0.138997658624291,347275,0.77660100229665
"G-01","Kabul","NET CHANGE",0,0,0,-1,-0.00194552529182879,0,16,0.00687580575848734,0,2355,974,0.000464955761306229,1381,-0.00046495576130634,-17,TRUE,-77.4533132530119,-75.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000104617380756642,-0.00000576421254757189,0.000044282938009628,0.0000140895685244325,0.0000405566539792776,-0.0000564893260218231,0.000109695955349999,0.00000888443970401866,0.00000407800772793756,-0.000000773908012247234,-0.0000175979683066977,0.0000431176532262479,-0.000323281390218597,0.0000751628280658591,0.0000251578817982955,-18,-0.000587949679852331,825,0.00110707345024069,2803,0.00216694986650745
"G-02","Kapisa","FINAL",3,1,78,68,0.871794871794872,258,222,0.86046511627907,38,45271,21878,0.48326743389808,23393,0.51673256610192,-468,TRUE,-2382.65789473684,-3227,0,0,4,1,3,1,1,1,1,0.25,1,0.333333333333333,0,0,0.0263157894736842,0.0316088216068336,0.0133238015104994,0.0593702370170749,0.12081685847452,0.150309616899708,0.0323385831989574,0.146694351792538,0.00766495107243047,0.00651631287137461,0.00839389454617747,0.0352101787015971,0.112820569459477,0.146694351792538,0.0323385831989574,0.146694351792538,6635,0.146561816615493,10751,0.2374809480683,8287,0.183053168695191
"G-02","Kapisa","PRELIMINARY",3,1,78,68,0.871794871794872,258,222,0.86046511627907,38,45621,22202,0.486661844326078,23419,0.513338155673922,-468,TRUE,-2373.44736842105,-3227,0,0,4,1,3,1,1,1,1,0.25,1,0.333333333333333,0,0,0.0263157894736842,0.0316431597859011,0.0132395168891519,0.0606902522960917,0.121665461081519,0.151523786560283,0.0320904846452292,0.152670919094277,0.00760614629227768,0.00646632033493347,0.00832949738059227,0.0349400495385897,0.115506016965871,0.152670919094277,0.0320904846452292,0.152670919094277,6644,0.145634685780671,11075,0.242761009184367,8297,0.181867999386248
"G-02","Kapisa","NET CHANGE",0,0,0,0,0,0,0,0,0,-350,-324,-0.00339441042799743,-26,0.00339441042799749,0,TRUE,-9.21052631578959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00000000000000000346944695195361,-0.0000343381790674918,0.0000842846213474704,-0.00132001527901677,-0.000848602606999371,-0.00121416966057525,0.000248098553728218,-0.00597656730173851,0.0000588047801527956,0.0000499925364411367,0.0000643971655851939,0.000270129163007365,-0.00268544750639363,-0.00597656730173851,0.000248098553728218,-0.00597656730173851,-9,0.000927130834822182,-324,-0.00528006111606705,-10,0.00118516930894361
"G-03","Parwan","FINAL",4,2,147,146,0.993197278911565,417,407,0.976019184652278,57,111943,58469,0.522310461574194,53474,0.477689538425806,-4586,TRUE,-10397.0877192982,-11872,1,1,5,0.833333333333333,3,0.75,2,1,4,0.8,3,1,1,0.5,0.0175438596491228,0.0201375777812388,0.00669740200572857,0.0732890846234244,0.087051743595699,0.122803569673852,0.0155480914393933,0.0885919619806509,0.00436829457849084,0.0047836845537461,0.00419856534128976,0.110422268475921,0.111288780897421,0.114473437374378,0.0155480914393933,0.111288780897421,8247,0.0736714220630142,41021,0.366445423117122,34809,0.310952895670118
"G-03","Parwan","PRELIMINARY",4,2,147,145,0.986394557823129,417,400,0.959232613908873,57,123255,58392,0.473749543629062,64863,0.526250456370938,-809,TRUE,-10160.6315789474,-11744,1,1,5,0.833333333333333,3,0.75,2,1,3,0.6,2,0.666666666666667,1,0.5,0.0175438596491228,0.0202695719196505,0.0061454265178252,0.0643706137682041,0.0789582572715103,0.111484321122875,0.0139061295687802,0.0724919881546388,0.0046975781915541,0.00478276743336984,0.0037402133787676,0.0934160885968115,0.102137844306519,0.104304085026977,0.0139061295687802,0.0999797168471867,8332,0.0675996916960772,39670,0.321853068841021,37350,0.303030303030303
"G-03","Parwan","NET CHANGE",0,0,0,1,0.00680272108843538,0,7,0.0167865707434053,0,-11312,77,0.0485609179451323,-11389,-0.0485609179451323,-3777,TRUE,-236.456140350878,-128,0,0,0,0,0,0,0,0,1,0.2,1,0.333333333333333,0,0,0,-0.000131994138411674,0.000551975487903361,0.0089184708552203,0.00809348632418873,0.0113192485509765,0.00164196187061309,0.0160999738260121,-0.000329283613063256,0.000000917120376258893,0.000458351962522168,0.0170061798791093,0.00915093659090199,0.0101693523474014,0.00164196187061309,0.0113090640502343,-85,0.00607173036693698,1351,0.0445923542761014,-2541,0.00792259263981476
"G-04","Wardak","FINAL",3,2,147,95,0.646258503401361,388,203,0.52319587628866,37,81204,32208,0.396630707846904,48996,0.603369292153096,-432,TRUE,-3275.2972972973,-4141,1,1,4,0.8,2,0.666666666666667,2,1,1,0.25,0,0,1,0.5,0.027027027027027,0.0303956701640313,0.0165468039341248,0.0400596029752229,0.0793261415693808,0.109994581547707,0.0333234816018915,0.0391113738239496,0.0163661888576917,0.0156642529924634,0.0163661888576917,0.0448931087138565,0.0673612137333136,0.105315009112852,0.0333234816018915,0.0391113738239496,12093,0.148921235407123,13012,0.160238411900892,7258,0.0893798335057386
