"link","file_target","failed"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0604101/16940_W060694_Sheet2.jpg","16940_W060694_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0604101/18384_R060164_Sheet2.jpg","18384_R060164_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0604108/18385_W060710_Sheet2.jpg","18385_W060710_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0604110/18386_W060721_Sheet2.jpg","18386_W060721_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0606169/16860_W060955_Sheet2.jpg","16860_W060955_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0607185/16890_W061017_Sheet2.jpg","16890_W061017_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0607188/16919_W061040_Sheet2.jpg","16919_W061040_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0608205/16965_W061131_Sheet2.jpg","16965_W061131_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0613296/16947_W061440_Sheet2.jpg","16947_W061440_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0613296/16950_W061442_Sheet2.jpg","16950_W061442_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0613296/16951_W061443_Sheet2.jpg","16951_W061443_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0615333/16908_W061565_Sheet2.jpg","16908_W061565_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0601011/1665_W060085_Sheet2.jpg","1665_W060085_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0601017/1468_ R060047_Sheet1.jpg","1468_ R060047_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0601017/1468_ R060047_Sheet2.jpg","1468_ R060047_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0601017/16874_W060136_Sheet2.jpg","16874_W060136_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0601028/1470_W060217_Sheet2.jpg","1470_W060217_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/6/0601046/1514_W060350_Sheet2.jpg","1514_W060350_Sheet2.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/7/0702031/267__Sheet1.jpg","267__Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/7/0702034/170_ _Sheet1.jpg","170_ _Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/8/0801002/6950__Sheet1.jpg","6950__Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/9/0905157/19700_ W090486_Sheet1.jpg","19700_ W090486_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/9/0906168/19692_ _Sheet1.jpg","19692_ _Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/10/1004072/2814_W100191_Sheet1.jpg","2814_W100191_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/10/1006123/2981_W100314_Sheet1.jpg","2981_W100314_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/10/1008217/3077_W100510_Sheet1.jpg","3077_W100510_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301001/19000_R130180_Sheet1.jpg","19000_R130180_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301001/19001_W130003_Sheet1.jpg","19001_W130003_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301001/19004_W130001_Sheet1.jpg","19004_W130001_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/5967_W130832_Sheet1.jpg","5967_W130832_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/5972_W130855_Sheet1.jpg","5972_W130855_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/5974_R130234_Sheet1.jpg","5974_R130234_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/5975_W130012_Sheet1.jpg","5975_W130012_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/5976_W130013_Sheet1.jpg","5976_W130013_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/5981_R130067_Sheet1.jpg","5981_R130067_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19078_R130088_Sheet1.jpg","19078_R130088_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19081_W130015_Sheet1.jpg","19081_W130015_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19083_W130008_Sheet1.jpg","19083_W130008_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19085_R130211_Sheet1.jpg","19085_R130211_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19087_W130009_Sheet1.jpg","19087_W130009_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19088_R130082_Sheet1.jpg","19088_R130082_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301002/19102_R130057_Sheet1.jpg","19102_R130057_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/6488_W130020_Sheet1.jpg","6488_W130020_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/6489_R130111_Sheet1.jpg","6489_R130111_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/19023_W130017_Sheet1.jpg","19023_W130017_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/19027_W130018_Sheet1.jpg","19027_W130018_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/19030_R130053_Sheet1.jpg","19030_R130053_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/19032_R130043_Sheet1.jpg","19032_R130043_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301003/19033_R130026_Sheet1.jpg","19033_R130026_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301004/19166_R130076_Sheet1.jpg","19166_R130076_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301004/20017_W130022_Sheet1.jpg","20017_W130022_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301004/20019_R130298_Sheet1.jpg","20019_R130298_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301005/19013_W130026_Sheet1.jpg","19013_W130026_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301005/19014_W130028_Sheet1.jpg","19014_W130028_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301005/19015_W130027_Sheet1.jpg","19015_W130027_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301005/19018_R130066_Sheet1.jpg","19018_R130066_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301005/19020_W130820_Sheet1.jpg","19020_W130820_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301005/19025_W130846_Sheet1.jpg","19025_W130846_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301006/6483_W130035_Sheet1.jpg","6483_W130035_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301006/19192_W130032_Sheet1.jpg","19192_W130032_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301006/19198_R130302_Sheet1.jpg","19198_R130302_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301006/20010_W130034_Sheet1.jpg","20010_W130034_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301007/5956_R130187_Sheet1.jpg","5956_R130187_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301007/19028_R130193_Sheet1.jpg","19028_R130193_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301008/6322_W130042_Sheet1.jpg","6322_W130042_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301008/18994_R130084_Sheet1.jpg","18994_R130084_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301010/6362_W130047_Sheet1.jpg","6362_W130047_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301010/6705_W130048_Sheet1.jpg","6705_W130048_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301010/19381_R130300_Sheet1.jpg","19381_R130300_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301010/19383_R130299_Sheet1.jpg","19383_R130299_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301010/20060_W130044_Sheet1.jpg","20060_W130044_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/6352_W130050_Sheet1.jpg","6352_W130050_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/6355_R130065_Sheet1.jpg","6355_R130065_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/6357_W130052_Sheet1.jpg","6357_W130052_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/19126_W130051_Sheet1.jpg","19126_W130051_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/19127_W130824_Sheet1.jpg","19127_W130824_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/19128_W130853_Sheet1.jpg","19128_W130853_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/19209_W130055_Sheet1.jpg","19209_W130055_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/19210_R130063_Sheet1.jpg","19210_R130063_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301011/20009_R130325_Sheet1.jpg","20009_R130325_Sheet1.jpg","YES"
"http://edss.iec.org.af/ats/resultssheets 2018/13/1301012/18985_W130057_Sheet1.jpg","18985_W130057_Sheet1.jpg","YES"
