"unlist(ps_no_scans)"
"Qeshlaq Secondary School - 107460"
"Abubakar Sedique Mosque - 101158"
"Shah Pacha Mosque - 101160"
"Haider Khil Village Mosque - 405073"
"Syah Aab School - 621426"
"Malik Derah (Malik’s House) - 621427"
"Aragha School - 621428"
"Garam Aabah School - 913263"
"Wech Primary School - 913267"
"Abdul Haq Narzu School - 913269"
"District Center - 1213163"
"Ghazi Khan Mosque - 1213165"
"Haji Sakhi Jan Melmastoon (Guest House) - 1213166"
"District Center tent - 1216208"
"Sarwan Khil School - 1307123"
"Madikhil village Madrassah  - 1401031"
"Assar School - 1401037"
"Haji Naeem Kochai Mosque - 1408144"
"Anaati Village Mosque - 1608077"
"د آخندخیل مسجد - 2603100"
"Farahrod clinic - 3306111"
"Raabia High School - 101049"
"Aqsa Mosque - 101305"
"Khwaja Ghar Secondary School - 105432"
"Badal Shah Khil High School - 113514"
"Bolgheen Girls High School - 203030"
"Sanjan Primary School - 204033"
"Shaheed Hafeezullah Secondary School - 206076"
"Sadeqi High School - 301003"
"Noman High School - 301011"
"Deh Qazi High School - 301022"
"Qalla e Nasro School - 302037"
"Nikah Khil Madrassah - 302040"
"Taloot Shaheed School - 302044"
"Sehdukan Anchu Mosque - 304073"
"Qazi Khil Girls High School - 304075"
"Lalmi Sabzak Secondary School - 306105"
"Old Building of the District Administrator - 505062"
"Bodialai village Girls School - 606155"
"Sour Daag High School - 608203"
"Nookarr Khil School - 608216"
"Malik Derah (Malik’s House) - 621427"
"Hazrat Ali Doshi High School - 903077"
"Salai Ibahimzo School - 1201015"
"Shorkachi Mosque - 1202024"
"Atalano Primary School - 1204042"
"Galaruddin School - 1205046"
"Haji Pacha Mosque - 1207066"
"Hashimiah High School - 1207067"
"Shakeen Bazar Mosque - 1208087"
"Noorani Boys Primary School - 1209105"
"Ba Ba Sahib Shiekhan School - 1211152"
"Malakano Secondary School - 1211153"
"District Center tent - 1216208"
"Apsar Kot Mosque - 1217211"
"Marjan Mosque - 1217217"
"Du Cheenah village Mosque - 1218219"
"Police Old Office - 1218220"
"Du Cheenah village Shop - 1218221"
"DistriCT Center Toori School - 1219231"
"Kochka Mosque - 1219233"
"Bozah Mosque - 1219235"
"Peshaki Mosque - 1219237"
"Zarbati Mosque - 1301018"
"Akhund Khil Secondary School - 1302034"
"Haji Naeem Kochai Mosque - 1408144"
"Tango Primary School - 1505039"
"Shahrak Turkmaniah School - 2102057"
"Kushindah Bala School - 2114273"
"Tajik hai Sarkasi Mosque - 2301007"
"Kagrai Mosque - 2601012"
"Gheshi Rubat School - 2602022"
"Aino High School - 2701002"
"Sayed Nabi House - 3001001"
"Darul Uloom Naqshbandia - 3001005"
"Kala Kohna Boys School - 3001006"
"B2-1 High School - 3001014"
"Karta Mamorin Primary School - 3001026"
"Lashkar Bazar Sharqi Primary School - 3001027"
"Shen Kalai School - 3002037"
"Hazar Asp School - 3003051"
"Shorab School - 3005099"
"Hazar Joft School - 3006112"
"Qubchaq Kapah Ba Ba School - 3105137"
"Joi Khwajah School - 3105138"
"Khalawak ha School - 3207222"
"Ronakha Girls High School - 3301001"
"Taufeeq Mirzaii High School - 3301004"
"Kirji Secondary School - 3301023"
"Bakht Abad School - 3301024"
"Qalla Fateh School - 3404046"
"Mullah Mahmood Mosque - 101003"
"Ghazi Mohammad Ayub School no.1 - 101048"
"Directorate of Haj and Endowment Mosque - 601037"
"Abdullah Bin Maoud Mosque - 601047"
