"province_code","pc_code","filename","scan_serial_number","scan_sheet_number"
"1","0101001","18803_R010048_Sheet1.jpg","R010048","Sheet1.jpg"
"1","0101001","18803_R010048_Sheet2.jpg","R010048","Sheet2.jpg"
"1","0101001","18803_R010048_Sheet3.jpg","R010048","Sheet3.jpg"
"1","0101001","18803_R010048_Sheet4.jpg","R010048","Sheet4.jpg"
"1","0101001","18803_R010048_Sheet5.jpg","R010048","Sheet5.jpg"
"1","0101001","18803_R010048_Sheet6.jpg","R010048","Sheet6.jpg"
"1","0101001","18807_R010050_Sheet1.jpg","R010050","Sheet1.jpg"
"1","0101001","18807_R010050_Sheet2.jpg","R010050","Sheet2.jpg"
"1","0101001","18807_R010050_Sheet3.jpg","R010050","Sheet3.jpg"
"1","0101001","18807_R010050_Sheet4.jpg","R010050","Sheet4.jpg"
"1","0101001","18807_R010050_Sheet5.jpg","R010050","Sheet5.jpg"
"1","0101001","18807_R010050_Sheet6.jpg","R010050","Sheet6.jpg"
"1","0101002","20000_R010024_Sheet1.jpg","R010024","Sheet1.jpg"
"1","0101002","20000_R010024_Sheet2.jpg","R010024","Sheet2.jpg"
"1","0101002","20000_R010024_Sheet3.jpg","R010024","Sheet3.jpg"
"1","0101002","20000_R010024_Sheet4.jpg","R010024","Sheet4.jpg"
"1","0101002","20000_R010024_Sheet5.jpg","R010024","Sheet5.jpg"
"1","0101002","20000_R010024_Sheet6.jpg","R010024","Sheet6.jpg"
"1","0101002","20001_R010133_Sheet1.jpg","R010133","Sheet1.jpg"
"1","0101002","20001_R010133_Sheet2.jpg","R010133","Sheet2.jpg"
"1","0101002","20001_R010133_Sheet3.jpg","R010133","Sheet3.jpg"
"1","0101002","20001_R010133_Sheet4.jpg","R010133","Sheet4.jpg"
"1","0101002","20001_R010133_Sheet5.jpg","R010133","Sheet5.jpg"
"1","0101002","20001_R010133_Sheet6.jpg","R010133","Sheet6.jpg"
"1","0101003","17668_W010011_Sheet1.jpg","W010011","Sheet1.jpg"
"1","0101003","17668_W010011_Sheet2.jpg","W010011","Sheet2.jpg"
"1","0101003","17668_W010011_Sheet3.jpg","W010011","Sheet3.jpg"
"1","0101003","17668_W010011_Sheet4.jpg","W010011","Sheet4.jpg"
"1","0101003","17668_W010011_Sheet5.jpg","W010011","Sheet5.jpg"
"1","0101003","17668_W010011_Sheet6.jpg","W010011","Sheet6.jpg"
"1","0101003","20008_R010020_Sheet1.jpg","R010020","Sheet1.jpg"
"1","0101003","20008_R010020_Sheet2.jpg","R010020","Sheet2.jpg"
"1","0101003","20008_R010020_Sheet3.jpg","R010020","Sheet3.jpg"
"1","0101003","20008_R010020_Sheet4.jpg","R010020","Sheet4.jpg"
