"pc","list_position","x"
"Hofyan e Shareef Secondary School - 301029",29,"#pc > option:nth-child(29)"
"Khwaja Sayaran Ulya Secondary School - 301030",30,"#pc > option:nth-child(30)"
"Shaheed Mawlawi Abdul Rahim Hanafi Darul Uloom - 301031",31,"#pc > option:nth-child(31)"
"Khwaja Sayaran Payan School - 301032",32,"#pc > option:nth-child(32)"
"Laghmani High School - 301033",33,"#pc > option:nth-child(33)"
"Tob Darah School - 301034",34,"#pc > option:nth-child(34)"
"Masoud Buzurg High School - 301035",35,"#pc > option:nth-child(35)"
"Mullah Hakam Shaheed High School - 301036",36,"#pc > option:nth-child(36)"
"Qalla e Nasro School - 302037",1,"#pc > option:nth-child(1)"
"Bareek Aab Mosque - 302038",2,"#pc > option:nth-child(2)"
"Shahrak Mohajereen Bareek Aab High School - 302039",3,"#pc > option:nth-child(3)"
"Nikah Khil Madrassah - 302040",4,"#pc > option:nth-child(4)"
"Khanqa Girls Secondary School - 302041",5,"#pc > option:nth-child(5)"
"Naseri High School - 302042",6,"#pc > option:nth-child(6)"
"Qalla Band High School - 302043",7,"#pc > option:nth-child(7)"
"Taloot Shaheed School - 302044",8,"#pc > option:nth-child(8)"
"Sher Aqa Shaheed School - 302045",9,"#pc > option:nth-child(9)"
"Janqadam School - 302046",10,"#pc > option:nth-child(10)"
"Bagram Airport Girls High School - 302047",11,"#pc > option:nth-child(11)"
"Dahan Maidan Jame Mosque - 302048",12,"#pc > option:nth-child(12)"
"Ghulam Ali Girls Secondary School - 302049",13,"#pc > option:nth-child(13)"
"Shafaq Shaheed High School - 302050",14,"#pc > option:nth-child(14)"
"Mullah Mohammad Shaheed School and Tonchi Mosque - 302051",15,"#pc > option:nth-child(15)"
"Yorchi Jame Mosque - 302052",16,"#pc > option:nth-child(16)"
"Qalla e Malik High School - 302053",17,"#pc > option:nth-child(17)"
"Abdul Sattar Shaheed High School - 302054",18,"#pc > option:nth-child(18)"
"Deh Mullah Mosque - 302055",19,"#pc > option:nth-child(19)"
"Aziz Rahman Shah School - 302056",20,"#pc > option:nth-child(20)"
"Deh Meskeen Jame Mosque  - 302057",21,"#pc > option:nth-child(21)"
"Qazi Abdul Jamil Khil Secondary School - 302058",22,"#pc > option:nth-child(22)"
"Abu Zar Ghafari High School - 302059",23,"#pc > option:nth-child(23)"
"Qalla e Dasht Rubat Girls School - 302060",24,"#pc > option:nth-child(24)"
"Abdul Satar Shaheed High School - 303062",1,"#pc > option:nth-child(1)"
"Sofi Khil Secondary School - 303066",2,"#pc > option:nth-child(2)"
"Tafheem ul Quran School - 303067",3,"#pc > option:nth-child(3)"
"Jan Fida Shaheed School - 303068",4,"#pc > option:nth-child(4)"
"Mawlawi Yar Mohammad Madrassah - 303069",5,"#pc > option:nth-child(5)"
"NULL - 303172",6,"#pc > option:nth-child(6)"
"Ancho Mosque - 304071",1,"#pc > option:nth-child(1)"
"Abu Hanifah Ancho High School - 304072",2,"#pc > option:nth-child(2)"
"Sehdukan Anchu Mosque - 304073",3,"#pc > option:nth-child(3)"
"Imam Azam Aaqtash High School - 304074",4,"#pc > option:nth-child(4)"
"Qazi Khil Girls High School - 304075",5,"#pc > option:nth-child(5)"
"Sayed Khil Girls High School - 304076",6,"#pc > option:nth-child(6)"
"Haibat Khil Girls High School - 304077",7,"#pc > option:nth-child(7)"
"Gul Aqa Shaheed High School - 304078",8,"#pc > option:nth-child(8)"
"Chainaki Payan Mosque and Ilhaqya - 304079",9,"#pc > option:nth-child(9)"
"Abdul Qader Shaheed Secondary School - 304080",10,"#pc > option:nth-child(10)"
"Chainaki Ulya Girls High School - 304081",11,"#pc > option:nth-child(11)"
"Saiful Rahman Shaheed High School - 304082",12,"#pc > option:nth-child(12)"
"Maazuddin Khil Clinic - 304083",13,"#pc > option:nth-child(13)"
"Sayed Khil Darulhefaz - 304084",14,"#pc > option:nth-child(14)"
"Lalah Khil Secondary School - 304085",15,"#pc > option:nth-child(15)"
"Sayed Rahman Shaheed School - 304086",16,"#pc > option:nth-child(16)"
"Mawlana Jalaluddin Mohammad Balkhi Girls Primary * - 305087",1,"#pc > option:nth-child(1)"
"Malik Jan Khil Jame Mosque - 305088",2,"#pc > option:nth-child(2)"
"Faqeer Haider Gulbahar High School - 305089",3,"#pc > option:nth-child(3)"
"Eisa Khil Mosque - 305090",4,"#pc > option:nth-child(4)"
"Nawya Mosque - 305091",5,"#pc > option:nth-child(5)"
"Abdul Hadi Shaheed Secondary School - 305092",6,"#pc > option:nth-child(6)"
"Gulbahar Darul Hefaz - 305093",7,"#pc > option:nth-child(7)"
"Gulbahar Girls High School No. 1  - 305094",8,"#pc > option:nth-child(8)"
"Ishq Abad Girls High School - 305095",9,"#pc > option:nth-child(9)"
"Guzar e Payan Girls High School - 305096",10,"#pc > option:nth-child(10)"
"Jablul Seraj Boys High School - 305097",11,"#pc > option:nth-child(11)"
"Habib Khil Mosque - 305098",12,"#pc > option:nth-child(12)"
"Khalil Zaman, Tapah e Surkh Secondary School - 305099",13,"#pc > option:nth-child(13)"
"Zarbya High School - 305100",14,"#pc > option:nth-child(14)"
"Ashabah Mosque - 305101",15,"#pc > option:nth-child(15)"
"Abu Hanifa High School - 305102",16,"#pc > option:nth-child(16)"
"Aahangaran Chap Qoul Jame Mosque - 305103",17,"#pc > option:nth-child(17)"
"Eng. Mohammad Gul Shaheed Secondary School - 306104",1,"#pc > option:nth-child(1)"
"Lalmi Sabzak Secondary School - 306105",2,"#pc > option:nth-child(2)"
"Haji Abdul Karim Secondary School - 306106",3,"#pc > option:nth-child(3)"
"Takhma High School - 306107",4,"#pc > option:nth-child(4)"
"Salang Boys High School - 306108",5,"#pc > option:nth-child(5)"
"Hunroh e Bala Secondary School - 306109",6,"#pc > option:nth-child(6)"
"Ghulam Nabi Shaheed High School - 306110",7,"#pc > option:nth-child(7)"
"Wewa Secondary School - 306111",8,"#pc > option:nth-child(8)"
"Do Aab High School - 306112",9,"#pc > option:nth-child(9)"
"Awlang School - 306113",10,"#pc > option:nth-child(10)"
"Aahangaran High School - 306114",11,"#pc > option:nth-child(11)"
"Salah Khan Secondary School - 306115",12,"#pc > option:nth-child(12)"
"Awrti High School - 306116",13,"#pc > option:nth-child(13)"
"Fanduqistan School - 307118",1,"#pc > option:nth-child(1)"
"Hazrat Ali High School - 307119",2,"#pc > option:nth-child(2)"
"Chahardeh High School - 307126",3,"#pc > option:nth-child(3)"
"Faranjel High School - 307127",4,"#pc > option:nth-child(4)"
"Do Aab Jame Mosque - 307129",5,"#pc > option:nth-child(5)"
"NULL - 307171",6,"#pc > option:nth-child(6)"
"Angor Darah School - 308135",1,"#pc > option:nth-child(1)"
"Dandar School - 308136",2,"#pc > option:nth-child(2)"
"Syah Sang Secondary School - 308137",3,"#pc > option:nth-child(3)"
"Iskandariah Boys High School - 308138",4,"#pc > option:nth-child(4)"
"Shamal Khil Mosque - 308139",5,"#pc > option:nth-child(5)"
"Treli Girls School - 308140",6,"#pc > option:nth-child(6)"
"Ahmadzai Mosque - 308141",7,"#pc > option:nth-child(7)"
"Mullah Ahmad Khil Mosque - 308142",8,"#pc > option:nth-child(8)"
"Hasan Zai Mosque - 308143",9,"#pc > option:nth-child(9)"
"Mullah Ahmad Khil School - 308145",10,"#pc > option:nth-child(10)"
"Qatandar School - 309146",1,"#pc > option:nth-child(1)"
"Shaheed Haqbeen Wand High School - 309147",2,"#pc > option:nth-child(2)"
"Shaheed Amirzadah Madrassah - 309148",3,"#pc > option:nth-child(3)"
"Khwaja Parsa School - 309149",4,"#pc > option:nth-child(4)"
"Lawlanj Bazzar Girls High School - 309150",5,"#pc > option:nth-child(5)"
"Hazrat Zainab Girls High School - 309151",6,"#pc > option:nth-child(6)"
"Payurki School - 309152",7,"#pc > option:nth-child(7)"
"Shaheed Ali Dost High School - 309153",8,"#pc > option:nth-child(8)"
"Abdul Rouf Hujat Darul Uloom - 309154",9,"#pc > option:nth-child(9)"
"Sheenah Jame Mosque - 309155",10,"#pc > option:nth-child(10)"
"Shaheed Zulfiqar High School - 309156",11,"#pc > option:nth-child(11)"
"Khidri High School - 309157",12,"#pc > option:nth-child(12)"
"Dahan e Khakrez Boys High School - 309158",13,"#pc > option:nth-child(13)"
"Member Pawaz - 310159",1,"#pc > option:nth-child(1)"
"Babur Secondary School - 310160",2,"#pc > option:nth-child(2)"
"Abu Baker Sedique High School - 310161",3,"#pc > option:nth-child(3)"
"Ali Akbar Shaheed High School - 310162",4,"#pc > option:nth-child(4)"
"Nawai High School - 310163",5,"#pc > option:nth-child(5)"
"Mir Khushal Wali Jame Mosque - 310164",6,"#pc > option:nth-child(6)"
"Hazrat Ali Secondary School - 310165",7,"#pc > option:nth-child(7)"
"Dahan e Jarf High School - 310166",8,"#pc > option:nth-child(8)"
"Darah e Jarf Girls Secondary School - 310167",9,"#pc > option:nth-child(9)"
"Khaimah (tent) Dahan Botyan - 310168",10,"#pc > option:nth-child(10)"
"Imam Mahdi Boys High School - 310169",11,"#pc > option:nth-child(11)"
"Khiamah (tent) Pai Kotal - 310170",12,"#pc > option:nth-child(12)"
"Awal Baba School - 401001",1,"#pc > option:nth-child(1)"
"Tameer Sharwali (Municipality Building) - 401002",2,"#pc > option:nth-child(2)"
"Naser Abad School - 401003",3,"#pc > option:nth-child(3)"
"Deh Afghanan School - 401004",4,"#pc > option:nth-child(4)"
"Nayeban School - 401005",5,"#pc > option:nth-child(5)"
"Khaimah (tent) Koh Ibrahim Khil - 401008",6,"#pc > option:nth-child(6)"
"Charakah School - 401010",7,"#pc > option:nth-child(7)"
"Kuhnah Khumar School - 401011",8,"#pc > option:nth-child(8)"
"Rahman Khil Mosque - 401012",9,"#pc > option:nth-child(9)"
"Kotah e Ashru Girls School - 401013",10,"#pc > option:nth-child(10)"
"Andar Mosque - 402015",1,"#pc > option:nth-child(1)"
"Masjid Kalan Shadi Kala Mosque - 402017",2,"#pc > option:nth-child(2)"
"Masjid Kalan Hajian Mosque  - 402018",3,"#pc > option:nth-child(3)"
"Kan Ezat School - 402019",4,"#pc > option:nth-child(4)"
"Sahak School - 402023",5,"#pc > option:nth-child(5)"
"Shaheed Yaqoubi High School - 403030",1,"#pc > option:nth-child(1)"
"Ghulam Dastageer Shaheed Secondary School - 403032",2,"#pc > option:nth-child(2)"
"Imam Azam School - 403033",3,"#pc > option:nth-child(3)"
"Dawlan Secondary School - 403034",4,"#pc > option:nth-child(4)"
"Bibi Ayesha Sediqa Secondary School - 403035",5,"#pc > option:nth-child(5)"
"Ismael Khil Secondary School - 403037",6,"#pc > option:nth-child(6)"
"Zewlat High School - 403038",7,"#pc > option:nth-child(7)"
"Mir Ahmad Shah School - 403039",8,"#pc > option:nth-child(8)"
"Kolak village Mosque - 404043",1,"#pc > option:nth-child(1)"
"Manzil Mangal (Mangal House) - 404044",2,"#pc > option:nth-child(2)"
"Panah Bazzar Mosque - 404045",3,"#pc > option:nth-child(3)"
"Omer Farouq High School - 404046",4,"#pc > option:nth-child(4)"
"Sar e Koh School - 404047",5,"#pc > option:nth-child(5)"
"Langar Madrassah - 404051",6,"#pc > option:nth-child(6)"
"AmboKhak School - 404052",7,"#pc > option:nth-child(7)"
"Alah Sang School - 404053",8,"#pc > option:nth-child(8)"
"Haider Khil Village Mosque - 405073",1,"#pc > option:nth-child(1)"
"Qalla Saduddin Jame Mosque - 405075",2,"#pc > option:nth-child(2)"
"Dasht Toup High School - 405085",3,"#pc > option:nth-child(3)"
"Block Hussaini School - 406101",1,"#pc > option:nth-child(1)"
"Naqshband village Mosque - 406102",2,"#pc > option:nth-child(2)"
"Sayed Taimoor village Mosque  - 407103",1,"#pc > option:nth-child(1)"
"Teezak Clinic - 407104",2,"#pc > option:nth-child(2)"
"Qarya e Payen Nuqat Mosque - 407105",3,"#pc > option:nth-child(3)"
"Gardan Dewar High School - 407106",4,"#pc > option:nth-child(4)"
"Dwalat Quli School - 407107",5,"#pc > option:nth-child(5)"
"Ergeen Secondary School - 407108",6,"#pc > option:nth-child(6)"
"Gerdi Mosque - 407109",7,"#pc > option:nth-child(7)"
"Dahan Aabdarah Primary School - 407110",8,"#pc > option:nth-child(8)"
"Syah Botah School - 407111",9,"#pc > option:nth-child(9)"
"Kalan Deh Clinic - 408118",1,"#pc > option:nth-child(1)"
"Sanzalah Mosque - 408119",2,"#pc > option:nth-child(2)"
"Band Botah School - 409123",1,"#pc > option:nth-child(1)"
"Tagab Beermak School - 409124",2,"#pc > option:nth-child(2)"
"Kamarak School - 409125",3,"#pc > option:nth-child(3)"
"Tagab Zeerat Mosque - 409126",4,"#pc > option:nth-child(4)"
"Qaraqul Madrassah - 409127",5,"#pc > option:nth-child(5)"
"Babakah School - 409128",6,"#pc > option:nth-child(6)"
"Dahan Awji High School - 409129",7,"#pc > option:nth-child(7)"
"Kujab Ulya School - 409130",8,"#pc > option:nth-child(8)"
"Mir Hazar Kujab High School - 409131",9,"#pc > option:nth-child(9)"
"Imam Mohammad Baqer Darul Uloom - 409132",10,"#pc > option:nth-child(10)"
"Bad Aasyab School - 409133",11,"#pc > option:nth-child(11)"
"Sar Taalah School - 409134",12,"#pc > option:nth-child(12)"
"Daranjoi Mosque - 409135",13,"#pc > option:nth-child(13)"
"Shuhada High School - 409136",14,"#pc > option:nth-child(14)"
"Husainia Umoomi Safid Dewar - 409137",15,"#pc > option:nth-child(15)"
"Rashek School - 409138",16,"#pc > option:nth-child(16)"
"Daman Khalil School - 409139",17,"#pc > option:nth-child(17)"
"Marak High School - 409140",18,"#pc > option:nth-child(18)"
"Raqul Boys High School - 409141",19,"#pc > option:nth-child(19)"
"Aab Sherom School - 409142",20,"#pc > option:nth-child(20)"
"Tagab Ramoz High School - 409143",21,"#pc > option:nth-child(21)"
"Peetab Ramoz High School - 409144",22,"#pc > option:nth-child(22)"
"Kotal Mullah Yaqoub School - 409145",23,"#pc > option:nth-child(23)"
"Jawad Jaria Khanah School - 409147",24,"#pc > option:nth-child(24)"
"Sarbalaq School - 409148",25,"#pc > option:nth-child(25)"
"Ghawas School - 409149",26,"#pc > option:nth-child(26)"
"Dahan Sangeenak School - 409150",27,"#pc > option:nth-child(27)"
"Barah Khanah School - 409151",28,"#pc > option:nth-child(28)"
"Mahar Khanah School - 409152",29,"#pc > option:nth-child(29)"
"Qalla Gardum Mosque - 409153",30,"#pc > option:nth-child(30)"
"Nai Bolaq Ajam Mosque - 409154",31,"#pc > option:nth-child(31)"
"Surkh Abad School - 409155",32,"#pc > option:nth-child(32)"
"Hasht Darakht Madrassah - 409156",33,"#pc > option:nth-child(33)"
"Kuhnah Qalla School - 409157",34,"#pc > option:nth-child(34)"
"Srah Myasht Markaz (Red Cresent Center) - 501001",1,"#pc > option:nth-child(1)"
"Omer Farouq High School - 501002",2,"#pc > option:nth-child(2)"
"Hesarak Secondary School - 501003",3,"#pc > option:nth-child(3)"
"Pad Khwab e Shanah Secondary School - 501006",4,"#pc > option:nth-child(4)"
"Pas e Karez School - 501007",5,"#pc > option:nth-child(5)"
"Al Tamoor Secondary School - 501008",6,"#pc > option:nth-child(6)"
"Chawnnai School - 501009",7,"#pc > option:nth-child(7)"
"Pashtoon Abad Mosque - 501010",8,"#pc > option:nth-child(8)"
"Aabchakan School - 501011",9,"#pc > option:nth-child(9)"
"Shahrak Muhajereen Clinic - 501012",10,"#pc > option:nth-child(10)"
"Poorak School - 501014",11,"#pc > option:nth-child(11)"
"Jihadi Kulangar High School - 501017",12,"#pc > option:nth-child(12)"
"Kamidan Girls High School - 501018",13,"#pc > option:nth-child(13)"
"Ghazi Amanullah High School - 502030",1,"#pc > option:nth-child(1)"
"Zahqoom Khil School - 502032",2,"#pc > option:nth-child(2)"
"Do bandi School - 504045",1,"#pc > option:nth-child(1)"
"Khoshi High School and Myanah Deh Girls School - 504048",2,"#pc > option:nth-child(2)"
"Safed Sang School - 505055",1,"#pc > option:nth-child(1)"
"Gumaran School - 505056",2,"#pc > option:nth-child(2)"
"Mohammad Jan Khan School - 505057",3,"#pc > option:nth-child(3)"
"Mohammad Agha High School - 505060",4,"#pc > option:nth-child(4)"
"Old Building of the District Administrator - 505062",5,"#pc > option:nth-child(5)"
"Surkh Abad Girls Secondary School - 505063",6,"#pc > option:nth-child(6)"
"Aqab Bazar Mosque - 505065",7,"#pc > option:nth-child(7)"
"Mughul Khil Girls School - 505067",8,"#pc > option:nth-child(8)"
"Khwajah Angor School - 506068",1,"#pc > option:nth-child(1)"
"Chotra School - 507078",1,"#pc > option:nth-child(1)"
"Akbar Khil Girls and Boys School - 507080",2,"#pc > option:nth-child(2)"
"Babar School - 507081",3,"#pc > option:nth-child(3)"
"Gardeks Primary School - 602048",1,"#pc > option:nth-child(1)"
"Samar Khil School - 602049",2,"#pc > option:nth-child(2)"
"Saracha Ali Khan Boys High School - 602050",3,"#pc > option:nth-child(3)"
"Karez Kabir High School - 602051",4,"#pc > option:nth-child(4)"
"Hadah School - 602052",5,"#pc > option:nth-child(5)"
"Wazir Mohammad Gul Khan High School - 602053",6,"#pc > option:nth-child(6)"
"Shaheed Sardar Mohammad Daoud Khan High School - 602054",7,"#pc > option:nth-child(7)"
"Haji Haleem Mosque - 602055",8,"#pc > option:nth-child(8)"
"Haji Hafeez Mosque - 602056",9,"#pc > option:nth-child(9)"
"Mohammadi Sahibzadah High School - 602057",10,"#pc > option:nth-child(10)"
"Hazrat Abu Baker High School - 602058",11,"#pc > option:nth-child(11)"
"Qalla e Malakh School - 602059",12,"#pc > option:nth-child(12)"
"Banda Jomat Mosque - 602060",13,"#pc > option:nth-child(13)"
"Haji Sarbiland Khan School - 602061",14,"#pc > option:nth-child(14)"
"Shaheed Malang Jan High School - 602062",15,"#pc > option:nth-child(15)"
"Wach Tangi High School - 602063",16,"#pc > option:nth-child(16)"
"Baher Abad High School - 602064",17,"#pc > option:nth-child(17)"
"Janan Khan High School - 602065",18,"#pc > option:nth-child(18)"
"Daman Mosque - 602066",19,"#pc > option:nth-child(19)"
"Behsoud Agriculture Cooperative - 602067",20,"#pc > option:nth-child(20)"
"Nahid Shaheed School - 602068",21,"#pc > option:nth-child(21)"
"Zangoyee School - 602069",22,"#pc > option:nth-child(22)"
"Syah Sang Secondary School - 603070",1,"#pc > option:nth-child(1)"
"Abu Baker Sedique Jame Mosque - 603071",2,"#pc > option:nth-child(2)"
"Gandah Chashmah Mosque - 603072",3,"#pc > option:nth-child(3)"
"Koz Shiekh Mesri Clinic - 603073",4,"#pc > option:nth-child(4)"
"Da Ghochako High School - 603074",5,"#pc > option:nth-child(5)"
"Lal Qasem Agha Secondary School - 603075",6,"#pc > option:nth-child(6)"
"Chaknoori Mosque - 603076",7,"#pc > option:nth-child(7)"
"Afghan Mena Secondry School - 603077",8,"#pc > option:nth-child(8)"
"Directorate of the Mines Industries - 603078",9,"#pc > option:nth-child(9)"
"Bakhtan Clinic - 603079",10,"#pc > option:nth-child(10)"
"Reyasat Kanan - 603080",11,"#pc > option:nth-child(11)"
"Charbagh School - 603081",12,"#pc > option:nth-child(12)"
"Peer Said Hasan Gailani High School - 603082",13,"#pc > option:nth-child(13)"
"Amarkhil School - 603083",14,"#pc > option:nth-child(14)"
"Bibi Mariam School - 603084",15,"#pc > option:nth-child(15)"
"Shaheed Mohammad Ashraf Girls High School - 603085",16,"#pc > option:nth-child(16)"
"Qazi Fazel Mahmoud Primary School - 603086",17,"#pc > option:nth-child(17)"
"Faqrullah High School - 603087",18,"#pc > option:nth-child(18)"
"Girls High School - 603088",19,"#pc > option:nth-child(19)"
" Jame Mosque - 603089",20,"#pc > option:nth-child(20)"
"Nazaneen Jabarkhil Girls and Boys High School - 603090",21,"#pc > option:nth-child(21)"
"Hazrat Bilal Jame Mosque - 603091",22,"#pc > option:nth-child(22)"
"Shamspour Girls High School - 603092",23,"#pc > option:nth-child(23)"
"Sultan Pour Mosque - 603093",24,"#pc > option:nth-child(24)"
"Abu Baker Sedique Jame Mosque - 603094",25,"#pc > option:nth-child(25)"
"Koshkak Girls High School - 603095",26,"#pc > option:nth-child(26)"
"Koz Fateh Abad School - 603096",27,"#pc > option:nth-child(27)"
"Fateh Abad School - 603098",28,"#pc > option:nth-child(28)"
