"pc","list_position","x"
"Boys High School - 201001",1,"#pc > option:nth-child(1)"
"Zaraat Jame Mosque - 201002",2,"#pc > option:nth-child(2)"
"Allah Mohammad Shokhi (Kochi) High School - 201003",3,"#pc > option:nth-child(3)"
"Zakozai Mosque - 201004",4,"#pc > option:nth-child(4)"
"Late Sayed Mir Jan Mosque - 201005",5,"#pc > option:nth-child(5)"
"Khal Mohammad High School - 201006",6,"#pc > option:nth-child(6)"
"Regrawan Girls School - 201007",7,"#pc > option:nth-child(7)"
"Girls High School - 201008",8,"#pc > option:nth-child(8)"
"Qalla e Safid Mosque - 201009",9,"#pc > option:nth-child(9)"
"Ali Khil Girls School - 201010",10,"#pc > option:nth-child(10)"
"Qari Mir Usman Shaheed Girls High School - 201011",11,"#pc > option:nth-child(11)"
"Hazrat Masab High School - 201012",12,"#pc > option:nth-child(12)"
"Qazi Khil Girls High School - 201013",13,"#pc > option:nth-child(13)"
"Mahmoud Raqi Boys High School - 201014",14,"#pc > option:nth-child(14)"
"Mahmoud Raqi Girls High School - 201015",15,"#pc > option:nth-child(15)"
"Malik Gee Khil Mosque - 201016",16,"#pc > option:nth-child(16)"
"Alhaj Ghulam Sakhi Girls Secondary School - 202017",1,"#pc > option:nth-child(1)"
"Haji Mohammad Hakim Shaheed Secondary School - 202018",2,"#pc > option:nth-child(2)"
"Jalaluddin Shaheed Primary School - 202019",3,"#pc > option:nth-child(3)"
"Mohammad Anwar Shaheed Primary School - 202020",4,"#pc > option:nth-child(4)"
"Faiz Mohammad Shaheed Primary School - 202021",5,"#pc > option:nth-child(5)"
"Kham Robah Mosque - 202022",6,"#pc > option:nth-child(6)"
"Enayatullah Primary School - 202023",7,"#pc > option:nth-child(7)"
"Mohammad Tahir Shaheed School - 202024",8,"#pc > option:nth-child(8)"
"NULL - 202094",9,"#pc > option:nth-child(9)"
"Pul e Mirwais Mosque - 203025",1,"#pc > option:nth-child(1)"
"Qalla e Atta Khan Girls Primary School  - 203026",2,"#pc > option:nth-child(2)"
"Habib Khil Mosque - 203028",3,"#pc > option:nth-child(3)"
"Lal Baig Khil Mosque - 203029",4,"#pc > option:nth-child(4)"
"Bolgheen Girls High School - 203030",5,"#pc > option:nth-child(5)"
"Abdul Baqi Shaheed High School - 203031",6,"#pc > option:nth-child(6)"
"Mohammad Omerkhil Mosque - 203032",7,"#pc > option:nth-child(7)"
"Sanjan Primary School - 204033",1,"#pc > option:nth-child(1)"
"Ilhaqya Qalla e Mir School - 204034",2,"#pc > option:nth-child(2)"
"Abdul Shukoor Khan Secondary School - 204035",3,"#pc > option:nth-child(3)"
"Namaz Jai Girls High School - 204036",4,"#pc > option:nth-child(4)"
"Haqania Sher Khan Khil Madrassah - 204037",5,"#pc > option:nth-child(5)"
"Nasaji Gulbahar Girls High School - 204038",6,"#pc > option:nth-child(6)"
"Naser Khan Khil Secondary School - 204039",7,"#pc > option:nth-child(7)"
"Jaldak Secondary School - 204040",8,"#pc > option:nth-child(8)"
"Ushtergram Girls High School - 204041",9,"#pc > option:nth-child(9)"
"Mir Masjidi Khan High School - 204042",10,"#pc > option:nth-child(10)"
"Izadyar Shaheed High School - 204043",11,"#pc > option:nth-child(11)"
"Mula Khalil Mosque - 204044",12,"#pc > option:nth-child(12)"
"Mohammad Omer Shaheed High School - 204045",13,"#pc > option:nth-child(13)"
"Haqbeen Shaheed Secondary School - 204046",14,"#pc > option:nth-child(14)"
"Gyawah School - 205047",1,"#pc > option:nth-child(1)"
"Kahloot Secondary School - 205048",2,"#pc > option:nth-child(2)"
"Zarshoi Girls School - 205049",3,"#pc > option:nth-child(3)"
"Qalla e Ghani Girls School - 205050",4,"#pc > option:nth-child(4)"
"Woleswali  (District)Jame Mosque - 205051",5,"#pc > option:nth-child(5)"
"Badakhshi Girls School - 205052",6,"#pc > option:nth-child(6)"
"Rozakhil Secondary School - 205053",7,"#pc > option:nth-child(7)"
"Darah e Farukh Shah Secondary School - 205054",8,"#pc > option:nth-child(8)"
"Mirza Abdul Rahman Shaheed School - 205055",9,"#pc > option:nth-child(9)"
"Ibrahim Khil School - 205056",10,"#pc > option:nth-child(10)"
"Saranwal Habibul Rahman Shaheed School - 205058",11,"#pc > option:nth-child(11)"
"Ziaulhaq Shaheed High School - 205059",12,"#pc > option:nth-child(12)"
"Sabat Mosque - 205060",13,"#pc > option:nth-child(13)"
"Ghulam Jailani Shaheed School - 205061",14,"#pc > option:nth-child(14)"
"Bagh e Aman Mosque - 205062",15,"#pc > option:nth-child(15)"
"Tajikan Boys High School - 205063",16,"#pc > option:nth-child(16)"
"Abdul Ghafar Shaheed High School - 205064",17,"#pc > option:nth-child(17)"
"Weeshar Mosque - 205065",18,"#pc > option:nth-child(18)"
"Yaseenzai School - 205066",19,"#pc > option:nth-child(19)"
"Qazi Abdul Jamil School - 205067",20,"#pc > option:nth-child(20)"
"Shaheed Salim Secondary School - 206070",1,"#pc > option:nth-child(1)"
"Hudah e Anwar Mosque - 206071",2,"#pc > option:nth-child(2)"
"Jalo Khil Mosque - 206072",3,"#pc > option:nth-child(3)"
"Moqam Khil Mosque - 206073",4,"#pc > option:nth-child(4)"
"Shaheed Hafeezullah Secondary School - 206076",5,"#pc > option:nth-child(5)"
"Ghazi Usman High School - 206077",6,"#pc > option:nth-child(6)"
"Shalwati Mosque - 206084",7,"#pc > option:nth-child(7)"
"Payenda Khil School - 206085",8,"#pc > option:nth-child(8)"
"Agha Shereen Secondary School - 206086",9,"#pc > option:nth-child(9)"
"Hayatullah Shaheed High School - 207088",1,"#pc > option:nth-child(1)"
"Laila Sarahat Roshani High School - 301001",1,"#pc > option:nth-child(1)"
"Hurrah e Jalali High School - 301002",2,"#pc > option:nth-child(2)"
"Sadeqi High School - 301003",3,"#pc > option:nth-child(3)"
"Bibi Safia Jame Mosque - 301004",4,"#pc > option:nth-child(4)"
"Omer Farouq Jame Mosque - 301005",5,"#pc > option:nth-child(5)"
"Parcha 13 Shahri School - 301006",6,"#pc > option:nth-child(6)"
"Mir Ali Ahmad Shaheed High School - 301007",7,"#pc > option:nth-child(7)"
"Mir Abdul Karim Maqoul High School - 301008",8,"#pc > option:nth-child(8)"
"Mohammad Usman Experimental High School - 301009",9,"#pc > option:nth-child(9)"
"Sadeqi Padshah Jame Mosque - 301010",10,"#pc > option:nth-child(10)"
"Noman High School - 301011",11,"#pc > option:nth-child(11)"
"Bala Ghel Jame Mosque - 301012",12,"#pc > option:nth-child(12)"
"Abdul Qudous Jame Mosque - 301013",13,"#pc > option:nth-child(13)"
"Myan Shahkh High School - 301014",14,"#pc > option:nth-child(14)"
"Pashayan Girls School - 301015",15,"#pc > option:nth-child(15)"
"Qalacha e Sokhta Secondary School - 301016",16,"#pc > option:nth-child(16)"
"Bayan Payen Secondary School - 301017",17,"#pc > option:nth-child(17)"
"Dolana High School - 301018",18,"#pc > option:nth-child(18)"
"Ilhaqya Khadijatul Kubra Madrassah - 301019",19,"#pc > option:nth-child(19)"
"Bayan Bala Secondary School - 301020",20,"#pc > option:nth-child(20)"
"Amanullah Shaheed High School - 301021",21,"#pc > option:nth-child(21)"
"Deh Qazi High School - 301022",22,"#pc > option:nth-child(22)"
"Sayadan School - 301023",23,"#pc > option:nth-child(23)"
"Toghbeerdee Boys High School - 301024",24,"#pc > option:nth-child(24)"
"Telanchi Girls School - 301025",25,"#pc > option:nth-child(25)"
"Dadu High School - 301026",26,"#pc > option:nth-child(26)"
"Omer Farouq High School - 301027",27,"#pc > option:nth-child(27)"
"Tatumdarah e Ulya High School - 301028",28,"#pc > option:nth-child(28)"
