province_name_eng,province_code,candidate_name_eng,candidate_gender,candidate_id,notes
Kabul,1, Faiz Muhammad Arghand,Male,3664612,
Kabul,1, Muhammad Mahdi Mesam,Male,720771,
Kabul,1, Masooma Nazari,Female,5765419,
Kabul,1,Muhammad Wasa,Male,5276242,
Kabul,1, Eng. Muhammad Rasool Barikzai,Male,11211993,
Kabul,1,Asmatullah Esar,Male,5765374,
Kabul,1,Ghulam Rabani Rabani,Male,3664623,
Kabul,1,Saranwal Moh. Nabi Mastoor,Male,3901177,
Kabul,1, Partial Sing Pal,Male,5490141,
Kabul,1,Ustad Habibullah Farhang,Male,11267264,
Kabul,1,Alhaj Faiz Muhammad Rawan,Male,3686364,
Kabul,1, Abdul Karim Bekran,Male,5765362,
Kabul,1, Ahmad Haidar Haidar,Male,5765339,
Kabul,1,Dr. Amin Alizai,Male,6149939,
Kabul,1,Eng. Abdul Ghafar Rasooli,Male,3466614,
Kabul,1,Ustad Alia Husan Yar,Female,6370858,
Kabul,1,Muhammad Yaseen Habib,Male,5551880,
Kabul,1, Barimal Areenpoor,Male,3466630,
Kabul,1,Sardar Barialay Amiri,Male,36646602,
Kabul,1,Malim Abdul Jabar Paikan,Male,7030554,
Kabul,1, Mawlana Hashim,Male,3466653,
Kabul,1, Dr. Raisa Seddiqi,Female,5765425,
Kabul,1,Eng. Tughyan Bakhshi,Male,5765379,
Kabul,1, Eng. Farid Ahmad Mutaqi,Male,6350606,
Kabul,1,Puhanmal Diploma  Eng. Muhammad Aziz Amini,Male,904290,
Kabul,1, Turab Khan Hussain Khil,Male,3466700,
Kabul,1,Dr. Khuwajah Abdul Khaliq Seddiqi,Male,5541300,
Kabul,1,Rawoof Sarkhosh,Male,6359969,
Kabul,1,Ustad Nafisa Hanif Khush Naseeb,Female,948420,
Kabul,1,Rafaya Zohra,Female,5765428,
Kabul,1,General Amrullah Nazari,Male,3773331,
Kabul,1,Dr. Furozan Fana,Female,6371180,
Kabul,1, Muhammad Ayoub Qasimi,Male,5765350,
Kabul,1,Hajji Muhammad Daood Safi,Male,5765365,
Kabul,1,Qazi Mahbubullah Shafiq,Male,3677437,
Kabul,1,Hamidullah Adib Faiz,Male,5765391,
Kabul,1, Hafizullah Barikzai,Male,627234,
Kabul,1,Zakira Jafari,Female,5765433,
Kabul,1,Hasan,Male,,
Kabul,1,Sardar Muhammad Barikzai,Male,4767894,
Kabul,1,Hajji Sayed Younus,Male,4227804,
Kabul,1, Hajji Ahmad Ihsan Daqiq,Male,3695988,
Kabul,1,Alhaj Abdul Wahid Qarzi,Male,11245845,
Kabul,1,Muhammad Hakim Tursan,Male,926537,
Kabul,1,Ustad Salih  Muhammad A.K.A Hajji Qandahari,Male,5570894,
Kabul,1,Eng. Zalmai Footballist,Male,3466658,
Kabul,1, Hakim,Male,,
Kabul,1,Ghulam Haidar Kargar,Male,60445101,
Kabul,1, Ghulam Sakhi Omidwar,Male,707512,
Kabul,1,Agha Sahib  Muhammad Dawood Mustaghni,Male,3649279,
Kabul,1, Hashim Rasooli,Male,7991398,
Kabul,1,Muhammad Akbar Safi,Male,7827841,
Kabul,1,Leda Karimi,Female,14171603,
Kabul,1, Ustad Shireen Taaj Rahemi,Female,1069556,
Kabul,1,Masooda Ansari,Female,3011924,
Kabul,1,Muhammad Ibrahim Ezati,Male,5185483,
Kabul,1,Hajji Noor Muhammad,Male,3664620,
Kabul,1,Hajji Abdul Rawouf Hajji Zada,Male,3466687,
Kabul,1, Alhaj Muhammad Haroon Jalali,Male,665864,
Kabul,1, Dr. Janat Khan,Male,4780662,
Kabul,1,Kamila Saifi,Female,3861387,
Kabul,1, Nooria Babakarkhil,Female,5765430,
Kabul,1,Suhaila Sharifi,Female,60810150,
Kabul,1,Dr. Abdul Satar Stanikzai,Male,3466639,
Kabul,1,Parween Sofi,Female,975057,
Kabul,1,Anisa Azizi,Female,5765431,
Kabul,1,Malalay Sofi Tawhid,Female,957331,
Kabul,1, Rohullah Yosufi,Male,3466664,
Kabul,1, Sadozai Baba Karkhil,Male,3466667,
Kabul,1, Dr. Faheem,Male,993605,
Kabul,1,Nazira Ziayee,Female,5765438,
Kabul,1,Abdullah Nariwal,Male,618568,
Kabul,1,Nafisa Selay Wardak,Female,5765375,
Kabul,1,Sayed Naiem Idrees Kashifi Sanglakhi,Male,3466634,
Kabul,1, Hamida Osman,Female,5765435,
Kabul,1,Muhammad Emal Kharoti,Male,726040,
Kabul,1, Abdul Basir Bahrami,Male,8895310,
Kabul,1, Hajji Muhammad Amin Perozi,Male,3466601,
Kabul,1,Muhammad Hashim Sangar Niazi,Male,6350173,
Kabul,1, Muhammad Ihsan,Male,992914,
Kabul,1,Muhammad Hamayoon Faiz Zad,Male,7889725,
Kabul,1, Puhanduy Ustad Muhammad Yousuf,Male,665615,
Kabul,1,Hajji Rohullah Kharoti,Male,3466501,
Kabul,1,General Aminullah Amarkhil,Male,5109113,
Kabul,1, Alhaj Zamaray Nasiri,Male,5140018,
Kapisa,2, Marina Amin Kohistani,Female,5794608,
Kapisa,2,Qari Omid Safi,Male,1373372,
Kapisa,2, Eng. Muhammad Aqa Akhunzada,Male,5794616,
Kapisa,2,Ghulam Wais Seddiqi,Male,2915960,
Kapisa,2, Nawsherawan Adeeb,Male,4073020,
Kapisa,2, Hajji Khushal,Male,2894166,
Parwan,3, Alhaj Abdul Sabor Ariayee,Male,12890124,
Parwan,3, Alhaj Muhammad Zada Parsa,Male,2958108,
Parwan,3,Muhammad Yasen Kashmir,Male,2524232,
Parwan,3,Waheeda Adalat Jo,Female,851548,
Parwan,3, Muhammad Sharif Shamal,Male,2958101,
Parwan,3,Turialay Mirzada,Female,6465385,
Parwan,3,Maulawi Muhammad Shen Gull Sharaee Bot Shekan,Male,14001961,
Parwan,3,Hajji Asel Khan Hotak,Male,7722209,
Parwan,3,Alhaj Sebat,Male,2504933,
Parwan,3, General Habibullah Salangyar,Male,2518311,
Parwan,3,Hajji Noor Muhammad,Male,6909234,
Parwan,3,Alhaj Jan Aqa Arifi,Male,14002881,
Parwan,3,Abdul Hay A.K.A Zabit Zelgay,Male,773376,
Parwan,3,Sayed Abdul Razaq  Hashimi A.K.A Agha Sahib,Male,3695297,
Wardak,4, Nafisa Nasib,Female,9236600,
Wardak,4,Hajji Ghulam Hasan Akbari,Male,1563884,
Wardak,4,Fatima Fatir,Female,1515021,
Wardak,4, Bakhto Jan Gurbati Wardak,Male,2964827,
Wardak,4,Zaidullah Haidari,Male,1515012,
Logar,5,Nafisa Bahar,Female,1553217,
Logar,5,Dr. Rahila Nadir,Female,1553204,
Logar,5,Ustad Abdul Razaq Azizi,Male,1553214,
Logar,5, Anisa Safi Sadat,Female,1553206,
Logar,5,Alhaj Dr. Asadullah Hematyar,Male,10392688,
Logar,5,Alhaj Mustafa Badar,Male,1553216,
Logar,5,Eng. Hamisha Gul,Male,1553219,
Ghazni,6,Sayed Sardar Alimi,Male,8948617,
Ghazni,6, Husai Andar,Female,7726020,
Ghazni,6, Eng. Qutb-u-din Taraki,Male,12456703,
Ghazni,6, Hajji Ghulam Naqeeb Jamuradwal,Male,3281126,
Ghazni,6,Abdul Qadir Wahidi,Male,2710795,
Ghazni,6,Ajmal Sultani,Male,4765960,
Ghazni,6, Aziz Agha,Male,2654101,
Ghazni,6, Muhammad Nasim Qasimi,Male,4968179,
Ghazni,6,Hajji Abdul Halim Andar,Male,573205,
Ghazni,6,Muhammad Ali Afzali,Male,8948605,
Ghazni,6,Alhaj Abdul Qadir Saadat Ghaznawi,Male,14297017,
Ghazni,6,Hajji Taj Muhammad Musa,Male,5088304,
Ghazni,6,Muder Shawali Hotak,Male,8948607,
Ghazni,6, Alhaj Muhammad Esa Akhlaqi,Male,933568,
Ghazni,6, Hekmatullah,Male,8948610,
Ghazni,6,Muhammad Sharif Nazari,Male,8948623,
Ghazni,6,Ahmad Sanjar Azad Zoy,Male,8948618,
Ghazni,6,Alhaj Najeebullah Gulestani,Male,12113983,
Paktika,7, Gul Andama Dena,Female,3064412,
Paktia,8,Sardar Khan Zadran,Male,5169805,
Paktia,8,Haleema Paktianai,Female,5169821,
Paktia,8,Dost Muhammad Khan Zadran,Male,7787038,
Paktia,8, Dr. Zekeria Mutmaien,Male,5273847,
Paktia,8, Alhaj Dr. Muhammad Sharif,Male,5169810,
Paktia,8,Muhammad Zahir Paktiawal,Male,5169809,
Paktia,8,Lieutenant General  Hai Gul Sulayman Khil,Male,5612233,
Khost,9, Nadia Bawari,Female,7023627,
Khost,9,Azizullah Sarwari,Male,4268240,
Khost,9, Nawab Amirzai,Male,9166501,
Khost,9,Abdul Rashed Mangal,Male,7023604,
Khost,9,Zabit Khan Khatak Zoy,Male,4789609,
Khost,9,Hajji Muhammad  Kareem Khan Qazi Zada,Male,7023609,
Khost,9, Kareem Khil,Male,7648001,
Khost,9, Dr. Muhammad Rahman,Male,2823707,
Khost,9, Alhaj Zahidullah Zahid,Male,5272368,
Khost,9, Hazrat Mir Reshtia,Male,4176553,
Nangarhar,10,Ustad Ghafori,Male,8913448,
Nangarhar,10,Malik Asmatullah Shenwari,Male,1275334,
Nangarhar,10,Hasiba Sadat,Female,8913454,
Nangarhar,10, Fauzia Hotak,Female,7571246,
Nangarhar,10,Eng. Hashima Sharif,Female,8913431,
Nangarhar,10,Abdullah Qari Baba,Male,456906,
Nangarhar,10, Hajji Anaam Shah Anaam Shenwari,Male,8913413,
Nangarhar,10,Hajji Feda Mahmud Miakhel,Male,4956431,
Nangarhar,10,Qazi Samiullah,Male,8913425,
Nangarhar,10,Sediq Mansor Ansari,Male,3995353,
Nangarhar,10,Ihsanullah Munawr,Male,8913447,
Nangarhar,10,Lutf-u-Rahman Khamosh,Male,8913438,
Nangarhar,10, Nabatai Safi,Female,8913419,
Nangarhar,10,Sajida Hashimi,Female,1344418,
Nangarhar,10,Barialay Gullyar,Male,7765673,
Nangarhar,10, Maiwand Shenwari,Male,8913435,
Nangarhar,10,Sayed Jalal Ahmad Pacha,Male,8913440,
Nangarhar,10, Dr. Maliha Obaidi,Female,1335057,
Nangarhar,10,Muhammad Ishaq Atmar,Male,8913436,
Nangarhar,10,Qazi Naseer Ahmad,Male,102230575,
Kunarha,11,Shuja ‐ul‐ Mulk Jalala,Male,100217671,
Kunarha,11,Said Wali Hussani,Male,5061108,
Kunarha,11,Muhibullah Woluswal,Male,13323851,
Kunarha,11,Said-u-Rahman Sabwoon,Male,388970,
Kunarha,11,Muhibullah,Male,5061107,
Laghman,12,Muhammad Azim Haidari,Male,4311692,
Laghman,12, Abdul Ghani Atmar,Male,7732216,
Laghman,12, Hajji Sardar Agha A.K.A Barialay,Male,8951470,
Laghman,12,Safi-u-din Mudasir Laghmani,Male,7732222,
Laghman,12,Sheren Taj Sahak,Female,7732213,
Laghman,12,Saranwal Aziz-u-Rahman,Male,7732202,
Laghman,12,Muhammad  Homayoon Haqmal Kamalpur,Male,7732218,
Laghman,12,Sayed Zabihullah Abas,Male,7732206,
Laghman,12,Mualim Asadullah Asad,Male,396260,
Laghman,12,Eng. Dost Muhammad,Male,5098316,
Laghman,12, Ghulam Sakhi Shaarai,Male,3994436,
Laghman,12,Eng. Zabihullah Hamidi,Male,8594354,
Nooristan,13,Liza Ghauwsi,Female,5795201,
Nooristan,13,Sayed Bibi Muahid,Female,6367327,
Nooristan,13,Alhaj Muhammad Zubair,Male,5139791,
Nooristan,13,Qari Jamal‐u‐din Marabit,Male,5795213,
Badakhshan,14, Aqil Mah Sakhizada Pamiri,Female,100407011,
Badakhshan,14, Sadatullah Hamdard,Male,8995505,
Badakhshan,14,Hajji Abdul Haq Haqani,Male,102940256,
Badakhshan,14,Muhammad Rahman Pahlawan Zada,Male,14112364,
Badakhshan,14,Abdul Karim,Male,1029226,
Badakhshan,14,Belqis Najmi,Female,2233817,
Badakhshan,14, Muhibullah Zeiayee,Male,2243824,
Badakhshan,14,Muhammad Azim Mosawi,Male,180981,
Badakhshan,14,Alhaj Puhanyar  Ustad MuhammadSediq Sabah,Male,102468526,
Badakhshan,14,Qari Nematullah Nastu,Male,11717445,
Badakhshan,14,Amanullah Emaan,Male,2087949,
Badakhshan,14,Maulawi Abdul Jabar Furqani,Male,2233842,
Takhar,15, Amaad ‐ud‐ Din,Male,12548582,
Takhar,15,Abdul Moien,Male,2215250,
Takhar,15, Muhammad Essa,Male,1645049,
Takhar,15, Sayed Khan Mufradzada,Male,11996208,
Takhar,15, Malim Ashraf ‐ud‐ Din,Male,12453737,
Takhar,15, Ihsanullah Sadat,Male,2958420,
Takhar,15,Mawlawi  Muhammad Ibrahim alik,Male,56004,
Takhar,15,Dr. Muhibullah Katawazai,Male,501226,
Takhar,15,Alhaj Abdul Rahman,Male,2958418,
Baghlan,16,Dr. Ghulam Rasol Safari,Male,100306373,
Baghlan,16,Alhaj Shir Muhammad Abid,Male,6984241,
Baghlan,16,Abdul Samad Stanikzai,Male,3489882,
Baghlan,16,Makhdoom Khalil Ahmad Khenjani,Male,100905117,
Baghlan,16,Eng. Habib ‐ur‐ Rahman Habib,Male,6984215,
Baghlan,16,Abdul Jalil Porshur,Male,8296149,
Baghlan,16,Muhammad Zahir Malik Zad,Male,8779529,
Baghlan,16,Eng. Ahmad Zahir ud‐ Din Azhar,Male,12348073,
Baghlan,16,Jamila Ghorbandi,Female,6606506,
Baghlan,16,Maulawi Saraj ‐ud‐ Din Seerat,Male,2031554,
Baghlan,16,Fazal ‐ul‐ Haq Andarabi,Male,6984243,
Baghlan,16,Shir Khan,Male,6984201,
Baghlan,16,Muhammad Hussain,Male,7124627,
Baghlan,16,Hamida,Female,8293609,
Baghlan,16,Maulawi Mufti Haq Nawaz,Male,6984212,
Baghlan,16,Dr. Mahai Din Paykan Haidari,Male,7107603,
Baghlan,16,Sayed Mustafa Seddiqi,Male,829210,
Baghlan,16,Eng. Abdul Basher Basharatullah,Male,852885,
Baghlan,16,Zarmina Barikzai,Female,6984325,
Baghlan,16,Din Muhammad Nasrullahi,Male,4140338,
Baghlan,16,Amir Hayat Murad,Male,12329984,
Baghlan,16,Dr. Matiullah Sharq,Male,6984240,
Baghlan,16,Mir Haidar Andarabi,Male,1389129,
Kunduz,17, Alhaj Assadullah Omar Khil,Male,2049239,
Kunduz,17, Alhaj Maulawi Haq Murad Hamid,Male,8368102,
Kunduz,17,Dr. Juma Bawari,Male,1633341,
Kunduz,17,Alhaj Muhammad Sami Aymaq,Male,8352201,
Kunduz,17, Muhammad Musa Rahimi,Male,3604345,
Kunduz,17, Yama Khan,Male,8352226,
Kunduz,17,Dr. Sayed Badakhsh,Male,8352219,
Kunduz,17,Bibi Fatima Hofiani,Female,4092706,
Kunduz,17,Eng. Wali Muhammad Akseer,Male,6189298,
Kunduz,17,Sharaf ‐ud‐ Din,Male,3715360,
Kunduz,17, Dr. Ghulam Habib,Male,3956006,
Kunduz,17, Abdul Hadi Faizi,Male,262715,
Kunduz,17,Fahima Farhat,Female,138357,
Kunduz,17,Alhaj Amam Qul Sabir,Male,147411,
Samangan,18,Makhdum Qari Saraj-u-din Mujahid,Male,5798712,
Samangan,18,Senator Khadija Hussaini,Female,4609036,
Samangan,18,Abdul Ahmad Tatar,Male,12918520,
Samangan,18,Muhammad Zahir Muwafaq,Male,5798721,
Balkh,19,Tahira Haqjo,Female,4356450,
Balkh,19, Qamar Noori,Female,3528461,
Balkh,19,Dr. Sayed Nasir Hussaini,Male,4375234,
Balkh,19,Hajji Abdul Salam Telayee,Male,8145570,
Balkh,19, Qari Najeebullah,Male,3539732,
Balkh,19,Dr. Sayed Shir Muhammad Ahadi,Male,1814781,
Balkh,19,Muhammad Azim Hamid,Male,1738288,
Balkh,19,Abdul Baqi,Male,1770064,
Balkh,19,Zabit Muhammad Karim,Male,1901548,
Balkh,19,Maulana Abdul Basir Baharwi,Male,4059714,
Balkh,19, Hamidullah Uzbik Sakhiyaar,Male,4059729,
Juzjan,20, Hajji Muhammad Makhi Bay,Male,5323091,
Juzjan,20,Hamid Azizi,Male,6550815,
Sar-i-Pul,21,Qazi Suraya,Female,8997310,
Sar-i-Pul,21,Mir Alam Nasratyar,Male,161172,
Sar-i-Pul,21,Ustad Chaman Hamidi,Female,7727505,
Sar-i-Pul,21,Dr. Shukria,Female,8997302,
Faryab,22,Sayed Nadir Sadat,Male,8752929,
Faryab,22, Hajji Juma Khan,Male,11582544,
Faryab,22,Ghulam Sakhi Sulayman,Male,101084006,
Faryab,22,Sayed Abdul Salam Nahzat,Male,409175,
Badghis,23,Zemaray Mushkwani,Male,6196639,
Herat,24,Hajji Ahmad Dawoud Haidari,Male,5591593,
Herat,24,Muhammad Zahir Sherzoy,Male,100159330,
Herat,24,Eng. Hameedullah Qaisani,Male,3581331,
Herat,24,Eng. Mujtaba Sadiqi,Male,3581335,
Herat,24,Abdul Hakeem Hashimi,Male,3731596,
Herat,24,Hajji Muhammad Ghaus Ahrari,Male,13817012,
Farah,25, Najeeb Khan,Male,4239864,
Farah,25,Muhammad Dawoud Nayel,Male,6943256,
Nimroz,26,Mir Ghulam Muhammad Anar Daragi ,Male,6178406,
Helmand,27, Wakel Hajji Talib,Male,2630526,
Helmand,27,Hajji Abdul Aziz Khuram,Male,4538042,
Kandahar,28,Farishta Afghan,Female,5213691,
Zabul,29,Torpikay Sulayman Khil,Female,5012201,
Zabul,29,Hamidullah Tukhi,Male,11382256,
