province_name_eng,province_code,candidate_name_eng,candidate_gender,candidate_id,notes
Kabul,1,Abdul Hadi Rashid,Male,3466651,
Kabul,1, Latif Zhuwandai,Male,3046974,
Kabul,1,Dr. Muhammad Waizi,Male,3466690,
Kabul,1, Muhammad Rustam Faqirzada,Male,988316,
Kabul,1, Rana Nooristani,Female,5765413,
Kabul,1,Hajji Roz‐ud‐Din,Male,798530,
Kabul,1,Qismat Khan,Male,5765359,
Kabul,1,Dr. Zohra Karimi Turkmani,Female,5174098,
Kabul,1,Muhammad Ibrahim Karimi,Male,5765389,
Kabul,1,Hajji Obaidullah Rahmani,Male,967383,
Kabul,1, Abdul Ali Saeed,Male,8958672,
Kabul,1,Muhammad Afzal Habib Safi,Male,7032991,
Kabul,1,Mir Ahmad Niazmand,Male,3466671,
Kabul,1,Eng. Mahmood Kalakani,Male,7970929,
Kabul,1,Muhammad Asif Barnayar,Male,346616,
Kabul,1, Abdul Wahid Mujahid,Male,3466656,
Kabul,1,Dr. Shukria Serat Wali Zada,Female,6371628,
Kabul,1, Fatima Naziri,Female,2274719,
Kabul,1, Dr. Muhammad Jawad Ahmadi,Male,5765314,
Kabul,1,Shahla Atta,Female,6370916,
Kabul,1,Rahmatullah Suliman Khil,Male,5765351,
Kabul,1, Sadar,Male,6483661,
Kabul,1,Fariba Charkhi,Female,713650,
Kabul,1,Master Engineer Abdul Qadir Sofi Zada,Male,3674723,
Kabul,1, Sayed Karim Agha,Male,5125270,
Kabul,1,Muhammad Jafar Kuhistani,Male,3766150,
Kabul,1, Ahmad Shahpoor Ahmadi,Male,5765332,
Kabul,1,Alhaj Muhammad  Sabir Hamdullah Ahmadzai,Male,11227881,
Kabul,1, Alhaj Khadim Hussain Khuda Yar,Male,11397233,
Kabul,1,Khawani Amiri  Graduated from Law Faculty,Male,5765302,
Kabul,1,Najeebullah Intizar Kuhdamani,Male,11327530,
Kabul,1,Babrak Shirzad,Male,3664613,
Kabul,1,Muhammad Aqa Nazari,Male,1044582,
Kabul,1,Hasina Sahak,Female,985759,
Kabul,1,Ahmad Ali Rashid,Male,5917572,
Kabul,1, Fahima Sarfaraz,Female,964917,
Kabul,1,Hajji Sikandar Farji,Male,981488,
Kabul,1,Rajab Ali Hussaini Allah Dad,Male,6470374,
Kabul,1,Huria Arzo,Female,7033119,
Kabul,1,Dagarwal Niazai Wal,Male,3659192,
Kabul,1, Hajji Muhammad Haris Khan Kharotai,Male,5180712,
Kabul,1,Zabihullah Jawanmard,Male,7820258,
Kabul,1,Hayatullah Habib,Male,81415,
Kabul,1, Hajji Dawlat Muhammad Shirzai,Male,7820324,
Kabul,1,Mualim Ruqia Ihsan Timoori,Female,965730,
Kabul,1,Alhaj Puhanduy Bahadr Sharifi,Male,6470481,
Kabul,1, Muhammad Nawab Tuta khil,Male,3466655,
Kabul,1,Hajji Muhammad Hussain Hani A.K.A Hajji Shir,Male,3674569,
Kabul,1,Pohandoy  Muhammad Hassan Furootan,Male,3466665,
Kabul,1,Muhammad Jafar  Rahimi S/O Hajji Qambar Tabib,Male,3699134,
Kabul,1,Dr. Sayed Abdul Habib Rahmani,Male,3466663,
Kabul,1,Muhammad Aslam Hazara,Male,2289388,
Kabul,1,Dawlat Khan Andar,Male,5285902,
Kabul,1,Farida Tarana,Female,3011960,
