"province_code","candidate_name_eng","candidate_gender"
"01"," Partial Sing Pal","Male"
"01","Ustad Habibullah Farhang","Male"
"01","Alhaj Faiz Muhammad Rawan","Male"
"01"," Abdul Karim Bekran","Male"
"01"," Ahmad Haidar Haidar","Male"
"01","Dr. Amin Alizai","Male"
"01","Eng. Abdul Ghafar Rasooli","Male"
"01","Ustad Alia Husan Yar","Female"
"01","Muhammad Yaseen Habib","Male"
"01"," Barimal Areenpoor","Male"
"01","Sardar Barialay Amiri","Male"
"01","Malim Abdul Jabar Paikan","Male"
"01"," Mawlana Hashim","Male"
"01"," Dr. Raisa Seddiqi","Female"
"01","Eng. Tughyan Bakhshi","Male"
"01"," Eng. Farid Ahmad Mutaqi","Male"
"01","Puhanmal Diploma  Eng. Muhammad Aziz Amini","Male"
"01"," Turab Khan Hussain Khil","Male"
"01","Dr. Khuwajah Abdul Khaliq Seddiqi","Male"
"01","Rawoof Sarkhosh","Male"
"01","Ustad Nafisa Hanif Khush Naseeb","Female"
"01","Rafaya Zohra","Female"
"01","General Amrullah Nazari","Male"
"01","Dr. Furozan Fana","Female"
"01"," Muhammad Ayoub Qasimi","Male"
"01","Hajji Muhammad Daood Safi","Male"
"01","Qazi Mahbubullah Shafiq","Male"
"01","Hamidullah Adib Faiz","Male"
"01"," Hafizullah Barikzai","Male"
"01","Zakira Jafari","Female"
"01","Hasan","Male"
"01","Sardar Muhammad Barikzai","Male"
"01","Hajji Sayed Younus","Male"
"01"," Hajji Ahmad Ihsan Daqiq","Male"
"01","Alhaj Abdul Wahid Qarzi","Male"
"01","Muhammad Hakim Tursan","Male"
"01","Ustad Salih  Muhammad A.K.A Hajji Qandahari","Male"
"01","Eng. Zalmai Footballist","Male"
"01"," Hakim","Male"
"01","Ghulam Haidar Kargar","Male"
"01"," Ghulam Sakhi Omidwar","Male"
"01","Agha Sahib  Muhammad Dawood Mustaghni","Male"
"01"," Hashim Rasooli","Male"
"01","Muhammad Akbar Safi","Male"
"01","Leda Karimi","Female"
"01"," Ustad Shireen Taaj Rahemi","Female"
"01","Masooda Ansari","Female"
"01","Muhammad Ibrahim Ezati","Male"
"01","Hajji Noor Muhammad","Male"
"01","Hajji Abdul Rawouf Hajji Zada","Male"
"01"," Alhaj Muhammad Haroon Jalali","Male"
"01"," Dr. Janat Khan","Male"
"01","Kamila Saifi","Female"
"01"," Nooria Babakarkhil","Female"
"01","Suhaila Sharifi","Female"
"01","Dr. Abdul Satar Stanikzai","Male"
"01","Parween Sofi","Female"
"01","Anisa Azizi","Female"
"01","Malalay Sofi Tawhid","Female"
"01"," Rohullah Yosufi","Male"
"01"," Sadozai Baba Karkhil","Male"
"01"," Dr. Faheem","Male"
"01","Nazira Ziayee","Female"
"01","Abdullah Nariwal","Male"
"01","Nafisa Selay Wardak","Female"
"01","Sayed Naiem Idrees Kashifi Sanglakhi","Male"
"01"," Hamida Osman","Female"
"01","Muhammad Emal Kharoti","Male"
"01"," Abdul Basir Bahrami","Male"
"01"," Hajji Muhammad Amin Perozi","Male"
"01","Muhammad Hashim Sangar Niazi","Male"
"01"," Muhammad Ihsan","Male"
"01","Muhammad Hamayoon Faiz Zad","Male"
"01"," Puhanduy Ustad Muhammad Yousuf","Male"
"01","Hajji Rohullah Kharoti","Male"
"01","General Aminullah Amarkhil","Male"
"01"," Alhaj Zamaray Nasiri","Male"
"02"," Marina Amin Kohistani","Female"
"02","Qari Omid Safi","Male"
"02"," Eng. Muhammad Aqa Akhunzada","Male"
"02","Ghulam Wais Seddiqi","Male"
"02"," Nawsherawan Adeeb","Male"
"02"," Hajji Khushal","Male"
"03"," Alhaj Abdul Sabor Ariayee","Male"
"03"," Alhaj Muhammad Zada Parsa","Male"
"03","Muhammad Yasen Kashmir","Male"
"03","Waheeda Adalat Jo","Female"
"03"," Muhammad Sharif Shamal","Male"
"03","Turialay Mirzada","Female"
"03","Maulawi Muhammad Shen Gull Sharaee Bot Shekan","Male"
"03","Hajji Asel Khan Hotak","Male"
"03","Alhaj Sebat","Male"
"03"," General Habibullah Salangyar","Male"
"03","Hajji Noor Muhammad","Male"
"03","Alhaj Jan Aqa Arifi","Male"
