Polling Centers,Polling Stations,,,,,,,,,,,
Candidates Name,1,2,3,4,5,6,7,8,9,10,11,Total
101050,,,,,,,,214,,,,214
"charahi taymani,tajoor sultana girl high school",,,,,,,,214,,,,214
"ازاد خان کوچی",,,,,,,,1,,,,1
"الحاج حسن صحرايې",,,,,,,,1,,,,1
"الحاج وکيل ملا تره خيل محمدی",,,,,,,,44,,,,44
"پروين مومند تلوسه",,,,,,,,1,,,,1
"تورن  دلاورخان  کوچی",,,,,,,,1,,,,1
"حاجی  پری کوچی",,,,,,,,3,,,,3
"حاجی جان محمد",,,,,,,,1,,,,1
"حاجی حيدر جان  نعيم زوی",,,,,,,,1,,,,1
"حاجی رضا خان",,,,,,,,1,,,,1
"حاجی عبدالظاھر  عابد",,,,,,,,1,,,,1
"حاجی عبدالقادر  کوچی",,,,,,,,1,,,,1
"حاجی محمد عارف نورزی",,,,,,,,1,,,,1
"حبيب الرحمن مشھور به حبيب افغان",,,,,,,,144,,,,144
"زرغونه احمدزۍ",,,,,,,,2,,,,2
"سيد محمد حريق",,,,,,,,3,,,,3
"محمد داور توخی",,,,,,,,2,,,,2
"ميرويس نور احمدزی",,,,,,,,2,,,,2
"نظيفه احمدزۍ",,,,,,,,1,,,,1
"نورالدين   کوچی",,,,,,,,1,,,,1
"وکيل محمد اشرف احمدزی",,,,,,,,2,,,,2
101060,,,,,,,74,36,,,,110
"now abad dehkipak,now abad dikipak sacandry sch",,,,,,,74,36,,,,110
"الحاج وکيل ملا تره خيل محمدی",,,,,,,17,1,,,,18
"حاجی عبدالقادر  کوچی",,,,,,,37,23,,,,60
"حبيب الرحمن مشھور به حبيب افغان",,,,,,,1,,,,,1
"زرغونه احمدزۍ",,,,,,,1,,,,,1
"محمد يوسف صابر",,,,,,,1,,,,,1
"ميرويس نور احمدزی",,,,,,,1,,,,,1
"وکيل محمد اشرف احمدزی",,,,,,,16,12,,,,28
101084,,,167,,,,,,,,,167
Changed from Haji Yaqub to Masjid Haji Syed Rahman,,,167,,,,,,,,,167
"الحاج حسن صحرايې",,,41,,,,,,,,,41
"الحاج وکيل ملا تره خيل محمدی",,,7,,,,,,,,,7
"بھرام خان",,,1,,,,,,,,,1
"حاجی  پری کوچی",,,1,,,,,,,,,1
"حاجی شير علی احمد زی",,,26,,,,,,,,,26
"حاجی عبدالظاھر  عابد",,,1,,,,,,,,,1
"حاجی عبدالقادر  کوچی",,,30,,,,,,,,,30
"حاجی علم گل کوچی",,,1,,,,,,,,,1
"حاجی محمد نذير احمد زی",,,2,,,,,,,,,2
"حبيب الرحمن مشھور به حبيب افغان",,,1,,,,,,,,,1
"حميده احمدزۍ",,,1,,,,,,,,,1
"سيد اکبر کوچی",,,2,,,,,,,,,2
"سيد محمد حريق",,,2,,,,,,,,,2
"وکيل محمد اشرف احمدزی",,,1,,,,,,,,,1
"ولا جان ناصر",,,50,,,,,,,,,50
101147,,,,,,,34,162,,,,196
"sari tapa karti now,sayed noor muhammad shah mina sacandary school",,,,,34,162,,,,196,,
"استاد خپلواک لکڼ خيل",,,,,,,,1,,,,1
"الحاج حسن صحرايې",,,,,,,,1,,,,1
"الحاج مولوی رحمت الله ھوتک",,,,,,,4,22,,,,26
"الحاج وکيل ملا تره خيل محمدی",,,,,,,,21,,,,21
"بھرام خان",,,,,,,,5,,,,5
"حاجی  پری کوچی",,,,,,,,7,,,,7
"حاجی اشرف نيازی",,,,,,,,1,,,,1
"حاجی خوانی الکوزی",,,,,,,,4,,,,4
"حاجی سيف الله",,,,,,,,2,,,,2
"حاجی شير علی احمد زی",,,,,,,4,8,,,,12
Polling Centers,Polling Stations,,,,,,,,,,,
Candidates Name,1,2,3,4,5,6,7,8,9,10,11,Total
"حاجی علم گل کوچی",,,,,,,2,,,,,2
"حاجی محمد نذير احمد زی",,,,,,,,11,,,,11
"حبيب الرحمن مشھور به حبيب افغان",,,,,,,16,5,,,,21
"حميده احمدزۍ",,,,,,,,2,,,,2
"داود شاه نيازی",,,,,,,1,9,,,,10
"زراب شاه زھير",,,,,,,3,4,,,,7
"زرغونه احمدزۍ",,,,,,,3,,,,,3
"سيد محمد حريق",,,,,,,,1,,,,1
"عبدالرحمن مموزی",,,,,,,1,1,,,,2
"محمد داور توخی",,,,,,,,2,,,,2
"محمد رسول کوچی",,,,,,,,1,,,,1
"محمد يوسف صابر",,,,,,,,21,,,,21
"ميرويس نور احمدزی",,,,,,,,3,,,,3
"نظيفه احمدزۍ",,,,,,,,1,,,,1
"وکيل محمد اشرف احمدزی",,,,,,,,12,,,,12
"ولا جان ناصر",,,,,,,,9,,,,9
101148,,,,,,,36,,,,,36
"baghcha sayeed,qala hashmat khan sac school",,,,,,,36,,,,,36
"الحاج وکيل ملا تره خيل محمدی",,,,,,,13,,,,,13
"بھرام خان",,,,,,,1,,,,,1
"حاجی اشرف نيازی",,,,,,,1,,,,,1
"حاجی خوانی الکوزی",,,,,,,3,,,,,3
"حاجی محمد نذير احمد زی",,,,,,,15,,,,,15
"حميده احمدزۍ",,,,,,,1,,,,,1
"سيد محمد حريق",,,,,,,1,,,,,1
"ميرويس نور احمدزی",,,,,,,1,,,,,1
101151,,,,,,403,,,,,,403
"200 family,rahman mina sacandary school",,,,,,403,,,,,,403
"عزت الله احمدزی",,,,,,3,,,,,,3
"ازاد خان کوچی",,,,,,7,,,,,,7
"استاد خپلواک لکڼ خيل",,,,,,1,,,,,,1
"الحاج حسن صحرايې",,,,,,1,,,,,,1
"الحاج مولوی رحمت الله ھوتک",,,,,,31,,,,,,31
"الحاج وکيل ملا تره خيل محمدی",,,,,,64,,,,,,64
"بھرام خان",,,,,,4,,,,,,4
"پروين درانۍ",,,,,,13,,,,,,13
"جمال الدين",,,,,,1,,,,,,1
"حاجی اشرف نيازی",,,,,,1,,,,,,1
"حاجی حيدر جان  نعيم زوی",,,,,,1,,,,,,1
"حاجی خوانی الکوزی",,,,,,34,,,,,,34
"حاجی رضا خان",,,,,,2,,,,,,2
"حاجی سيف الله",,,,,,2,,,,,,2
"حاجی شير علی احمد زی",,,,,,43,,,,,,43
"حاجی عبدالظاھر  عابد",,,,,,10,,,,,,10
"حاجی عبدالقادر  کوچی",,,,,,21,,,,,,21
"حاجی علم گل کوچی",,,,,,1,,,,,,1
"حاجی محمد نذير احمد زی",,,,,,39,,,,,,39
"حبيب الرحمن مشھور به حبيب افغان",,,,,,47,,,,,,47
"حميده احمدزۍ",,,,,,5,,,,,,5
"زراب شاه زھير",,,,,,2,,,,,,2
"زرغونه احمدزۍ",,,,,,15,,,,,,15
"سيد اکبر کوچی",,,,,,1,,,,,,1
"عبدالرحمن مموزی",,,,,,3,,,,,,3
"محمد رسول کوچی",,,,,,1,,,,,,1
"محمد يوسف صابر",,,,,,1,,,,,,1
"ميرويس نور احمدزی",,,,,,5,,,,,,5
"نظيفه احمدزۍ",,,,,,3,,,,,,3
"وکيل محمد اشرف احمدزی",,,,,,38,,,,,,38
"ولا جان ناصر",,,,,,3,,,,,,3
101156,,,,,,97,,,,,,97
Polling Centers,Polling Stations,,,,,,,,,,,
Candidates Name,1,2,3,4,5,6,7,8,9,10,11,Total
"الحاج حسن صحرايې",,,,,,2,,,,,,2
"الحاج وکيل ملا تره خيل محمدی",,,,,,4,,,,,,4
"حاجی خوانی الکوزی",,,,,,1,,,,,,1
"حاجی سيف الله",,,,,,1,,,,,,1
"حاجی شير علی احمد زی",,,,,,11,,,,,,11
"حاجی عبدالقادر  کوچی",,,,,,2,,,,,,2
"حميده احمدزۍ",,,,,,27,,,,,,27
"داود شاه نيازی",,,,,,1,,,,,,1
"دواخان مينه پال",,,,,,1,,,,,,1
"محمد يوسف صابر",,,,,,2,,,,,,2
"ميرويس نور احمدزی",,,,,,2,,,,,,2
"وکيل محمد اشرف احمدزی",,,,,,14,,,,,,14
"ولا جان ناصر",,,,,,29,,,,,,29
101176,,,,,,74,,,,,,74
"hood khail,hood khail high school",,,,,,74,,,,,,74
"الحاج وکيل ملا تره خيل محمدی",,,,,,10,,,,,,10
"پروين درانۍ",,,,,,11,,,,,,11
"حاجی اشرف نيازی",,,,,,1,,,,,,1
"حاجی دفتانی",,,,,,2,,,,,,2
"حاجی شير علی احمد زی",,,,,,6,,,,,,6
"حبيب الرحمن مشھور به حبيب افغان",,,,,,39,,,,,,39
"حميده احمدزۍ",,,,,,2,,,,,,2
"عبدالرحمن مموزی",,,,,,1,,,,,,1
"محمد يوسف صابر",,,,,,1,,,,,,1
"ھيلۍ ارشاد",,,,,,1,,,,,,1
101185,,,,,,51,,,,,,51
"pol charkhi,pol charkhi high school",,,,,,51,,,,,,51
"عزت الله احمدزی",,,,,,0,,,,,,0
"ازاد خان کوچی",,,,,,0,,,,,,0
"استاد خپلواک لکڼ خيل",,,,,,16,,,,,,16
"الحاج حسن صحرايې",,,,,,0,,,,,,0
"الحاج مولوی رحمت الله ھوتک",,,,,,0,,,,,,0
"الحاج وکيل ملا تره خيل محمدی",,,,,,11,,,,,,11
"بھرام خان",,,,,,0,,,,,,0
"بی بی سکينه جبار خيل",,,,,,0,,,,,,0
"پروين درانۍ",,,,,,15,,,,,,15
"پروين مومند تلوسه",,,,,,0,,,,,,0
"تاجور کاکړ",,,,,,0,,,,,,0
"تورن  دلاورخان  کوچی",,,,,,0,,,,,,0
"جمال الدين",,,,,,0,,,,,,0
"حاجی  پری کوچی",,,,,,0,,,,,,0
"حاجی اشرف نيازی",,,,,,0,,,,,,0
"حاجی جان محمد",,,,,,0,,,,,,0
"حاجی حيدر جان  نعيم زوی",,,,,,0,,,,,,0
"حاجی خوانی الکوزی",,,,,,0,,,,,,0
"حاجی دفتانی",,,,,,2,,,,,,2
"حاجی رضا خان",,,,,,0,,,,,,0
"حاجی سرفراز",,,,,,0,,,,,,0
"حاجی سيف الله",,,,,,0,,,,,,0
"حاجی شير علی احمد زی",,,,,,0,,,,,,0
"حاجی عبدالظاھر  عابد",,,,,,0,,,,,,0
