electorate,province_name_eng,province_code,province_code_2018,candidate_code,ballot_position,candidate_name_eng,candidate_name_dari,incumbent,candidate_gender,prelim_winner,final_winner,matched?
Kuchi,Kuchi,35,35,5765426,28,Helay Irshad,هيلۍ ارشاد,No,Female,No,Yes,
Kuchi,Kuchi,35,35,8723841,13,Muhammad Yusuf Sabir,محمد يوسف صابر,No,Male,Yes,Yes,
Kuchi,Kuchi,35,35,997752,23,Parween Durani,پروين درانۍ,Yes,Female,No,Yes,
Kuchi,Kuchi,35,35,529737,26,Said Muhammad Hareq,سيد محمد حريق,No,Male,Yes,No,
General,Kunarha,11,15,1136901,26,Hajji Sakhi ,حاجی سخی,No,Male,Yes,Yes,
General,Kunarha,11,15,1446468,6,Hajji Salih Muhammad,حاجی صالح محمد,No,Male,Yes,Yes,
General,Kunarha,11,15,10060214,2,Maulawi Shazada Shaid,مولوی شهزاده شاهد,Yes,Male,Yes,Yes,
General,Kunarha,11,15,298402,18,Wagma Sapai,وږمه ساپۍ,No,Female,Yes,Yes,
General,Kunduz,17,19,8352216,87, Eng. Kamal,انجنیر کمال,No,Male,Yes,Yes,
General,Kunduz,17,19,2031119,55, Hajji Abdul Rawoof Ibrahimi,حاجی عبدالروف ابراهیمی,Yes,Male,Yes,Yes,
General,Kunduz,17,19,1850042,81, Malim Chahari,معلم چهاری,No,Male,Yes,Yes,
General,Kunduz,17,19,8628908,15,Abdul Wodood Payman,عبدالودود پیمان,No,Male,Yes,Yes,
General,Kunduz,17,19,3956012,56,Alhaj Nazari Turkmani,الحاج نظری ترکمن,No,Male,Yes,Yes,
General,Kunduz,17,19,8352210,28,Dr. Fatima Aziz,داکتر فاطمه عزیز,Yes,Female,Yes,Yes,
General,Kunduz,17,19,8352211,25,Sayed Dawood Nadiri,سید داود نادری,No,Male,Yes,Yes,
General,Kunduz,17,19,8927225,3,Shaista Baz Nasiri,شایسته باز ناصری,No,Male,Yes,Yes,
General,Kunduz,17,19,8352209,14,Shukria Paykan Ahmadi,شکریه پیکان احمدی,No,Female,Yes,Yes,
General,Laghman,12,7,8834725,58, Alhaj Major General Naqeebullah,الحاج برید جنرال نقیب الله,No,Male,Yes,Yes,
General,Laghman,12,7,2829966,45, Eng. Muhammad Alam Qarar,انجینر محمد عالم قرار,Yes,Male,Yes,Yes,
General,Laghman,12,7,7767635,41, Hajji Muhammad Hassan Mamozai,حاجی محمد حسن  مموزی,No,Male,Yes,Yes,
General,Laghman,12,7,8592576,5,Alhaj Zefnoon Safi,الحاج زیفنون صافی,Yes,Female,No,Yes,
General,Laghman,12,7,11468889,9,Gull Mari,گل مرۍ,No,Female,Yes,No,
General,Logar,5,5,4975661,36, Hajji Ali Muhammad,حاجی علی محمد,Yes,Male,Yes,Yes,
General,Logar,5,5,2395900,34, Wali Wahdat Yar Ahmadzai,والی وحدت یار احمدزی,No,Male,Yes,No,
General,Logar,5,5,7939501,6,Alhaj Shakila Hashimi,الحاج شکیلا هاشمی,Yes,Female,Yes,Yes,
General,Logar,5,5,1553209,19,Eng. Sahib Khan,انجینر صاحب خان,No,Male,No,Yes,
General,Logar,5,5,1553204,23,Hajji Muhammad Akbar Stanikzai,حاجی محمد اکبر ستانکزی,No,Male,Yes,Yes,
General,Nangerhar,10,6,8913437,33, Frishta Anwari,فرشته انوری,No,Female,Yes,Yes,
General,Nangerhar,10,6,3340708,107, Layluma Wali Hakimi,لیلماه ولی حکمی,No,Female,Yes,Yes,
General,Nangerhar,10,6,7736015,39, Mirwais Yasini,میرویس یاسینی,Yes,Male,Yes,Yes,
General,Nangerhar,10,6,6413008,108,Amir Jan Dauwlatzai,امیر جان دولتزی,No,Male,Yes,Yes,
General,Nangerhar,10,6,30003,59,Arian Yoon,آرین یون,Yes,Female,Yes,Yes,
General,Nangerhar,10,6,7621064,45,Dr. Asamatullah Shenwari,داکتر عصمت الله  شینواری,No,Male,Yes,Yes,
General,Nangerhar,10,6,4340863,154,Eng. Abdul Ghafar,انجینر عبدالغفار,No,Male,Yes,Yes,
General,Nangerhar,10,6,8913410,81,Eng. Sayed Akram,انجنیر سید اکرام,No,Male,Yes,Yes,
General,Nangerhar,10,6,1324605,121,Farydoon Momand,فریدون مومند,Yes,Male,Yes,Yes,
General,Nangerhar,10,6,8913424,47,Hajji Abdul Zahir Qader,حاجی عبدالظاهر  قدیر,No,Male,Yes,Yes,
General,Nangerhar,10,6,102899176,109,Hajji Amir Khan Yar,حاجی امیر خان  یار,No,Male,Yes,Yes,
General,Nangerhar,10,6,1347516,65,Hajji Hazrat Ali,حاجی حضرت علی,Yes,Male,Yes,Yes,
General,Nangerhar,10,6,7622400,97,Hajji Per Bakhsh Gardiwal,حاجی پیربخش  گردیوال,Yes,Male,Yes,Yes,
General,Nangerhar,10,6,30007,49,Saima Khugiani,سایمه خوگیاڼۍ,Yes,Female,Yes,Yes,
General,Nimroz,26,34,5798503,11,Farida Hamedi,فریده حمیدی,No,Female,Yes,Yes,
General,Nimroz,26,34,9664508,6,Frishta Amini,فرشته امینی,No,Female,Yes,Yes,
General,Nooristan,13,16,5795203,6,Dr. Parween Nooristani,داکټر پروین نورستانی,No,Female,Yes,Yes,
General,Nooristan,13,16,5795212,13,Maulawi Ahmadullah Muahid,مولوی احمد الله موحد,No,Male,No,Yes,
General,Nooristan,13,16,8364004,17,Noorullah Memmar,نورالله معمار,No,Male,Yes,No,
General,Paktia,8,13,5604487,57,Alhaj Gul Badsha Majeedi,الحاج ګل بادشاه مجیدی,Yes,Male,Yes,Yes,
General,Paktia,8,13,5169802,26,Alhaj Nawab Mangal,الحاج  نواب  منګل,No,Male,Yes,Yes,
General,Paktia,8,13,6613836,41,Diploma Eng. Dilawar Tutakhil,دپلوم  انجینر  دلاور  طوطاخیل,No,Male,Yes,No,
General,Paktia,8,13,5602609,18,Dr. Mujeeb‐ur‐ Rahman Samkanai,ډاکتر مجیب الرحمن څمکنی,No,Male,No,Yes,
General,Paktia,8,13,5169813,4,Eng. Shir Gul Paktiawal,انجینر شیر ګل پکتیاوال,No,Male,Yes,No,
General,Paktia,8,13,5169817,51,Muhammad Ibrahim Ghashtalay,محمد ابراهیم  غښتلی,No,Male,No,Yes,
