electorate,province_name_eng,province_code,province_code_2018,candidate_code,ballot_position,candidate_name_eng,candidate_name_dari,incumbent,candidate_gender,prelim_winner,final_winner,matched?
General,Paktia,8,13,5169819,23,Razia Sadat Mangal,راضیه  سعادت  منګل,No,Female,Yes,Yes,
General,Paktika,7,12,3064407,20, Hajji Abdul Qadeer,حاجی عبدالقدير,No,Male,No,Yes,
General,Paktika,7,12,3064406,17, Mahmood Khan Suliman Khil,محمودخان سليمان خيل,No,Male,Yes,No,
General,Paktika,7,12,98517,22, Sayed Ishaq Gailani,سيد اسحق گيلانی,Yes,Male,No,Yes,
General,Paktika,7,12,3064415,1,Hajji Muhammad Rahim Katawazai,حاجی محمد رحیم کټوازی,No,Male,Yes,No,
General,Paktika,7,12,4774455,3,Nadir Khan Katawazai,نادر خان  کټوازی,No,Male,Yes,Yes,
General,Paktika,7,12,98512,12,Najiya,ناجیه,No,Female,Yes,Yes,
General,Panjshir,33,8,785284,9,Dr. Zaheer Sadat,داکتر ظهیر سعادت,No,Male,Yes,Yes,
General,Panjshir,33,8,554708,8,Qazi Rahila Salim,قاضی راحله سلیم,Yes,Female,Yes,Yes,
General,Parwan,3,3,2506889,10,Alhaj Mir Rhman Rahmani,الحاج میرالرحمن رحمانی,No,Male,Yes,Yes,
General,Parwan,3,3,837116,8,Alhaj Muhammad Almas Zahid,الحاج محمد الماس زاهد,Yes,Male,Yes,Yes,
General,Parwan,3,3,2501845,35,Hajji Fazal Said Khili,حاجی فاضل سید خیلی,No,Male,Yes,No,
General,Parwan,3,3,435250,53,Khuwaja Sediq Ahmad Osmani,خواجه صدیق احمد عثمانی,Yes,Male,Yes,Yes,
General,Parwan,3,3,2504925,31,Samiah Azizi Sadat,سامعه  عزیزی  سادات,Yes,Female,Yes,Yes,
General,Parwan,3,3,476427,5,Saranwal Abdul Satar Khawasi,‌ْ‎ًٌٍځارنوال عبدالستار خواصی,Yes,Male,No,Yes,
General,Parwan,3,3,2496995,54,Zakia Sangeen,ذکیه سنگین,No,Female,Yes,Yes,
General,Samangan,18,20,5798704,25,Alhaj Ahmad Khan Samangani,الحاج احمد خان سمنگانی,Yes,Male,Yes,No,
General,Samangan,18,20,5798711,30,Alhaj Makhdum Muhebullah Furqani,الحاج مخدوم محیب الله  فرقانی,No,Male,Yes,Yes,
General,Samangan,18,20,5798722,32,Dr. Masoma Khawri,داکتر معصومه   خاوری,No,Female,Yes,Yes,
General,Samangan,18,20,100330140,12,Makhdum Abdalullah Muhammadi,مخدوم ابدال الله  محمدی,No,Male,Yes,Yes,
General,Samangan,18,20,5798715,10,Muhammad Tahir Zaher,محمد طاهر  زهیر,No,Male,No,Yes,
General,Sar-i-Pul,21,22,9855114,14, Alhaj Muhammad Rahim Ayubi,الحاج محمد رحیم ایوبی,No,Male,Yes,No,
General,Sar-i-Pul,21,22,7727510,4,Aziza Jalis,عزیزه جلیس,No,Female,Yes,Yes,
General,Sar-i-Pul,21,22,8997312,41,Hajji Khair Muhammad Aymaq,حاجی خیر محمد ایماق,Yes,Male,Yes,Yes,
General,Sar-i-Pul,21,22,7727514,26,Muhammad Hussain Faheemi,محمد حسین فهیمی,Yes,Male,No,Yes,
General,Sar-i-Pul,21,22,8997307,20,Sayed Anwar Sadat,سید انور سادات,No,Male,Yes,Yes,
General,Sar-i-Pul,21,22,13874583,32,Sayed Muhammad Hassan Sharifi Balkhabi,سید محمد حسن شریفی بلخابی,No,Male,Yes,Yes,
General,Takhar,15,18,524005,33, Amir Abdul Wahid Faqir Zada,امیر عبدالواحد   فقیر زاده,No,Male,Yes,Yes,
General,Takhar,15,18,2958405,21, Habiba Danish,حبیبه  دانش,Yes,Female,Yes,Yes,
General,Takhar,15,18,102647737,72, Qudratullah Zaki,قدرت الله ذکی,No,Male,Yes,Yes,
General,Takhar,15,18,524007,57,Alhaj Abdul Mutalib Bek,الحاج عبدالمطلب بیک,No,Male,Yes,Yes,
General,Takhar,15,18,2118903,56,Alhaj Wakeel Abdul Jabar,الحاج وکیل عبدالجبار,Yes,Male,Yes,Yes,
General,Takhar,15,18,2958416,32,Maryam Kofi,مریم   کوفی,No,Female,Yes,Yes,
General,Takhar,15,18,1645501,85,Qazi Muhammad Kabir Marzban,قاضی محمد کبیر  مرزبان,No,Male,Yes,Yes,
General,Takhar,15,18,2031376,61,Raiees Abdul Baqi Malik Zada,رییس عبدالباقی ملک زاده,Yes,Male,Yes,Yes,
General,Takhar,15,18,1959001,35,Sayed Akram-u-Din Masoomi,سید اکرام الدین  معصومی,No,Male,Yes,Yes,
General,Urozgan,30,25,5794702,12,Hajji Obaidullah Barikzai,حاجی عبیدالله   بارکزي,No,Male,Yes,Yes,
General,Urozgan,30,25,6230730,2,Hajji Qudratullah Rahimi,حاجی قدرت الله رحیمی,No,Male,Yes,No,
General,Urozgan,30,25,5794704,1,Muhammad Hashim,محمد هاشم وطنوال,Yes,Male,No,Yes,
General,Urozgan,30,25,5794705,8,Raihana Azad,ریحانه آزاد,No,Female,Yes,Yes,
General,Wardak,4,4,1515002,30, Ghulam Husain Naseri,غلام حسین ناصری,No,Male,Yes,Yes,
General,Wardak,4,4,1515011,21,Eng. Hamida Akbari,انجنیر حمیده اکبری,No,Female,Yes,Yes,
General,Wardak,4,4,2918166,8,Hajji Abdul Aahad Durani,حاجی عبدالاحمد درانی,No,Male,Yes,Yes,
General,Wardak,4,4,1515008,25,Hajji Abdul Majed Wardak,حاجی عبدالمجید وردگ,No,Male,No,Yes,
General,Wardak,4,4,1515001,2,Hajji Waheedullah Kalimzai Wardak,حاجی وحیدالله کلیمزی وردک,No,Male,Yes,No,
General,Wardak,4,4,1515007,34,Sediqa Mubariz,صدیقه مبارز,Yes,Female,Yes,Yes,
General,Zabul,29,26,102410804,14,Abdul Habib Andiwal,عبدالحبیب انډیوال,No,Male,No,Yes,
General,Zabul,29,26,6998194,9,Abdul Qadir Qalatwal,عبدالقادر قلاتوال,No,Male,No,Yes,
General,Zabul,29,26,3411775,6,Hajji Muhammad Ismail Zabuli,حاجي محمد اسماعیل زابلي,No,Male,Yes,No,
General,Zabul,29,26,11382256,7,Hamidullah Tukhi,حمیدالله توخی,Yes,Male,Yes,No,
