province_code,candidate_name_eng,candidate_gender,candidate_id,province_name_eng
1,Dr. Muhammad Yahya Weyar,Male,4892130,Kabul
1,Sofi Muhammad Sharif Mujahed,Male,5765329,Kabul
1,Sayed Muhammad Gulabzoy,Male,9166513,Kabul
1,Muhammad Zia Yari,Male,3466622,Kabul
1, Muhammad Jawad Bazil,Male,7835492,Kabul
1,Abdul Mateen Muhammad Khil,Male,996195,Kabul
1,Saranwal Muhammad Shakir Baryal,Male,5765371,Kabul
1,Noor Ahmad Chardhiwal,Male,990359,Kabul
1,Alhaj Malik Taaj Muhammad,Male,990384,Kabul
1,Sayed Yaqoob Hushmand Fararudi,Male,3466659,Kabul
1,Alhaj Dr. Najeebullah Babakar Khill,Male,996229,Kabul
1, Jawad Neyosh,Male,3768441,Kabul
1,Dr. Shala Rashed,Female,5765414,Kabul
1,Alhaj Sardar Muhammad Waqibeen,Male,5765397,Kabul
1, Sayed Obaid,Male,3466675,Kabul
1,Zarghoona Bakhsi,Female,5301671,Kabul
1, Ahmad Fahim Nabiyar,Male,3680628,Kabul
1, Alhaj Abdul Maroof Zia,Male,5188309,Kabul
1,Eng. Mula Gul Ahmadzai,Male,7408159,Kabul
1,Humaira Muhammadi,Female,5749744,Kabul
1,Hajji Sayed Mahmood Mukhlis,Male,939974,Kabul
1, Sayed Abdullah,Male,988772,Kabul
1,Hasan,Male,,Kabul
1, Hakim,Male,3466693,Kabul
1,Sayed Muhammad Jawali,Male,5308404,Kabul
1,Ali Raza Mahmoodi,Male,3906633,Kabul
1, Dr. Abdul Khalil Khakzad,Male,1017429,Kabul
1, Afifa Shams,Female,6371308,Kabul
1, Sayed Enayatullah Hufyani,Male,3466613,Kabul
2, Masuda Ghafari,Female,5794615,Kapisa
2,Ghulam Darwish Sanjni,Male,5794610,Kapisa
2,Muhammad Mustafa Yasa,Male,2893485,Kapisa
2, Hajji Muhammad Tahir Safi,Male,2864462,Kapisa
2,Abdul Wahab Askenwal,Male,5794607,Kapisa
3,Samiah Azizi Sadat,Female,2504925,Parwan
3,Muhammad Yaqub A.K.A Hajji Khan Padshah,Male,3618900,Parwan
3,Muhammad Nazir Kargar,Male,2254002,Parwan
3,Zainab Haibat,Female,593069,Parwan
3,Alhaj Maulawi Rahmatullah Hanafi,Male,10692813,Parwan
3, Roshna Khalid,Female,484040,Parwan
3, Maulawi Lal Muhammad,Male,6913001,Parwan
3,Muhammad Afzal Afzali,Male,5947103,Parwan
4,Hajji Mohammad Asif Mahdiyar,Male,6414770,Wardak
4,Mohammad Dawood Husaini,Male,1515013,Wardak
4, Dr. Mohammad Ibrahim Karimi,Male,2918784,Wardak
4,General Zalmai Wardak,Male,1515017,Wardak
4,Ustad Mohammad Anwar Maidanwall,Male,1515015,Wardak
5,Eng. Abdul Latif Ahmadzai,Male,990147,Logar
5, Alhaj Noor Rahman Jazib,Male,5613959,Logar
5,Eng. Asadullah Falah,Male,14139841,Logar
5,Ghulam Yahya Lashkar,Male,639759,Logar
6,Dr. Abdul Ahmad Zahidi Nai Qalah,Male,4820452,Ghazni
6,Alhaj Allah Nazar Zeiayee,Male,13038521,Ghazni
