"province_code","candidate_id","voter_id","candidate_name_eng","candidate_id_corrected","candidate_gender","incumbent","final_votes","prelim_votes","prelim_winner","final_winner","ballot_position","electorate"
"01","5765387","5765387","Eng. Muhammad Afzal Ahmadzai","5765387","Male","No","1836","1912","No","No",1,"General"
"01","3664613","3664613","Babrak Shirzad","3664613","Male","No","206","205","No","No",2,"General"
"01","5765385","5765385","Eng. Nimatullah","5765385","Male","No","638","636","No","No",3,"General"
"01","6053758","6053758","Dr. Muhammad Akram Khpalwak","6053758","Male","No","235","231","No","No",4,"General"
"01","5765439","5765439","Shaima Sekandari","5765439","Female","No","215","215","No","No",5,"General"
"01","860346","860346","Hajji Shah Agha Sakhizada","860346","Male","No","1874","1854","No","No",6,"General"
"01","7889725","7889725","Muhammad Hamayoon Faiz Zad","7889725","Male","No","0","203","No","No",7,"General"
"01","972412","972412","Mir Ahmad Joyenda","972412","Male","Yes","762","753","No","No",8,"General"
"01","702521","702521","Khalida Alokozai","702521","Female","No","331","322","No","No",9,"General"
"01","3901177","3901177","Saranwal Moh. Nabi Mastoor","3901177","Male","No","127","127","No","No",10,"General"
"01","5765358","5765358","Eng. Zia Ahmad Noori","5765358","Male","No","1942","1774","No","No",11,"General"
"01","3466638","3466638","Dawood Maliar Muhai‐ud‐Din","3466638","Male","No","364","365","No","No",12,"General"
"01","5167923","5167932","Muhammad Ibrahim Qasemi","5167932","Male","Yes","5014","5000","Yes","Yes",13,"General"
"01","3881865","3881865","Muhammad Faridoon Qeyami","3881865","Male","No","736","723","No","No",14,"General"
"01","987309","987309","Suhaila Ansari","987309","Female","No","344","340","No","No",15,"General"
"01","11387722","11387722","Allhaj Ustad Moh. Shoaib Niazi","11387722","Male","No","755","755","No","No",16,"General"
"01","990359","990359","Noor Ahmad Chardhiwal","990359","Male","No","294","288","No","No",17,"General"
"01","6859861","6859861","Muhammad Saboor Furmuli","6859861","Male","No","658","652","No","No",18,"General"
"01","4646087","4646087","Eng. Muhammad Alam Khisrawi","4646087","Male","No","105","102","No","No",19,"General"
"01","5765422","5765422","Nadia Rasooli","5765422","Female","No","209","200","No","No",20,"General"
"01","5507599","5507599","Malika Sadat","5507599","Female","No","274","272","No","No",21,"General"
"01","3466626","3466626","Nastu Naderi","3466626","Male","No","2149","2119","No","No",22,"General"
"01","3664401","3664601","Ahmad Gul Khan","3664601","Male","No","291","357","No","No",23,"General"
"01","7762167","7762167","Fawzia Nasir Yar Guldarayee","7762167","Female","Yes","1119","1100","Yes","Yes",24,"General"
"01","6018039","6018039","Master of Sport Ustad Khuwaja Farid","6018039","Male","No","271","270","No","No",25,"General"
"01","3466663","3466663","Dr. Sayed Abdul Habib Rahmani","3466663","Male","No","147","146","No","No",26,"General"
"01","3466641","3466641","Hajji Janat Gul Hussainkhil","3466641","Male","No","227","226","No","No",27,"General"
"01","6780147","6780147","Alhaj Abdul Saboor Hashimi","6780147","Male","No","552","551","No","No",28,"General"
"01","3699568","3699568","Hajji Muhammad Mohaqiq","3699568","Male","No","16233","16166","Yes","Yes",29,"General"
"01","6132861","6132861","Ramazan Juma Zada","6132861","Male","No","3148","3148","Yes","Yes",30,"General"
"01","5765400","5765400","Noor Ali Omarkhil","5765400","Male","No","446","443","No","No",31,"General"
"01","4792718","4792718","Masooma Tusali","4792718","Female","No","848","843","No","No",32,"General"
"01","3906930","3906930","Eng. Muhammad Sharif Shaheem","3906930","Male","No","635","634","No","No",33,"General"
"01","723540","723540","Eng. Ghulam Muhammad Musafer","723540","Male","No","816","815","No","No",34,"General"
"01","2382689","2382689","Dagarwal Nik Muhammad Abbasi","2382689","Male","No","278","276","No","No",35,"General"
