,,Population Estimates,"by CSO, Landscan 2016 and iMMAP.  For corresponding maps see the app.  Afghanistan District Maps  https://arcg.is/PDDfz",,,,,,,,,,,,,,,,,,,
,,,Per Central Statistics Office list of 421 districts of June 2018  (1),,,,,,,,,,Per CSO list of 414 districts of 8/16 (2),,,,Per Landscan 2016 as reported by  SIGAR (3),,,,Per IMMAP (4),
Province name.,District names in CSO's 6/18 list of 421 districts.  Generally follows CSO transliterations of 8/16.,District alternate names from various sources,Prov ID from CSO 421 dist. list of 6/18. (1),District id from CSO 421 district list of 6/18 in numbers,District id from CSO 421 district list of 6/18 in chars,Prov. name in Farsi [these need checking],Dist. name in Farsi [these need checking],Prov. name in Pashto [these need checking],District name in Pashto [these need checking],CSO popl est for '18-'19 using original 421 districts.,CSO popl estimates '18-'19 regrouped to 407 districts.,CSO popl estimates '18-'19 regrouped to 399 districts.,District name per CSO list of 414 of 8/16 posted by OCHA,CSO popl est for '16-'17 using its 414 districts,CSO popl estimates '16-'17 regrouped to 407 districts.,CSO popl estimates '16-'17 regrouped to 399 districts.,Province name per Landscan (2),Dist name per Landscan (2),"Popl est., Landscan 2016 using RS/USFOR 407 set. (2)","Popl per Landscan 2016, regrouped to 399 districts.", iMMAP's 2017 popl estimates.   They follow the 399 set natively.,CSO popl estimates '16-'17 regrouped to 399 district set. (Column repeated from col. L).
prov_name,dist_name_421,alt_dist_names_421,prov_id_421_CSO_char,dist_id_421_CSO_char,dist_id_421_CSO_char,prov_name_Farsi_421_CSO,dist_name_farsi_421_CSO,prov_name_Pashto_421_CSO,dist_name_Pashto_421_CSO,Popl_18-19_421_CSO_6-18,Popl_18-19_407_CSO_6-18,Popl_18_19_399_CSO_6-18,dist_name_414_CSO_OCHA_8-16,Popl_16-17_414_CSO-OCHA_8-16,Popl_16-17_407_CSO-OCHA_8-16,Popl_16-17_399_CSO_OCHA_8-16,prov_name_407_USFOR,dist_name_407_USFOR,Popl_Jan18_USFOR_407_USFOR,Popl_1_31_18_USFOR_399_AGCHO,Popl_est_2017_iMMAP_399_AGCHO,Popl_16-17_399_CSO_OCHA_8-16  REPEATED COL
BADAKHSHAN,Arghanj Khwah,,17,1703,1703,بدخشان,ارغنجخواه,بدخشان,د ارغنجخواه ولسوالي,"17,578","17,578","17,578",Arghanj Khwah,"16,710","16,710","16,710",BADAKHSHAN,Arghanj Khwah,"20,000","20,000","16,900","16,710"
BADAKHSHAN,Argo,,17,1702,1702,بدخشان,ارگو,بدخشان,د ارگو ,"85,586","85,586","85,586",Argo,"81,355","81,355","81,355",BADAKHSHAN,Argo,"108,000","108,000","164,000","81,355"
BADAKHSHAN,Baharak,,17,1706,1706,بدخشان,بهارک,بدخشان,د بهارک ,"31,438","31,438","31,438",Baharak,"29,883","29,883","29,883",BADAKHSHAN,Baharak,"36,000","36,000","56,700","29,883"
BADAKHSHAN,Darayim,,17,1707,1707,بدخشان,درایم,بدخشان,د درايم ,"67,237","67,237","67,237",Darayim,"63,913","63,913","63,913",BADAKHSHAN,Darayim,"74,000","74,000","59,700","63,913"
BADAKHSHAN,Darwaz-e-Bala,Mamai,17,1727,1727,بدخشان,دروازبالا,بدخشان,د دروازبالا,"25,278","25,278","25,278",Darwaz-e- Bala ( Nesay) [s/b Mamay],"24,028","24,028","24,028",BADAKHSHAN,Darwaz-e-Bala,"33,000","33,000","37,500","24,028"
BADAKHSHAN,Darwaz-e-Payin,Nesay,17,1722,1722,بدخشان,درواز پائین,بدخشان,د درواز پائين ,"28,869","28,869","28,869",Darwaz-e- Payin (Mamay) [s/b Nesay],"27,444","27,444","27,444",BADAKHSHAN,Darwas-e Pa'in,"27,000","27,000","21,800","27,444"
BADAKHSHAN,Eshkashim,,17,1723,1723,بدخشان,اشکاشم,بدخشان,د اشکاشم ,"15,141","15,141","15,141",Eshkashim,"14,392","14,392","14,392",BADAKHSHAN,Ishkashim,"17,000","17,000","14,200","14,392"
BADAKHSHAN,Faiz Abad,,17,1701,1701,بدخشان,فیض آباد,بدخشان,فیض آباد,"74,031","74,031","74,031",Badakhshan center (Faiz Abad),"70,004","70,004","70,004",BADAKHSHAN,Faizabad,"72,000","72,000","78,200","70,004"
BADAKHSHAN,Jurm,,17,1710,1710,بدخشان,جرم,بدخشان,د جرم ,"41,159","41,159","41,159",Jurm,"39,083","39,083","39,083",BADAKHSHAN,Jurm,"46,000","46,000","76,700","39,083"
BADAKHSHAN,Khash,,17,1705,1705,بدخشان,خاش,بدخشان,د خاش ,"41,575","41,575","41,575",Khash,"39,518","39,518","39,518",BADAKHSHAN,Khash,"45,000","45,000","21,500","39,518"
BADAKHSHAN,Khwahan,,17,1720,1720,بدخشان,خواهان,بدخشان,د خواهان ,"18,093","18,093","18,093",Khwahan,"17,198","17,198","17,198",BADAKHSHAN,Khwahan,"21,000","21,000","24,500","17,198"
BADAKHSHAN,Kiran Wa Menjan,,17,1726,1726,بدخشان,کرا ن ومنجان,بدخشان,د کرا ن و منجان ,"10,394","10,394","10,394",Kiran Wa Menjan,"9,880","9,880","9,880",BADAKHSHAN,Kiran Wa Munjan,"12,000","12,000","14,700","9,880"
BADAKHSHAN,Kishim,,17,1715,1715,بدخشان,کشم,بدخشان,د کشم ,"88,281","88,281","88,281",Kishm,"83,916","83,916","83,916",BADAKHSHAN,Kishim,"100,000","100,000","115,000","83,916"
