"province_code","province_name_eng","district_code","district_name_eng","district_or_subdivision_name","provincial_capital","pc_code","pc_name_eng","pc_location","prelim_ps_count","final_ps_count","prelim_results_reporting","final_results_reporting","pc_change_initial_final_plan","assessment_status","vr_prelim","vr_total_removed","vr_removed_spoiled_IDs","vr_removed_no_tazkera","vr_removed_no_DOB","vr_removed_closed_PC","vr_removed_lost_book","vr_removed_duplicates","vr_removed_underage","vr_general_total","vr_general_male","vr_general_fem","vr_final_kuchi","vr_final_sikh","vr_final_all_male","vr_final_all_fem","vr_final_all_total"
"01","KABUL","0101","KABUL CITY","NAHIA 02","YES","0101019","Ansari High School","Joi Sheer",NA,NA,"NO","NO","no change","Relocated",3752,238,16,0,26,0,0,71,125,3512,2424,1088,1,1,2425,1089,3514
"01","KABUL","0101","KABUL CITY","NAHIA 02","YES","0101024","Nayeb Salar Mosque","Qoul e Aab Chakan",4,0,"YES","NO","no change","Old",3480,144,17,0,11,0,0,27,89,3332,2504,828,4,0,2507,829,3336
"01","KABUL","0101","KABUL CITY","NAHIA 02","YES","0101027","Sa'ad bin Abi Waqas Mosque","Sharq e Kart e Parwan",NA,NA,"NO","NO","no change","New",1110,68,11,0,4,0,0,32,21,1042,673,369,0,0,673,369,1042
"01","KABUL","0101","KABUL CITY","NAHIA 02","YES","0101030","Omer Farooq Mosque","Kart e Parwan",0,6,"NO","YES","no change","Old",2825,145,23,0,18,0,0,48,56,2679,2022,657,1,0,2023,657,2680
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101055","Khwaja Abdullah Ansari Mosque","Shahr e Naw Petrol pump",3,0,"YES","NO","no change","Old",954,41,10,0,6,0,0,22,3,910,797,113,3,0,800,113,913
"01","KABUL","0101","KABUL CITY","NAHIA 04","YES","0101063","Mohammad Sediq Farhang School","Shahrak Police",6,0,"YES","NO","no change","Old",3336,101,14,0,28,0,0,31,28,3192,2193,999,43,0,2225,1010,3235
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101068","Itefaq Mosque","Qalla e Toofan",3,0,"YES","NO","no change","Old",2226,168,35,0,19,0,0,94,20,1984,1596,388,74,0,1653,405,2058
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101072","Mir Ghulam Mohammad Ghubar High School","Speen Kalai",4,0,"YES","NO","no change","Old",2364,165,44,0,10,0,0,96,15,2187,1811,376,12,0,1820,379,2199
"01","KABUL","0101","KABUL CITY","NAHIA 05","YES","0101087","Hazrat Mohammad (pbuh) Mosque","Rigration",4,0,"YES","NO","no change","Relocated",3486,179,64,0,13,0,0,68,34,3163,2151,1012,144,0,2269,1038,3307
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101093","Tuberculosis Institute","Darulaman",0,4,"NO","YES","no change","Old",1508,66,23,0,6,0,0,11,26,1441,737,704,1,0,737,705,1442
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101098","Markaz Nahia e Shashum (Nahia 6 Center)","Markaz Nahia e Shashum (Nahia 6 Center)",NA,NA,"NO","NO","no change","Old",678,18,4,0,0,0,0,8,6,618,492,126,42,0,517,143,660
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101107","Khatemul Anbya Madrassah","Qalla e Nazer",NA,NA,"NO","NO","no change","Relocated",1980,75,15,0,12,0,0,28,20,1905,1151,754,0,0,1151,754,1905
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101108","Gul Khana Secondary School","Deh Qabil village",0,2,"NO","YES","no change","Old",3504,245,67,0,25,0,0,22,131,3259,1783,1476,0,0,1783,1476,3259
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101111","Qayem Aale Mohammad Mosque","Nawabad Qalla e Jabar Khan",0,2,"NO","YES","no change","Old",3396,185,62,0,19,0,0,28,76,3211,1676,1535,0,0,1676,1535,3211
"01","KABUL","0101","KABUL CITY","NAHIA 06","YES","0101116","Safiullah Afzali High School","Qalla e Muslim, Sar Aasyab",3,0,"YES","NO","no change","New",1448,78,29,0,7,0,0,7,35,1320,926,394,50,0,952,418,1370
"01","KABUL","0101","KABUL CITY","NAHIA 07","YES","0101117","Lais Bin e Qais Mosque","Reeshkhor Sufla",2,0,"YES","NO","no change","Old",444,27,17,0,1,0,0,1,8,417,290,127,0,0,290,127,417
"01","KABUL","0101","KABUL CITY","NAHIA 07","YES","0101140","Mehrabuddin High School","Chehelsutoon Road, Deh Dana",10,0,"YES","NO","no change","Old",5622,95,15,0,19,0,0,46,15,5512,3851,1661,15,0,3858,1669,5527
"01","KABUL","0101","KABUL CITY","NAHIA 08","YES","0101147","Omer Farooq Mosque","Tapah e dosti khil Kart e Naw",0,2,"NO","YES","no change","Old",1601,119,6,0,9,0,0,85,19,1443,1049,394,39,0,1076,406,1482
"01","KABUL","0101","KABUL CITY","NAHIA 08","YES","0101158","Abubakar Sedique Mosque","Jadidabad village",1,0,"YES","NO","no change","Old",2565,260,10,0,218,0,0,12,20,2294,1570,724,10,1,1577,728,2305
"01","KABUL","0101","KABUL CITY","NAHIA 10","YES","0101203","Hazrat Yousuf Mosque","Chahar Qalla",3,0,"YES","NO","no change","Old",2311,83,21,0,9,0,0,13,40,2217,1421,796,11,0,1431,797,2228
"01","KABUL","0101","KABUL CITY","NAHIA 10","YES","0101209","Yadgar Mosque","Chahar Qalla",3,0,"YES","NO","no change","Old",3084,80,25,0,9,0,0,29,17,2998,1910,1088,6,0,1915,1089,3004
"01","KABUL","0101","KABUL CITY","NAHIA 10","YES","0101212","Mohammadia Mosque","Chahar Qalla",1,0,"YES","NO","no change","Old",2100,41,13,0,8,0,0,6,14,2059,1080,979,0,0,1080,979,2059
"01","KABUL","0101","KABUL CITY","NAHIA 11","YES","0101227","Khairkhana Cinema","Golayee Cinema",5,0,"YES","NO","no change","Old",2568,120,34,0,12,0,0,58,16,2446,1910,536,1,1,1912,536,2448
"01","KABUL","0101","KABUL CITY","NAHIA 11","YES","0101235","Ashab e Kahaf Mosque","Nawabad Purojha Jadid",2,0,"YES","NO","no change","New",2618,157,23,0,32,0,0,53,49,2461,1699,762,0,0,1699,762,2461
"01","KABUL","0101","KABUL CITY","NAHIA 11","YES","0101246","Anas Bin e Malik Mosque","Deh Keepak",3,0,"YES","NO","no change","Relocated",1836,84,10,0,13,0,0,50,11,1735,1351,384,17,0,1368,384,1752
"01","KABUL","0101","KABUL CITY","NAHIA 12","YES","0101253","Ghulam Sediq High School","Block 10, Arzan Qeemat",13,0,"YES","NO","no change","Old",8046,387,19,0,33,0,0,64,271,7502,5849,1653,157,0,5969,1690,7659
"01","KABUL","0101","KABUL CITY","NAHIA 12","YES","0101254","Ustad Ibrahim Khwakhogai Secondary School","Ahmad Shah Baba Mena",6,0,"YES","NO","no change","Old",4489,183,26,1,41,0,0,51,64,4255,3006,1249,51,0,3049,1257,4306
"01","KABUL","0101","KABUL CITY","NAHIA 13","YES","0101288","Imam Mohammad Taqi Mosque","Bagh e Khan",2,0,"YES","NO","no change","Old",839,53,7,0,3,0,0,13,30,786,786,0,0,0,786,0,786
"01","KABUL","0101","KABUL CITY","NAHIA 13","YES","0101297","Qambar Bin e Hashim Mosque","Kor Karez",2,0,"YES","NO","no change","Old",1557,64,13,0,16,0,0,11,24,1491,923,568,2,0,924,569,1493
"01","KABUL","0101","KABUL CITY","NAHIA 15","YES","0101313","Hazrat Nouh Mosque","Sar e Pul Khwaja Bughra",3,0,"YES","NO","no change","Old",2316,138,74,0,16,0,0,32,16,2170,1700,470,8,0,1708,470,2178
"01","KABUL","0101","KABUL CITY","NAHIA 15","YES","0101321","Khwaja Bughra Secondary School No.2","Junction Barq (Electricity Junction) Khairkhana",NA,NA,"NO","NO","no change","Old",1734,45,20,0,3,0,0,9,13,1688,1053,635,0,1,1053,636,1689
"01","KABUL","0101","KABUL CITY","NAHIA 15","YES","0101323","Khwaja Mohiuddin Chushti Mosque","Khwaja Bughra",2,0,"YES","NO","no change","Old",1014,47,14,1,4,0,0,14,14,967,580,387,0,0,580,387,967
"01","KABUL","0101","KABUL CITY","NAHIA 17","YES","0101351","Markaz Nahia 17 (Nahia 17 Center)","Sar e Kotal Khairkhanah",0,2,"NO","YES","no change","Old",9000,431,187,0,62,0,0,107,75,8552,6118,2434,17,0,6135,2434,8569
"01","KABUL","0101","KABUL CITY","NAHIA 17","YES","0101354","AbuBakar Sedique Jame Mosque","Shahrak Adru Gul",0,2,"NO","YES","no change","New",2374,108,24,0,13,0,0,39,32,2243,1755,488,23,0,1767,499,2266
"01","KABUL","0101","KABUL CITY","NAHIA 10","YES","0101554","Shahrak Arya School","Shahrak Arya First Section",0,2,"NO","YES","added",NA,2148,114,16,3,56,0,0,22,17,2033,1450,583,1,0,1451,583,2034
"01","KABUL","0102","PAGHMAN","PAGHMAN","NO","0102299","Ibrahim Khil High School","Toolat",1,0,"YES","NO","no change","Relocated",1662,118,11,0,15,0,0,13,79,1512,946,566,32,0,978,566,1544
"01","KABUL","0102","PAGHMAN","PAGHMAN","NO","0102386","Cheheltan High School","Cheheltan",NA,NA,"NO","NO","no change","Old",3000,142,15,0,16,0,0,19,92,2826,1712,1114,31,1,1719,1139,2858
"01","KABUL","0103","CHAHARASYAB","CHAHARASYAB","NO","0103411","Lalandar clinic","Lalandar Shutur Pareedah",1,0,"YES","NO","no change","Relocated",3516,182,15,0,33,0,0,92,42,3233,2140,1093,101,0,2153,1181,3334
"01","KABUL","0104","BAGRAMI","BAGRAMI","NO","0104412","Butkhak Boys High School","Butkhak",0,10,"NO","YES","no change","Old",6000,435,22,1,109,0,0,11,292,5490,3277,2213,75,0,3324,2241,5565
"01","KABUL","0104","BAGRAMI","BAGRAMI","NO","0104417","Sheena Girls High School","Sheenah village",NA,NA,"NO","NO","no change","Old",1788,132,36,0,9,0,0,18,69,1649,853,796,7,0,859,797,1656
"01","KABUL","0104","BAGRAMI","BAGRAMI","NO","0104419","Qalla e Ahmad Khan Girls High School","Qalla e Ahmad Khan",0,4,"NO","YES","no change","Old",1266,62,18,0,9,0,0,4,31,1197,721,476,7,0,722,482,1204
