"results_status","province_code","district_code","pc_code","reporting_results"
"FINAL","01","0101","0101110","YES"
"PRELIMINARY","01","0101","0101110","YES"
"FINAL","01","0101","0101111","YES"
"PRELIMINARY","01","0101","0101111","NO"
"FINAL","01","0101","0101112","YES"
"PRELIMINARY","01","0101","0101112","YES"
"FINAL","01","0101","0101113","YES"
"PRELIMINARY","01","0101","0101113","YES"
"FINAL","01","0101","0101114","YES"
"PRELIMINARY","01","0101","0101114","YES"
"FINAL","01","0101","0101115","YES"
"PRELIMINARY","01","0101","0101115","YES"
"FINAL","01","0101","0101116","NO"
"PRELIMINARY","01","0101","0101116","YES"
"FINAL","01","0101","0101117","NO"
"PRELIMINARY","01","0101","0101117","YES"
"FINAL","01","0101","0101118","YES"
"PRELIMINARY","01","0101","0101118","YES"
"FINAL","01","0101","0101119","YES"
"PRELIMINARY","01","0101","0101119","YES"
"FINAL","01","0101","0101120","YES"
"PRELIMINARY","01","0101","0101120","YES"
"FINAL","01","0101","0101121","YES"
"PRELIMINARY","01","0101","0101121","YES"
"FINAL","01","0101","0101122","YES"
"PRELIMINARY","01","0101","0101122","YES"
"FINAL","01","0101","0101123","YES"
"PRELIMINARY","01","0101","0101123","YES"
"FINAL","01","0101","0101124","YES"
"PRELIMINARY","01","0101","0101124","YES"
"FINAL","01","0101","0101125","YES"
"PRELIMINARY","01","0101","0101125","YES"
"FINAL","01","0101","0101126","YES"
"PRELIMINARY","01","0101","0101126","YES"
"FINAL","01","0101","0101127","YES"
"PRELIMINARY","01","0101","0101127","YES"
"FINAL","01","0101","0101128","YES"
"PRELIMINARY","01","0101","0101128","YES"
"FINAL","01","0101","0101129","YES"
"PRELIMINARY","01","0101","0101129","YES"
"FINAL","01","0101","0101130","YES"
"PRELIMINARY","01","0101","0101130","YES"
"FINAL","01","0101","0101131","YES"
"PRELIMINARY","01","0101","0101131","YES"
"FINAL","01","0101","0101132","YES"
"PRELIMINARY","01","0101","0101132","YES"
"FINAL","01","0101","0101133","YES"
"PRELIMINARY","01","0101","0101133","YES"
"FINAL","01","0101","0101134","YES"
"PRELIMINARY","01","0101","0101134","YES"
"FINAL","01","0101","0101135","YES"
"PRELIMINARY","01","0101","0101135","YES"
"FINAL","01","0101","0101136","YES"
"PRELIMINARY","01","0101","0101136","YES"
"FINAL","01","0101","0101137","YES"
"PRELIMINARY","01","0101","0101137","YES"
"FINAL","01","0101","0101138","YES"
"PRELIMINARY","01","0101","0101138","YES"
"FINAL","01","0101","0101139","YES"
"PRELIMINARY","01","0101","0101139","YES"
"FINAL","01","0101","0101140","NO"
"PRELIMINARY","01","0101","0101140","YES"
"FINAL","01","0101","0101141","YES"
"PRELIMINARY","01","0101","0101141","YES"
"FINAL","01","0101","0101142","YES"
"PRELIMINARY","01","0101","0101142","YES"
"FINAL","01","0101","0101143","YES"
"PRELIMINARY","01","0101","0101143","YES"
"FINAL","01","0101","0101144","YES"
"PRELIMINARY","01","0101","0101144","YES"
"FINAL","01","0101","0101145","YES"
"PRELIMINARY","01","0101","0101145","YES"
"FINAL","01","0101","0101146","YES"
"PRELIMINARY","01","0101","0101146","YES"
"FINAL","01","0101","0101147","YES"
"PRELIMINARY","01","0101","0101147","NO"
"FINAL","01","0101","0101148","YES"
"PRELIMINARY","01","0101","0101148","YES"
"FINAL","01","0101","0101149","YES"
"PRELIMINARY","01","0101","0101149","YES"
"FINAL","01","0101","0101150","YES"
"PRELIMINARY","01","0101","0101150","YES"
"FINAL","01","0101","0101151","YES"
"PRELIMINARY","01","0101","0101151","YES"
"FINAL","01","0101","0101152","YES"
"PRELIMINARY","01","0101","0101152","YES"
"FINAL","01","0101","0101153","YES"
"PRELIMINARY","01","0101","0101153","YES"
"FINAL","01","0101","0101154","YES"
"PRELIMINARY","01","0101","0101154","YES"
"FINAL","01","0101","0101155","YES"
"PRELIMINARY","01","0101","0101155","YES"
"FINAL","01","0101","0101156","YES"
"PRELIMINARY","01","0101","0101156","YES"
"FINAL","01","0101","0101157","YES"
"PRELIMINARY","01","0101","0101157","YES"
"FINAL","01","0101","0101158","NO"
"PRELIMINARY","01","0101","0101158","YES"
"FINAL","01","0101","0101159","YES"
"PRELIMINARY","01","0101","0101159","YES"
"FINAL","01","0101","0101160","YES"
"PRELIMINARY","01","0101","0101160","YES"
"FINAL","01","0101","0101161","YES"
"PRELIMINARY","01","0101","0101161","YES"
"FINAL","01","0101","0101162","YES"
"PRELIMINARY","01","0101","0101162","YES"
"FINAL","01","0101","0101163","YES"
"PRELIMINARY","01","0101","0101163","YES"
"FINAL","01","0101","0101164","YES"
"PRELIMINARY","01","0101","0101164","YES"
"FINAL","01","0101","0101165","YES"
"PRELIMINARY","01","0101","0101165","YES"
"FINAL","01","0101","0101166","YES"
"PRELIMINARY","01","0101","0101166","YES"
"FINAL","01","0101","0101167","YES"
"PRELIMINARY","01","0101","0101167","YES"
"FINAL","01","0101","0101168","YES"
"PRELIMINARY","01","0101","0101168","YES"
"FINAL","01","0101","0101169","YES"
"PRELIMINARY","01","0101","0101169","YES"
"FINAL","01","0101","0101170","YES"
"PRELIMINARY","01","0101","0101170","YES"
"FINAL","01","0101","0101171","YES"
"PRELIMINARY","01","0101","0101171","YES"
"FINAL","01","0101","0101172","YES"
"PRELIMINARY","01","0101","0101172","YES"
"FINAL","01","0101","0101173","YES"
"PRELIMINARY","01","0101","0101173","YES"
"FINAL","01","0101","0101174","YES"
"PRELIMINARY","01","0101","0101174","YES"
"FINAL","01","0101","0101175","YES"
"PRELIMINARY","01","0101","0101175","YES"
"FINAL","01","0101","0101176","YES"
"PRELIMINARY","01","0101","0101176","YES"
"FINAL","01","0101","0101177","YES"
"PRELIMINARY","01","0101","0101177","YES"
"FINAL","01","0101","0101178","YES"
"PRELIMINARY","01","0101","0101178","YES"
"FINAL","01","0101","0101179","YES"
"PRELIMINARY","01","0101","0101179","YES"
"FINAL","01","0101","0101180","YES"
"PRELIMINARY","01","0101","0101180","YES"
"FINAL","01","0101","0101181","YES"
"PRELIMINARY","01","0101","0101181","YES"
"FINAL","01","0101","0101182","YES"
"PRELIMINARY","01","0101","0101182","YES"
"FINAL","01","0101","0101183","YES"
"PRELIMINARY","01","0101","0101183","YES"
"FINAL","01","0101","0101184","YES"
"PRELIMINARY","01","0101","0101184","YES"
"FINAL","01","0101","0101185","YES"
"PRELIMINARY","01","0101","0101185","YES"
"FINAL","01","0101","0101186","YES"
"PRELIMINARY","01","0101","0101186","YES"
"FINAL","01","0101","0101187","YES"
"PRELIMINARY","01","0101","0101187","YES"
"FINAL","01","0101","0101188","YES"
"PRELIMINARY","01","0101","0101188","YES"
"FINAL","01","0101","0101189","YES"
"PRELIMINARY","01","0101","0101189","YES"
"FINAL","01","0101","0101190","YES"
"PRELIMINARY","01","0101","0101190","YES"
"FINAL","01","0101","0101191","YES"
"PRELIMINARY","01","0101","0101191","YES"
"FINAL","01","0101","0101192","YES"
"PRELIMINARY","01","0101","0101192","YES"
"FINAL","01","0101","0101193","YES"
"PRELIMINARY","01","0101","0101193","YES"
"FINAL","01","0101","0101194","YES"
"PRELIMINARY","01","0101","0101194","YES"
"FINAL","01","0101","0101195","YES"
"PRELIMINARY","01","0101","0101195","YES"
"FINAL","01","0101","0101196","YES"
"PRELIMINARY","01","0101","0101196","YES"
"FINAL","01","0101","0101197","YES"
"PRELIMINARY","01","0101","0101197","YES"
"FINAL","01","0101","0101198","YES"
"PRELIMINARY","01","0101","0101198","YES"
"FINAL","01","0101","0101199","YES"
"PRELIMINARY","01","0101","0101199","YES"
"FINAL","01","0101","0101200","YES"
"PRELIMINARY","01","0101","0101200","YES"
"FINAL","01","0101","0101201","YES"
"PRELIMINARY","01","0101","0101201","YES"
"FINAL","01","0101","0101202","YES"
"PRELIMINARY","01","0101","0101202","YES"
"FINAL","01","0101","0101203","NO"
"PRELIMINARY","01","0101","0101203","YES"
"FINAL","01","0101","0101204","YES"
"PRELIMINARY","01","0101","0101204","YES"
"FINAL","01","0101","0101205","YES"
"PRELIMINARY","01","0101","0101205","YES"
"FINAL","01","0101","0101206","YES"
"PRELIMINARY","01","0101","0101206","YES"
"FINAL","01","0101","0101207","YES"
"PRELIMINARY","01","0101","0101207","YES"
"FINAL","01","0101","0101208","YES"
"PRELIMINARY","01","0101","0101208","YES"
"FINAL","01","0101","0101209","NO"
"PRELIMINARY","01","0101","0101209","YES"
"FINAL","01","0101","0101210","YES"
"PRELIMINARY","01","0101","0101210","YES"
"FINAL","01","0101","0101211","YES"
"PRELIMINARY","01","0101","0101211","YES"
"FINAL","01","0101","0101212","NO"
"PRELIMINARY","01","0101","0101212","YES"
"FINAL","01","0101","0101213","YES"
"PRELIMINARY","01","0101","0101213","YES"
"FINAL","01","0101","0101214","YES"
"PRELIMINARY","01","0101","0101214","YES"
"FINAL","01","0101","0101215","YES"
"PRELIMINARY","01","0101","0101215","YES"
"FINAL","01","0101","0101216","YES"
"PRELIMINARY","01","0101","0101216","YES"
"FINAL","01","0101","0101217","YES"
"PRELIMINARY","01","0101","0101217","YES"
"FINAL","01","0101","0101218","YES"
"PRELIMINARY","01","0101","0101218","YES"
"FINAL","01","0101","0101219","YES"
"PRELIMINARY","01","0101","0101219","YES"
"FINAL","01","0101","0101220","YES"
"PRELIMINARY","01","0101","0101220","YES"
"FINAL","01","0101","0101221","YES"
"PRELIMINARY","01","0101","0101221","YES"
"FINAL","01","0101","0101222","YES"
"PRELIMINARY","01","0101","0101222","YES"
"FINAL","01","0101","0101223","YES"
"PRELIMINARY","01","0101","0101223","YES"
"FINAL","01","0101","0101224","YES"
"PRELIMINARY","01","0101","0101224","YES"
"FINAL","01","0101","0101225","YES"
"PRELIMINARY","01","0101","0101225","YES"
"FINAL","01","0101","0101226","YES"
"PRELIMINARY","01","0101","0101226","YES"
"FINAL","01","0101","0101227","NO"
"PRELIMINARY","01","0101","0101227","YES"
"FINAL","01","0101","0101228","YES"
"PRELIMINARY","01","0101","0101228","YES"
"FINAL","01","0101","0101229","YES"
"PRELIMINARY","01","0101","0101229","YES"
"FINAL","01","0101","0101230","YES"
"PRELIMINARY","01","0101","0101230","YES"
"FINAL","01","0101","0101231","YES"
"PRELIMINARY","01","0101","0101231","YES"
"FINAL","01","0101","0101232","YES"
"PRELIMINARY","01","0101","0101232","YES"
"FINAL","01","0101","0101233","YES"
