"province_code","district_code","pc_code","ps_code","prelim_reporting","final_reporting"
"01","0101","0101042","0101042-08","YES","YES"
"01","0101","0101043","0101043-01","YES","YES"
"01","0101","0101043","0101043-02","YES","YES"
"01","0101","0101043","0101043-03","YES","YES"
"01","0101","0101043","0101043-04","YES","YES"
"01","0101","0101043","0101043-05","YES","YES"
"01","0101","0101043","0101043-06","YES","YES"
"01","0101","0101043","0101043-07","YES","YES"
"01","0101","0101043","0101043-08","YES","YES"
"01","0101","0101044","0101044-01","YES","YES"
"01","0101","0101044","0101044-02","YES","YES"
"01","0101","0101044","0101044-03","YES","YES"
"01","0101","0101044","0101044-04","YES","YES"
"01","0101","0101044","0101044-05","YES","YES"
"01","0101","0101045","0101045-01","YES","YES"
"01","0101","0101045","0101045-02","YES","YES"
"01","0101","0101045","0101045-03","YES","NO"
"01","0101","0101046","0101046-01","YES","YES"
"01","0101","0101046","0101046-02","YES","YES"
"01","0101","0101046","0101046-03","YES","YES"
"01","0101","0101046","0101046-04","YES","YES"
"01","0101","0101046","0101046-05","YES","YES"
"01","0101","0101046","0101046-06","YES","YES"
"01","0101","0101046","0101046-07","YES","YES"
"01","0101","0101046","0101046-08","YES","YES"
"01","0101","0101046","0101046-09","YES","YES"
"01","0101","0101047","0101047-01","YES","YES"
"01","0101","0101047","0101047-02","YES","YES"
"01","0101","0101047","0101047-03","YES","YES"
"01","0101","0101047","0101047-04","YES","YES"
"01","0101","0101047","0101047-05","YES","YES"
"01","0101","0101047","0101047-06","YES","YES"
"01","0101","0101047","0101047-07","YES","YES"
"01","0101","0101047","0101047-08","YES","YES"
"01","0101","0101047","0101047-09","YES","YES"
"01","0101","0101048","0101048-01","YES","YES"
"01","0101","0101048","0101048-02","YES","YES"
"01","0101","0101048","0101048-03","YES","YES"
"01","0101","0101048","0101048-04","YES","NO"
"01","0101","0101048","0101048-05","YES","NO"
"01","0101","0101049","0101049-01","YES","YES"
"01","0101","0101049","0101049-02","YES","YES"
"01","0101","0101049","0101049-03","YES","YES"
"01","0101","0101049","0101049-04","YES","YES"
"01","0101","0101049","0101049-05","YES","YES"
"01","0101","0101049","0101049-06","YES","YES"
"01","0101","0101049","0101049-07","YES","YES"
"01","0101","0101050","0101050-01","YES","YES"
"01","0101","0101050","0101050-02","YES","YES"
"01","0101","0101050","0101050-03","YES","YES"
"01","0101","0101050","0101050-04","YES","YES"
"01","0101","0101051","0101051-01","YES","YES"
"01","0101","0101051","0101051-02","YES","YES"
"01","0101","0101051","0101051-03","YES","YES"
"01","0101","0101052","0101052-01","YES","YES"
"01","0101","0101052","0101052-02","YES","YES"
"01","0101","0101052","0101052-03","YES","YES"
"01","0101","0101052","0101052-04","YES","YES"
"01","0101","0101053","0101053-01","YES","YES"
"01","0101","0101053","0101053-02","YES","YES"
"01","0101","0101053","0101053-03","YES","YES"
"01","0101","0101054","0101054-01","YES","YES"
"01","0101","0101054","0101054-02","YES","YES"
"01","0101","0101054","0101054-03","YES","NO"
"01","0101","0101054","0101054-04","YES","NO"
"01","0101","0101055","0101055-01","YES","NO"
"01","0101","0101055","0101055-02","YES","NO"
"01","0101","0101055","0101055-03","YES","NO"
"01","0101","0101056","0101056-01","YES","YES"
"01","0101","0101056","0101056-02","YES","YES"
"01","0101","0101056","0101056-03","YES","NO"
"01","0101","0101056","0101056-04","YES","NO"
"01","0101","0101057","0101057-01","YES","YES"
"01","0101","0101057","0101057-02","YES","YES"
"01","0101","0101057","0101057-03","YES","YES"
"01","0101","0101057","0101057-04","YES","YES"
"01","0101","0101057","0101057-05","YES","NO"
"01","0101","0101058","0101058-01","YES","YES"
"01","0101","0101058","0101058-02","YES","YES"
"01","0101","0101058","0101058-03","YES","YES"
"01","0101","0101058","0101058-04","YES","YES"
"01","0101","0101058","0101058-05","YES","YES"
"01","0101","0101059","0101059-01","YES","YES"
"01","0101","0101059","0101059-02","YES","YES"
"01","0101","0101059","0101059-03","YES","YES"
"01","0101","0101059","0101059-04","YES","YES"
"01","0101","0101059","0101059-05","YES","YES"
"01","0101","0101059","0101059-06","YES","YES"
"01","0101","0101059","0101059-07","YES","YES"
"01","0101","0101059","0101059-08","YES","YES"
"01","0101","0101059","0101059-09","YES","YES"
"01","0101","0101059","0101059-10","YES","YES"
"01","0101","0101059","0101059-11","YES","YES"
"01","0101","0101059","0101059-12","YES","YES"
"01","0101","0101059","0101059-13","YES","YES"
"01","0101","0101060","0101060-01","YES","YES"
"01","0101","0101060","0101060-02","YES","YES"
"01","0101","0101060","0101060-03","YES","YES"
"01","0101","0101060","0101060-04","YES","YES"
"01","0101","0101060","0101060-05","YES","YES"
