"results_status","electorate","province_code","pc_count","ps_count","candidate_count","vote_count"
"FINAL","General","01",496,2959,803,395244
"PRELIMINARY","General","01",526,2613,803,666478
"FINAL","General","02",76,323,35,38641
"PRELIMINARY","General","02",77,334,35,39820
"FINAL","General","03",153,506,28,86028
"PRELIMINARY","General","03",154,506,27,86252
"FINAL","General","04",81,217,39,58784
"PRELIMINARY","General","04",81,217,39,58784
"FINAL","General","05",29,156,35,15546
"PRELIMINARY","General","05",31,169,35,22256
"FINAL","General","06",371,1639,136,268287
"PRELIMINARY","General","06",368,1618,136,260314
"FINAL","General","07",68,323,33,44348
"PRELIMINARY","General","07",68,325,33,44538
"FINAL","General","08",96,216,12,31128
"PRELIMINARY","General","08",96,216,12,32847
"FINAL","General","09",175,657,88,122117
"PRELIMINARY","General","09",175,657,88,122117
"FINAL","General","10",219,518,40,125801
"PRELIMINARY","General","10",219,518,38,125564
"FINAL","General","12",145,414,33,29154
"PRELIMINARY","General","12",158,487,33,36890
"FINAL","General","13",108,408,78,51088
"PRELIMINARY","General","13",132,482,78,76372
"FINAL","General","14",181,549,55,79948
"PRELIMINARY","General","14",176,535,55,77845
"FINAL","General","15",108,397,31,82638
"PRELIMINARY","General","15",108,397,31,83467
"FINAL","General","16",28,97,18,13854
"PRELIMINARY","General","16",32,114,18,20655
"FINAL","General","17",267,763,76,158976
"PRELIMINARY","General","17",267,763,76,158976
"FINAL","General","18",214,683,73,174862
"PRELIMINARY","General","18",214,683,73,175065
"FINAL","General","19",78,313,89,52251
"PRELIMINARY","General","19",78,313,89,52251
"FINAL","General","20",91,301,31,76048
"PRELIMINARY","General","20",92,303,31,76919
"FINAL","General","21",250,924,82,194129
"PRELIMINARY","General","21",250,938,82,207768
"FINAL","General","22",73,282,33,76152
"PRELIMINARY","General","22",73,285,33,80129
"FINAL","General","23",142,441,29,111255
"PRELIMINARY","General","23",142,434,29,108633
"FINAL","General","24",252,551,41,134695
"PRELIMINARY","General","24",252,551,41,134695
"FINAL","General","25",29,121,25,12443
"PRELIMINARY","General","25",28,119,25,12692
"FINAL","General","26",42,143,24,12980
"PRELIMINARY","General","26",42,143,24,13495
"FINAL","General","27",169,1005,111,157253
"PRELIMINARY","General","27",169,1010,111,167486
"FINAL","General","28",53,210,30,55744
"PRELIMINARY","General","28",53,209,30,55234
"FINAL","General","29",78,280,61,68984
"PRELIMINARY","General","29",78,287,61,70419
"FINAL","General","30",95,613,89,75719
"PRELIMINARY","General","30",95,619,89,83156
"FINAL","General","31",64,196,31,43967
"PRELIMINARY","General","31",65,198,31,44485
"FINAL","General","32",279,1122,159,321519
"PRELIMINARY","General","32",282,1150,159,338661
"FINAL","General","33",42,151,41,25207
"PRELIMINARY","General","33",42,154,41,25921
"FINAL","General","34",50,200,12,30871
"PRELIMINARY","General","34",50,200,12,32513
"FINAL","Kuchi","01",103,158,44,34251
"PRELIMINARY","Kuchi","01",103,672,44,34251
"FINAL","Kuchi","02",23,125,44,4765
"PRELIMINARY","Kuchi","02",23,128,44,4765
"FINAL","Kuchi","03",23,110,44,562
"PRELIMINARY","Kuchi","03",23,109,44,562
"FINAL","Kuchi","04",5,25,44,318
"PRELIMINARY","Kuchi","04",5,25,44,318
"FINAL","Kuchi","05",17,109,44,2381
