"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","iec_vote_total","vote_share","candidate_rank","results_date","results_status","calculated_vote_total","error"
"01","Kabul",570353,"1-1232-73",564,565,"Milad Yousuf Ibrahim","میلاد یوسف ابراهیم","میلاد یوسف ابراهیم",327,0.000573329148790311,358,"2019-05-15","Results Status : Certified",236,"ERROR"
"01","Kabul",570353,"1-1667-17",554,555,"Bashir Ahmad","بشیراحمد","بشیراحمد",327,0.000573329148790311,358,"2019-05-15","Results Status : Certified",223,"ERROR"
"01","Kabul",570353,"1-1652-63",5,5,"Alhaj Khan Lala Shirzai","الحاج خان لالا شیرزی ","الحاج خان لالا شیرزی ",326,0.000571575848641105,359,"2019-05-15","Results Status : Certified",237,"ERROR"
"01","Kabul",570353,"1-1426-218",103,103,"Lft-Gen. Sayed Aman","تورنجنرال سید امان ","تورنجنرال سید امان ",325,0.000569822548491899,360,"2019-05-15","Results Status : Certified",202,"ERROR"
"01","Kabul",570353,"1-1301-74",261,261,"Omran Omar Amarkhel","عمران عمر امرخیل","عمران عمر امرخیل",320,0.00056105604774587,361,"2019-05-15","Results Status : Certified",231,"ERROR"
"01","Kabul",570353,"1-1386-1050",501,502,"Mohammad Yaser Emar","محمد یاسر عمار","محمد یاسر عمار",317,0.000555796147298252,362,"2019-05-15","Results Status : Certified",222,"ERROR"
"01","Kabul",570353,"1-1406-13",801,802,"Sayed Nasratullah Qubadi","سید نصرت الله قبادی","سید نصرت الله قبادی",315,0.00055228954699984,363,"2019-05-15","Results Status : Certified",199,"ERROR"
"01","Kabul",570353,"1-1559-141",362,363,"Abdul Hadi Osmani","عبدالهادی عثمانی","عبدالهادی عثمانی",315,0.00055228954699984,363,"2019-05-15","Results Status : Certified",225,"ERROR"
"01","Kabul",570353,"1-1332-96",251,251,"Ghullam Mohammad Kamawal","غلام محمد کامه وال","غلام محمد کامه وال",314,0.000550536246850635,364,"2019-05-15","Results Status : Certified",234,"ERROR"
"01","Kabul",570353,"1-1690-120",193,193,"Rahimullah Hanifi","رحیم الله حنیفی","رحیم الله حنیفی",313,0.000548782946701429,365,"2019-05-15","Results Status : Certified",243,"ERROR"
"01","Kabul",570353,"1-1169-30",765,766,"Dr. Benafsha Bahar Nabizada","داکتربنفشه بهار نبی زاده ","داکتربنفشه بهار نبی زاده ",311,0.000545276346403017,366,"2019-05-15","Results Status : Certified",204,"ERROR"
"01","Kabul",570353,"1-1862-3074",577,578,"Burhanuddin Hafez","برهان الدین   حافظ","برهان الدین   حافظ",311,0.000545276346403017,366,"2019-05-15","Results Status : Certified",223,"ERROR"
"01","Kabul",570353,"1-1534-62",180,180,"Haji Mohammad Nawab Totakhel","حاجی محمد نواب طوطا خیل","حاجی محمد نواب طوطا خیل",311,0.000545276346403017,366,"2019-05-15","Results Status : Certified",192,"ERROR"
"01","Kabul",570353,"1-1827-177",451,452,"Alhaj Mirwais Katawazai","الحاج میرویس کتوازی","الحاج میرویس کتوازی",308,0.0005400164459554,367,"2019-05-15","Results Status : Certified",247,"ERROR"
"01","Kabul",570353,"1-1614-1",599,600,"Alhaj Mohammad Amin Tarakhel","الحاج محمد امین تره خیل ","الحاج محمد امین تره خیل ",307,0.000538263145806194,368,"2019-05-15","Results Status : Certified",222,"ERROR"
"01","Kabul",570353,"1-1390-44",258,258,"Mohammad Mukhtar Sharifi","محمد مختار شریفی","محمد مختار شریفی",307,0.000538263145806194,368,"2019-05-15","Results Status : Certified",211,"ERROR"
"01","Kabul",570353,"1-1321-71",169,169,"Aashna Gull Bandawal","اشنا گل بانډه وال","اشنا گل بانډه وال",307,0.000538263145806194,368,"2019-05-15","Results Status : Certified",220,"ERROR"
"01","Kabul",570353,"1-1766-135",578,579,"Hassan Jaan Dawlatzai","حسن جان  دولت زی","حسن جان  دولت زی",306,0.000536509845656988,369,"2019-05-15","Results Status : Certified",239,"ERROR"
"01","Kabul",570353,"1-1799-160",67,67,"Abdul Wahed Khan Nasratyar","عبدالواحد خان نصرتیار","عبدالواحد خان نصرتیار",306,0.000536509845656988,369,"2019-05-15","Results Status : Certified",267,"ERROR"
"01","Kabul",570353,"1-1663-170",9,9,"Shabir Ahmad Ibrahimi","شبیر احمد ابراهیمی","شبیر احمد ابراهیمی",306,0.000536509845656988,369,"2019-05-15","Results Status : Certified",205,"ERROR"
"01","Kabul",570353,"1-1314-33",650,651,"Mohammad Younus Nawandesh","محمدیونس نواندیش","محمدیونس نواندیش",305,0.000534756545507782,370,"2019-05-15","Results Status : Certified",225,"ERROR"
"01","Kabul",570353,"1-1339-28",70,70,"Deplom Eng. Ghullam Ali","دیپلوم انجنیرغلام علی","دیپلوم انجنیرغلام علی",301,0.000527743344910959,371,"2019-05-15","Results Status : Certified",226,"ERROR"
"01","Kabul",570353,"1-1750-154",510,511,"Haji Noorullah Azizi Meyakhel","حاجی نورالله عزیزی میاخیل","حاجی نورالله عزیزی میاخیل",300,0.000525990044761753,372,"2019-05-15","Results Status : Certified",219,"ERROR"
"01","Kabul",570353,"1-1127-182",392,393,"Mirzaman Haqyar","میرزمان حقیار ","میرزمان حقیار ",300,0.000525990044761753,372,"2019-05-15","Results Status : Certified",223,"ERROR"
"01","Kabul",570353,"1-1730-182",426,427,"Dr. Masooma Muradi","داکتر معصومه مرادی","داکتر معصومه مرادی",299,0.000524236744612547,373,"2019-05-15","Results Status : Certified",175,"ERROR"
"01","Kabul",570353,"1-1361-122",480,481,"Mohammad Haroon Motaref","محمد هارون معترف","محمد هارون معترف",297,0.000520730144314135,374,"2019-05-15","Results Status : Certified",214,"ERROR"
"01","Kabul",570353,"1-1418-7",467,468,"Sayed Naser Mosawi","سید ناصر موسوی","سید ناصر موسوی",293,0.000513716943717312,375,"2019-05-15","Results Status : Certified",186,"ERROR"
"01","Kabul",570353,"1-1821-1064",401,402,"Tella Mohammad Atmanzai","طلا محمد اتمانزی","طلا محمد اتمانزی",293,0.000513716943717312,375,"2019-05-15","Results Status : Certified",200,"ERROR"
