"pc_code","prelim_results_reporting","final_results_reporting"
"0101001","YES","YES"
"0101002","YES","YES"
"0101003","YES","YES"
"0101004","YES","YES"
"0101005","YES","YES"
"0101006","YES","YES"
"0101007","YES","YES"
"0101008","YES","YES"
"0101009","YES","YES"
"0101010","YES","YES"
"0101011","YES","YES"
"0101012","YES","YES"
"0101013","YES","YES"
"0101014","YES","YES"
"0101015","YES","YES"
"0101016","YES","YES"
"0101017","YES","YES"
"0101018","YES","YES"
"0101019","NO","NO"
"0101020","YES","YES"
"0101021","YES","YES"
"0101022","YES","YES"
"0101023","YES","YES"
"0101024","YES","NO"
"0101025","YES","YES"
"0101026","YES","YES"
"0101027","NO","NO"
"0101028","YES","YES"
"0101029","YES","YES"
"0101030","NO","YES"
"0101031","YES","YES"
"0101032","YES","YES"
"0101033","YES","YES"
"0101034","YES","YES"
"0101035","YES","YES"
"0101036","YES","YES"
"0101037","YES","YES"
"0101038","YES","YES"
"0101039","YES","YES"
"0101040","YES","YES"
"0101041","YES","YES"
"0101042","YES","YES"
"0101043","YES","YES"
"0101044","YES","YES"
"0101045","YES","YES"
"0101046","YES","YES"
"0101047","YES","YES"
"0101048","YES","YES"
"0101049","YES","YES"
"0101050","YES","YES"
"0101051","YES","YES"
"0101052","YES","YES"
"0101053","YES","YES"
"0101054","YES","YES"
"0101055","YES","NO"
"0101056","YES","YES"
"0101057","YES","YES"
"0101058","YES","YES"
"0101059","YES","YES"
"0101060","YES","YES"
"0101061","YES","YES"
"0101062","YES","YES"
"0101063","YES","NO"
"0101064","YES","YES"
"0101065","YES","YES"
"0101066","YES","YES"
"0101067","YES","YES"
"0101068","YES","NO"
"0101069","YES","YES"
"0101070","YES","YES"
"0101071","YES","YES"
"0101072","YES","NO"
"0101073","YES","YES"
"0101074","YES","YES"
"0101075","YES","YES"
"0101076","YES","YES"
"0101077","YES","YES"
"0101078","YES","YES"
"0101079","YES","YES"
"0101080","YES","YES"
"0101081","YES","YES"
"0101082","YES","YES"
"0101083","YES","YES"
"0101084","YES","YES"
"0101085","YES","YES"
"0101086","YES","YES"
"0101087","YES","NO"
"0101088","YES","YES"
"0101089","YES","YES"
"0101090","YES","YES"
"0101091","YES","YES"
"0101092","YES","YES"
"0101093","NO","YES"
"0101094","YES","YES"
"0101095","YES","YES"
"0101096","YES","YES"
"0101097","YES","YES"
"0101098","NO","NO"
"0101099","YES","YES"
"0101100","YES","YES"
"0101101","YES","YES"
"0101102","YES","YES"
"0101103","YES","YES"
"0101104","YES","YES"
"0101105","YES","YES"
"0101106","YES","YES"
"0101107","NO","NO"
"0101108","NO","YES"
"0101109","YES","YES"
"0101110","YES","YES"
"0101111","NO","YES"
"0101112","YES","YES"
"0101113","YES","YES"
"0101114","YES","YES"
"0101115","YES","YES"
"0101116","YES","NO"
"0101117","YES","NO"
"0101118","YES","YES"
"0101119","YES","YES"
"0101120","YES","YES"
"0101121","YES","YES"
"0101122","YES","YES"
"0101123","YES","YES"
"0101124","YES","YES"
"0101125","YES","YES"
"0101126","YES","YES"
"0101127","YES","YES"
"0101128","YES","YES"
"0101129","YES","YES"
"0101130","YES","YES"
"0101131","YES","YES"
"0101132","YES","YES"
"0101133","YES","YES"
"0101134","YES","YES"
"0101135","YES","YES"
"0101136","YES","YES"
"0101137","YES","YES"
"0101138","YES","YES"
"0101139","YES","YES"
"0101140","YES","NO"
"0101141","YES","YES"
"0101142","YES","YES"
"0101143","YES","YES"
"0101144","YES","YES"
"0101145","YES","YES"
"0101146","YES","YES"
"0101147","NO","YES"
"0101148","YES","YES"
"0101149","YES","YES"
"0101150","YES","YES"
"0101151","YES","YES"
"0101152","YES","YES"
"0101153","YES","YES"
"0101154","YES","YES"
"0101155","YES","YES"
"0101156","YES","YES"
"0101157","YES","YES"
"0101158","YES","NO"
"0101159","YES","YES"
"0101160","YES","YES"
"0101161","YES","YES"
"0101162","YES","YES"
"0101163","YES","YES"
"0101164","YES","YES"
"0101165","YES","YES"
"0101166","YES","YES"
"0101167","YES","YES"
"0101168","YES","YES"
"0101169","YES","YES"
"0101170","YES","YES"
"0101171","YES","YES"
"0101172","YES","YES"
"0101173","YES","YES"
"0101174","YES","YES"
"0101175","YES","YES"
"0101176","YES","YES"
"0101177","YES","YES"
"0101178","YES","YES"
"0101179","YES","YES"
"0101180","YES","YES"
"0101181","YES","YES"
"0101182","YES","YES"
"0101183","YES","YES"
"0101184","YES","YES"
"0101185","YES","YES"
"0101186","YES","YES"
"0101187","YES","YES"
"0101188","YES","YES"
"0101189","YES","YES"
"0101190","YES","YES"
"0101191","YES","YES"
"0101192","YES","YES"
"0101193","YES","YES"
"0101194","YES","YES"
"0101195","YES","YES"
"0101196","YES","YES"
"0101197","YES","YES"
"0101198","YES","YES"
"0101199","YES","YES"
"0101200","YES","YES"
"0101201","YES","YES"
"0101202","YES","YES"
"0101203","YES","NO"
"0101204","YES","YES"
"0101205","YES","YES"
"0101206","YES","YES"
"0101207","YES","YES"
"0101208","YES","YES"
"0101209","YES","NO"
"0101210","YES","YES"
"0101211","YES","YES"
"0101212","YES","NO"
"0101213","YES","YES"
"0101214","YES","YES"
"0101215","YES","YES"
"0101216","YES","YES"
"0101217","YES","YES"
"0101218","YES","YES"
"0101219","YES","YES"
"0101220","YES","YES"
"0101221","YES","YES"
"0101222","YES","YES"
"0101223","YES","YES"
"0101224","YES","YES"
"0101225","YES","YES"
"0101226","YES","YES"
"0101227","YES","NO"
"0101228","YES","YES"
"0101229","YES","YES"
"0101230","YES","YES"
"0101231","YES","YES"
"0101232","YES","YES"
"0101233","YES","YES"
"0101234","YES","YES"
"0101235","YES","NO"
"0101236","YES","YES"
"0101237","YES","YES"
"0101238","YES","YES"
"0101239","YES","YES"
"0101240","YES","YES"
"0101241","YES","YES"
"0101242","YES","YES"
"0101243","YES","YES"
"0101244","YES","YES"
"0101245","YES","YES"
"0101246","YES","NO"
"0101247","YES","YES"
"0101248","YES","YES"
"0101249","YES","YES"
"0101250","YES","YES"
"0101251","YES","YES"
"0101252","YES","YES"
"0101253","YES","NO"
"0101254","YES","NO"
"0101255","YES","YES"
"0101256","YES","YES"
"0101257","YES","YES"
"0101258","YES","YES"
"0101259","YES","YES"
"0101260","YES","YES"
"0101261","YES","YES"
"0101262","YES","YES"
"0101263","YES","YES"
"0101264","YES","YES"
"0101265","YES","YES"
"0101266","YES","YES"
"0101267","YES","YES"
"0101268","YES","YES"
"0101269","YES","YES"
"0101270","YES","YES"
"0101271","YES","YES"
"0101272","YES","YES"
"0101273","YES","YES"
"0101274","YES","YES"
"0101275","YES","YES"
"0101276","YES","YES"
"0101277","YES","YES"
"0101278","YES","YES"
"0101279","YES","YES"
"0101280","YES","YES"
"0101281","YES","YES"
"0101282","YES","YES"
"0101283","YES","YES"
"0101284","YES","YES"
"0101285","YES","YES"
"0101286","YES","YES"
"0101287","YES","YES"
"0101288","YES","NO"
"0101289","YES","YES"
"0101290","YES","YES"
"0101291","YES","YES"
"0101292","YES","YES"
"0101293","YES","YES"
"0101294","YES","YES"
"0101295","YES","YES"
"0101296","YES","YES"
"0101297","YES","NO"
"0101300","YES","YES"
"0101301","YES","YES"
"0101302","YES","YES"
"0101303","YES","YES"
"0101304","YES","YES"
"0101305","YES","YES"
"0101306","YES","YES"
"0101307","YES","YES"
"0101308","YES","YES"
"0101309","YES","YES"
"0101310","YES","YES"
"0101311","YES","YES"
"0101312","YES","YES"
"0101313","YES","NO"
"0101314","YES","YES"
"0101315","YES","YES"
"0101316","YES","YES"
"0101317","YES","YES"
"0101318","YES","YES"
"0101319","YES","YES"
"0101320","YES","YES"
"0101321","NO","NO"
"0101322","YES","YES"
"0101323","YES","NO"
"0101324","YES","YES"
"0101325","YES","YES"
"0101326","YES","YES"
"0101327","YES","YES"
"0101328","YES","YES"
"0101329","YES","YES"
"0101330","YES","YES"
"0101331","YES","YES"
"0101332","YES","YES"
"0101333","YES","YES"
"0101334","YES","YES"
"0101335","YES","YES"
"0101336","YES","YES"
"0101337","YES","YES"
"0101338","YES","YES"
"0101339","YES","YES"
"0101340","YES","YES"
"0101341","YES","YES"
"0101342","YES","YES"
"0101343","YES","YES"
"0101344","YES","YES"
"0101345","YES","YES"
"0101346","YES","YES"
"0101347","YES","YES"
"0101348","YES","YES"
"0101349","YES","YES"
"0101350","YES","YES"
"0101351","NO","YES"
"0101352","YES","YES"
"0101353","YES","YES"
"0101354","NO","YES"
"0101355","YES","YES"
"0101356","YES","YES"
"0101357","YES","YES"
"0101358","YES","YES"
"0101359","YES","YES"
"0101360","YES","YES"
"0101361","YES","YES"
"0101362","YES","YES"
"0101363","YES","YES"
"0101364","YES","YES"
"0101365","YES","YES"
"0101366","YES","YES"
"0101367","YES","YES"
"0101368","YES","YES"
"0101369","YES","YES"
"0101370","YES","YES"
"0101371","YES","YES"
"0101372","YES","YES"
"0101373","YES","YES"
"0101374","YES","YES"
"0101375","YES","YES"
"0101554","NO","YES"
"0101555","YES","YES"
"0101556","YES","YES"
"0101559","YES","YES"
"0102298","YES","YES"
"0102299","YES","NO"
"0102376","YES","YES"
"0102377","YES","YES"
"0102378","YES","YES"
"0102379","YES","YES"
"0102380","YES","YES"
"0102381","YES","YES"
"0102382","YES","YES"
"0102383","YES","YES"
"0102384","YES","YES"
"0102385","YES","YES"
"0102386","NO","NO"
