"pc_code","prelim_results_reporting","final_results_reporting"
"0102387","YES","YES"
"0102388","YES","YES"
"0102389","YES","YES"
"0102390","YES","YES"
"0102391","YES","YES"
"0102392","YES","YES"
"0102393","YES","YES"
"0102394","YES","YES"
"0102395","YES","YES"
"0102396","YES","YES"
"0102397","YES","YES"
"0102398","YES","YES"
"0103399","YES","YES"
"0103400","YES","YES"
"0103401","YES","YES"
"0103402","YES","YES"
"0103403","YES","YES"
"0103404","YES","YES"
"0103405","YES","YES"
"0103406","YES","YES"
"0103407","YES","YES"
"0103408","YES","YES"
"0103409","YES","YES"
"0103410","YES","YES"
"0103411","YES","NO"
"0104412","NO","YES"
"0104413","YES","YES"
"0104414","YES","YES"
"0104415","YES","YES"
"0104416","YES","YES"
"0104417","NO","NO"
"0104418","YES","YES"
"0104419","NO","YES"
"0104420","YES","YES"
"0104421","YES","YES"
"0104422","YES","YES"
"0104423","YES","YES"
"0104424","YES","YES"
"0104425","YES","YES"
"0104426","YES","YES"
"0104427","YES","YES"
"0104428","YES","YES"
"0104557","YES","YES"
"0104558","YES","YES"
"0105429","YES","YES"
"0105430","YES","YES"
"0105431","YES","NO"
"0105432","YES","YES"
"0105433","YES","NO"
"0105434","YES","YES"
"0105435","YES","YES"
"0105436","YES","NO"
"0105437","YES","YES"
"0105438","YES","YES"
"0105439","YES","YES"
"0105440","YES","YES"
"0105441","YES","YES"
"0105442","YES","YES"
"0105443","YES","NO"
"0105444","YES","YES"
"0106445","YES","YES"
"0106446","YES","YES"
"0106447","YES","YES"
"0106448","YES","YES"
"0106449","YES","YES"
"0106450","YES","YES"
"0106451","YES","YES"
"0106452","YES","YES"
"0106453","YES","YES"
"0106454","YES","YES"
"0106455","YES","YES"
"0106456","YES","YES"
"0106457","YES","YES"
"0106458","YES","YES"
"0107459","NO","NO"
"0107460","YES","YES"
"0107461","YES","YES"
"0107462","YES","YES"
"0107463","YES","YES"
"0107464","YES","YES"
"0107465","YES","YES"
"0107466","YES","YES"
"0107467","YES","YES"
"0108468","YES","YES"
"0108469","YES","YES"
"0108470","YES","YES"
"0108471","YES","YES"
"0108472","YES","YES"
"0108473","YES","YES"
"0108474","YES","YES"
"0108475","YES","YES"
"0108476","YES","YES"
"0108477","YES","YES"
"0108478","YES","YES"
"0108479","YES","YES"
"0109480","YES","YES"
"0109481","YES","YES"
"0109482","YES","YES"
"0109483","NO","NO"
"0109484","YES","YES"
"0109485","NO","NO"
"0109486","NO","NO"
"0110487","YES","YES"
"0110488","YES","YES"
"0110489","YES","YES"
"0110490","YES","YES"
"0110491","YES","YES"
"0110492","YES","YES"
"0110493","YES","YES"
"0110494","YES","YES"
"0110560","YES","YES"
"0111495","YES","YES"
"0111496","YES","YES"
"0111497","YES","YES"
"0111498","YES","YES"
"0111499","YES","YES"
"0111500","YES","YES"
"0112501","YES","YES"
"0112502","YES","YES"
"0112503","YES","YES"
"0112504","YES","YES"
"0112505","YES","YES"
"0112506","YES","YES"
"0112507","YES","YES"
"0112508","YES","YES"
"0113509","YES","YES"
"0113510","YES","YES"
"0113511","YES","YES"
"0113512","YES","YES"
"0113513","YES","YES"
"0113514","YES","YES"
"0114515","YES","YES"
"0114516","YES","YES"
"0114517","YES","YES"
"0114518","NO","YES"
"0114519","YES","YES"
"0114520","YES","YES"
"0114521","NO","YES"
"0114522","YES","YES"
"0114523","YES","YES"
"0114524","YES","YES"
"0114525","YES","YES"
"0114526","YES","YES"
"0114527","YES","YES"
"0114528","YES","YES"
"0114529","YES","YES"
"0114530","YES","YES"
"0114531","YES","YES"
"0115532","YES","YES"
"0115533","YES","YES"
"0115534","YES","YES"
"0115535","YES","YES"
"0115536","YES","YES"
"0115537","YES","YES"
"0115538","NO","NO"
"0115539","NO","NO"
"0115540","YES","YES"
"0115541","NO","NO"
"0115542","NO","NO"
"0115543","YES","YES"
"0115544","YES","YES"
"0115545","NO","NO"
"0115546","NO","NO"
"0115547","NO","NO"
"0115548","NO","NO"
"0115549","NO","NO"
"0115550","NO","NO"
"0115551","NO","NO"
"0115552","YES","YES"
"0115553","YES","NO"
"0201001","YES","YES"
"0201002","YES","YES"
"0201003","YES","YES"
"0201004","YES","YES"
"0201005","YES","YES"
"0201006","YES","YES"
"0201007","YES","YES"
"0201008","YES","YES"
"0201009","YES","YES"
"0201010","YES","YES"
"0201011","YES","YES"
"0201012","YES","YES"
"0201013","YES","YES"
"0201014","YES","YES"
"0201015","YES","YES"
"0201016","YES","YES"
"0202017","YES","YES"
"0202018","YES","YES"
"0202019","YES","YES"
"0202020","YES","YES"
"0202021","YES","YES"
"0202022","YES","YES"
"0202023","YES","YES"
"0202024","YES","YES"
"0202094","YES","YES"
"0203025","YES","YES"
"0203026","YES","YES"
"0203027","NO","NO"
"0203028","YES","YES"
"0203029","YES","YES"
"0203030","YES","YES"
"0203031","YES","YES"
"0203032","YES","YES"
"0204033","YES","YES"
"0204034","YES","YES"
"0204035","YES","YES"
"0204036","YES","YES"
"0204037","YES","YES"
"0204038","YES","YES"
"0204039","YES","YES"
"0204040","YES","YES"
"0204041","YES","YES"
"0204042","YES","YES"
"0204043","YES","YES"
"0204044","YES","YES"
"0204045","YES","YES"
"0204046","YES","YES"
"0205047","YES","YES"
"0205048","YES","YES"
"0205049","YES","YES"
"0205050","YES","YES"
"0205051","YES","YES"
"0205052","YES","YES"
"0205053","YES","YES"
"0205054","YES","YES"
"0205055","YES","YES"
"0205056","YES","YES"
"0205057","YES","NO"
"0205058","YES","YES"
"0205059","YES","YES"
"0205060","YES","YES"
"0205061","YES","YES"
"0205062","YES","YES"
"0205063","YES","YES"
"0205064","YES","YES"
"0205065","YES","YES"
"0205066","YES","YES"
"0205067","YES","YES"
"0205068","NO","NO"
"0205069","NO","NO"
"0206070","YES","YES"
"0206071","YES","YES"
"0206072","YES","YES"
"0206073","YES","YES"
"0206074","NO","NO"
"0206075","NO","NO"
"0206076","YES","YES"
"0206077","YES","YES"
"0206078","NO","NO"
"0206079","NO","NO"
"0206080","NO","NO"
"0206081","NO","NO"
"0206082","NO","NO"
"0206083","NO","NO"
"0206084","YES","YES"
"0206085","YES","YES"
"0206086","YES","YES"
"0207087","NO","NO"
"0207088","YES","YES"
"0207089","NO","NO"
"0207090","NO","NO"
"0207091","NO","NO"
"0207092","NO","NO"
"0207093","NO","NO"
"0301001","YES","YES"
"0301002","YES","YES"
"0301003","YES","YES"
"0301004","YES","YES"
"0301005","YES","YES"
"0301006","YES","YES"
"0301007","YES","YES"
"0301008","YES","YES"
"0301009","YES","YES"
"0301010","YES","YES"
"0301011","YES","YES"
"0301012","YES","YES"
"0301013","YES","YES"
"0301014","YES","YES"
"0301015","YES","YES"
"0301016","YES","YES"
"0301017","YES","YES"
"0301018","YES","YES"
"0301019","YES","YES"
"0301020","YES","YES"
"0301021","YES","YES"
"0301022","YES","YES"
"0301023","YES","YES"
"0301024","YES","YES"
"0301025","YES","YES"
"0301026","YES","YES"
"0301027","YES","YES"
"0301028","YES","YES"
"0301029","YES","YES"
"0301030","YES","YES"
"0301031","YES","YES"
"0301032","YES","YES"
"0301033","YES","YES"
"0301034","YES","YES"
"0301035","YES","YES"
"0301036","YES","YES"
"0302037","YES","YES"
"0302038","YES","YES"
"0302039","YES","YES"
"0302040","YES","YES"
"0302041","YES","YES"
"0302042","YES","YES"
"0302043","YES","YES"
"0302044","YES","YES"
"0302045","YES","YES"
"0302046","YES","YES"
"0302047","YES","YES"
"0302048","YES","YES"
"0302049","YES","YES"
"0302050","YES","YES"
"0302051","YES","YES"
"0302052","YES","YES"
"0302053","YES","YES"
"0302054","YES","YES"
"0302055","YES","YES"
"0302056","YES","YES"
"0302057","YES","YES"
"0302058","YES","YES"
"0302059","YES","YES"
"0302060","YES","YES"
"0303061","NO","NO"
"0303062","YES","YES"
"0303063","NO","NO"
"0303064","NO","NO"
"0303065","NO","NO"
"0303066","YES","YES"
"0303067","YES","YES"
"0303068","YES","YES"
"0303069","YES","YES"
"0303070","YES","NO"
"0303172","YES","YES"
"0304071","YES","YES"
"0304072","YES","YES"
"0304073","YES","YES"
"0304074","YES","YES"
"0304075","YES","YES"
"0304076","YES","YES"
"0304077","YES","YES"
"0304078","YES","YES"
"0304079","YES","YES"
"0304080","YES","YES"
"0304081","YES","YES"
"0304082","YES","YES"
"0304083","YES","YES"
"0304084","YES","YES"
"0304085","YES","YES"
"0304086","YES","YES"
"0305087","YES","YES"
"0305088","YES","YES"
"0305089","YES","YES"
"0305090","YES","YES"
"0305091","YES","YES"
"0305092","YES","YES"
"0305093","YES","YES"
"0305094","YES","YES"
"0305095","YES","YES"
"0305096","YES","YES"
"0305097","YES","YES"
"0305098","YES","YES"
"0305099","YES","YES"
"0305100","YES","YES"
"0305101","YES","YES"
"0305102","YES","YES"
"0305103","YES","YES"
"0306104","YES","YES"
"0306105","YES","YES"
"0306106","YES","YES"
"0306107","YES","YES"
"0306108","YES","YES"
"0306109","YES","YES"
"0306110","YES","YES"
"0306111","YES","YES"
"0306112","YES","YES"
"0306113","YES","YES"
"0306114","YES","YES"
"0306115","YES","YES"
"0306116","YES","YES"
"0307117","NO","NO"
"0307118","YES","YES"
"0307119","YES","YES"
"0307120","NO","NO"
"0307121","NO","NO"
"0307122","NO","NO"
"0307123","NO","NO"
"0307124","NO","NO"
"0307125","NO","NO"
"0307126","YES","YES"
"0307127","YES","YES"
"0307128","NO","NO"
"0307129","YES","YES"
"0307130","NO","NO"
"0307131","NO","NO"
"0307132","NO","NO"
"0307133","NO","NO"
"0307171","YES","YES"
"0308134","NO","NO"
"0308135","YES","YES"
"0308136","YES","YES"
"0308137","YES","YES"
"0308138","YES","YES"
"0308139","YES","YES"
"0308140","YES","YES"
"0308141","YES","YES"
"0308142","YES","YES"
"0308143","YES","YES"
"0308144","NO","NO"
"0308145","YES","YES"
"0309146","YES","YES"
"0309147","YES","YES"
"0309148","YES","YES"
"0309149","YES","YES"
"0309150","YES","YES"
"0309151","YES","YES"
"0309152","YES","YES"
"0309153","YES","YES"
"0309154","YES","YES"
"0309155","YES","YES"
"0309156","YES","YES"
"0309157","YES","YES"
"0309158","YES","YES"
"0310159","YES","YES"
"0310160","YES","YES"
"0310161","YES","YES"
"0310162","YES","YES"
"0310163","YES","YES"
"0310164","YES","YES"
"0310165","YES","YES"
"0310166","YES","YES"
"0310167","YES","YES"
"0310168","YES","YES"
"0310169","YES","YES"
"0310170","YES","YES"
"0401001","YES","YES"
"0401002","YES","YES"
"0401003","YES","YES"
"0401004","YES","YES"
"0401005","YES","YES"
"0401006","NO","NO"
"0401007","NO","NO"
"0401008","YES","YES"
"0401009","NO","NO"
"0401010","YES","YES"
"0401011","YES","YES"
"0401012","YES","YES"
"0401013","YES","YES"
"0402014","NO","NO"
"0402015","YES","YES"
"0402016","NO","NO"
"0402017","YES","YES"
"0402018","YES","YES"
"0402019","YES","YES"
"0402020","NO","NO"
"0402021","NO","NO"
"0402022","NO","NO"
"0402023","YES","YES"
"0402024","NO","NO"
"0402025","NO","NO"
"0402026","NO","NO"
"0402027","NO","NO"
"0402028","NO","NO"
"0402029","NO","NO"
"0403030","YES","YES"
"0403031","NO","NO"
"0403032","YES","YES"
"0403033","YES","YES"
"0403034","YES","YES"
"0403035","YES","YES"
"0403036","NO","NO"
"0403037","YES","YES"
"0403038","YES","YES"
"0403039","YES","YES"
"0404040","NO","NO"
"0404041","NO","NO"
"0404042","NO","NO"
"0404043","YES","YES"
"0404044","YES","YES"
"0404045","YES","YES"
"0404046","YES","YES"
"0404047","YES","YES"
"0404048","NO","NO"
"0404049","NO","NO"
"0404050","NO","NO"
"0404051","YES","YES"
"0404052","YES","YES"
"0404053","YES","YES"
"0404054","NO","NO"
"0404055","NO","NO"
"0404056","NO","NO"
"0404057","NO","NO"
"0404058","NO","NO"
"0404059","NO","NO"
"0404060","NO","NO"
"0404061","NO","NO"
"0404062","NO","NO"
"0404063","NO","NO"
"0405064","NO","NO"
"0405065","NO","NO"
"0405066","NO","NO"
"0405067","NO","NO"
"0405068","NO","NO"
"0405069","NO","NO"
"0405070","NO","NO"
"0405071","NO","NO"
"0405072","NO","NO"
"0405073","YES","YES"
"0405074","NO","NO"
"0405075","YES","YES"
"0405076","NO","NO"
"0405077","NO","NO"
"0405078","NO","NO"
"0405079","NO","NO"
"0405080","NO","NO"
"0405081","NO","NO"
"0405082","NO","NO"
"0405083","NO","NO"
"0405084","NO","NO"
"0405085","YES","YES"
"0405086","NO","NO"
"0405087","NO","NO"
"0405088","NO","NO"
"0405089","NO","NO"
"0405090","NO","NO"
"0405091","NO","NO"
"0405092","NO","NO"
"0405093","NO","NO"
"0405094","NO","NO"
"0406095","NO","NO"
"0406096","NO","NO"
"0406097","NO","NO"
"0406098","NO","NO"
"0406099","NO","NO"
"0406100","NO","NO"
"0406101","YES","YES"
"0406102","YES","YES"
"0407103","YES","YES"
"0407104","YES","YES"
"0407105","YES","YES"
"0407106","YES","YES"
"0407107","YES","YES"
"0407108","YES","YES"
"0407109","YES","YES"
"0407110","YES","YES"
"0407111","YES","YES"
"0408112","NO","NO"
"0408113","NO","NO"
"0408114","NO","NO"
"0408115","NO","NO"
"0408116","NO","NO"
"0408117","NO","NO"
"0408118","YES","YES"
"0408119","YES","YES"
"0408120","NO","NO"
"0408121","NO","NO"
"0408122","NO","NO"
"0409123","YES","YES"
"0409124","YES","YES"
"0409125","YES","YES"
"0409126","YES","YES"
"0409127","YES","YES"
"0409128","YES","YES"
"0409129","YES","YES"
"0409130","YES","YES"
"0409131","YES","YES"
"0409132","YES","YES"
"0409133","YES","YES"
"0409134","YES","YES"
"0409135","YES","YES"
"0409136","YES","YES"
"0409137","YES","YES"
"0409138","YES","YES"
"0409139","YES","YES"
"0409140","YES","YES"
"0409141","YES","YES"
"0409142","YES","YES"
"0409143","YES","YES"
"0409144","YES","YES"
"0409145","YES","YES"
"0409146","NO","NO"
"0409147","YES","YES"
"0409148","YES","YES"
"0409149","YES","YES"
"0409150","YES","YES"
"0409151","YES","YES"
"0409152","YES","YES"
"0409153","YES","YES"
"0409154","YES","YES"
"0409155","YES","YES"
"0409156","YES","YES"
"0409157","YES","YES"
"0501001","YES","YES"
"0501002","YES","YES"
"0501003","YES","YES"
"0501004","NO","NO"
"0501005","NO","NO"
"0501006","YES","YES"
"0501007","YES","YES"
"0501008","YES","YES"
"0501009","YES","YES"
"0501010","YES","YES"
"0501011","YES","YES"
"0501012","YES","YES"
"0501013","NO","NO"
"0501014","YES","YES"
"0501015","NO","NO"
"0501016","NO","NO"
"0501017","YES","YES"
"0501018","YES","YES"
"0501019","NO","NO"
"0501020","NO","NO"
"0502021","NO","NO"
"0502022","NO","NO"
"0502023","NO","NO"
"0502024","NO","NO"
"0502025","NO","NO"
"0502026","NO","NO"
"0502027","NO","NO"
"0502028","NO","NO"
"0502029","NO","NO"
"0502030","YES","YES"
"0502031","NO","NO"
"0502032","YES","YES"
"0502033","NO","NO"
"0502034","NO","NO"
"0502035","NO","NO"
"0502036","NO","NO"
"0502037","NO","NO"
"0502038","NO","NO"
"0502039","NO","NO"
"0503040","NO","NO"
"0503041","NO","NO"
"0503042","NO","NO"
"0503043","NO","NO"
"0503044","YES","YES"
"0504045","YES","YES"
"0504046","NO","NO"
"0504047","NO","NO"
"0504048","YES","YES"
"0505049","NO","NO"
"0505050","NO","NO"
"0505051","NO","NO"
"0505052","NO","NO"
"0505053","NO","NO"
"0505054","NO","NO"
"0505055","YES","YES"
"0505056","YES","YES"
"0505057","YES","YES"
"0505058","NO","NO"
"0505059","NO","NO"
"0505060","YES","YES"
"0505061","NO","NO"
"0505062","YES","YES"
"0505063","YES","YES"
"0505064","YES","NO"
"0505065","YES","YES"
"0505066","NO","NO"
"0505067","YES","YES"
"0506068","YES","YES"
"0506069","NO","NO"
"0506070","NO","NO"
"0506071","NO","NO"
"0506072","NO","NO"
"0506073","NO","NO"
"0507074","NO","NO"
"0507075","NO","NO"
"0507076","NO","NO"
"0507077","NO","NO"
"0507078","YES","YES"
"0507079","NO","NO"
"0507080","YES","YES"
"0507081","YES","YES"
"0507082","NO","NO"
"0601001","YES","YES"
"0601002","YES","YES"
"0601003","YES","YES"
"0601004","YES","YES"
"0601005","YES","YES"
"0601006","YES","YES"
"0601007","YES","YES"
"0601008","YES","YES"
"0601009","YES","YES"
"0601010","YES","YES"
"0601011","YES","YES"
"0601012","YES","YES"
"0601013","YES","YES"
"0601014","YES","YES"
"0601015","YES","YES"
"0601016","YES","YES"
"0601017","YES","YES"
"0601018","YES","YES"
"0601019","YES","YES"
"0601020","YES","YES"
"0601021","YES","YES"
"0601022","YES","YES"
"0601023","YES","YES"
"0601024","YES","YES"
"0601025","YES","YES"
"0601026","YES","YES"
"0601027","YES","YES"
"0601028","YES","YES"
"0601029","YES","YES"
"0601030","YES","YES"
"0601031","YES","YES"
"0601032","YES","YES"
"0601033","YES","YES"
"0601034","YES","YES"
"0601035","YES","YES"
"0601036","YES","YES"
"0601037","YES","YES"
"0601038","YES","YES"
"0601039","YES","YES"
"0601040","YES","YES"
"0601041","YES","YES"
"0601042","YES","YES"
"0601043","YES","YES"
"0601044","YES","YES"
"0601045","YES","YES"
"0601046","YES","YES"
"0601047","YES","YES"
"0602048","YES","YES"
"0602049","YES","YES"
"0602050","YES","YES"
"0602051","YES","YES"
"0602052","YES","YES"
"0602053","YES","YES"
"0602054","YES","YES"
"0602055","YES","YES"
"0602056","YES","YES"
"0602057","YES","YES"
"0602058","YES","YES"
"0602059","YES","YES"
"0602060","YES","YES"
"0602061","YES","YES"
"0602062","YES","YES"
"0602063","YES","YES"
"0602064","YES","YES"
"0602065","YES","YES"
"0602066","YES","YES"
"0602067","YES","YES"
"0602068","YES","YES"
"0602069","YES","YES"
"0603070","YES","YES"
"0603071","YES","YES"
"0603072","NO","YES"
"0603073","YES","YES"
"0603074","YES","YES"
"0603075","YES","YES"
"0603076","YES","YES"
"0603077","YES","YES"
"0603078","YES","YES"
"0603079","YES","YES"
"0603080","YES","YES"
"0603081","YES","YES"
"0603082","YES","YES"
"0603083","YES","YES"
"0603084","YES","YES"
"0603085","YES","YES"
"0603086","YES","YES"
"0603087","YES","YES"
"0603088","YES","YES"
"0603089","YES","YES"
"0603090","YES","YES"
"0603091","YES","YES"
"0603092","NO","YES"
"0603093","YES","YES"
"0603094","YES","YES"
"0603095","YES","YES"
"0603096","YES","YES"
"0603097","NO","NO"
