prov_name,dist_name_421,notes,alt_dist_names_421,prov_id_421_CSO_char,dist_id_421_CSO_char,prov_name_Farsi_421_CSO,dist_name_farsi_421_CSO,prov_name_Pashto_421_CSO,dist_name_Pashto_421_CSO,Popl_18-19_421_CSO_6-18,Popl_18-19_419_CSO_6-18,Popl_18-19_407_CSO_6-18,Popl_18_19_399_CSO_6-18,dist_name_414_CSO_OCHA_8-16,Popl_16-17_414_CSO-OCHA_8-16,Popl_16-17_407_CSO-OCHA_8-16,Popl_16-17_399_CSO_OCHA_8-16,prov_name_407_USFOR,dist_name_407_USFOR,Popl_Jan18_USFOR_407_USFOR,Popl_1_31_18_USFOR_399_AGCHO,Popl_est_2017_iMMAP_399_AGCHO
Province name.,District names in CSO's 6/18 list of 421 districts(1)  Generally follows CSO transliterations of 8/16.,Notes,District alternate names from various sources,Prov ID from CSO 421 dist. list of 6/18. (1),District id from CSO 421 district list of 6/18 in numbers (1),Prov. name in Farsi [these need checking],Dist. name in Farsi [these need checking],Prov. name in Pashto [these need checking],District name in Pashto [these need checking],CSO popl est for '18-'19 using original 421 districts.,CSO popl estimates '18-'19 regrouped to 419 districts.,CSO popl estimates '18-'19 regrouped to 407 districts.,CSO popl estimates '18-'19 regrouped to 399 districts.,District name per CSO list of 414 of 8/16 posted by OCHA,CSO popl est for '16-'17 using original 414 districts,CSO popl estimates '16-'17 regrouped to 407 districts.,CSO popl estimates '16-'17 regrouped to 399 districts.,Province name per Landscan (2),Dist name per Landscan (2),"Popl est., Landscan using USFOR-A 407 district set. (2)","Popl est, Landscan regrouped to 399 districts"," iMMAP's 2017 population estimates (5).  (They already follow the 399 district set, natively.)"
BADAKHSHAN,Arghanj Khwah,,,17,1703,بدخشان,ارغنجخواه,بدخشان,د ارغنجخواه ولسوالي,17578,17578,17578,17578,Arghanj Khwah,16710,16710,16710,BADAKHSHAN,Arghanj Khwah,20000,20000,16900
BADAKHSHAN,Argo,,,17,1702,بدخشان,ارگو,بدخشان,د ارگو ,85586,85586,85586,85586,Argo,81355,81355,81355,BADAKHSHAN,Argo,108000,108000,164000
BADAKHSHAN,Baharak,,,17,1706,بدخشان,بهارک,بدخشان,د بهارک ,31438,31438,31438,31438,Baharak,29883,29883,29883,BADAKHSHAN,Baharak,36000,36000,56700
BADAKHSHAN,Darayim,,,17,1707,بدخشان,درایم,بدخشان,د درايم ,67237,67237,67237,67237,Darayim,63913,63913,63913,BADAKHSHAN,Darayim,74000,74000,59700
BADAKHSHAN,Darwaz-e-Bala,,Mamai,17,1727,بدخشان,دروازبالا,بدخشان,د دروازبالا,25278,25278,25278,25278,Darwaz-e- Bala ( Nesay) [s/b Mamay],24028,24028,24028,BADAKHSHAN,Darwaz-e-Bala,33000,33000,37500
BADAKHSHAN,Darwaz-e-Payin,,Nesay,17,1722,بدخشان,درواز پائین,بدخشان,د درواز پائين ,28869,28869,28869,28869,Darwaz-e- Payin (Mamay) [s/b Nesay],27444,27444,27444,BADAKHSHAN,Darwas-e Pa'in,27000,27000,21800
BADAKHSHAN,Eshkashim,,,17,1723,بدخشان,اشکاشم,بدخشان,د اشکاشم ,15141,15141,15141,15141,Eshkashim,14392,14392,14392,BADAKHSHAN,Ishkashim,17000,17000,14200
BADAKHSHAN,Faiz Abad,,,17,1701,بدخشان,فیض آباد,بدخشان,فیض آباد,74031,74031,74031,74031,Badakhshan center (Faiz Abad),70004,70004,70004,BADAKHSHAN,Faizabad,72000,72000,78200
BADAKHSHAN,Jurm,,,17,1710,بدخشان,جرم,بدخشان,د جرم ,41159,41159,41159,41159,Jurm,39083,39083,39083,BADAKHSHAN,Jurm,46000,46000,76700
