"province_code","province_name_CSO_421","district_code","district_name_CSO_421","district_name_CSO_OCHA_414","district_name_USFOR_407","district_name_farsi_CSO_421","district_name_pashto_CSO","pop_18_19_421_CSO","pop_18_19_419_CSO","pop_18_19_407_CSO","pop_18_19_399_CSO","pop_16_17_414_CSO-OCHA","pop_16_17_407_CSO-OCHA","pop_16_17_399_CSO-OCHA","pop_Jan_18_407_USFOR","pop_Jan_18_399_USFOR-AGCHO","pop_17_399_iMMAP-AGCHO"
"06","NANGARHAR","0604","Chaparar","Chapar har","Chaparhar","چپرهار","د چپرهار ","65826","65826","65826","65826","62572","62572","62572","75000","75000","96000"
"06","NANGARHAR","0605","Kama","Kama","Kamah","کامه","د کامى ","83918","83918","83918","83918","79769","79769","79769","94000","94000","64200"
"06","NANGARHAR","0606","Kuzkunar","Kuzkunar","Kuz Kunar","کوزکنر","د کوزکنړ ","60051","60051","60051","60051","57082","57082","57082","69000","69000","60800"
"06","NANGARHAR","0607","Rodat","Rodat","Rodat","رودات","د روداتو ","75448","75448","75448","75448","71719","71719","71719","83000","83000","103000"
"06","NANGARHAR","0608","Khugyani","Khugyani","Khugyani","خوگیانی","د خوگياڼی ","142625","142625","142625","142625","135522","135522","135522","160000","160000","145000"
"06","NANGARHAR","0609","Bati Kot","Bati Kot","Bati Kot","بتی کوت","د بټی کوټ ","82634","82634","82634","82634","78550","78550","78550","95000","95000","96200"
"06","NANGARHAR","0610","Deh Bala","Deh Bala","Deh Bala","ده بالا","د ده بالا ","44012","44012","44012","44012","41836","41836","41836","49000","49000","40900"
"06","NANGARHAR","0611","Pachir Wa Agam","Pachir Waagam","Pachir wa Agam","پچیر واگام","د پچير واگام ","46449","46449","46449","46449","44154","44154","44154","52000","52000","48800"
"06","NANGARHAR","0612","Darah-e-Noor","Darah -e- Noor","Darah-ye-Nur","دره نور","د درۀ نور ","44012","44012","44012","44012","41836","41836","41836","49000","49000","37800"
"06","NANGARHAR","0613","Kot","Kot","Kot","کوت","د کوټ ","56843","56843","56843","56843","54034","54034","54034","60000","60000","44900"
"06","NANGARHAR","0614","Goshta","Goshta","Goshtah","گوشته","د گوشتى ","29769","29769","29769","29769","28298","28298","28298","33000","33000","41400"
"06","NANGARHAR","0615","Achin","Achin","Achin","اچین","د اچين ","52152","109452","109452","109452","104042","104042","104042","126000","126000","89400"
"06","NANGARHAR","0616","Shinwar","Shinwar","Shinwar","شینوار","د شينوارو ","65441","65441","65441","65441","62206","62206","62206","66000","66000","74900"
"06","NANGARHAR","0617","Muhmand Dara","Muhmand ِِDara","Mohmand Darah","مهمند دره","د مهمند درى ","49016","49016","49016","49016","46593","46593","46593","60000","60000","74000"
"06","NANGARHAR","0618","Lalpoor","Lalpoor","La'lpur","لعل پور","د لعل پوري ","22327","22327","22327","22327","21223","21223","21223","23000","23000","33500"
"06","NANGARHAR","0619","Sher Zad","Sher Zad","Sherzad","شیرزاد","د شيرزاد ","72369","72369","72369","72369","68792","68792","68792","80000","80000","59600"
"06","NANGARHAR","0620","Nazyan","Nazyan","Naziyan","نازیان","د نازيانو ","16040","16040","16040","16040","15246","15246","15246","21000","21000","26400"
"06","NANGARHAR","0621","Hesarak","Hesarak","Hisarak","حصارک","د حصارک ","33619","33619","33619","33619","31956","31956","31956","38000","38000","47700"
"06","NANGARHAR","0622","Dur Baba","Dur  Baba","Dur Baba","دربابا","د در بابا ","25406","25406","25406","25406","24150","24150","24150","29000","29000","30200"
"06","NANGARHAR","0623","Spingar",NA,NA,"سپین غر",NA,"57300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"07","LAGHMAN","0701","Mehterlam","Laghman Center (Mehterlam)","Mehtar Lam","مهترلام","مهترلام","141635","141635","141635","149720","134576","134576","142260","160000","169000","141000"
"07","LAGHMAN","0702","Qarghayee","Qarghayee","Qarghah'i","قرغه ئی","د قرغه ئی ","107015","107015","107015","107015","101724","101724","101724","117000","117000","102000"
"07","LAGHMAN","0703","Alishing","Alishing","Alisheng","علیشینگ","د عليشينگ ","77887","77887","77887","77887","74037","74037","74037","87000","87000","92500"
"07","LAGHMAN","0704","Alingar","Alingar","Alingar","علینگار","د علينگار ","105603","105603","105603","105603","100383","100383","100383","127000","127000","126000"
"07","LAGHMAN","0705","Dawlat Shah","Dawlat Shah","Dowlat Shah","دولت شاه","د دولت شاه ","36312","36312","36312","36312","34518","34518","34518","41000","41000","58700"
"07","LAGHMAN","0706","Bad Pash","Bad pash","Bad Pash","باد پښ","د باد پښ ","8085","8085","8085",NA,"7684","7684",NA,"9000",NA,NA
"08","PANJSHIR","0801","Bazarak","Panjsher  Center (Bazarak)","Bazarak","بازارک","بازارک","20531","20531","20531","20531","19515","19515","19515","22000","22000","22200"
"08","PANJSHIR","0802","Rukha","Rukha","Rukhah","رخه","د رخه ","25021","25021","25021","25021","23784","23784","23784","28000","28000","21400"
"08","PANJSHIR","0803","Darah","Darah","Darah","دره","د دره ","15141","15141","15141","27202","14392","14392","25858","15000","31000","35300"
"08","PANJSHIR","0804","Khinj","Hissa-e- Awal   (Khinj)","Khinj","حصه اول","د حصه اول(خينج) ","43627","43627","43627","43627","41470","41470","41470","48000","48000","45400"
"08","PANJSHIR","0805","Unaba","Unaba","Unabah","عنابه","د عنابه ","19633","19633","19633","19633","18662","18662","18662","23000","23000","20200"
"08","PANJSHIR","0806","Shutul","Shutul","Shutul","شتل","د شتل ","11933","11933","11933","11933","11344","11344","11344","13000","13000","6430"
"08","PANJSHIR","0807","Paryan","Paryan","Parian","پریان","د پريان ","16168","16168","16168","16168","15368","15368","15368","18000","18000","18400"
"08","PANJSHIR","0808","Abshar","Ab shar","Abshar","آبشار","د ابشار ","12061","12061","12061",NA,"11466","11466",NA,"16000",NA,NA
"09","BAGHLAN","0901","Pul-i-Khumri","Baghlan Center (Pul-i-Khumri)","Pul-e Khumri","پلخمری","پلخمری","233009","233009","233009","233009","220311","220311","220311","261000","261000","241000"
"09","BAGHLAN","0902","Dahana-e-Ghuri","Dahana-e-Ghuri","Dahanah-ye Ghori","دهنه غوری","د دهنه غوری ","64317","64317","64317","64317","61118","61118","61118","72000","72000","102000"
"09","BAGHLAN","0903","Dushi","Dushi","Doshi","دوشی","د دوشی ","73011","73011","73011","73011","69402","69402","69402","86000","86000","91700"
"09","BAGHLAN","0904","Nahreen","Nahreen","Nahrin","نهرین","د نهرين ","75682","75682","75682","75682","71883","71883","71883","85000","85000","74400"
"09","BAGHLAN","0905","Baghlan-e-Jadeed","Baghlan-e- Jadeed","Baghlan-e Jadid","بغلان جدید","د بغلان جديد ","190604","190604","190604","190604","180421","180421","180421","212000","212000","181000"
"09","BAGHLAN","0906","Khinjan","Khinjan","Khinjan","خنجان","د خنجان ","33234","33234","33234","33234","31590","31590","31590","33000","33000","32200"
"09","BAGHLAN","0907","Andarab","Andarab","Andarab","اندراب","د اندراب ","27843","27843","27843","27843","26468","26468","26468","32000","32000","36700"
"09","BAGHLAN","0908","Deh Salah","Deh  Salah","Deh-e Salah","ده صلاح","د ده صلاح ","34901","34901","34901","34901","33176","33176","33176","38000","38000","26600"
"09","BAGHLAN","0909","Khwaja Hejran","Khwaja hejran (Jalga )","Khwajah Hijran","خواجه هجران","د خواجه هجران(جلگه ) ","26047","26047","26047","26047","24760","24760","24760","29000","29000","33500"
"09","BAGHLAN","0910","Burka","Burka","Burkah","برکه","د برکه ","57485","57485","57485","57485","54643","54643","54643","64000","64000","69800"
"09","BAGHLAN","0911","Tala Wa Barfak","Tala Wa Barfak","Talah Wa Barfak","تاله وبر فک","د تاله وبر فک ","32977","32977","32977","32977","31347","31347","31347","38000","38000","58800"
"09","BAGHLAN","0912","Pul-e-Hisar","Pul –e-Hisar","Pul-e Hisar","پل حصار","د پل حصار ","30154","30154","30154","30154","28663","28663","28663","34000","34000","19200"
"09","BAGHLAN","0913","Khost Wa Firing","Khost Wa Firing","Khost wa Firing","خوست و فرنگ","د خوست و فرنگ ","68905","68905","68905","68905","65499","65499","65499","77000","77000","92000"
"09","BAGHLAN","0914","Gozargah-e-Noor","Gozargah-e- Noor","Gozargah-e Nur","گذرگاه نور","د گذرگاه نور ","11035","11035","11035","11035","10490","10490","10490","12000","12000","18400"
"09","BAGHLAN","0915","Firing Wa Gharu","Firing Wa Gharu","Firing wa Gharu","فرنگ و غارو","د فرنگ وغارو ","18093","18093","18093","18093","17198","17198","17198","20000","20000","22700"
"10","BAMIYAN","1001","Bamyan","Bamyan Center (Bamyan )","Bamyan","بامیان","بامیان","91428","91428","91428","91428","86766","86766","86766","99000","99000","124000"
"10","BAMIYAN","1002","Shebar","Shebar","Shaybar","شیبر","د شيبر ","32207","32207","32207","32207","30615","30615","30615","36000","36000","48500"
"10","BAMIYAN","1003","Saighan","Saighan","Sayghan","سیغان","د سيغان ","26176","26176","26176","26176","24882","24882","24882","30000","30000","40700"
