"province_code","province_name_CSO_421","district_code","district_name_CSO_421","district_name_CSO_OCHA_414","district_name_USFOR_407","district_name_farsi_CSO_421","district_name_pashto_CSO","pop_18_19_421_CSO","pop_18_19_419_CSO","pop_18_19_407_CSO","pop_18_19_399_CSO","pop_16_17_414_CSO-OCHA","pop_16_17_407_CSO-OCHA","pop_16_17_399_CSO-OCHA","pop_Jan_18_407_USFOR","pop_Jan_18_399_USFOR-AGCHO","pop_17_399_iMMAP-AGCHO"
"13","PAKTIA","1303","Zurmat","Zurmat","Zurmat","زرمت","د زرمت ","95176","117407","117407","117407","111604","111604","111604","131000","131000","142000"
"13","PAKTIA ","1304","Shwak","Shwak","Shwak","شواک","د شواک ","6032","6032","6032","6032","5732","5732","5732","7000","7000","4850"
"13","PAKTIA","1305","Wuza Zadran","Wuza Zadran","Dzadran","وزه ځدران","د وزى ځدران ","26540","38750","38750","38750","36836","36836","36836","44000","44000","47700"
"13","PAKTIA","1306","Sayyid Karam","Sayyid Karam","Sayyid Karam","سید کرم","د سيد کرم ","60820","60820","60820","70188","57814","57814","66718","57000","79000","44700"
"13","PAKTIA","1307","Jaji","Jaji","Jaji","جاجی","د ځاځی ","68777","68777","68777","68777","65377","65377","65377","77000","77000","56700"
"13","PAKTIA","1308","Laja Ahmad Khel","Laja Ahmad khel","Lajah Ahmad Khel","لجه احمد خیل","د لجه احمد خيل ","24893","24893","24893","45423","23662","23662","43178","36000","51000","29800"
"13","PAKTIA","1309","Jani Khel","Jani Khel","Jani Khel","جانی خیل","د جانی خيلو ","38108","38108","38108","38108","36226","36226","36226","43000","43000","18800"
"13","PAKTIA","1310","Samkani","Samkani","Tsamkani","ولسوالى څمكنى","د څمکنیو ","54535","54535","54535","54535","51838","51838","51838","62000","62000","67000"
"13","PAKTIA","1311","Dand Patan","Dand Patan","Dand Patan","دند پتان","د ډنډ پټان ","28999","28999","28999","28999","27564","27564","27564","32000","32000","35900"
"13","PAKTIA","1312","Laja Mangel","Laja Mangel","Lajah Mangal","لجه منگل","د لجه منگل ","20530","20530","20530",NA,"19516","19516",NA,"15000",NA,NA
"13","PAKTIA","1313","Mirzaka","Mirzaka","Mirzakah","میر زکه","د میرزکه ","9368","9368","9368",NA,"8904","8904",NA,"22000",NA,NA
"13","PAKTIA","1314","Garda Siray",NA,NA,"گرده څیړی",NA,"12210",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","PAKTIA","1315","Rohany Baba",NA,NA,"روحانی بابا",NA,"22231",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","KHOST","1401","Khost","Khost Center(Khost)","Khost","خوست","خوست","150599","150599","150599","150599","143026","143026","143026","172000","172000","264000"
"14","KHOST","1402","Manduzay","Manduzay (Esmayel khil)             ","Manduzai","مندوزائی","د مندوزائی(اسمعيل خيل) ","61591","61591","61591","61591","58546","58546","58546","66000","66000","61800"
"14","KHOST","1403","Gurbuz","Gurbuz","Gurbuz","گربز","د گربزو ","28615","28615","28615","28615","27200","27200","27200","34000","34000","31900"
"14","KHOST","1404","Tanay","Tanay","Tanai","تنی","د تڼيو ","65056","65056","65056","65056","61840","61840","61840","70000","70000","39900"
"14","KHOST","1405","Musa Khel","Musa khel","Musa Khel","موسی خیل","د موسی خيلو ","44781","44781","44781","44781","42568","42568","42568","49000","49000","24200"
"14","KHOST","1406","Nadir Shah Kot","Nadir Shah kot","Nadir Shah Kot","نادرشاه کوت","د نادر شاه کوټ ","34773","34773","34773","34773","33054","33054","33054","41000","41000","33800"
"14","KHOST","1407","Sabari","Sabari (Yaqubi)","Sabari","صبری","د صبریو (يعقو بی) ","77374","77374","77374","77374","73549","73549","73549","87000","87000","68400"
"14","KHOST","1408","Tirzayee","Tirzayee (Ali Sher )","Tirzayee","تیرزائی","د تيرزائی (عليشير) ","48760","48760","48760","48760","46349","46349","46349","54000","54000","44900"
"14","KHOST","1409","Baak","Baak","Bak","باک","د باک ","24123","24123","24123","24123","22930","22930","22930","27000","27000","22700"
"14","KHOST","1410","Qalandar","Qalandar","Qalandar","قلندر","د قلندر ","11163","11163","11163","11163","10612","10612","10612","12000","12000","7340"
"14","KHOST","1411","Spera","Spera","Sperah","سپیره","د سپيرى ","26561","26561","26561","26561","25248","25248","25248","28000","28000","30000"
"14","KHOST","1412","Shamul","Shamul","Shamul","شمل","د شمل ","14884","14884","14884","14884","14149","14149","14149","18000","18000","9380"
"14","KHOST","1413","Jaji Maidan","Jaji Maidan","Jaji Maidan","جاجی میدان","د ځاځی ميدان ","26304","26304","26304","26304","25004","25004","25004","29000","29000","22000"
"15","KUNAR","1501","Asad Abad","Kunarha Center (Asad Abad)","Asadabad","اسعد آباد","اسعد آباد","36864","36864","36864","36864","34889","34889","34889","41000","41000","55800"
"15","KUNAR","1502","Marawara","Mara wara","Marawara","مروره","د مرورى ","22327","22327","22327","22327","21223","21223","21223","25000","25000","21200"
"15","KUNAR","1503","Watapoor","Watapoor","Watahpur","وته پور","د وټه پورى ","29898","29898","29898","29898","28419","28419","28419","34000","34000","29600"
"15","KUNAR","1504","Narang Wa Badil","Narang Wa Badil","Narang","نرنگ وبادیل","د نرنگ و باديل ","32977","32977","32977","32977","31346","31346","31346","36000","36000","29200"
"15","KUNAR","1505","Sar Kani","Sar Kani","Sar Kani","سرکانی","د سرکاڼی ","29769","29769","29769","29769","28298","28298","28298","33000","33000","27800"
"15","KUNAR","1506","Shigal","Shigal","Shigal wa Sheltan","شیگل","د شيگل  ","13120","13120","31951","31951","12472","30371","30371","36000","36000","46000"
"15","KUNAR","1507","Dara-e-Pech","Dara-e- Pech","Darah-ye Pech","دره پیچ","د درۀ پيچ ","59666","59666","59666","59666","56717","56717","56717","66000","66000","58700"
"15","KUNAR","1508","Bar Kunar","Bar Kunar","Bar Kunar","بر کنر","د بر کنړ ","23994","23994","23994","23994","22808","22808","22808","25000","25000","16200"
"15","KUNAR","1509","Sawkai","Sawkai","Tsowkey","څوکی","د څوکی ","39006","39006","39006","39006","37080","37080","37080","45000","45000","43200"
"15","KUNAR","1510","Khas Kunar","Khas Kunar   ","Khas Kunar","خاص کنر","د خاص کنړ ","38238","38238","38238","38238","36348","36348","36348","43000","43000","43900"
"15","KUNAR","1511","Ghazi Abad","Ghazi Abad","Ghaziabad","غازی اباد","د غازی آباد ","20402","20402","20402","20402","19393","19393","19393","23000","23000","40000"
"15","KUNAR","1512","Dangam","Dangam","Dangam","دانگام","د دانگام ","18478","18478","18478","18478","17564","17564","17564","22000","22000","19200"
"15","KUNAR","1513","Chapa Dara","Chapa Dara","Chapah Darah","چپه دره","د چپه درى ","33875","33875","33875","33875","32200","32200","32200","39000","39000","43000"
"15","KUNAR","1514","Noorgal","Noorgal","Nurgal","نورگل","د نورگل ","34516","34516","34516","34516","32810","32810","32810","38000","38000","28700"
"15","KUNAR","1515","Nari","Nari","Nari","ناری","ناری","30154","30154","30154","30154","28664","28664","28664","34000","34000","31000"
"15","KUNAR","1516","Sheltan","Sheltan",NA,"شلتن","د شيگل ","18831","18831",NA,NA,"17899",NA,NA,NA,NA,NA
"16","NURISTAN","1601","Paroon","Nooristan Center (Paroon)","Parun","پارون","پارون","14755","14755","14755","14755","14027","14027","14027","17000","17000","17400"
"16","NURISTAN","1602","Waygal","Waygal","Waygal","وایگل","د وايگل ","21429","21429","21429","21429","20369","20369","20369","24000","24000","22300"
"16","NURISTAN","1603","Wama","Wama","Wama","واما","د واما ","12061","12061","12061","12061","11466","11466","11466","14000","14000","11900"
"16","NURISTAN","1604","Noor Gram","Noor Gram","Nurgaram","نورگرام","د نورگرام ","35286","35286","35286","35286","33542","33542","33542","32000","32000","36200"
"16","NURISTAN","1605","Duab","Duab","Do Ab","دواب","د دوآب ","8598","8598","8598","8598","8172","8172","8172","9000","9000","20100"
"16","NURISTAN","1606","Kamdesh","Kamdesh","Kamdesh","کامدیش","د کامديش ","27588","27588","27588","27588","26224","26224","26224","31000","31000","27900"
"16","NURISTAN","1607","Mandol","Mandol","Mandol","مندول","د منډول ","21557","21557","21557","21557","20491","20491","20491","24000","24000","19500"
"16","NURISTAN","1608","Bargi Matal","Bargi Matal","Barg-e Matal","برگ متال","د برگ مټال ","16937","16937","16937","16937","16100","16100","16100","19000","19000","24300"
"17","BADAKHSHAN","1701","Faiz Abad","Badakhshan center (Faiz Abad)","Faizabad","فیض آباد","فیض آباد","74031","74031","74031","74031","70004","70004","70004","72000","72000","78200"
"17","BADAKHSHAN","1702","Argo","Argo","Argo","ارگو","د ارگو ","85586","85586","85586","85586","81355","81355","81355","108000","108000","164000"
"17","BADAKHSHAN","1703","Arghanj Khwah","Arghanj Khwah","Arghanj Khwah","ارغنجخواه","د ارغنجخواه ولسوالي","17578","17578","17578","17578","16710","16710","16710","20000","20000","16900"
"17","BADAKHSHAN","1704","Yaftal-e-Sufla","Yaftal-e-Sufla","Yaftal-e-Sufla","یفتل سفلی","د يفتل سفلی ","57613","57613","57613","57613","54765","54765","54765","65000","65000","42300"
"17","BADAKHSHAN","1705","Khash","Khash","Khash","خاش","د خاش ","41575","41575","41575","41575","39518","39518","39518","45000","45000","21500"
"17","BADAKHSHAN","1706","Baharak","Baharak","Baharak","بهارک","د بهارک ","31438","31438","31438","31438","29883","29883","29883","36000","36000","56700"
"17","BADAKHSHAN","1707","Darayim","Darayim","Darayim","درایم","د درايم ","67237","67237","67237","67237","63913","63913","63913","74000","74000","59700"
"17","BADAKHSHAN","1708","Kohistan","Kohistan","Kohistan","کوهستان","د کوهستان ","18092","18092","18092","18092","17198","17198","17198","20000","20000","23600"
"17","BADAKHSHAN","1709","Yawan","Yawan","Yawan","یاوان","د ياوان ","35414","35414","35414","35414","33664","33664","33664","39000","39000","70600"
"17","BADAKHSHAN","1710","Jurm","Jurm","Jurm","جرم","د جرم ","41159","41159","41159","41159","39083","39083","39083","46000","46000","76700"
"17","BADAKHSHAN","1711","Tashkan","Tashkan","Tashkan","تشکان","د تشکان ","32592","32592","32592","32592","30980","30980","30980","36000","36000","46200"
"17","BADAKHSHAN","1712","Shuhada","Shuhada","Shuhada","شهدا","د شهدا ","37724","37724","37724","37724","35860","35860","35860","42000","42000","37800"
"17","BADAKHSHAN","1713","Shahri Buzurg","Shahri Buzurg","Shahr-e Buzurg","شهربزرگ","د شهربزرگ ","57099","57099","57099","57099","54278","54278","54278","64000","64000","54300"
"17","BADAKHSHAN","1714","Raghistan","Raghistan","Raghistan","راغستان","د راغستان ","43243","43243","43243","43243","41104","41104","41104","49000","49000","41100"
"17","BADAKHSHAN","1715","Kishim","Kishm","Kishim","کشم","د کشم ","88281","88281","88281","88281","83916","83916","83916","100000","100000","115000"
"17","BADAKHSHAN","1716","Wardooj","Wardooj","Warduj","وردوج","د وردوج ","23866","23866","23866","23866","22686","22686","22686","27000","27000","40400"
"17","BADAKHSHAN","1717","Tagab","Tagab","Tagab","تگاب","د تگاب ","30668","30668","30668","30668","29152","29152","29152","34000","34000","48700"
"17","BADAKHSHAN","1718","Yamgan","Yamgan(Girwan)","Yamgan","یمگان","د يمگان (گیروان) ","28101","28101","28101","28101","26712","26712","26712","31000","31000","20400"
"17","BADAKHSHAN","1719","Shighnan","Shighnan","Shighnan","شیغنان","د شيغنان ","30411","30411","30411","30411","28908","28908","28908","34000","34000","32100"
"17","BADAKHSHAN","1720","Khwahan","Khwahan","Khwahan","خواهان","د خواهان ","18093","18093","18093","18093","17198","17198","17198","21000","21000","24500"
"17","BADAKHSHAN","1721","Kufab","Kufab","Kuf Ab","کوف آب","د کوف آب ","24379","24379","24379","24379","23174","23174","23174","28000","28000","24400"
"17","BADAKHSHAN","1722","Darwaz-e-Payin","Darwaz-e- Payin (Mamay) [s/b Nesay]","Darwas-e Pa'in","درواز پائین","د درواز پائين ","28869","28869","28869","28869","27444","27444","27444","27000","27000","21800"
"17","BADAKHSHAN","1723","Eshkashim","Eshkashim","Ishkashim","اشکاشم","د اشکاشم ","15141","15141","15141","15141","14392","14392","14392","17000","17000","14200"
"17","BADAKHSHAN","1724","Shiki","Shiki","Shiki","شکی","د شکی ","28743","28743","28743","28743","27322","27322","27322","31000","31000","13600"
"17","BADAKHSHAN","1725","Zebak","Zebak","Zebak","زیباک","د زيباک ","8598","8598","8598","8598","8172","8172","8172","10000","10000","11000"
"17","BADAKHSHAN","1726","Kiran Wa Menjan","Kiran Wa Menjan","Kiran Wa Munjan","کرا ن ومنجان","د کرا ن و منجان ","10394","10394","10394","10394","9880","9880","9880","12000","12000","14700"
"17","BADAKHSHAN","1727","Darwaz-e-Bala","Darwaz-e- Bala ( Nesay) [s/b Mamay]","Darwaz-e-Bala","دروازبالا","د دروازبالا","25278","25278","25278","25278","24028","24028","24028","33000","33000","37500"
"17","BADAKHSHAN","1728","Wakhan","Wakhan","Wakhan","واخان","د واخان ","16296","16296","16296","16296","15490","15490","15490","19000","19000","10900"
"18","TAKHAR","1801","Taluqan","Takhar  Center (Taluqan)","Taluqan","تالقان","تالقان","248830","248830","248830","248830","235726","235726","235726","269000","269000","338000"
"18","TAKHAR","1802","Hazar Sumuch","Hazar Sumuch","Hazar Sumuch","هزار سموچ","د هزار سموچ ","15013","15013","15013","15013","14270","14270","14270","24000","24000","28600"
"18","TAKHAR","1803","Baharak","Baharak","Baharak","بهارک","د بهارک ","33746","33746","33746","33746","32078","32078","32078","46000","46000","48200"
"18","TAKHAR","1804","Bangi","Bangi","Bangi","بنگی","د بنگی ","38367","38367","38367","38367","36470","36470","36470","45000","45000","61400"
"18","TAKHAR","1805","Chal","Chal","Chal","چال","د چال ","30796","30796","30796","30796","29273","29273","29273","32000","32000","46200"
"18","TAKHAR","1806","Namak Ab","Namak Ab","Namak Ab","نمک آب","د نمک آب ","13344","13344","13344","13344","12685","12685","12685","15000","15000","42400"
"18","TAKHAR","1807","Kalafgan","Kalafgan","Kalafgan","کلفگان","د کلفگان ","38494","38494","38494","38494","36592","36592","36592","43000","43000","63700"
"18","TAKHAR","1808","Farkhar","Farkhar","Farkhar","فرخار","د فرخار ","51198","51198","51198","51198","48637","48637","48637","58000","58000","55700"
"18","TAKHAR","1809","Khwaja Ghar","Khwaja Ghar","Khwaja Ghar","خواجه غار","د خواجه غار ","73426","73426","73426","73426","69720","69720","69720","82000","82000","75900"
"18","TAKHAR","1810","Rustaq","Rustaq","Rustaq","رستاق","د رستاق ","179591","179591","179591","179591","170572","170572","170572","194000","194000","315000"
"18","TAKHAR","1811","Eshkamesh","Eshkamesh","Ishkamish","اشکمش","د اشکمش ","64415","64415","64415","64415","61230","61230","61230","74000","74000","76800"
"18","TAKHAR","1812","Dashti Qala","Dashti Qala","Dasht-e Qal'ah","دشت قلعه","د دشت قلعه ","34902","34902","34902","34902","33176","33176","33176","41000","41000","79300"
"18","TAKHAR","1813","Warsaj","Warsaj","Warsaj","ورسج","د ورسج ","41446","41446","41446","41446","39397","39397","39397","46000","46000","44000"
"18","TAKHAR","1814","Khwaja Bahawuddin","Khwaja Bahawuddin","Khwaja Bahawuddin","خواجه بهاوالدین","د خواجه بهاوالدين ","25406","25406","25406","25406","24150","24150","24150","29000","29000","37200"
"18","TAKHAR","1815","Darqad","Darqad","Darqad","درقد","د درقد ","29384","29384","29384","29384","27932","27932","27932","33000","33000","81500"
"18","TAKHAR","1816","Chahab","Chahab","Chah Ab","چاه آب","د چاه آب ","86587","86587","86587","86587","82044","82044","82044","96000","96000","107000"
"18","TAKHAR","1817","Yangi Qala","Yangi Qala","Yangi Qal'ah","ینگی قلعه","د ينگی قلعه ","48907","48907","48907","48907","46384","46384","46384","55000","55000","69600"
"19","KUNDUZ","1901","Kunduz","Kunduz Center (Kunduz)","Kunduz","کندز","کندز","347765","347765","358102","358102","323956","333782","333782","397000","397000","298000"
"19","KUNDUZ","1902","Chahar Darah","Chahar Darah","Chahar Darah","چهاردره","د چهاردرى ","80196","80196","80196","80196","76232","76232","76232","89000","89000","74600"
"19","KUNDUZ","1903","Ali Abad","Ali Abad","Aliabad","علی آباد","د علی آباد ","51455","51455","51455","51455","48910","48910","48910","60000","60000","67500"
"19","KUNDUZ","1904","Khan Abad","Khan Abad","Khanabad","خان آباد","د خان آباد ","150544","150544","177173","177173","142646","167960","167960","190000","190000","163000"
"19","KUNDUZ","1905","Imam Sahib","Hazrati Imam Sahib","Imam Sahib","حضرت امام صاحب","د حضرت امام صاحب ","220256","220256","254998","254998","208981","242005","242005","287000","287000","362000"
"19","KUNDUZ","1906","Dasht-e-Archi","Dasht-e- Archi","Dasht-e Archi","دشت ارچی","د دشت ارچی ","92576","92576","92576","92576","87963","87963","87963","101000","101000","112000"
"19","KUNDUZ","1907","Qala-e-Zal","Qala -e-Zal","Qal'ah-ye Zal","قلعه ذال","د قلعۀ ذال ","76616","76616","76616","76616","72621","72621","72621","86000","86000","103000"
"19","KUNDUZ","1908","Calbad","Calbad",NA,"کلباد","د کلباد ","34742","34742",NA,NA,"33024",NA,NA,NA,NA,NA
"19","KUNDUZ","1909","Gultipa","Gultipa",NA,"گل تیپه","د گل تیپه ","10337","10337",NA,NA,"9826",NA,NA,NA,NA,NA
"19","KUNDUZ","1910","Aqtash","Akhtash ",NA,"اقتاش","د  اقتاش ","26629","26629",NA,NA,"25314",NA,NA,NA,NA,NA
"20","SAMANGAN","2001","Aybak","Samangan Center (Aybak)  ","Aibak","ایبک","ایبک","114061","114061","114061","114061","108098","108098","108098","126000","126000","104000"
"20","SAMANGAN","2002","Hazrat-e-Sultan","Hazrat -e-Sultan","Hazrat-e-Sultan","حضرت سلطان","د حضرت سلطان ","49786","49786","49786","49786","42934","42934","42934","71000","71000","90500"
"20","SAMANGAN","2003","Khuram Wa Sarbagh","Khuram Wa Sarbagh","Khuram wa Sar Bagh","خرم و سارباغ","د خرم و سارباغ ","78014","78014","78014","78014","41348","41348","41348","48000","48000","57700"
"20","SAMANGAN","2004","Feroz Nakhcheer","Feroz  Nakhcheer","Fayroz Nakhchir","فیروز نخچیر","د فيروز نخچير","14243","14243","14243","14243","13539","13539","13539","16000","16000","18500"
"20","SAMANGAN","2005","Rui-Do-Ab","Rui- Do- Ab","Ruy Do Ab","روی دواب","د روي دوآب ","70573","70573","70573","70573","47325","47325","47325","56000","56000","53100"
"20","SAMANGAN","2006","Dara-e-Soof-i-Payin","Dara -e-soof-i-Payin","Darah-ye-Suf-e Pa'in","دره صوف پائین","د درۀ صوف پائين ","43499","43499","43499","43499","74159","74159","74159","70000","70000","74900"
"20","SAMANGAN","2007","Dara-e-Soof-e-Bala","Dara -e-soof-e- Bala","Darah-ye-Suf-e Bala","دره صوف بالا","د درۀ صوف بالا ","45167","45167","45167","45167","67084","67084","67084","77000","77000","76100"
"21","BALKH","2101","Mazar-e-Sharif","Balkh Center (Mazar-e- sharif)","Mazar-e-Sharif","مزار شریف","مزار شریف","454457","454457","454457","454457","415053","415053","415053","448000","448000","242000"
"21","BALKH","2102","Nahri Shahi","Nahri Shahi","Nahr-e Shahi","ولسوا لی نهر شاهی","د نهر شاهی ","49016","49016","49016","49016","46593","46593","46593","96000","96000","254000"
"21","BALKH","2103","Dehdadi","Dehdadi","Dehdadi","دهدادی","د دهدادی ","73652","73652","73652","73652","70012","70012","70012","82000","82000","77600"
"21","BALKH","2104","Char Kent","Char kent","Chahar Kent","چارکنت","د چارکنت ","48502","48502","48502","48502","46105","46105","46105","53000","53000","46900"
"21","BALKH","2105","Marmul","Marmul","Marmul","مارمل","د مارمل ","12447","12447","12447","12447","11832","11832","11832","14000","14000","14300"
"21","BALKH","2106","Balkh","Balkh","Balkh","بلخ","د بلخ ","131218","131218","131218","131218","124558","124558","124558","149000","149000","107000"
"21","BALKH","2107","Sholgara","Sholgara","Sholgarah","شولگره","د شولگرى ","124697","124697","124697","124697","118418","118418","118418","141000","141000","140000"
"21","BALKH","2108","Chimtal","Chimtal","Chimtal","چمتال","د چمتال ","100086","100086","100086","100086","95138","95138","95138","114000","114000","115000"
"21","BALKH","2109","Dawlat Abad","Dawlat Abad","Dowlatabad","دولت اباد","د دولت آباد ","114853","114853","114853","114853","109057","109057","109057","127000","127000","127000"
"21","BALKH","2110","Khulm","Khulm","Khulm","خلم","د خلم ","79471","79471","79471","79471","74990","74990","74990","87000","87000","82000"
"21","BALKH","2111","Char Bolak","Char Bolak","Chahar Bolak","چار بولک","د چار بولک ","88408","88408","88408","88408","84038","84038","84038","100000","100000","95500"
"21","BALKH","2112","Shortepa","Shortepa","Shortepah","شورتیپه","د شورتيپى ","43243","43243","43243","43243","41104","41104","41104","48000","48000","78500"
"21","BALKH","2113","Kaldar","Kaldar","Kaldar","کلدار","د کلدار ","21814","21814","21814","21814","20736","20736","20736","14000","14000","40500"
"21","BALKH","2114","Kishindeh","Kishindeh","Kishindeh","کشنده","د کشندى ","53122","53122","53122","53122","50496","50496","50496","59000","59000","77100"
"21","BALKH","2115","Zari","Zari","Zari","زاری","د زاری ","47861","47861","47861","47861","45496","45496","45496","53000","53000","67300"
"22","SARIPUL","2201","Sar-e-Pul","Saripul Center (Sar-e-Pul)","Sar-e Pul","سرپل","سرپل","170499","170499","170499","170499","161735","161735","161735","192000","192000","176000"
"22","SARIPUL","2202","Sayyad","Sayyad","Sayad","صیاد","د صياد ","59538","59538","59538","59538","56595","56595","56595","67000","67000","79000"
"22","SARIPUL","2203","Kohistanat","Kohistanat","Kohistanat","کوهستانات","د کوهستانات ","87382","87382","87382","87382","83063","83063","83063","99000","99000","146000"
"22","SARIPUL","2204","Sozma Qala","Sozma Qala","Sozmah Qal'ah","سوزمه قلعه","د سوزمه قلعه ","54020","54020","54020","54020","51350","51350","51350","63000","63000","63200"
"22","SARIPUL","2205","Sancharak","Sancharak","Sancharak","سانچارک","د سانچارک ","110932","110932","110932","110932","105306","105306","105306","123000","123000","97400"
"22","SARIPUL","2206","Gosfandi","Gosfandi","Gosfandi","گوسفندی","د گوسفندی ","61847","61847","61847","61847","58790","58790","58790","69000","69000","85800"
"22","SARIPUL","2207","Balkhab","Balkhab","Balkhab","بلخا ب","د بلخا ب ","54919","54919","54919","54919","52204","52204","52204","62000","62000","60100"
"23","GHOR","2301","Chighcheran","Ghor  Center (Chighcheran)","Chaghcharan","چغچران","چغچران","148234","148234","148234","148234","140829","140829","140829","166000","166000","195000"
"23","GHOR","2302","Duleena","Duleena","Do Lainah","دولینه","د دولينه ","39392","39392","39392","39392","37445","37445","37445","44000","44000","57600"
"23","GHOR","2303","Dawlatyar","Dawlatyar","Dowlatyar","دولتیار","د دولتيار ","35672","35672","35672","35672","33908","33908","33908","42000","42000","49300"
"23","GHOR","2304","Char Sada","Char Sada","Chahar Sadah","چارصده","د چارصدى ","29898","29898","29898","29898","28420","28420","28420","32000","32000","45000"
"23","GHOR","2305","Pasaband","Pasaband","Pasaband","پسا بند","د پسا بند ","103550","103550","103550","103550","98431","98431","98431","116000","116000","89200"
"23","GHOR","2306","Shahrak","Shahrak","Shahrak","شهرک","د شهرک ","65311","65311","65311","65311","62083","62083","62083","73000","73000","103000"
"23","GHOR","2307","Lal Wa SarJangal","Lal Wa SarJangal","La'l wa SarJangal","لعل و سر جنگل","د لعل و سر جنگل ","122285","122285","122285","122285","116238","116238","116238","136000","136000","64500"
"23","GHOR","2308","Taywara","Taywara","Taywarah","تیوره","د تيورى ","99828","99828","99828","99828","94893","94893","94893","112000","112000","148000"
"23","GHOR","2309","Tulak","Tulak","Tulak","تولک","د تولک ","56202","56202","56202","56202","53424","53424","53424","63000","63000","85100"
"23","GHOR","2310","Saghar","Saghar","Saghar","ساغر","د ساغر ","37852","37852","37852","37852","35982","35982","35982","42000","42000","59000"
"24","DAIKUNDI","2401","Nili","Daykundi Center (Nili)","Nili","نیلی","نیلی","41367","41367","41367","41367","42324","42324","42324","50000","50000","40200"
"24","DAIKUNDI","2402","Shahristan","Shahristan","Shahristan","شهرستان","د شهرستان ","77980","77980","77980","77980","69036","69036","69036","81000","81000","86300"
"24","DAIKUNDI","2403","Ishterlai","Ishterlai","Ishterlay","ولسوالیاشترلی","د  اشترلی ","59082","59082","59082","59082","49398","49398","49398","59000","59000","57900"
"24","DAIKUNDI","2404","Khedir","Khedir","Khedir","خدیر","د خدير ","51607","51607","51607","51607","48423","48423","48423","55000","55000","37300"
"24","DAIKUNDI","2405","Giti","Giti","Gayti","گیتی","د گيتی ","54506","54506","54506","54506","34762","34762","34762","43000","43000","60400"
"24","DAIKUNDI","2406","Miramor","Miramor","Mir Amor","میرامور","د ميرامور ","83081","83081","83081","83081","65011","65011","65011","76000","76000","91000"
"24","DAIKUNDI","2407","Sang-e-Takht","Sang -e- Takht","Sang-e Takht","سنگ تخت","د سنگ تخت ","57023","57023","57023","57023","52569","52569","52569","62000","62000","37700"
"24","DAIKUNDI","2408","Kejran","Kejran","Kejran","کجران","د کجران ","35795","35795","35795","35795","36348","36348","36348","42000","42000","43900"
"24","DAIKUNDI","2409","Patoo","Patoo",NA,"پاتو","د گيزاب ","38399","38399",NA,NA,"0",NA,NA,NA,NA,NA
"25","UROZGAN","2501","Tirinkot","Urozgan Center (Tirinkot)","Tirin Kot","انتخاب کردن","انتخاب کردن","112283","112283","112283","112283","106657","106657","106657","125000","125000","147000"
"25","UROZGAN","2502","Dehraoud","Dehraoud","Deh Rawud","دهراود","د دهراود ","66797","66797","66797","66797","63457","63457","63457","75000","75000","86400"
"25","UROZGAN","2503","Chora","Chora","Chorah","چوره","د چوره ","55818","55818","55818","69804","53057","53057","66352","46000","78000","65700"
"25","UROZGAN","2504","Shahidi Hassas","Shahidhassas","Shahidi Hassas","شهید حساس","د شهيد حساس ","64413","64413","64413","64413","61230","61230","61230","72000","72000","74900"
"25","UROZGAN","2505","Khas Urozgan","Khas Urozgan","Khas Uruzgan","خاص ارزگان","د خاص ارزگان ","61719","61719","61719","61719","58668","58668","58668","69000","69000","65900"
"25","UROZGAN","2506","Gizab","Gizab","Gizab","گیزاب","د چنارتو ","45948","45948","84347","84347","70307","70307","70307","82000","82000","82500"
"25","UROZGAN","2507","Chinarto","Chinarto","Chinartu","چینارتو","د چنارتو","13986","13986","13986",NA,"13295","13295",NA,"32000",NA,NA
"26","ZABUL","2601","Qalat","Zabul Center (Qalat)","Qalat","قلا ت","قلا ت","43230","43230","43230","43230","36951","36951","36951","43000","43000","59100"
"26","ZABUL","2602","Tarnak wa Jaldak","Tarang Wa Jaldak","Tarnek wa Jaldak","ولسوالیتر نگ و جلدک","د تر نگ و جلدک ","21454","21454","21454","21454","17808","17808","17808","22000","22000","25100"
"26","ZABUL","2603","Shinkai","Shinkai","Shinkai","شینکی","د شينکی ","30821","30821","30821","30821","24394","24394","24394","29000","29000","29300"
"26","ZABUL","2604","Mizan","Mizan","Mizan","میزان","د ميزان ","20883","20883","20883","20883","14270","14270","14270","17000","17000","25800"
"26","ZABUL","2605","Arghandab","Arghandab","Arghandab","ارغنداب","د ارغنداب ","35671","35671","35671","35671","33908","33908","33908","40000","40000","38100"
"26","ZABUL","2606","Shah Joi","Shah Joi","Shah Joi","شاه جوی","د شاه جوی ","77157","77157","77157","77157","60620","60620","60620","71000","71000","72500"
"26","ZABUL","2607","Daichopan","Daichopan","Daichopan","دایچوپان","د دايچوپان ","42986","42986","42986","42986","40861","40861","40861","48000","48000","36700"
"26","ZABUL","2608","Atghar","Atghar","Atghar","اتغر","د اتغر ","13578","13578","13578","13578","9026","9026","9026","11000","11000","12600"
"26","ZABUL","2609","Naw Bahar","Naw Bahar","Now Bahar","نو بهار","د نو بهار ","23694","23694","23694","23694","19516","19516","19516","23000","23000","19100"
"26","ZABUL","2610","Shemel Zayi","Shemel Zayi","Shamulzai","شمل زائی","د شمل زائی ","35266","35266","35266","35266","26834","26834","26834","32000","32000","33300"
