2018_IEC_province_code,2012_AGCHO_province_code,2010_IEC_province_code,2010_IEC_district_name_eng,2010_IEC_district_code,2010_IEC_district_code_matched_to_2012_AGCHO_district_code,2010_IEC_district_code_matched_to_2018_IEC_district_code,2012_AGCHO_district_name_eng,2012_AGCHO_district_code,2012_AGCHO_district_code_matched_to_2018_IEC_district_code,2018_IEC_district_name_eng,2018_IEC_district_code,district_name_dari,district_name_pashto,alternate_dari_pashto,district_description_via_Map_Sync_Project
31,29,23,MUQUR (BADGHIS),2302,2902,3103,Muqur,2902,3103,Muqur,3103,مقر,مقر,,"Muqur, Moqur, Moqor.  (There is also a Moqur district in Ghazni.)"
31,29,23,AB KAMARI,2303,2903,3102,Abkamari,2903,3102,Ab Kamari,3102,آب کمری,آب کمری,,"Ab Kamari, Ab-e Kamari, Abkamari."
31,29,23,QADIS,2304,2904,3104,Qadis,2904,3104,Qades,3104,قادس,قادس,,Qadis.  (Some consider Dara-e Bom to be a district.  It is included in Qadis here.)
31,29,23,JAWAND,2305,2905,3106,Jawand,2905,3106,Jawand,3106,جوند,جون,,"Jawand, Jwand."
31,29,23,GHORMACH,2306,2907,3107,Ghormach,2907,3107,Ghormach,3107,غور ماچ,غور ماچ,,"Ghormach, Ghormuch.  (All of the district sets presented here list Ghormach in Badghis.  The IDLG, along with many news sources, report it as part of Faryab.) "
31,29,23,MURGHAB,2307,2906,3105,Balamurghab,2906,3105,Murghab,3105,یمگان,مرغاب,بالا مرغاب,"Murghab, Bala Murghab, Balamerghab."
9,9,16,PROVINCIAL CENTER (PUL-I-KHUMRI),1601,901,901,Pul-e-khumri,901,901,Pul-e-Khumri,901,پلخمری,پلخمری,,"Pul-i-Khumri, Pul-e-Khumri."
9,9,16,BAGHLAN JADEED,1602,902,905,Baghlan-e-Jadid,902,905,Baghlan-e-Jadid,905,بغلان جدید,بغلان جدي,,"Baghlan-e-Jadeed, Baghlani Markazi, Baghlan Markazi.  (There was once a ""Baghlan"" district.  It is now part of what all of these sets report as Baghlan-e-Jadeed.)"
9,9,16,DHANA-I-GHORI,1603,903,902,Dahana-e-Ghori,903,902,Dahana-e-Ghori,902,دهنه غوری,دهنه غوری,,"Dahana-e-Ghuri, Dahanah-ye Ghori, Dahana-e-Ghori, Dand-e Ghor."
9,9,16,DOOSHI,1604,904,903,Doshi,904,903,Doshi,903,دوشی,دوشی,,"Dushi, Doshi."
9,9,16,KHENJAN,1605,907,906,Khenjan,907,906,Khinjan,906,خنجان,خنجان,,"Khinjan, Khenjan."
9,9,16,BANO ANDARAB,1606,908,907,Andarab,908,907,Andarab,907,اندراب,اندراب,,"Andarab, Bano Andarab."
9,9,16,NAHREEN,1607,905,904,Nahrin,905,904,Nahren,904,نهرین,نهرين,,"Nahreen, Nahrin, Narine."
9,9,16,BORKA,1608,910,910,Burka,910,910,Borka,910,برکه,برکه,,"Burka, Barka."
9,9,16,TALA-O-BARFAK,1609,906,911,Tala wa Barfak,906,911,Tala Wa Barfak,911,تاله وبر فک,تاله وبر فک,,"Tala Wa Barfak, Talah wa Barfak, Tala Barfak."
9,9,16,PUL-I-HESAR,1610,911,912,Pul-e-Hesar,911,912,Pul-e-Hisar,912,پل حصار,پل حصار,,"Pul-e-Hisar, Pul-i Hesar, Pul-e Hesar, Pule Hisar."
9,9,16,DEHE SALAH,1611,912,908,Dehsalah,912,908,Deh Salah,908,ده صلاح,ده صلاح,,"Deh Salah, Dehsalah, Deh-e Salah."
9,9,16,JELGA (KHWAJA HEJRAN),1612,909,909,Khwajahejran,909,909,Khwaja Hijran,909,خواجه هجران,خواجه هجران,جلگه,"Khwaja Hejran, Jalga, Khwajahejran, Khwajah Higran."
9,9,16,KHOST-O-FERENG,1613,913,913,Khost Wa Fereng,913,913,Khost Wa Firing,913,خوست و فرنگ,خوست و فرنگ,,"Khost Wa Firing, Khost Wa Fereng, Khost Ferent, Khost.  (Khost Wa Firing is not the same as Firing Wa Gharu of Baghlan.)"
9,9,16,FRENG-GHARO,1614,915,915,Fereng Wa Gharu,915,915,Firing Gharo,915,فرنگ و غارو,فرنگ وغارو,,"Firing Wa Gharu, Fereng Wa Gharu, Farang wa Gharu, Farang."
9,9,16,GOZAR-GAHE-NOOR,1615,914,914,Guzargah-e-Nur,914,914,Guzargah-e-Nor,914,گذرگاه نور,گذرگاه نور,,"Gozargah-e-Noor, Guzargah-e- Nur."
21,18,19,PROVINCIAL CENTER (MAZAR SHARIF),1901,1801,2101,Mazar-e-Sharif,1801,2101,Mazar-e-Sharif,2101,مزار شریف,مزار شریف,,"Mazar-e-Sharif, Mazar-i-Sharif, Mazar."
21,18,19,DEHDADI,1902,1806,2103,Dehdadi,1806,2103,Dehdadi,2103,دهدادی,دهدادی,,"Dehdadi, Dihdadi."
21,18,19,NAHR-E-SHAHI,1903,1802,2102,Nahr-e-Shahi,1802,2102,Nahr-e-Shahi,2102,نهر شاهی,نهر شاهی,,"Nahri Shahi, Nahr-e Shahi."
21,18,19,MARMOL,1904,1808,2105,Marmul,1808,2105,Marmul,2105,مارمل,مارمل,,Marmul.
21,18,19,KHOLM,1905,1809,2110,Khulm,1809,2110,Khulm,2110,خلم,خلم,,"Khulm, Khulam, Tashqurghan, Tash Qurghan."
21,18,19,KALDAR,1906,1810,2113,Kaldar,1810,2113,Kaldar,2113,کلدار,کلدار,,Kaldar.  (All three sets reported recognize Sharak-e-Hayratan as having been split from Kaldar.  The CSO 421 set (not listed here) shows Sharak-e-Hayratan as part of Kaldar.)
21,18,19,SHORTAPA,1907,1803,2112,Shortepa,1803,2112,Shortepa,2112,شورتیپه,شورتيپى,,"Shortepa, Shortepah, Shortipa."
21,18,19,DAWLATABAD,1908,1804,2109,Dawlatabad,1804,2109,Dawlatabad,2109,دولت اباد,دولت آبا,,"Dawlat Abad, Dawlatabad, Dolatabad.  (There is also a Dawlatabad in Faryab, and a Dawlatshah in Laghman, and a Dawlatyar in Ghor.)"
21,18,19,BALKH,1909,1805,2106,Balkh,1805,2106,Balkh,2106,بلخ,بلخ,,Balkh.
21,18,19,CHARBOLAK,1910,1812,2111,Charbulak,1812,2111,Char Bolak,2111,چار بولک,چار بولک,,"Char Bolak, Chahar Bulak, Charbulak."
21,18,19,CHAMTAL,1911,1813,2108,Chemtal,1813,2108,Chimtal,2108,چمتال,چمتال,,"Chimtal, Chemtal, Tchimtal."
21,18,19,SHOLGARA,1912,1814,2107,Sholgareh,1814,2107,Sholgareh,2107,شولگره,شولگرى,,"Sholgara, Sholgarah, Shulgara, Shulgar."
21,18,19,CHARKENT,1913,1807,2104,Charkent,1807,2104,Char Kint,2104,چارکنت,چارکنت,,"Char Kent, Charkent, Charkint, Chahar Kent, Char Kant."
21,18,19,KOSHENDAH,1914,1815,2114,Keshendeh,1815,2114,Kishindeh,2114,کشنده,کشندى,,"Kishindeh, Keshendeh, Kishindih."
21,18,19,ZAREE,1915,1816,2115,Zari,1816,2115,Zari,2115,زاری,زاری,,"Zari, Zaray."
21,18,19,NA,NA,1811,2116,Sharak-e-Hayratan,1811,2116,Sharak-e-Hayratan,2116,شرک حیرتان,شرک حیرتان,,"Sharak-e-Hairatan, Sharak-i-Hayratan.  (The 421 district set, not listed here, shows Sharak-e-Hairatan as part of Kaldar.)"
10,10,32,PROVINCE CENTER(MARKAZ-WOLLAYAT),3201,1001,1001,Bamyan,1001,1001,Bamyan,1001,بامیان,بامیان,,"Bamyan, Bamian."
10,10,32,SHEBAR,3202,1005,1002,Shibar,1005,1002,Shebar,1002,شیبر,شيبر,,"Shebar, Shibar, Shaybar, Shaibar."
