"electorate","constituency_code","province_code","province_name_eng","province_name_dari","province_name_pashto","candidate_code","ballot_position","candidate_gender","candidate_name_eng","candidate_name_dari","candidate_name_pashto","winner","results_date","results_status","votes"
"General","G-01","01","Kabul","کابل","کابل","1-1152-35",1,"M","Habibullah Zazai","حبیب الله ځاځی","حبیب الله ځاځی","NO","2018-11-23","Results Status : Uncertified",2605
"General","G-01","01","Kabul","کابل","کابل","1-1479-47",2,"M","Ghullam Hussain Naseri","غلام حسین ناصری","غلام حسین ناصری","YES","2018-11-23","Results Status : Uncertified",6470
"General","G-01","01","Kabul","کابل","کابل","1-1352-1058",3,"F","Farzana Rezaye","فرزانه رضایی","فرزانه رضایی","NO","2018-11-23","Results Status : Uncertified",208
"General","G-01","01","Kabul","کابل","کابل","1-1741-1070",4,"M","sayed Shah Mahmood Malekzadah","سید شاه محمود ملک زاده ","سید شاه محمود ملک زاده ","NO","2018-11-23","Results Status : Uncertified",157
"General","G-01","01","Kabul","کابل","کابل","1-1652-63",5,"M","Alhaj Khan Lala Shirzai","الحاج خان لالا شیرزی ","الحاج خان لالا شیرزی ","NO","2018-11-23","Results Status : Uncertified",355
"General","G-01","01","Kabul","کابل","کابل","1-1806-1167",6,"F","Shokria Jalalzai","شکریه جلالزی ","شکریه جلالزی ","NO","2018-11-23","Results Status : Uncertified",309
"General","G-01","01","Kabul","کابل","کابل","1-1061-18",7,"M","Eng. Najibullah Salamzai","انجنیر نجیب الله سلام زی","انجنیر نجیب الله سلام زی","NO","2018-11-23","Results Status : Uncertified",1118
"General","G-01","01","Kabul","کابل","کابل","1-1221-11",8,"M","Mohammad Yousuf Rezaye","محمد  یوسف رضایی","محمد  یوسف رضایی","NO","2018-11-23","Results Status : Uncertified",851
"General","G-01","01","Kabul","کابل","کابل","1-1663-170",9,"M","Shabir Ahmad Ibrahimi","شبیر احمد ابراهیمی","شبیر احمد ابراهیمی","NO","2018-11-23","Results Status : Uncertified",382
"General","G-01","01","Kabul","کابل","کابل","1-1405-112",10,"M","Abdul Ghafar Faizi Zadran","عبدالغفار فیضی  ځدران ","عبدالغفار فیضی  ځدران ","NO","2018-11-23","Results Status : Uncertified",171
