"constituency_code","province_code","province_name_eng","province_name_dari","province_name_pashto","general_seats","female_seats","province_code_2018","constituency_code_2018","constituency_code_2005","ocha_region_eng","ocha_region_dari","ocha_region_code"
"G-01","01","Kabul","کابل","کابل",24,9,"01","G-01","G-01","Capital","مرکزی حوزه","CR"
"G-02","02","Kapisa","کاپیسا","کاپيسا",3,1,"02","G-02","G-02","Capital","مرکزی حوزه","CR"
"G-03","03","Parwan","پروان","پروان",4,2,"03","G-03","G-03","Capital","مرکزی حوزه","CR"
"G-04","04","Wardak","وردک","وردک",3,2,"04","G-04","G-04","Capital","مرکزی حوزه","CR"
"G-05","05","Logar","لوگر","لوگر",3,1,"05","G-05","G-05","Capital","مرکزی حوزه","CR"
"G-06","06","Ghazni","غزنی","غزنی",8,3,"11","G-11","G-06","South Eastern","جنوب ختیځه حوزه","SE"
"G-07","07","Paktika","پکتیکا","پکتيکا",3,1,"12","G-12","G-07","South Eastern","جنوب ختیځه حوزه","SE"
"G-08","08","Paktia","پکتیا","پکتيا",4,1,"13","G-13","G-08","South Eastern","جنوب ختیځه حوزه","SE"
"G-09","09","Khost","خوست","خوست",4,1,"14","G-14","G-09","South Eastern","جنوب ختیځه حوزه","SE"
"G-10","10","Nangerhar","ننگرهار","ننگرهار",10,4,"06","G-06","G-10","Eastern","ختیځه حوزه","ER"
"G-11","11","Kunarha","کنرها","کنرها",3,1,"15","G-15","G-11","Eastern","ختیځه حوزه","ER"
"G-12","12","Laghman","لغمان","لغمان",3,1,"07","G-07","G-12","Eastern","ختیځه حوزه","ER"
"G-13","13","Nooristan","نورستان","نورستان",1,1,"16","G-16","G-13","Eastern","ختیځه حوزه","ER"
"G-14","14","Badakhshan","بدخشان","بدخشان",7,2,"17","G-17","G-14","North Eastern","سهیل ختیځه حوزه","NE"
"G-15","15","Takhar","تخار","تخار",7,2,"18","G-18","G-15","North Eastern","سهیل ختیځه حوزه","NE"
"G-16","16","Baghlan","بغلان","بغلان",6,2,"09","G-09","G-16","North Eastern","سهیل ختیځه حوزه","NE"
"G-17","17","Kunduz","کندز","کندز",7,2,"19","G-19","G-17","North Eastern","سهیل ختیځه حوزه","NE"
"G-18","18","Samangan","سمنگان","سمنگان",3,1,"20","G-20","G-18","Northern","سهیلی حوزه","NR"
"G-19","19","Balkh","بلخ","بلخ",8,3,"21","G-21","G-19","Northern","سهیلی حوزه","NR"
"G-20","20","Juzjan","جوزجان","جوزجان",4,1,"28","G-28","G-20","Northern","سهیلی حوزه","NR"
"G-21","21","Sar-i-Pul","سرپل","سرپل",4,1,"22","G-22","G-21","Northern","سهیلی حوزه","NR"
"G-22","22","Faryab","فاریاب","فارياب",6,3,"29","G-29","G-22","Northern","سهیلی حوزه","NR"
"G-23","23","Badghis","بادغیس","بادغيس",3,1,"31","G-31","G-23","Western","لویدیځه حوزه","WR"
"G-24","24","Herat","هرات","هرات",12,5,"32","G-32","G-24","Western","لویدیځه حوزه","WR"
"G-25","25","Farah","فراه","فراه",4,1,"33","G-33","G-25","Western","لویدیځه حوزه","WR"
"G-26","26","Nimroz","نیمروز","نيمروز",1,1,"34","G-34","G-26","Southern","جنوبی حوزه","SR"
"G-27","27","Helmand","هلمند","هلمند",6,2,"30","G-30","G-27","Southern","جنوبی حوزه","SR"
"G-28","28","Kandahar","کندهار","کندهار",8,3,"27","G-27","G-28","Southern","جنوبی حوزه","SR"
"G-29","29","Zabul","زابل","زابل",2,1,"26","G-26","G-29","Southern","جنوبی حوزه","SR"
"G-30","30","Urozgan","ارزگان","ارزگان",2,1,"25","G-25","G-30","Southern","جنوبی حوزه","SR"
"G-31","31","Ghor","غور","غور",4,2,"23","G-23","G-31","Western","لویدیځه حوزه","WR"
"G-32","32","Bamyan","بامیان","باميان",3,1,"10","G-10","G-32","Central Highland","لوړه مرکزی حوزه","CH"
"G-33","33","Panjshir","پنجشیر","پنجشیر",1,1,"08","G-08","G-33","Capital","مرکزی حوزه","CR"
"G-34","34","Daikondi","دایکندی","دایکندی",3,1,"24","G-24","G-34","Central Highland","لوړه مرکزی حوزه","CH"
"K-01",NA,"Kuchi","کوچی","کوچی",7,3,NA,"K-01","K-01",NA,NA,NA
