"candidate_code","candidate_name_dari","candidate_party_dari","candidate_gender","province_code","province_name_eng","candidate_party_transliterated","candidate_party_eng","notes"
NA,"عبدهللا ساحل","مستقل / خپلواک","M","19","Kunduz","","Independent","MISSING"
NA,"الحاج ریس خیرهللا مصطفی","مستقل / خپلواک","M","20","Samangan","","Independent","MISSING"
NA,"محمدآصف عظیمی","مستقل / خپلواک","M","20","Samangan","","Independent","MISSING"
NA,"معصومه خاوری","حزب وحدت اسالمی مردم افغانستان","F","20","Samangan","","","MISSING"
NA,"اسدهللا شریفی","مستقل / خپلواک","M","21","Balkh","","Independent","MISSING"
NA,"رسول","مستقل / خپلواک","M","21","Balkh","","Independent","MISSING"
NA,"سمیرا خیر خوا","مستقل / خپلواک","F","21","Balkh","","Independent","MISSING"
NA,"عبدال اسرار تاشغرانی","مستقل / خپلواک","M","21","Balkh","","Independent","MISSING"
NA,"عبدالبصیر خدنگ","مستقل / خپلواک","M","21","Balkh","","Independent","MISSING"
NA,"مرضیه مقصودی","مستقل / خپلواک","F","21","Balkh","","Independent","MISSING"
NA,"غالم نبی ساقی","مستقل / خپلواک","M","23","Ghor","","Independent","MISSING"
NA,"امان هللا هوتکی","مستقل / خپلواک","M","25","Uruzgan","","Independent","MISSING"
NA,"حمد شاه شمس","مستقل / خپلواک","M","25","Uruzgan","","Independent","MISSING"
NA,"محیب هللا مطیع","مستقل / خپلواک","M","25","Uruzgan","","Independent","MISSING"
NA,"محمدناصر مبارز","مستقل / خپلواک","M","27","Kandahar","","Independent","MISSING"
NA,"سید احسان هللا هاشمی","مستقل / خپلواک","M","29","Faryab","","Independent","MISSING"
NA,"غالم سخی نوید","حزب جمعیت اسالمی افغانستان","M","29","Faryab","","","MISSING"
NA,"حاجی صالح محمد خان اڅکزی","مستقل / خپلواک","M","30","Helmand","","Independent","MISSING"
NA,"سید طالب موسوی","مستقل / خپلواک","M","30","Helmand","","Independent","MISSING"
NA,"عبدالجبار قهرمان","مستقل / خپلواک","M","30","Helmand","","Independent","MISSING"
NA,"حاجی عبدالرازق عاطف","مستقل / خپلواک","M","31","Badghis ","","Independent","MISSING"
NA,"صالح محمد مالملنگ","مستقل / خپلواک","M","31","Badghis ","","Independent","MISSING"
NA,"فریبا رحمانی","مستقل / خپلواک","F","31","Badghis ","","Independent","MISSING"
NA,"محمد یعقوب شمس","مستقل / خپلواک","M","31","Badghis ","","Independent","MISSING"
NA,"احمد شاه سادات الحسینی","مستقل / خپلواک","M","32","Herat","","Independent","MISSING"
NA,"حاجی حبیب هللا غوریانی","مستقل / خپلواک","M","32","Herat","","Independent","MISSING"
NA,"الحاج عبدالکریم شفق","جنبش ملی اسالمی","M","33","Farah","Junbesh-e-Milli","National Islamic Movement of Afghanistan","MISSING"
NA,"الحاج مولوی تره خیل محمدی","مستقل / خپلواک","M","35","Kuchi","","Independent",""
NA,"بی بی لیلمه","مستقل / خپلواک","F","35","Kuchi","","Independent",""
NA,"پاچاه احمدزی","حزب اسالمی افغانستان","M","35","Kuchi","","",""
NA,"حاجی شیر علی احمدزی","مستقل / خپلواک","M","35","Kuchi","","Independent",""
NA,"زرداد فریادی","مستقل / خپلواک","M","35","Kuchi","","Independent",""
NA,"محمد صدیق کوچی","مستقل / خپلواک","M","35","Kuchi","","Independent",""
NA,"محمد موسی ابراهیم خیل","مستقل / خپلواک","M","35","Kuchi","","Independent",""
NA,"مریم سلیمان خیل","مستقل / خپلواک","F","35","Kuchi","","Independent",""
NA,"میرویس حسین خیل","مستقل / خپلواک","M","35","Kuchi","","Independent",""
NA,"نسیمه نیازی","مستقل / خپلواک","F","35","Kuchi","","Independent",""
