candidate_code,still_missing,serial_number,ballot_position,candidate_name,candidate_name_dari,candidate_name_pashto,candidate_votes,vote_share,candidate_rank,results_date,results_status,candidate_id,electorate,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
1-2007-164,YES,633,634,Alhaj Sharifullah Kamawal,الحاج شریف الله کامه وال ,الحاج شریف الله کامه وال ,131,0.000196556,512,11/23/18,Results Status : Uncertified,2007-164,General,ملی باور,M,1,Kabul,,,Appeared in disqualified candidate page
1-1096-16,YES,151,151,Alhaj Shir Aqa Mohammadi,الحاج شیراقا محمدی,الحاج شیراقا محمدی,268,0.000402114,427,11/23/18,Results Status : Uncertified,1096-16,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1853-1060,YES,566,567,Alhaj Shirin Aqa Stanikzai,الحاج شیرین آقا ستانکزی,الحاج شیرین آقا ستانکزی,0,0,606,11/23/18,Results Status : Uncertified,1853-1060,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1877-1097,YES,366,367,Eng. Abdul Satar Azizi,انجنیر عبدالستار عزیزی,انجنیر عبدالستار عزیزی,152,0.000228065,497,11/23/18,Results Status : Uncertified,1877-1097,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1434-31,YES,550,551,Anisa Turk,انیسه ترک,انیسه ترک,172,0.000258073,480,11/23/18,Results Status : Uncertified,1434-31,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1662-212,YES,127,43,Bibi Lailuma,بی بی لیلمه,بی بی لیلمه,709,0.010665503,19,11/23/18,Results Status : Uncertified,1662-212,Kuchi,مستقل / خپلواک,F,35,Kuchi,,Independent,
1-1229-208,YES,123,42,Pachah Ahmadzai,پاچاه احمدزی,پاچاه احمدزی,263,0.003956315,30,11/23/18,Results Status : Uncertified,1229-208,Kuchi,حزب اسالمی افغانستان,M,35,Kuchi,,,
1-1199-17,YES,300,300,Phd. Lutfullah Safi,پوهاند لطف الله صافی ,پوهاند لطف الله صافی ,145,0.000217562,502,11/23/18,Results Status : Uncertified,1199-17,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1598-62,YES,326,326,Taj Mohammad Mujahid,تاج محمد مجاهد ,تاج محمد مجاهد ,3062,0.0045943,41,11/23/18,Results Status : Uncertified,1598-62,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1122-1084,YES,780,781,Taranum Sayedi,ترنم سیدی,ترنم سیدی,68,0.000102029,561,11/23/18,Results Status : Uncertified,1122-1084,General,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1425-48,YES,279,279,Gen. Khalil Rahman Aamel,جنرال خلیل  الرحمن عامل,جنرال خلیل  الرحمن عامل,433,0.000649684,342,11/23/18,Results Status : Uncertified,1425-48,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1523-104,YES,421,422,Haji Abdullah Mulla Brother,حاجی  عبدالله ملا برادر,حاجی  عبدالله ملا برادر,0,0,606,11/23/18,Results Status : Uncertified,1523-104,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1209-19,YES,353,354,Haji Hafizullah Jalili,حاجی حفیظ الله جلیلی,حاجی حفیظ الله جلیلی,4183,0.006276276,19,11/23/18,Results Status : Uncertified,1209-19,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1776-210,YES,129,44,Haji Khan Mohammad Ahmadzoi,حاجی خان محمد احمدزوی,حاجی خان محمد احمدزوی,222,0.003339551,36,11/23/18,Results Status : Uncertified,1776-210,Kuchi,مستقل,M,1,Kabul,,Independent,Appeared in Kabul disqualified candidate page
1-1564-34,YES,377,378,Haji Zadran Azizi,حاجی ځدران عزیزی,حاجی ځدران عزیزی,82,0.000123035,548,11/23/18,Results Status : Uncertified,1564-34,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1244-82,YES,660,661,Haji Gull Rahman Rahmani Mangal,حاجی گلرحمن رحمانی منگل,حاجی گلرحمن رحمانی منگل,476,0.000714202,320,11/23/18,Results Status : Uncertified,1244-82,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1571-42,YES,766,767,Habibullah Nemati,حبیب الله نعمتی,حبیب الله نعمتی,747,0.001120817,234,11/23/18,Results Status : Uncertified,1571-42,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1378-159,YES,204,204,Khaleqdad Balaaghi,خالقداد بلاغی ,خالقداد بلاغی ,13,1.95E-05,603,11/23/18,Results Status : Uncertified,1378-159,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1487-209,YES,428,429,Saranwal Rohullah Sakhizad,څارنوال روح الله سخی زاد,څارنوال روح الله سخی زاد,514,0.000771218,305,11/23/18,Results Status : Uncertified,1487-209,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1395-1072,YES,626,627,Dr. Ahmad Wahid Khalid,داکتر احمد وحید خالد ,داکتر احمد وحید خالد ,43,6.45E-05,584,11/23/18,Results Status : Uncertified,1395-1072,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1475-1103,YES,285,285,Dr. Sayed Jalil sayed,داکتر سید جلیل سید,داکتر سید جلیل سید,63,9.45E-05,565,11/23/18,Results Status : Uncertified,1475-1103,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1785-130,YES,349,349,Dr. Ziauddin Kamal ,داکتر ضیأالدین کمال ,داکتر ضیأالدین کمال ,370,0.000555157,371,11/23/18,Results Status : Uncertified,1785-130,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1481-144,YES,127,127,Dr. Abdul Satar Stanikzai,داکتر عبدالستار ستانکزی,داکتر عبدالستار ستانکزی,64,9.60E-05,564,11/23/18,Results Status : Uncertified,1481-144,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1512-131,YES,112,112,Dr. Wahidullah Ahmadzai,داکتر وحید الله احمدزی ,داکتر وحید الله احمدزی ,175,0.000262574,478,11/23/18,Results Status : Uncertified,1512-131,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1057-1095,YES,417,418,Dawood Maleyar Mohaiuddin ,داود ملیار محی الدین ,داود ملیار محی الدین ,7,1.05E-05,605,11/23/18,Results Status : Uncertified,1057-1095,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1083-51,YES,729,730,Drs. Frozan Fana,دکتورس فروزان فنا,دکتورس فروزان فنا,40,6.00E-05,586,11/23/18,Results Status : Uncertified,1083-51,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1046-55,YES,31,31,Razia Arefi,راضیه عارفی ,راضیه عارفی ,439,0.000658686,338,11/23/18,Results Status : Uncertified,1046-55,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1895-177,YES,138,138,sayed Ibrahim Hashemi,سید ابراهیم هاشیمی ,سید ابراهیم هاشیمی ,57,8.55E-05,571,11/23/18,Results Status : Uncertified,1895-177,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1123-129,YES,233,233,Sayed Ahmad Burhani,سید احمد برهانی,سید احمد برهانی,30,4.50E-05,593,11/23/18,Results Status : Uncertified,1123-129,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1202-58,YES,404,405,sayed Amanullah Amin,سید امان الله امین,سید امان الله امین,1244,0.001866528,143,11/23/18,Results Status : Uncertified,1202-58,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1060-1170,YES,755,756,Sayed Jawid Altaf,سید جاوید الطاف ,سید جاوید الطاف ,14,2.10E-05,602,11/23/18,Results Status : Uncertified,1060-1170,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1315-24,YES,17,17,Sayed Saifullah Sadat,سید سیف الله سادات,سید سیف الله سادات,117,0.00017555,521,11/23/18,Results Status : Uncertified,1315-24,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1098-175,YES,164,164,Sayed Aziz Ahmad Wardak,سید عزیز احمد وردک,سید عزیز احمد وردک,91,0.000136539,542,11/23/18,Results Status : Uncertified,1098-175,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1584-44,YES,245,245,Shakila Ibrahim,شکیلا ابراهیم ,شکیلا ابراهیم ,302,0.000453128,406,11/23/18,Results Status : Uncertified,1584-44,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1373-3061,YES,260,260,Shahla Naseri Barikzai,شهلا  ناصری بارکزی,شهلا  ناصری بارکزی,156,0.000234066,495,11/23/18,Results Status : Uncertified,1373-3061,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1792-203,YES,181,181,Sahebzada Mohammad Wali Mutaqi,صاحب زاده محمد ولی  متقی,صاحب زاده محمد ولی  متقی,37,5.55E-05,588,11/23/18,Results Status : Uncertified,1792-203,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1786-165,YES,111,111,Sediqa Popalzai,صدیقه پوپلزی,صدیقه پوپلزی,62,9.30E-05,566,11/23/18,Results Status : Uncertified,1786-165,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1100-1096,YES,569,570,Aalia Azimi,عالیه عظیمی,عالیه عظیمی,96,0.000144041,538,11/23/18,Results Status : Uncertified,1100-1096,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1379-1098,YES,372,373,Abdul Razaq Hakimi,عبداالرزاق  حکیمی ,عبداالرزاق  حکیمی ,98,0.000147042,537,11/23/18,Results Status : Uncertified,1379-1098,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1365-1108,YES,473,474,Abdul Khaibar Hotak,عبدالخبیر هوتک ,عبدالخبیر هوتک ,196,0.000294083,465,11/23/18,Results Status : Uncertified,1365-1108,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1870-143,YES,656,657,Abdul Wase Rasool,عبدالواسع رسول,عبدالواسع رسول,1606,0.002409682,110,11/23/18,Results Status : Uncertified,1870-143,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1108-215,YES,670,671,Abdul Wahab Kabuli,عبدالوهاب کابلی,عبدالوهاب کابلی,116,0.000174049,522,11/23/18,Results Status : Uncertified,1108-215,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1857-201,YES,716,717,Essa Mohammad Esmat Qane,عیسی محمد عصمت قانع,عیسی محمد عصمت قانع,84,0.000126036,546,11/23/18,Results Status : Uncertified,1857-201,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1897-183,YES,387,388,Ghullam Fardin Shaaba,غلام فردین شابه ,غلام فردین شابه ,40,6.00E-05,586,11/23/18,Results Status : Uncertified,1897-183,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1269-2,YES,478,479,Farah Diba Shahzad,فرح دیبا شهرزاد,فرح دیبا شهرزاد,125,0.000187553,515,11/23/18,Results Status : Uncertified,1269-2,General,مستقل,F,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1640-1102,YES,702,703,Qari Ahmad Reshad Khan Mamozai,قاری احمد رشاد خان مموزی,قاری احمد رشاد خان مموزی,297,0.000445626,408,11/23/18,Results Status : Uncertified,1640-1102,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1500-1164,YES,225,225,Qadam Ali Khadem,قدم علی خادم ,قدم علی خادم ,210,0.000315089,459,11/23/18,Results Status : Uncertified,1500-1164,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1476-1101,YES,590,591,Mohammad Mahdi Hussainyar,محمد  مهدی حسنیار,محمد  مهدی حسنیار,19,2.85E-05,600,11/23/18,Results Status : Uncertified,1476-1101,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1496-176,YES,95,95,Mohammad Ashraf Pirzad,محمد اشرف پیرزاد ,محمد اشرف پیرزاد ,109,0.000163546,526,11/23/18,Results Status : Uncertified,1496-176,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1423-99,YES,262,262,Mohammad Haidari,محمد حیدری ,محمد حیدری ,414,0.000621176,351,11/23/18,Results Status : Uncertified,1423-99,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1518-43,YES,760,761,Mohammad Dawood Waziri,محمد داود وزیری,محمد داود وزیری,77,0.000115533,553,11/23/18,Results Status : Uncertified,1518-43,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1417-1026,YES,16,6,Mohammad Sediq Kuchi,محمد صدیق کوچی ,محمد صدیق کوچی ,124,0.001865335,38,11/23/18,Results Status : Uncertified,1417-1026,Kuchi,مستقل / خپلواک,M,35,Kuchi,,Independent,
1-1097-198,YES,601,602,Mohammad Zia Yari,محمد ضیا یاری,محمد ضیا یاری,0,0,606,11/23/18,Results Status : Uncertified,1097-198,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1833-165,YES,602,603,Mohammad Essa Ahmadi,محمد عیسی احمد ی,محمد عیسی احمد ی,10,1.50E-05,604,11/23/18,Results Status : Uncertified,1833-165,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1567-23,YES,61,61,Mohammad Layeq Malekzadah,محمد لایق ملک زاده,محمد لایق ملک زاده,669,0.001003784,253,11/23/18,Results Status : Uncertified,1567-23,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1357-1082,YES,113,38,Mohammad Musa Ibrahimkhel,محمد موسی ابراهیم خیل ,محمد موسی ابراهیم خیل ,71,0.001068055,41,11/23/18,Results Status : Uncertified,1357-1082,Kuchi,مستقل / خپلواک,M,35,Kuchi,,Independent,
1-1449-128,YES,354,355,Mohammad Younus Wayar,محمد یونس ویاړ,محمد یونس ویاړ,142,0.00021306,505,11/23/18,Results Status : Uncertified,1449-128,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1054-1079,YES,565,566,Murtaza Ashraq,مرتضی اشراق,مرتضی اشراق,23,3.45E-05,597,11/23/18,Results Status : Uncertified,1054-1079,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
2-1397-22,YES,2,2,Abdul Zaher Hakimzadah,عبدالظاهر حکیم زاده,عبدالظاهر حکیم زاده,2327,0.058437971,4,11/23/18,Results Status : Uncertified,1397-22,General,مستقل,M,2,Kapisa,,Independent,Appeared in disqualified candidate page
2-1318-109,YES,14,14,Qazi Ahmadi Ahmadi,قاضی احمدی  احمدی,قاضی احمدی  احمدی,782,0.019638373,15,11/23/18,Results Status : Uncertified,1318-109,General,مستقل,M,2,Kapisa,,Independent,Appeared in disqualified candidate page
2-1305-123,YES,9,9,Alhaj Mohammad Masoom Khan Hashemi,الحاج محمدمعصوم خان هاشمی,الحاج محمدمعصوم خان هاشمی,711,0.017855349,16,11/23/18,Results Status : Uncertified,1305-123,General,مستقل,M,2,Kapisa,,Independent,Appeared in disqualified candidate page
2-1265-90,YES,30,30,Aaqel Khan Tagabi,عاقل خان تگابی ,عاقل خان تگابی ,101,0.002536414,34,11/23/18,Results Status : Uncertified,1265-90,General,مستقل,M,2,Kapisa,,Independent,Appeared in disqualified candidate page
3-1461-21,YES,6,6,Alhaj Nesaruddin Baryalai,الحاج نثارالدین بریالی ,الحاج نثارالدین بریالی ,2938,0.034062978,9,11/23/18,Results Status : Uncertified,1461-21,General,مستقل,M,3,Parwan,,Independent,Appeared in disqualified candidate page
3-1297-26,YES,15,15,Nargis Sayed,نرگس سید,نرگس سید,267,0.00309558,21,11/23/18,Results Status : Uncertified,1297-26,General,مستقل,F,3,Parwan,,Independent,Appeared in disqualified candidate page
4-1593-8,YES,7,8,Abdul Rahman Wardag,عبدالرحمن وردګ,عبدالرحمن وردګ,6893,0.117259799,2,11/23/18,Results Status : Uncertified,1593-8,General,مستقل,M,4,Wardak,,Independent,Appeared in disqualified candidate page
5-1545-1,YES,26,26,Abdul Latif Abaasi,عبدالطیف عباسی,عبدالطیف عباسی,336,0.015097052,23,11/23/18,Results Status : Uncertified,1545-1,General,مستقل,M,5,Logar,,Independent,Appeared in disqualified candidate page
5-1410-3,YES,19,19,Abdul Satar Mubarez,عبدالستار  مبارز,عبدالستار  مبارز,4,0.000179727,34,11/23/18,Results Status : Uncertified,1410-3,General,مستقل,M,5,Logar,,Independent,Appeared in disqualified candidate page
9-1029-47,YES,16,16,Alhaj Abdul Rahman,الحاج عبدالرحمن,الحاج عبدالرحمن,1411,0.011554493,29,11/23/18,Results Status : Uncertified,1029-47,General,مستقل,M,9,Baghlan,,Independent,Appeared in disqualified candidate page
9-1561-131,YES,31,31,Sardar Amanullah Ariaz,سردار امان الله آریاز,سردار امان الله آریاز,414,0.003390191,54,11/23/18,Results Status : Uncertified,1561-131,General,مستقل,M,9,Baghlan,,Independent,Appeared in disqualified candidate page
9-1049-130,YES,79,79,Nematullah Sarhadi,نعمت الله  سرحدی,نعمت الله  سرحدی,194,0.00158864,72,11/23/18,Results Status : Uncertified,1049-130,General,NA,M,9,Baghlan,,Independent,Appeared in disqualified candidate page
9-1349-230,YES,88,88,Gull Aziz Aimaq,گل عزیز ایماق,گل عزیز ایماق,46,0.000376688,81,11/23/18,Results Status : Uncertified,1349-230,General,مستقل,M,9,Baghlan,,Independent,Appeared in disqualified candidate page
10-1461-3,YES,1,1,Alhaj Zaheeruddin Jaan Agha,الحاج ظهیرالدین جان آغا,الحاج ظهیرالدین جان آغا,9945,0.079202638,2,11/23/18,Results Status : Uncertified,1461-3,General,مستقل / خپلواک,M,10,Bamyan,,Independent,
10-1266-23,YES,29,31,Alhaj Lft-Gen Muslim Aamed,الحاج تورنجنرال مسلم عامد,الحاج تورنجنرال مسلم عامد,7912,0.063011691,5,11/23/18,Results Status : Uncertified,1266-23,General,مستقل / خپلواک,M,10,Bamyan,,Independent,
10-1174-49,YES,24,26,Ahmad Hussain Ibrahimi,احمد حسین ابراهیمی,احمد حسین ابراهیمی,4686,0.037319614,12,11/23/18,Results Status : Uncertified,1174-49,General,حزب وحدت اسلامی افغانستان,M,10,Bamyan,,,
10-1253-34,YES,23,25,Alhaj Sayed Assadullah Jafari,الحاج سید اسدالله جعفری,الحاج سید اسدالله جعفری,1513,0.012049632,23,11/23/18,Results Status : Uncertified,1253-34,General,مستقل / خپلواک,M,10,Bamyan,,Independent,
10-1002-120,YES,12,14,Isshaq Zahak,اسحق ضحاک,اسحق ضحاک,248,0.001975088,36,11/23/18,Results Status : Uncertified,1002-120,General,مستقل / خپلواک,M,10,Bamyan,,Independent,
12-1613-43,YES,26,26,Mohammad Ismail Arian,محمد اسماعیل ارین,محمد اسماعیل ارین,1424,0.038601247,8,11/23/18,Results Status : Uncertified,1613-43,General,مستقل,M,12,Paktika,,Independent,Appeared in disqualified candidate page
12-1553-25,YES,19,19,Haji Abdul Qadir Kharoti,حاجی عبدالقدیر خروټي,حاجی عبدالقدیر خروټي,1379,0.037381404,9,11/23/18,Results Status : Uncertified,1553-25,General,مستقل,M,12,Paktika,,Independent,Appeared in disqualified candidate page
12-1021-5,YES,10,10,Mohammad Karim Katawazai,محمد کريم کټوازی,محمد کريم کټوازی,664,0.017999458,12,11/23/18,Results Status : Uncertified,1021-5,General,مستقل,M,12,Paktika,,Independent,Appeared in disqualified candidate page
14-1305-18,YES,24,24,Mohammad Qadim Afghan,محمد قديم افغان,محمد قديم افغان,670,0.008606847,34,11/23/18,Results Status : Uncertified,1305-18,General,مستقل,M,14,Khost,,Independent,Appeared in disqualified candidate page
14-1150-79,YES,37,37,Mansoor Hamdarad,منصور همدرد,منصور همدرد,95,0.001220374,53,11/23/18,Results Status : Uncertified,1150-79,General,مستقل,M,14,Khost,,Independent,Appeared in disqualified candidate page
15-1022-1030,YES,22,22,Eng Gull Zaher Khan Anwari,انجینیر ګل ظاهر خان انوری,انجینیر ګل ظاهر خان انوری,243,0.00291133,29,11/23/18,Results Status : Uncertified,1022-1030,General,مستقل,M,15,Kunarha,,Independent,Appeared in disqualified candidate page
16-1273-8,YES,4,4,Gen Shams Rahman Zahed,جنرال  شمس الرحمن  زاهد,جنرال  شمس الرحمن  زاهد,1861,0.09009925,8,11/23/18,Results Status : Uncertified,1273-8,General,مستقل,M,16,Nooristan,,Independent,Appeared in disqualified candidate page
16-1081-34,YES,14,14,Sayed Bibi Mowahed,سید بی بی  مؤحد,سید بی بی  مؤحد,84,0.004066812,15,11/23/18,Results Status : Uncertified,1081-34,General,مستقل,F,16,Nooristan,,Independent,Appeared in disqualified candidate page
17-1461-78,YES,41,41,Hujatullah Kheradmand,حجت الله  خردمند,حجت الله  خردمند,6598,0.04150312,4,11/23/18,Results Status : Uncertified,1461-78,General,مستقل,M,17,Badakhshan,,Independent,Appeared in disqualified candidate page
17-1169-15,YES,69,69,Fazel Azim Zalmai Mujadedi,فضل عظیم زلمی   مجددی,فضل عظیم زلمی   مجددی,5589,0.03515625,7,11/23/18,Results Status : Uncertified,1169-15,General,مستقل,M,17,Badakhshan,,Independent,Appeared in disqualified candidate page
17-1305-13,YES,24,24,Amruddin Yamin,امر الدین یمین,امر الدین یمین,1836,0.011548913,35,11/23/18,Results Status : Uncertified,1305-13,General,مستقل / خپلواک,M,17,Badakhshan,,Independent,
18-1274-18,YES,5,5,Ghullam Sarwar Saadat,غلام سرور سعادت,غلام سرور سعادت,6852,0.039139748,6,11/23/18,Results Status : Uncertified,1274-18,General,مستقل,M,18,Takhar,,Independent,Appeared in disqualified candidate page
19-1081-16,YES,14,14,Mohammad Ajmal Shahpor,محمد اجمل شاه پور,محمد اجمل شاه پور,1259,0.024095233,12,11/23/18,Results Status : Uncertified,1081-16,General,مستقل,M,19,Kunduz,,Independent,Appeared in disqualified candidate page
19-1045-52,YES,72,73,Muzhgan Arzbigi,مژگان عرضبیگی,مژگان عرضبیگی,122,0.002334884,68,11/23/18,Results Status : Uncertified,1045-52,General,حزب جنبش ملی اسلامی افغانستان,F,19,Kunduz,,,Appeared in disqualified candidate page
19-1329-49,YES,10,10,Jawhar Shah Zakhelwal,جوهر شاه زاخیلوال ,جوهر شاه زاخیلوال ,118,0.00225833,70,11/23/18,Results Status : Uncertified,1329-49,General,مستقل,M,19,Kunduz,,Independent,Appeared in disqualified candidate page
19-1281-42,YES,69,70,Ustad Abdul Saboor Ghafoori,استاد عبدالصبور غفوری,استاد عبدالصبور غفوری,102,0.001952116,73,11/23/18,Results Status : Uncertified,1281-42,General,متحد ملی افغانستان,M,19,Kunduz,,,Appeared in disqualified candidate page
21-1186-75,YES,31,32,Esrar Tashqurghani,اسرار تاشقرغانی,اسرار تاشقرغانی,4866,0.023420353,13,11/23/18,Results Status : Uncertified,1186-75,General,مستقل / خپلواک,M,21,Balkh,,Independent,
21-1158-12,YES,29,29,Abdul Saboor Saboor,عبدالصبور صبور,عبدالصبور صبور,1928,0.009279581,29,11/23/18,Results Status : Uncertified,1158-12,General,مستقل,M,21,Balkh,,Independent,Appeared in disqualified candidate page
21-1073-8,YES,7,7,Ahmad Jawid Karimi,احمد جاوید کریمی,احمد جاوید کریمی,1924,0.009260329,30,11/23/18,Results Status : Uncertified,1073-8,General,مستقل,M,21,Balkh,,Independent,Appeared in disqualified candidate page
21-1222-96,YES,70,72,Damulla Mohammad Rasool Arlati,داملا محمد رسول ارلاتی,داملا محمد رسول ارلاتی,912,0.004389511,41,11/23/18,Results Status : Uncertified,1222-96,General,مستقل / خپلواک,M,21,Balkh,,Independent,"Only first name listed on candidate sheet, confirmed by ballot position"
24-1461-83,YES,38,38,Sayed Yaqoot shah Jawadi,سیدیاقوت شاه جوادی,سیدیاقوت شاه جوادی,863,0.006407068,24,11/23/18,Results Status : Uncertified,1461-83,General,مستقل,M,24,Daykundi,,Independent,Appeared in disqualified candidate page
24-1157-134,YES,30,30,Subhan Danesh,سبحان دانش,سبحان دانش,226,0.001677865,32,11/23/18,Results Status : Uncertified,1157-134,General,مستقل,M,24,Daykundi,,Independent,Appeared in disqualified candidate page
25-1505-13,YES,1,1,Hajera Aryoubi,هاجره آریوبی,هاجره آریوبی,317,0.024976363,14,11/23/18,Results Status : Uncertified,1505-13,General,مستقل,F,25,Uruzgan,,Independent,Appeared in disqualified candidate page
25-1605-15,YES,11,11,Sharif Uruzgani,شریف ارزګانی,شریف ارزګانی,170,0.013394264,22,11/23/18,Results Status : Uncertified,1605-15,General,مستقل,M,25,Uruzgan,,Independent,Appeared in disqualified candidate page
27-1006-13,YES,83,84,Abdul Wase Alokozai,عبدالواسع    الکوزی ,عبدالواسع    الکوزی ,365,0.002179287,86,11/23/18,Results Status : Uncertified,1006-13,General,مستقل,M,27,Kandahar,,Independent,Appeared in disqualified candidate page
