candidate_code,still_missing,serial_number,ballot_position,candidate_name,candidate_name_dari,candidate_name_pashto,candidate_votes,vote_share,candidate_rank,results_date,results_status,candidate_id,electorate,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
1-1075-61,YES,500,501,Alhaj Obaidullah Khoshiwal, الحاج عبید الله خوشیوال, الحاج عبید الله خوشیوال,985,0.001477918,184,11/23/18,Results Status : Uncertified,1075-61,General,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1615-1099,YES,530,531,Mohammad Zalmai Afghanyar Popal, محمد زلمی افغانیار پوپل, محمد زلمی افغانیار پوپل,26,3.90E-05,595,11/23/18,Results Status : Uncertified,1615-1099,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1267-3064,YES,342,342,Amanullah Tarin,آمان الله ترین,آمان الله ترین,156,0.000234066,495,11/23/18,Results Status : Uncertified,1267-3064,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1007-16,YES,325,325,Ahmad Parwiz Hassan,احمد پرویز حسن,احمد پرویز حسن,467,0.000700698,325,11/23/18,Results Status : Uncertified,1007-16,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1484-202,YES,637,638,Ahmad Kumail Mir Shadibeg,احمد کمیل میر شادی بیگ,احمد کمیل میر شادی بیگ,424,0.00063618,345,11/23/18,Results Status : Uncertified,1484-202,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1673-161,YES,683,684,Ustad Darab Ali Aliyar,استاد داراب علی علی یار,استاد داراب علی علی یار,87,0.000130537,545,11/23/18,Results Status : Uncertified,1673-161,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1219-1216,YES,280,280,Ustad Mawlawi Shamsullah Haqani,استادمولوی شمس الله حقانی,استادمولوی شمس الله حقانی,118,0.00017705,520,11/23/18,Results Status : Uncertified,1219-1216,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1416-139,YES,669,670,Assadullah Karimi,اسد الله کریمی,اسد الله کریمی,215,0.000322591,455,11/23/18,Results Status : Uncertified,1416-139,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1298-54,YES,657,658,Alhaj Hamidullah Bakhshi,الحاج حمید الله بخشی ,الحاج حمید الله بخشی ,188,0.00028208,471,11/23/18,Results Status : Uncertified,1298-54,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
1-1652-63,YES,5,5,Alhaj Khan Lala Shirzai,الحاج خان لالا شیرزی ,الحاج خان لالا شیرزی ,355,0.000532651,378,11/23/18,Results Status : Uncertified,1652-63,General,مستقل,M,1,Kabul,,Independent,Appeared in disqualified candidate page
