"candidate_code","still_missing","serial_number","ballot_position","candidate_name","candidate_name_dari","candidate_name_pashto","candidate_votes","vote_share","candidate_rank","results_date","results_status","candidate_id","electorate"
"5-1545-1","YES",26,26,"Abdul Latif Abaasi","عبدالطیف عباسی","عبدالطیف عباسی",336,0.01509705248023,23,"2018-11-23","Results Status : Uncertified","1545-1","General"
"5-1410-3","YES",19,19,"Abdul Satar Mubarez","عبدالستار  مبارز","عبدالستار  مبارز",4,0.000179726815240834,34,"2018-11-23","Results Status : Uncertified","1410-3","General"
"9-1029-47","YES",16,16,"Alhaj Abdul Rahman","الحاج عبدالرحمن","الحاج عبدالرحمن",1411,0.0115544928224572,29,"2018-11-23","Results Status : Uncertified","1029-47","General"
"9-1561-131","YES",31,31,"Sardar Amanullah Ariaz","سردار امان الله آریاز","سردار امان الله آریاز",414,0.00339019137384639,54,"2018-11-23","Results Status : Uncertified","1561-131","General"
"9-1049-130","YES",79,79,"Nematullah Sarhadi","نعمت الله  سرحدی","نعمت الله  سرحدی",194,0.0015886404022372,72,"2018-11-23","Results Status : Uncertified","1049-130","General"
"9-1349-230","YES",88,88,"Gull Aziz Aimaq","گل عزیز ایماق","گل عزیز ایماق",46,0.000376687930427377,81,"2018-11-23","Results Status : Uncertified","1349-230","General"
"10-1461-3","YES",1,1,"Alhaj Zaheeruddin Jaan Agha","الحاج ظهیرالدین جان آغا","الحاج ظهیرالدین جان آغا",9945,0.0792026376987034,2,"2018-11-23","Results Status : Uncertified","1461-3","General"
"10-1266-23","YES",29,31,"Alhaj Lft-Gen Muslim Aamed","الحاج تورنجنرال مسلم عامد","الحاج تورنجنرال مسلم عامد",7912,0.0630116912490841,5,"2018-11-23","Results Status : Uncertified","1266-23","General"
"10-1174-49","YES",24,26,"Ahmad Hussain Ibrahimi","احمد حسین ابراهیمی","احمد حسین ابراهیمی",4686,0.0373196139020738,12,"2018-11-23","Results Status : Uncertified","1174-49","General"
"10-1253-34","YES",23,25,"Alhaj Sayed Assadullah Jafari","الحاج سید اسدالله جعفری","الحاج سید اسدالله جعفری",1513,0.0120496320601446,23,"2018-11-23","Results Status : Uncertified","1253-34","General"
"10-1002-120","YES",12,14,"Isshaq Zahak","اسحق ضحاک","اسحق ضحاک",248,0.00197508840113408,36,"2018-11-23","Results Status : Uncertified","1002-120","General"
"12-1613-43","YES",26,26,"Mohammad Ismail Arian","محمد اسماعیل ارین","محمد اسماعیل ارین",1424,0.0386012469503931,8,"2018-11-23","Results Status : Uncertified","1613-43","General"
"12-1553-25","YES",19,19,"Haji Abdul Qadir Kharoti","حاجی عبدالقدیر خروټي","حاجی عبدالقدیر خروټي",1379,0.0373814041745731,9,"2018-11-23","Results Status : Uncertified","1553-25","General"
"12-1021-5","YES",10,10,"Mohammad Karim Katawazai","محمد کريم کټوازی","محمد کريم کټوازی",664,0.0179994578476552,12,"2018-11-23","Results Status : Uncertified","1021-5","General"
"14-1305-18","YES",24,24,"Mohammad Qadim Afghan","محمد قديم افغان","محمد قديم افغان",670,0.00860684693943092,34,"2018-11-23","Results Status : Uncertified","1305-18","General"
"14-1150-79","YES",37,37,"Mansoor Hamdarad","منصور همدرد","منصور همدرد",95,0.00122037381977006,53,"2018-11-23","Results Status : Uncertified","1150-79","General"
"15-1022-1030","YES",22,22,"Eng Gull Zaher Khan Anwari","انجینیر ګل ظاهر خان انوری","انجینیر ګل ظاهر خان انوری",243,0.00291133022631699,29,"2018-11-23","Results Status : Uncertified","1022-1030","General"
"16-1273-8","YES",4,4,"Gen Shams Rahman Zahed","جنرال  شمس الرحمن  زاهد","جنرال  شمس الرحمن  زاهد",1861,0.0900992495763738,8,"2018-11-23","Results Status : Uncertified","1273-8","General"
"16-1081-34","YES",14,14,"Sayed Bibi Mowahed","سید بی بی  مؤحد","سید بی بی  مؤحد",84,0.00406681190994916,15,"2018-11-23","Results Status : Uncertified","1081-34","General"
"17-1461-78","YES",41,41,"Hujatullah Kheradmand","حجت الله  خردمند","حجت الله  خردمند",6598,0.0415031199677939,4,"2018-11-23","Results Status : Uncertified","1461-78","General"
"17-1169-15","YES",69,69,"Fazel Azim Zalmai Mujadedi","فضل عظیم زلمی   مجددی","فضل عظیم زلمی   مجددی",5589,0.03515625,7,"2018-11-23","Results Status : Uncertified","1169-15","General"
"17-1305-13","YES",24,24,"Amruddin Yamin","امر الدین یمین","امر الدین یمین",1836,0.0115489130434783,35,"2018-11-23","Results Status : Uncertified","1305-13","General"
"18-1274-18","YES",5,5,"Ghullam Sarwar Saadat","غلام سرور سعادت","غلام سرور سعادت",6852,0.0391397480935652,6,"2018-11-23","Results Status : Uncertified","1274-18","General"
"19-1081-16","YES",14,14,"Mohammad Ajmal Shahpor","محمد اجمل شاه پور","محمد اجمل شاه پور",1259,0.0240952326271268,12,"2018-11-23","Results Status : Uncertified","1081-16","General"
"19-1045-52","YES",72,73,"Muzhgan Arzbigi","مژگان عرضبیگی","مژگان عرضبیگی",122,0.0023348835428987,68,"2018-11-23","Results Status : Uncertified","1045-52","General"
"19-1329-49","YES",10,10,"Jawhar Shah Zakhelwal","جوهر شاه زاخیلوال ","جوهر شاه زاخیلوال ",118,0.00225832998411514,70,"2018-11-23","Results Status : Uncertified","1329-49","General"
"19-1281-42","YES",69,70,"Ustad Abdul Saboor Ghafoori","استاد عبدالصبور غفوری","استاد عبدالصبور غفوری",102,0.00195211574898088,73,"2018-11-23","Results Status : Uncertified","1281-42","General"
"21-1186-75","YES",31,32,"Esrar Tashqurghani","اسرار تاشقرغانی","اسرار تاشقرغانی",4866,0.0234203534711794,13,"2018-11-23","Results Status : Uncertified","1186-75","General"
"21-1158-12","YES",29,29,"Abdul Saboor Saboor","عبدالصبور صبور","عبدالصبور صبور",1928,0.00927958107119479,29,"2018-11-23","Results Status : Uncertified","1158-12","General"
"21-1073-8","YES",7,7,"Ahmad Jawid Karimi","احمد جاوید کریمی","احمد جاوید کریمی",1924,0.0092603288283085,30,"2018-11-23","Results Status : Uncertified","1073-8","General"
"21-1222-96","YES",70,72,"Damulla Mohammad Rasool Arlati","داملا محمد رسول ارلاتی","داملا محمد رسول ارلاتی",912,0.00438951137807555,41,"2018-11-23","Results Status : Uncertified","1222-96","General"
"24-1461-83","YES",38,38,"Sayed Yaqoot shah Jawadi","سیدیاقوت شاه جوادی","سیدیاقوت شاه جوادی",863,0.00640706781988938,24,"2018-11-23","Results Status : Uncertified","1461-83","General"
"24-1157-134","YES",30,30,"Subhan Danesh","سبحان دانش","سبحان دانش",226,0.00167786480567207,32,"2018-11-23","Results Status : Uncertified","1157-134","General"
"25-1505-13","YES",1,1,"Hajera Aryoubi","هاجره آریوبی","هاجره آریوبی",317,0.024976363063347,14,"2018-11-23","Results Status : Uncertified","1505-13","General"
"25-1605-15","YES",11,11,"Sharif Uruzgani","شریف ارزګانی","شریف ارزګانی",170,0.0133942641033722,22,"2018-11-23","Results Status : Uncertified","1605-15","General"
"27-1006-13","YES",83,84,"Abdul Wase Alokozai","عبدالواسع    الکوزی ","عبدالواسع    الکوزی ",365,0.00217928662694195,86,"2018-11-23","Results Status : Uncertified","1006-13","General"
"27-1169-60","YES",68,69,"Mohammad Younus Fakor","محمد یونس  فکور","محمد یونس  فکور",353,0.00210763884742605,88,"2018-11-23","Results Status : Uncertified","1169-60","General"
"29-1477-2051","YES",53,54,"Dr Ahmad Jawid Qazizadah","داکتراحمد جاوید قاضی زاده","داکتراحمد جاوید قاضی زاده",167,0.00237151905025632,53,"2018-11-23","Results Status : Uncertified","1477-2051","General"
"29-1065-2044","YES",29,29,"Tahmina Sheja","تهمینه شجاع","تهمینه شجاع",110,0.0015620784163365,58,"2018-11-23","Results Status : Uncertified","1065-2044","General"
"30-1174-29","YES",21,21,"Nasima Neyazi","نسیمه نیازی ","نسیمه نیازی ",1463,0.0175934388378469,18,"2018-11-23","Results Status : Uncertified","1174-29","General"
"30-1289-45","YES",56,58,"Saleh Mohammad Qasemi","صالح محمد قاسمی","صالح محمد قاسمی",294,0.00353552359420848,75,"2018-11-23","Results Status : Uncertified","1289-45","General"
"30-1182-105","YES",88,91,"Rashed Ahmad Begonah","راشد احمد بیګناه","راشد احمد بیګناه",37,0.000444946846890182,87,"2018-11-23","Results Status : Uncertified","1182-105","General"
"32-1629-1121","YES",61,62,"Mohammad Mussa Rezaye","محمد موسی رضائی","محمد موسی رضائی",3711,0.0109578605153826,29,"2018-11-23","Results Status : Uncertified","1629-1121","General"
"32-1281-3","YES",42,42,"Mohammad Rafiq Shahir","محمد رفیق شهیر","محمد رفیق شهیر",2504,0.00739382450296905,42,"2018-11-23","Results Status : Uncertified","1281-3","General"
"33-1185-20","YES",40,41,"Sayed Ahmad Hamdard","سید احمد همدرد","سید احمد همدرد",236,0.00910669496430639,28,"2018-11-23","Results Status : Uncertified","1185-20","General"
"33-1193-38","YES",14,14,"Bahauddin Shinwari","بهاوالدین شهنوازی","بهاوالدین شهنوازی",209,0.00806482732008489,29,"2018-11-23","Results Status : Uncertified","1193-38","General"
"35-1780-1100","YES",61,21,"Mirwais Hussainkhel","میرویس حسین خیل","میرویس حسین خیل",4671,0.0702659606474517,3,"2018-11-23","Results Status : Uncertified","1780-1100","Kuchi"
"1-1080-172","YES",26,9,"Mariam Sulaimankhel","مریم سلیمان خیل ","مریم سلیمان خیل ",839,0.0126210963355196,14,"2018-11-23","Results Status : Uncertified","1080-172","Kuchi"
"1-1662-212","YES",127,43,"Bibi Lailuma","بی بی لیلمه","بی بی لیلمه",709,0.0106655033395511,19,"2018-11-23","Results Status : Uncertified","1662-212","Kuchi"
"1-1229-208","YES",123,42,"Pachah Ahmadzai","پاچاه احمدزی","پاچاه احمدزی",263,0.00395631506107467,30,"2018-11-23","Results Status : Uncertified","1229-208","Kuchi"
"1-1776-210","YES",129,44,"Haji Khan Mohammad Ahmadzoi","حاجی خان محمد احمدزوی","حاجی خان محمد احمدزوی",222,0.00333955111619231,36,"2018-11-23","Results Status : Uncertified","1776-210","Kuchi"
"1-1417-1026","YES",16,6,"Mohammad Sediq Kuchi","محمد صدیق کوچی ","محمد صدیق کوچی ",124,0.001865334857693,38,"2018-11-23","Results Status : Uncertified","1417-1026","Kuchi"
"1-1357-1082","YES",113,38,"Mohammad Musa Ibrahimkhel","محمد موسی ابراهیم خیل ","محمد موسی ابراهیم خیل ",71,0.0010680546362597,41,"2018-11-23","Results Status : Uncertified","1357-1082","Kuchi"
"1-1217-259","YES",1,1,"Narender Singh Khalesa","نرندر سنگ خالصه","نرندر سنگ خالصه",303,1,1,"2018-11-23","Results Status : Uncertified","1217-259","Sikh / Hindu"
