"candidate_code","still_missing","serial_number","ballot_position","candidate_name","candidate_name_dari","candidate_name_pashto","candidate_votes","vote_share","candidate_rank","results_date","results_status","candidate_id","electorate"
"1-1209-19","YES",353,354,"Haji Hafizullah Jalili","حاجی حفیظ الله جلیلی","حاجی حفیظ الله جلیلی",4183,0.00627627618616068,19,"2018-11-23","Results Status : Uncertified","1209-19","General"
"1-1598-62","YES",326,326,"Taj Mohammad Mujahid","تاج محمد مجاهد ","تاج محمد مجاهد ",3062,0.00459430018695291,41,"2018-11-23","Results Status : Uncertified","1598-62","General"
"1-1870-143","YES",656,657,"Abdul Wase Rasool","عبدالواسع رسول","عبدالواسع رسول",1606,0.00240968193998902,110,"2018-11-23","Results Status : Uncertified","1870-143","General"
"1-1202-58","YES",404,405,"sayed Amanullah Amin","سید امان الله امین","سید امان الله امین",1244,0.00186652822748838,143,"2018-11-23","Results Status : Uncertified","1202-58","General"
"1-1075-61","YES",500,501,"Alhaj Obaidullah Khoshiwal"," الحاج عبید الله خوشیوال"," الحاج عبید الله خوشیوال",985,0.00147791825086499,184,"2018-11-23","Results Status : Uncertified","1075-61","General"
"1-1571-42","YES",766,767,"Habibullah Nemati","حبیب الله نعمتی","حبیب الله نعمتی",747,0.00112081719126513,234,"2018-11-23","Results Status : Uncertified","1571-42","General"
"1-1567-23","YES",61,61,"Mohammad Layeq Malekzadah","محمد لایق ملک زاده","محمد لایق ملک زاده",669,0.00100378407089206,253,"2018-11-23","Results Status : Uncertified","1567-23","General"
"1-1309-5","YES",522,523,"Masooma Tawasoli","معصومه توسلی","معصومه توسلی",580,0.000870246279697154,279,"2018-11-23","Results Status : Uncertified","1309-5","General"
"1-1487-209","YES",428,429,"Saranwal Rohullah Sakhizad","څارنوال روح الله سخی زاد","څارنوال روح الله سخی زاد",514,0.000771218254766099,305,"2018-11-23","Results Status : Uncertified","1487-209","General"
"1-1244-82","YES",660,661,"Haji Gull Rahman Rahmani Mangal","حاجی گلرحمن رحمانی منگل","حاجی گلرحمن رحمانی منگل",476,0.000714202119199734,320,"2018-11-23","Results Status : Uncertified","1244-82","General"
"1-1007-16","YES",325,325,"Ahmad Parwiz Hassan","احمد پرویز حسن","احمد پرویز حسن",467,0.000700698297618226,325,"2018-11-23","Results Status : Uncertified","1007-16","General"
"1-1046-55","YES",31,31,"Razia Arefi","راضیه عارفی ","راضیه عارفی ",439,0.000658686408253536,338,"2018-11-23","Results Status : Uncertified","1046-55","General"
"1-1425-48","YES",279,279,"Gen. Khalil Rahman Aamel","جنرال خلیل  الرحمن عامل","جنرال خلیل  الرحمن عامل",433,0.000649683860532531,342,"2018-11-23","Results Status : Uncertified","1425-48","General"
"1-1484-202","YES",637,638,"Ahmad Kumail Mir Shadibeg","احمد کمیل میر شادی بیگ","احمد کمیل میر شادی بیگ",424,0.000636180038951023,345,"2018-11-23","Results Status : Uncertified","1484-202","General"
"1-1423-99","YES",262,262,"Mohammad Haidari","محمد حیدری ","محمد حیدری ",414,0.000621175792749348,351,"2018-11-23","Results Status : Uncertified","1423-99","General"
"1-1785-130","YES",349,349,"Dr. Ziauddin Kamal ","داکتر ضیأالدین کمال ","داکتر ضیأالدین کمال ",370,0.000555157109461978,371,"2018-11-23","Results Status : Uncertified","1785-130","General"
"1-1652-63","YES",5,5,"Alhaj Khan Lala Shirzai","الحاج خان لالا شیرزی ","الحاج خان لالا شیرزی ",355,0.000532650740159465,378,"2018-11-23","Results Status : Uncertified","1652-63","General"
"1-1548-197","YES",100,100,"Mirza Alizadah","میرزا علی زاده","میرزا علی زاده",320,0.000480135878453602,392,"2018-11-23","Results Status : Uncertified","1548-197","General"
"1-1584-44","YES",245,245,"Shakila Ibrahim","شکیلا ابراهیم ","شکیلا ابراهیم ",302,0.000453128235290587,406,"2018-11-23","Results Status : Uncertified","1584-44","General"
"1-1640-1102","YES",702,703,"Qari Ahmad Reshad Khan Mamozai","قاری احمد رشاد خان مموزی","قاری احمد رشاد خان مموزی",297,0.00044562611218975,408,"2018-11-23","Results Status : Uncertified","1640-1102","General"
"1-1096-16","YES",151,151,"Alhaj Shir Aqa Mohammadi","الحاج شیراقا محمدی","الحاج شیراقا محمدی",268,0.000402113798204892,427,"2018-11-23","Results Status : Uncertified","1096-16","General"
"1-1416-139","YES",669,670,"Assadullah Karimi","اسد الله کریمی","اسد الله کریمی",215,0.000322591293336014,455,"2018-11-23","Results Status : Uncertified","1416-139","General"
"1-1500-1164","YES",225,225,"Qadam Ali Khadem","قدم علی خادم ","قدم علی خادم ",210,0.000315089170235177,459,"2018-11-23","Results Status : Uncertified","1500-1164","General"
"1-1365-1108","YES",473,474,"Abdul Khaibar Hotak","عبدالخبیر هوتک ","عبدالخبیر هوتک ",196,0.000294083225552831,465,"2018-11-23","Results Status : Uncertified","1365-1108","General"
"1-1298-54","YES",657,658,"Alhaj Hamidullah Bakhshi","الحاج حمید الله بخشی ","الحاج حمید الله بخشی ",188,0.000282079828591491,471,"2018-11-23","Results Status : Uncertified","1298-54","General"
"1-1512-131","YES",112,112,"Dr. Wahidullah Ahmadzai","داکتر وحید الله احمدزی ","داکتر وحید الله احمدزی ",175,0.000262574308529314,478,"2018-11-23","Results Status : Uncertified","1512-131","General"
"1-1434-31","YES",550,551,"Anisa Turk","انیسه ترک","انیسه ترک",172,0.000258073034668811,480,"2018-11-23","Results Status : Uncertified","1434-31","General"
"1-1267-3064","YES",342,342,"Amanullah Tarin","آمان الله ترین","آمان الله ترین",156,0.000234066240746131,495,"2018-11-23","Results Status : Uncertified","1267-3064","General"
"1-1373-3061","YES",260,260,"Shahla Naseri Barikzai","شهلا  ناصری بارکزی","شهلا  ناصری بارکزی",156,0.000234066240746131,495,"2018-11-23","Results Status : Uncertified","1373-3061","General"
"1-1877-1097","YES",366,367,"Eng. Abdul Satar Azizi","انجنیر عبدالستار عزیزی","انجنیر عبدالستار عزیزی",152,0.000228064542265461,497,"2018-11-23","Results Status : Uncertified","1877-1097","General"
"1-1199-17","YES",300,300,"Phd. Lutfullah Safi","پوهاند لطف الله صافی ","پوهاند لطف الله صافی ",145,0.000217561569924289,502,"2018-11-23","Results Status : Uncertified","1199-17","General"
"1-1449-128","YES",354,355,"Mohammad Younus Wayar","محمد یونس ویاړ","محمد یونس ویاړ",142,0.000213060296063786,505,"2018-11-23","Results Status : Uncertified","1449-128","General"
"1-2007-164","YES",633,634,"Alhaj Sharifullah Kamawal","الحاج شریف الله کامه وال ","الحاج شریف الله کامه وال ",131,0.000196555625241943,512,"2018-11-23","Results Status : Uncertified","2007-164","General"
"1-1269-2","YES",478,479,"Farah Diba Shahzad","فرح دیبا شهرزاد","فرح دیبا شهرزاد",125,0.000187553077520938,515,"2018-11-23","Results Status : Uncertified","1269-2","General"
"1-1219-1216","YES",280,280,"Ustad Mawlawi Shamsullah Haqani","استادمولوی شمس الله حقانی","استادمولوی شمس الله حقانی",118,0.000177050105179766,520,"2018-11-23","Results Status : Uncertified","1219-1216","General"
"1-1315-24","YES",17,17,"Sayed Saifullah Sadat","سید سیف الله سادات","سید سیف الله سادات",117,0.000175549680559598,521,"2018-11-23","Results Status : Uncertified","1315-24","General"
"1-1108-215","YES",670,671,"Abdul Wahab Kabuli","عبدالوهاب کابلی","عبدالوهاب کابلی",116,0.000174049255939431,522,"2018-11-23","Results Status : Uncertified","1108-215","General"
"1-1496-176","YES",95,95,"Mohammad Ashraf Pirzad","محمد اشرف پیرزاد ","محمد اشرف پیرزاد ",109,0.000163546283598258,526,"2018-11-23","Results Status : Uncertified","1496-176","General"
"1-1379-1098","YES",372,373,"Abdul Razaq Hakimi","عبداالرزاق  حکیمی ","عبداالرزاق  حکیمی ",98,0.000147041612776416,537,"2018-11-23","Results Status : Uncertified","1379-1098","General"
"1-1100-1096","YES",569,570,"Aalia Azimi","عالیه عظیمی","عالیه عظیمی",96,0.000144040763536081,538,"2018-11-23","Results Status : Uncertified","1100-1096","General"
"1-1098-175","YES",164,164,"Sayed Aziz Ahmad Wardak","سید عزیز احمد وردک","سید عزیز احمد وردک",91,0.000136538640435243,542,"2018-11-23","Results Status : Uncertified","1098-175","General"
"1-1048-1159","YES",77,77,"Nabila Sayedjanzada Hamid","نبیلا سیدجان زاده حمید ","نبیلا سیدجان زاده حمید ",91,0.000136538640435243,542,"2018-11-23","Results Status : Uncertified","1048-1159","General"
"1-1673-161","YES",683,684,"Ustad Darab Ali Aliyar","استاد داراب علی علی یار","استاد داراب علی علی یار",87,0.000130536941954573,545,"2018-11-23","Results Status : Uncertified","1673-161","General"
"1-1857-201","YES",716,717,"Essa Mohammad Esmat Qane","عیسی محمد عصمت قانع","عیسی محمد عصمت قانع",84,0.000126035668094071,546,"2018-11-23","Results Status : Uncertified","1857-201","General"
"1-1564-34","YES",377,378,"Haji Zadran Azizi","حاجی ځدران عزیزی","حاجی ځدران عزیزی",82,0.000123034818853736,548,"2018-11-23","Results Status : Uncertified","1564-34","General"
"1-1033-16","YES",176,176,"Mufti Sayed Masood Hashemi","مفتی سید مسعود هاشمی ","مفتی سید مسعود هاشمی ",80,0.000120033969613401,550,"2018-11-23","Results Status : Uncertified","1033-16","General"
"1-1518-43","YES",760,761,"Mohammad Dawood Waziri","محمد داود وزیری","محمد داود وزیری",77,0.000115532695752898,553,"2018-11-23","Results Status : Uncertified","1518-43","General"
"1-1122-1084","YES",780,781,"Taranum Sayedi","ترنم سیدی","ترنم سیدی",68,0.000102028874171391,561,"2018-11-23","Results Status : Uncertified","1122-1084","General"
"1-1481-144","YES",127,127,"Dr. Abdul Satar Stanikzai","داکتر عبدالستار ستانکزی","داکتر عبدالستار ستانکزی",64,9.60271756907205e-05,564,"2018-11-23","Results Status : Uncertified","1481-144","General"
"1-1475-1103","YES",285,285,"Dr. Sayed Jalil sayed","داکتر سید جلیل سید","داکتر سید جلیل سید",63,9.4526751070553e-05,565,"2018-11-23","Results Status : Uncertified","1475-1103","General"
"1-1786-165","YES",111,111,"Sediqa Popalzai","صدیقه پوپلزی","صدیقه پوپلزی",62,9.30263264503855e-05,566,"2018-11-23","Results Status : Uncertified","1786-165","General"
"1-1895-177","YES",138,138,"sayed Ibrahim Hashemi","سید ابراهیم هاشیمی ","سید ابراهیم هاشیمی ",57,8.55242033495479e-05,571,"2018-11-23","Results Status : Uncertified","1895-177","General"
"1-1395-1072","YES",626,627,"Dr. Ahmad Wahid Khalid","داکتر احمد وحید خالد ","داکتر احمد وحید خالد ",43,6.45182586672028e-05,584,"2018-11-23","Results Status : Uncertified","1395-1072","General"
"1-1083-51","YES",729,730,"Drs. Frozan Fana","دکتورس فروزان فنا","دکتورس فروزان فنا",40,6.00169848067003e-05,586,"2018-11-23","Results Status : Uncertified","1083-51","General"
"1-1897-183","YES",387,388,"Ghullam Fardin Shaaba","غلام فردین شابه ","غلام فردین شابه ",40,6.00169848067003e-05,586,"2018-11-23","Results Status : Uncertified","1897-183","General"
"1-1792-203","YES",181,181,"Sahebzada Mohammad Wali Mutaqi","صاحب زاده محمد ولی  متقی","صاحب زاده محمد ولی  متقی",37,5.55157109461978e-05,588,"2018-11-23","Results Status : Uncertified","1792-203","General"
"1-1123-129","YES",233,233,"Sayed Ahmad Burhani","سید احمد برهانی","سید احمد برهانی",30,4.50127386050252e-05,593,"2018-11-23","Results Status : Uncertified","1123-129","General"
"1-1615-1099","YES",530,531,"Mohammad Zalmai Afghanyar Popal"," محمد زلمی افغانیار پوپل"," محمد زلمی افغانیار پوپل",26,3.90110401243552e-05,595,"2018-11-23","Results Status : Uncertified","1615-1099","General"
"1-1887-162","YES",236,236,"Masooda Qazi Waziri","مسعوده قاضی وزیری","مسعوده قاضی وزیری",25,3.75106155041877e-05,596,"2018-11-23","Results Status : Uncertified","1887-162","General"
"1-1054-1079","YES",565,566,"Murtaza Ashraq","مرتضی اشراق","مرتضی اشراق",23,3.45097662638527e-05,597,"2018-11-23","Results Status : Uncertified","1054-1079","General"
"1-1476-1101","YES",590,591,"Mohammad Mahdi Hussainyar","محمد  مهدی حسنیار","محمد  مهدی حسنیار",19,2.85080677831826e-05,600,"2018-11-23","Results Status : Uncertified","1476-1101","General"
"1-1060-1170","YES",755,756,"Sayed Jawid Altaf","سید جاوید الطاف ","سید جاوید الطاف ",14,2.10059446823451e-05,602,"2018-11-23","Results Status : Uncertified","1060-1170","General"
"1-1378-159","YES",204,204,"Khaleqdad Balaaghi","خالقداد بلاغی ","خالقداد بلاغی ",13,1.95055200621776e-05,603,"2018-11-23","Results Status : Uncertified","1378-159","General"
"1-1833-165","YES",602,603,"Mohammad Essa Ahmadi","محمد عیسی احمد ی","محمد عیسی احمد ی",10,1.50042462016751e-05,604,"2018-11-23","Results Status : Uncertified","1833-165","General"
"1-1057-1095","YES",417,418,"Dawood Maleyar Mohaiuddin ","داود ملیار محی الدین ","داود ملیار محی الدین ",7,1.05029723411726e-05,605,"2018-11-23","Results Status : Uncertified","1057-1095","General"
"1-1097-198","YES",601,602,"Mohammad Zia Yari","محمد ضیا یاری","محمد ضیا یاری",0,0,606,"2018-11-23","Results Status : Uncertified","1097-198","General"
"1-1853-1060","YES",566,567,"Alhaj Shirin Aqa Stanikzai","الحاج شیرین آقا ستانکزی","الحاج شیرین آقا ستانکزی",0,0,606,"2018-11-23","Results Status : Uncertified","1853-1060","General"
"1-1523-104","YES",421,422,"Haji Abdullah Mulla Brother","حاجی  عبدالله ملا برادر","حاجی  عبدالله ملا برادر",0,0,606,"2018-11-23","Results Status : Uncertified","1523-104","General"
"2-1397-22","YES",2,2,"Abdul Zaher Hakimzadah","عبدالظاهر حکیم زاده","عبدالظاهر حکیم زاده",2327,0.0584379708689101,4,"2018-11-23","Results Status : Uncertified","1397-22","General"
"2-1318-109","YES",14,14,"Qazi Ahmadi Ahmadi","قاضی احمدی  احمدی","قاضی احمدی  احمدی",782,0.0196383726770467,15,"2018-11-23","Results Status : Uncertified","1318-109","General"
"2-1305-123","YES",9,9,"Alhaj Mohammad Masoom Khan Hashemi","الحاج محمدمعصوم خان هاشمی","الحاج محمدمعصوم خان هاشمی",711,0.0178553490708187,16,"2018-11-23","Results Status : Uncertified","1305-123","General"
"2-1265-90","YES",30,30,"Aaqel Khan Tagabi","عاقل خان تگابی ","عاقل خان تگابی ",101,0.00253641386238071,34,"2018-11-23","Results Status : Uncertified","1265-90","General"
"3-1461-21","YES",6,6,"Alhaj Nesaruddin Baryalai","الحاج نثارالدین بریالی ","الحاج نثارالدین بریالی ",2938,0.0340629782497797,9,"2018-11-23","Results Status : Uncertified","1461-21","General"
"3-1297-26","YES",15,15,"Nargis Sayed","نرگس سید","نرگس سید",267,0.00309558039233873,21,"2018-11-23","Results Status : Uncertified","1297-26","General"
"4-1593-8","YES",7,8,"Abdul Rahman Wardag","عبدالرحمن وردګ","عبدالرحمن وردګ",6893,0.117259798584649,2,"2018-11-23","Results Status : Uncertified","1593-8","General"
