candidate_code,candidate_name_dari,candidate_party_dari,candidate_gender,province_code,province_name_eng,candidate_party_transliterated,candidate_party_eng,notes
,الحاج احسان هللا عاطف,مستقل / خپلواک,M,1,Kabul,,Independent,MISSING
1-1197-1029,الحاج احمد ارسالن صافی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1188-22,الحاج امیرگل شاهین,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1593-7,الحاج بیدار ځاځی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1381-29,الحاج تمیزخان محمودزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1171-71,الحاج جالل الدین فخری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1271-9,الحاج جنرال سردار محمد ابوالفضل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1250-67,الحاج حبیب هللا احمدزی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1611-46,الحاج حسیب هللا صمیم,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1034-87,الحاج خواجه معصوم صدیقی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1791-1178,الحاج خیبر زیارمل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1698-138,الحاج داود خان ځاځی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1393-12,الحاج دل آقا همت,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1551-1181,الحاج دوست محمد عمری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1286-48,الحاج دوکتور محمد صدیق,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1568-9,الحاج دین پادشاه توتاخیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1045-21,الحاج ذبیح هللا نصیری,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1022-25,الحاج زمرک پادخوابی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1671-129,الحاج زمری ناصری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1704-56,الحاج سید محمد محمدی,حزب دعوت اسالمی افغانستان,M,1,Kabul,,,
1-1856-216,الحاج شهد ولی زمه وال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1173-44,الحاج شیر شاه احمدزی,مستقل / خپلواک,M,1,Kabul,,Independent,
,الحاج شیرین آقا ستانکزی,مستقل / خپلواک,M,1,Kabul,,Independent,MISSING
1-1207-66,الحاج عبد الستار بهزاد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1203-73,الحاج عبدالسمیع عارفی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1442-4,الحاج عبدالقیوم خیرخواه,مستقل / خپلواک,M,1,Kabul,,Independent,
,الحاج عبید هللا خوشیوال,مستقل / خپلواک,M,1,Kabul,,Independent,MISSING
1-1612-5,الحاج عبیدهللا بارکزی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1026-1019,الحاج عمر ګل مومند,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1816-144,الحاج غالم دستگیر چکری,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1210-102,الحاج غالم سخی پارسائی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1531-72,الحاج غالم نبی غرنی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1480-52,الحاج فرید خان زرمتی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1602-45,الحاج فیض هللا هاشمی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1581-97,الحاج قاری سید عمر هوتک,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1265-55,الحاج قاضی میرافغان صافی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1276-40,الحاج قدرت هللا سهاک,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR 
1-1240-22,الحاج گل زمان روحانی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1394-1031,الحاج لطف هللا حقبین,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1283-128,الحاج مالمحمد خان احمدی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1514-3042,الحاج محمد ابراهیم عاصم,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1614-1,الحاج محمد امین تره خیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1181-106,الحاج محمد داود پکتیاوال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1329-99,الحاج محمد عالم خلیلی,حزب وحدت اسالمی افغانستان,M,1,Kabul,,,
1-1079-1166,الحاج محمد عمر مرجان,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1073-8,الحاج محمد قسیم جنگل باغ,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1752-137,الحاج محمد مصدق مقسط,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1323-113,الحاج محمد هاشم کریمی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1391-134,الحاج محمدهللا احمدی صافی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1506-109,الحاج میرزا محمد صافی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1594-38,الحاج میرویس کامه وال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1827-177,الحاج میرویس کتوازی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1236-18,الحاج نظر محمد اسد,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1017-58,الحاج نظیف هللا گل افغان,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1132-116,الحاج نور رحمن اوریاخیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1521-25,الحاج هللا گل مجاهد,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1125-74,الیاس فیضی غوریانی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1030-110,امید وطنیار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1168-2029,امیر محمد لکنوال,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1340-8,امین هللا پتیانی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1574-167,انجنیر احمد فهیم نسیمیار,مستقل / خپلواک,M,1,Kabul,,Independent,
35-1893-157,انجنیر الجمیر خیر اندیش,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1839-1177,انجنیر حمیدالرحمن,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1013-119,انجنیر ذکیه وردک,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1147-213,انجنیر روح هللا ظریف,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1725-128,انجنیر شمس الرحمن شمس,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1133-136,انجنیر عباس نویان,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1032-1049,انجنیر عظیم هللا عصمتی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1277-164,انجنیر فضل الحق همتی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1503-1199,انجنیر کریم هللا وزیری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1403-18,انجنیر متصل خان کومکی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-2003-137,انجنیر محمد افضل احمدزی,حزب اقتدار اسالمی افغانستان,M,1,Kabul,,,
1-1482-148,انجنیر محمد داود یوسفزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1037-117,انجنیر محمود حیدری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1498-1175,انجنیر موال گل احمدزی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1061-18,انجنیر نجیب هللا سالم زی,مستقل / خپلواک,M,1,Kabul,,Independent,SPELLING ERROR
1-1349-123,انجنیر نقیب هللا ناصری,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1136-52,انجنیر وحید هللا سباوون,حزب اسالمی متحد افغانستان,M,1,Kabul,,,
1-1507-10,انجنیرمحمد امین کریم,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1719-1162,انجیال با فیض,مستقل / خپلواک,F,1,Kabul,,Independent,
1-1590-94,انجینر امان هللا افشار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1327-64,انجینر ذبیح هللا زیارمل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1261-34,انجینر محمد ابراهیم اسلمی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1742-3041,انجینر نصیر احمد صالح,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1432-81,انور خان اوریاخیل,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1264-1041,انور خان شمالی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1629-87,انیسه مقصودی,حزب وحدت اسالمی افغانستان,F,1,Kabul,,,
1-1109-112,اوگی امیل,مستقل / خپلواک,F,1,Kabul,,Independent,
1-102-1165-105,اول خان رستم خیل,ملی وحدت ولسی تحریک,M,1,Kabul,,,
1-1536-84,ایرج نظامی,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1396-95,ایمل محمود زاده,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1290-46,ببرک حقیار,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1862-3074,برهان الدین حافظ,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1204-78,بریالی امین,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1509-2157,بریالی بیات,مستقل / خپلواک,M,1,Kabul,,Independent,
1-1065-75,بریالی غفوری,مستقل / خپلواک,M,1,Kabul,,Independent,
