"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name","candidate_name_dari","candidate_name_pashto","candidate_votes","vote_share","candidate_rank","results_date","results_status"
2,"Kapisa",38641,"2-1249-103",34,34,"Mirdaad Khan Nejrabi","میرداد خان نجرابی ","میرداد خان نجرابی ",5849,0.151367718226754,1,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1685-42",21,21,"Eng. Mir Haidar Afzali","انجینر میر حیدر افضلی ","انجینر میر حیدر افضلی ",5370,0.138971558707073,2,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-201-1142-13",15,15,"Gen. Mohammad Iqbal Safi"," جنرال محمد اقبال صافی"," جنرال محمد اقبال صافی",5355,0.138583369995601,3,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1397-22",2,2,"Abdul Zaher Hakimzadah","عبدالظاهر حکیم زاده","عبدالظاهر حکیم زاده",2325,0.0601692502782019,4,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1545-48",4,4,"Shukrullah Mohammadi","شکرالله محمدی","شکرالله محمدی",1591,0.0411738826634921,5,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1250-33",26,26,"Shejauddin Murad","شجاع الدین مراد ","شجاع الدین مراد ",1434,0.037110840816749,6,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1274-34",33,33,"Khadija Elham Khalili","خدیجه الهام خلیلی","خدیجه الهام خلیلی",1378,0.0356616029605859,7,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1269-86",23,23,"Mawlana Abdul Maroof Waaseq","مولانا عبدالمعروف واثق","مولانا عبدالمعروف واثق",1279,0.0330995574648689,8,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1437-37",31,31,"Abdul Hakim = Khwaja Padshah"," عبدالحکیم= خواجه پادشاه "," عبدالحکیم= خواجه پادشاه ",1124,0.0290882741129888,9,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1541-25",5,5,"Saara Sirat","ساره سیرت","ساره سیرت",1085,0.0280789834631609,10,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1637-62",28,28,"Mohammad Shafiq Alawi","محمد شفیق علوی ","محمد شفیق علوی ",970,0.0251028700085402,11,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1161-81",17,17,"Mohammad Nader Khalid","محمدنادر خالد","محمدنادر خالد",900,0.0232913226883362,12,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1162-113",32,32,"Khalida Hakimi","خالده حکیمی ","خالده حکیمی ",879,0.022747858492275,13,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1318-109",14,14,"Qazi Ahmadi Ahmadi","قاضی احمدی  احمدی","قاضی احمدی  احمدی",769,0.0199011412748117,14,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1305-123",9,9,"Alhaj Mohammad Masoom Khan Hashemi","الحاج محمدمعصوم خان هاشمی","الحاج محمدمعصوم خان هاشمی",711,0.0184001449237856,15,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1186-115",1,1,"Mohammad Faazel Safi","محمدفاضل صافی","محمدفاضل صافی",702,0.0181672316969023,16,"2019-01-24","Results Status : Certified"
2,"Kapisa",38641,"2-1009-68",18,18,"Abdul Wakil Jalili","عبدالوکیل جلیلی","عبدالوکیل جلیلی",679,0.0175720090059781,17,"2019-01-24","Results Status : Certified"
