"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name","candidate_name_dari","candidate_name_pashto","candidate_votes","vote_share","candidate_rank","results_date","results_status"
1,"Kabul",666478,"1-1094-8",545,546,"Haji Ihsan Sahebzadah","حاجی احسان صاحب زاده","حاجی احسان صاحب زاده",1484,0.00222663013632858,119,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1142-59",647,648,"Ahmad Timim Jurat","احمد تمیم جرأت","احمد تمیم جرأت",1472,0.00220862504088657,120,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1220-1048",324,324,"Fawzia Naseryar Gulldaraye","فوزیه ناصریار گلدریی","فوزیه ناصریار گلدریی",1470,0.00220562419164624,121,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1065-75",791,792,"Baryalai Ghafoori","بریالی غفوری ","بریالی غفوری ",1465,0.0021981220685454,122,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1381-29",82,82,"Alhaj Tamiz Khan Mahmoodzai","الحاج تمیزخان محمودزی","الحاج تمیزخان محمودزی",1462,0.0021936207946849,123,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1160-102",775,776,"Rahmat Gull Mawlazoi Hotak","رحمت گل مولازوی هوتک ","رحمت گل مولازوی هوتک ",1452,0.00217861654848322,124,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1818-141",374,375,"Mariam Sama","مریم سما ","مریم سما ",1439,0.00215911102842104,125,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1856-216",738,739,"Alhaj Shahd Wali Zemawal","الحاج شهد ولی زمه وال","الحاج شهد ولی زمه وال",1438,0.00215761060380088,126,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1683-9",753,754,"Zahir Sultani","ظاهر سلطانی","ظاهر سلطانی",1436,0.00215460975456054,127,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1201-31",110,110,"Sayed Qutbuddin Roydar","سید قطب الدین رویدار","سید قطب الدین رویدار",1413,0.00212009998829669,128,"2018-11-23","Results Status : Uncertified"
1,"Kabul",666478,"1-1234-1",51,51,"Sayed Bahram Sadat","سید بهرام سادات","سید بهرام سادات",1399,0.00209909404361434,129,"2018-11-23","Results Status : Uncertified"
